country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AGO,,,,,,,,,,,,,,,,,,,,,6405895.129203091,7609824.887968194,2828890.843612397,10169208.600125879,11287333.337036557,10717342.02127088,10160109.490863573,11111619.592172792,8701376.927737046,6496125.116825972
ALB,,,,118779.22457144597,149734.0326175192,241854.60953023043,263893.28899965825,182441.38926109677,238655.61242850486,317556.5990883486,317817.3656464211,333077.7729285379,382034.1927684561,524817.483719121,689631.6485337886,787620.8789432284,958859.332289346,964793.3879269025,1231008.3434938407,1224164.6343548333,1632774.3467945224,1752665.8078245888,1682765.4799022279,1896239.7927353713,2009827.148025307,1749499.592017613,1925308.6997875734,2096516.0351506637,2432450.3894262374,2510928.8003469063
ARG,,12883584.897220202,19921697.65909306,21329619.202754587,30336925.65798252,46772153.2072931,53286169.318931825,85645826.96456558,143677456.66419223,111978454.60717742,146321593.86024648,145654464.37380376,51147029.15326158,62803272.0519583,65897819.226116806,99294703.7398144,71417275.54324225,112085934.62407798,116888664.15483372,61634143.35111808,108481696.40900026,111606695.34015699,94586342.10915932,127006868.98558,91880632.83298053,85585150.85923192,68291420.43374278,78871059.22369994,42031634.763614826,33877460.33386626
ARM,,,,,,,,,,,,,,,,44777.39173083105,31520.188006320757,90947.82007996744,119867.35827793434,76043.0275939707,66158.0620338219,103260.12756473919,100705.97179893537,114866.53227562485,113512.32452928541,111043.09414995827,115078.40929074885,59146.63816860957,,29451.082777392334
AUS,,46067.61426200041,64351.491691926196,42309.79659141828,75902.26743040798,135253.3480673231,240056.5897682936,297736.1510039703,243197.676040336,347783.8991808105,388255.8270104263,318453.92755607615,498816.0210274374,467358.0754984214,712869.3679469156,859545.9131058514,782021.968705313,605265.0881180791,1016230.6566922575,949943.4128174562,1044257.3755066439,1308176.8401945804,1733004.4353270032,1940291.3724599439,1441293.0468638798,1579572.5442204587,1383509.3237732216,1619902.5402043788,1432934.449267462,1193686.0343833691
AUT,,514806.0848683799,496515.3485115272,750730.740890822,979736.3946731172,1510999.5643725176,2049951.050509171,2099838.204407953,2328944.2326694336,2578375.947019795,2607287.307720423,2648744.453838732,3421823.4931543353,4012782.8241781783,5395983.462814811,6121709.172516994,5742266.785810417,7616352.236000037,10571493.52521637,9360128.621729013,8603339.154622413,11839531.257826585,11070071.726463865,8477725.194757354,12618027.026814438,7741436.6482366705,10985914.572138393,11158327.256497897,12382062.337853367,13313750.615211647
AZE,,,,,27926.750791622184,6867.319675496498,8171.433814460976,12094.004423173697,31079.126882499524,112781.22822561512,106191.13335049018,122850.72322016065,149055.31633692817,194993.12175248857,215427.1585636514,242596.90766197603,262239.2527401319,305637.7401234568,324244.94805189746,319082.7151387371,307415.4704532851,346375.8544406174,427790.63055410946,524466.5654471811,518285.06145332044,425931.0587431744,323438.9236849352,325806.23233117483,346744.8475276692,424054.6711452647
BDI,,810843.5934488272,866128.4619447889,799142.2256383401,796667.4327598292,1378201.8765306964,1316320.6270873281,1245063.2275199334,1173389.621381603,1018067.3633881388,771696.5637356689,770587.2050027964,785456.4391488202,726188.6242636195,778580.5917221353,882425.1317620766,926424.2092478891,922996.7022873019,901290.995844077,930740.8397632275,1045173.4621342578,1076061.9978192502,1082782.7488831365,1236529.614590661,1019397.3554873947,1316347.5209158405,2045453.3858098052,1913685.5175659035,2433928.177426555,2311280.1283201044
BEL,,,,,,,,,,,,619257.0776056325,833853.4900136536,1169469.6503884743,1588932.721243033,1724998.159443125,1701839.0145835832,2402198.4520162167,3341839.868499569,3145630.833461815,2961117.637029093,3750456.6224173508,2988155.760378363,3871899.394193902,3244451.00330251,2560797.721518417,2194405.989385813,2966589.30613931,1987007.9507793502,2257061.5430848873
BEN,,167081.9905979836,182657.89863840007,147455.6972813419,142076.9475879751,295580.85235244257,355629.36827165843,410187.8158668634,578378.5218434951,730518.6560472688,614351.2137538313,587436.6727223502,820803.2602165153,1132793.3702367914,1393428.9492885899,1568660.8666136125,1687875.0536856593,2070113.6127322526,2391618.986489254,2867622.083753638,2460271.543870981,3005051.184632715,2936593.442442089,3606391.4969012677,3800140.4656031276,3113227.448691959,3691998.89428263,4135979.2014837563,4554281.550473699,4811995.893595069
BFA,,,144844.94123832718,96767.61356851335,109652.42444753836,113159.2704458815,193026.74589717074,223426.78420690875,331772.796120945,440435.1230420522,352974.58608808793,530438.3403251146,683144.6181531635,964987.0584316737,808222.1975233441,1468891.2230955637,1717946.6039865455,1255614.1170776945,2543134.394630798,2196864.7512852503,2841429.1874652994,2885835.481468085,4023197.142348424,4526168.649222752,4209921.597286215,3738260.8066433026,4479533.132980515,4550620.226818685,5378641.08238586,5447927.992075283
