country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AGO,,,,,,,,,,,,,,,,,,,,,-4508200.099679859,-5538827.7459680475,-2090739.0009327433,-7491296.636775534,-8482641.65763255,-8166708.035598603,-7504280.426863359,-8260836.171920103,-6599003.6858716495,-4881653.518108646
ALB,,,,-135176.49428908195,-139645.59490410943,-191336.2889845043,-198121.93754140733,-145723.7320045163,-158784.9446727013,-212526.34454839825,-226545.8372682233,-241801.46173210966,-270322.20895215886,-357020.0017058989,-483404.25542083505,-551540.3043109745,-680249.6974596139,-701753.1676264539,-924840.6030025148,-948372.2293504599,-1267990.5860035762,-1412835.3378675203,-1381502.805005278,-1555063.2848585774,-1687018.2066256087,-1493565.9140749248,-1594206.8649182732,-1751910.0493587865,-2080556.764436895,-2132074.160809638
ARG,,-7611134.9284507455,-14942735.226740835,-19882659.05936657,-23593476.096678592,-31227452.06479586,-33858317.714153774,-57600662.89235139,-81358096.95984088,-63683301.42364937,-88164902.9968259,-89143646.35464075,-30515162.649112128,-36053924.98121665,-38835679.6305612,-58349686.55045257,-42394950.18244693,-67957852.08412759,-72871554.3224803,-39442970.62912121,-69413150.87417507,-73728696.75282231,-63378980.20049482,-84795850.76618874,-62500185.06607733,-58967973.464721896,-45644116.937750414,-53021615.91624555,-28786531.712516736,-22987922.84441839
ARM,,,,,,,,,,,,,,,,-15049.751692419597,-10729.926442973507,-31650.720183774753,-42889.14234170555,-27933.895819603327,-24413.20510000139,-39317.42720069551,-38991.73881702272,-44561.87357015049,-44947.05331276729,-44659.4593531627,-45340.18380117159,-23527.918328067117,,-11922.49316566302
AUS,,-47137.52421188002,-90547.74217095497,-81582.85131669203,-112621.13028346028,-163211.402581031,-271549.5344550813,-362997.4533472494,-237411.92305904784,-341389.6368207747,-410217.27234187274,-343280.5793095329,-520352.3067565475,-464171.6647046876,-731915.2775846609,-879158.8558652912,-810134.9472325918,-644114.7158409845,-1120800.4582554838,-1083710.485438935,-1190791.4746613856,-1555113.256648934,-2098576.5127069056,-2337704.128731542,-1779508.111908495,-1983193.2399852988,-1667792.2861167444,-1967198.9518460683,-1783112.3781070407,-1466734.6445771528
AUT,,8711.71883151429,10853.957765387475,19175.48571389462,23033.170714944376,32505.546128605532,42350.24235553661,44098.00684433071,43104.75540106503,46607.961347510194,47384.00794758332,46964.979409013584,57537.9014921347,63093.29484895574,82093.9473357706,87898.85891832215,77969.70706281003,97779.89762590906,127771.33870776994,105500.44033940013,87789.09992515699,109888.3984290959,90561.87337011012,59022.411148884225,73452.38216724481,35836.4034315465,36990.12270785868,24341.096575848067,11955.763531611894,-3979.5198315468006
AZE,,,,,-120064.0102528757,-19807.373868921797,-21093.1505333643,-35547.68039862665,-63398.68261070932,-232222.03547735544,-245801.94116480593,-294119.06182031386,-338849.8176149235,-410751.9221934815,-478865.4039581607,-536895.0060392859,-593330.4962722271,-723593.6524962574,-815944.1438892544,-852059.4757910353,-822186.6588182208,-998559.2069904937,-1278099.2407287965,-1556893.2691093718,-1613014.3200381699,-1371337.103333948,-968845.1042297264,-991740.2735994325,-1107187.9585393628,-1326350.1666648353
BDI,,-324361.23573004577,-419212.4568320934,-459522.4570987852,-392277.24006815936,-594258.082333596,-542738.8797994341,-538274.5590063732,-436606.5939253687,-379992.37207679165,-302785.1093148556,-306389.58588400966,-305424.90193505824,-273050.96263537114,-299558.80464234715,-338733.0840542594,-358877.6303463844,-364312.1184528934,-364594.99663602095,-385299.9835360631,-432856.3188165508,-458333.56713362155,-467159.79375061305,-532212.583361965,-446152.72194884537,-582889.5227944292,-883122.6940899008,-830969.3259833937,-1074677.7847709167,-1013268.4032683272
BEL,,,,,,,,,,,,43920.3483875474,57929.72190318883,78908.88386318332,108107.83886712375,116266.16884341853,114457.43577175803,162183.24527846603,227257.32503064076,215168.51469391846,200578.52052789793,256079.4664604438,203493.5183787556,260292.8776752052,217975.35165327787,171337.21947774309,142781.20688888652,191485.60440929927,128093.54576737218,143026.83532592328
BEN,,-256315.9873290492,-427743.56658704707,-554542.8718482198,-359827.93869806896,-564695.8990102989,-624663.2074230403,-794844.6362108116,-843042.4426995352,-1072119.7242868408,-988906.5192803651,-969875.0453424174,-1299638.0570410683,-1685944.931494345,-2161440.049062774,-2420902.2864100807,-2646190.7013191213,-3356592.869993005,-4057203.8822822575,-5079071.252403588,-4353140.360066694,-5610207.097449765,-5614189.882215997,-6845114.099426476,-7445321.211903612,-6233154.922447091,-7001071.391391543,-7914935.952187652,-8995587.421238216,-9341491.20313745
BFA,,,-262106.3148510701,-254693.97092790864,-209934.00311514956,-170418.64109719457,-269913.95862732927,-339720.1397238705,-392999.8691773608,-524573.6684372195,-455903.37002619717,-700201.4203554599,-868945.8795913957,-1161775.1061862004,-1008963.4448963668,-1825027.363319834,-2163741.22307245,-1628549.9570948798,-3430691.9015958244,-3076151.9440964675,-3974538.8326349575,-4227368.553346547,-6013982.482341095,-6723214.919118696,-6424740.4192322055,-5810658.669805585,-6646470.332965975,-6804374.069600947,-8262130.890865783,-8245122.83532335
BGD,,,,,,,,,,,,,,-175757.0201808892,-386387.93118122296,-575082.7555708836,-851510.5655029712,-1593335.9049846418,-2570660.821514214,-1483958.322634862,-1914937.311959368,-2203714.969213515,-2710905.561548602,-3601432.958235409,-5264392.801202964,-5924080.066615309,-6643885.678934914,-8431169.566198617,-9252014.236710668,-10394992.02112451
BGR,,,,,,,,,-765832.4661044639,-1101198.4527621423,-490466.3022162428,-571763.6602172838,-973794.8917188173,-1152101.1499100595,-2532174.575532282,-2062284.9733817559,-2263270.446985963,-1647271.3737392651,-2648647.7464810847,-2548113.2174556837,-4122848.964822927,-4992160.254107192,-3826679.3809279283,-6705692.265282639,-8140252.42688466,-6179287.544770682,-5356953.269888949,-6598251.962943851,-9965148.381512258,-11417841.879495194
BIH,,,,,,,-152216.1183951269,-214197.33761407292,-245176.4456412708,-307550.6010934145,-142551.24265199792,-250626.98875615528,-339816.94911402714,-270172.34298692783,-591839.3294665487,-657134.7708519169,-714174.5265461663,-540070.6053076928,-987680.1806355064,-966662.7038254285,-877884.1655664906,-884678.4555661544,-618155.7752615811,-1009244.9475257929,-1074238.5281223508,-936014.2706030867,-1478610.0102318781,-956175.053976099,-1890050.9071043045,-1830776.1303695466
