country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AGO,,,,,,,,,,,,,,,,,,,,,-11821304.50241352,-13000927.947790174,-8435667.126467168,-16628876.007468432,-18570363.15251525,,,,,
ALB,,,,-829831.583916844,-813007.4685482029,-822216.3833433521,-1146185.3937018216,-1018907.7201293227,-1068748.7306391678,-1138737.7848754467,-1020859.5896195017,-892428.1018623468,-1002483.6459046749,-1310427.6235551054,-1681541.1921677918,-1637855.5804114887,-1784915.8396295877,-2392933.1871349025,-3126671.2108153543,-2530582.2625994207,-3632803.5763451513,-5097855.075692306,-4837433.104703948,-5974743.8943170495,-5361539.510299246,-4594940.137295672,-4675918.983062206,-4642262.252315862,-5287549.521567385,-4994306.784851415
ARG,,-9384353.147019284,-8845794.068479216,-16365706.37721364,-15948174.715481367,-19499076.331238393,-24606051.074303538,-26950173.576378122,-30857800.91662221,-20407552.83986139,-24147788.560585167,-23398073.74171411,-21577093.59008846,-23196994.162209887,-24309746.94020779,-29903579.037374076,-28831368.707981806,-57501356.00772149,-71354645.62820998,-35508381.13016749,-75550815.55323642,-107112758.0342318,-113710741.45785464,-158168202.23660305,-133660532.86528765,,,,,
AUS,,-418704.7288309962,-585288.224500366,-494372.95003108896,-551169.5593676931,-845101.4982608915,-1126504.5347701923,-1212827.3409779398,-733285.9943064508,-856188.7377686114,-816402.6808156611,-785394.0202737284,-1181560.0413139667,-1172223.0323450514,-1677652.50233486,-1659464.4074098275,-1476322.5485746465,-1431656.5305035117,,-2553342.5188598954,,-3144548.4583985545,-3994324.260147116,-4107198.9170980067,-3806772.5467884773,-4608663.444908764,-3752221.723949959,-4263396.334423872,-3998228.7629771694,-4183784.0105591957
AUT,,-2533098.422433889,-1957387.1339708106,-2632118.477710088,-1622776.551991442,-2061361.8823876665,-2188546.4210175164,-1678911.9624233684,-1603728.8834738045,-1642312.793542333,-1677839.1520622997,-1517832.9403674726,-1760641.7516082448,-2507432.5709746047,-2215952.449363067,-2398370.3972538905,-3028062.1061045313,-6640665.490036362,-3885436.497499207,-3541877.7829442746,-6032325.937485811,-6870505.84600729,-9369236.32070193,-4791100.683675862,-5208421.403104763,-4160641.1667373828,-4931786.44326364,-5507603.90294695,-6104804.927372489,-5902579.831767144
AZE,,,,,-71568.34436459909,-60893.94421017002,-45577.11844726912,-56976.354780067195,-69424.32913252337,-271001.3544027323,-342990.47866673046,-356766.0429556651,-401843.5667643421,-645513.1213007958,-738269.7784945974,-912841.3738074424,-1354785.105186734,-2416768.3261397025,-1841901.7214795197,-1998978.0111521904,-2106178.0901737134,-2547836.8011644427,-3129413.9104244886,-3940140.7264748043,-4302170.340959827,-3586541.80480121,-2130022.749299025,-2526122.561350824,-2492298.5339717693,-2717155.721835499
BDI,,-451946.4500085306,-426779.4136432777,-444429.7310805429,-263076.581810481,-357275.19508778135,-443256.2400439585,-741811.1320397552,-585635.8303878575,-399134.0794484348,-396719.80381351983,-376389.6622267359,-338365.3925126719,-322419.2894768772,-445533.2014278246,-625188.8349312044,-559429.6256947431,-615894.1369537703,,,,,-1102285.9422704314,-1252353.9505038126,-853720.5208826722,,,-3448783.7381340046,-2465118.6814346183,-3001017.6446985514
BEN,,-1752823.2727697638,-2205854.639316383,-1919290.8747701873,-1010929.8916448333,-2359311.4751662705,-3393173.391657321,,,,,,,,,,,,,-16593086.175571004,-9535355.990232687,-14232485.05273572,,,,,-16897630.15336934,-18949097.34245185,-17849485.760219473,-18775884.511835195
BFA,,,-1476565.8533295302,-944342.0584412187,-920985.5569267704,-642769.6949127874,-1157848.6062246237,-1230664.2838777716,-1441002.1018783138,-1594247.7045893709,-929095.2219023516,-1684453.8585168272,-2426445.9011407164,-2641262.6598259653,-2229705.315299064,-4359123.347022898,-5086564.210873052,-4639739.972839443,,,,,,,,,,,,
BGD,,,,,,,,,,,,,,,,,-1660741.958759171,,,-3480289.906286355,-5289163.280065662,-5168094.148590141,-7470920.270059712,-11330928.88916829,-13522227.467018928,-14770650.438590067,-16844398.226947527,-20786035.034686822,-22145948.19815788,-25190853.728357654
BGR,,,,,,,,,-3210329.3979572966,-4103396.2643125127,-2012529.270527968,-2642032.744885026,-3593784.1635164954,-4283800.024992553,-9997938.671884295,-4856527.7517613005,-5815789.558966853,-6802562.169486947,-11831985.09380636,-7286586.669855132,-15102308.958443351,-21719330.649581604,-16891836.03002778,-24735938.10680429,-26685449.69461849,-19479052.23601377,-16837474.137910537,-20813261.708303846,-30269909.389007352,-33428423.239722818
BIH,,,,,,,,,-1237094.1770562828,-2075563.4128965845,-1112659.0384006777,-1845362.6723695004,-1828085.8776097116,-1717202.5835623476,-3823312.6529829917,-3592284.8106539436,-3816519.5166550735,-4299677.930155295,-7612412.536182011,-4374118.2675729515,-4635616.288988306,-5551067.592375909,-4546186.151376723,-5996375.544537341,-4401097.771421867,-4225151.289109448,-5875624.3628525855,-4335761.2286409605,-7294211.2603709875,-6846470.318161437
BLZ,,,,,,-101124.47039347666,-157766.47367382183,-143143.22634919995,-183226.01523994328,-217325.36151250894,-154651.8754554203,-211928.13094615104,-232044.1049534384,-273942.7403430398,,,,,,,,,,,,,,,,
BOL,,-807889.448084209,-1050790.2279872817,-1118506.2496121137,-1255041.8471551402,-1436121.3050920325,-1497120.6705608615,-1152632.3179137905,-1666611.375863402,-1731874.1693745004,-2359165.302323466,-2311550.4724340085,-2209405.877835401,-2175381.988353863,-1803073.142175822,-2441426.8381572086,-3118405.6357227466,-2989601.5731644304,-4441524.272382737,-5822969.240826125,-8118614.220671316,-8095218.792192147,-9961795.649802893,-9427716.654009381,-11930672.488269614,-10095082.651026616,-10578297.505816925,-12679435.8567631,-18582042.8585509,
BRA,,-37052011.541253924,-50327340.23208089,-61367500.72591026,-79241126.28316441,-93546274.9460572,-92737521.83994888,-85617257.43130623,-84418425.89002566,-72252452.02764225,-88194663.65390253,-74377469.21450569,-84649330.39022495,-135620844.26934555,-121950513.22397056,-121526732.96613546,-155853585.490706,-280189612.2591368,-412440921.4012673,-269460756.71227056,-326646935.5047345,-511722058.09239465,-598105732.2326748,-622894411.5693475,-588812780.660593,-482512033.4887746,-496205896.2148998,,-460084416.29906166,-553704942.1422455
BTN,,,,,,,,,,,-31086.253617940914,-42630.68815998672,-28231.27822463603,-39583.44611358696,-145967.37308531321,-182796.32396414396,-175472.6578404215,-90105.40147401777,-78760.92931281027,-70309.2356002422,-95277.49107493584,-137474.08889146458,-116836.32891875622,-156792.07923298475,-121275.30900147134,-145655.41436651474,-461553.2122849805,-191184.586873611,,
BWA,,-46533.920829326154,-10187.618476893576,-10752.615712516234,-36449.47275967446,-81282.11261328535,-85839.8866483705,-74284.38476193414,-6863.044737371017,-11199.635909102899,-35636.67884799982,-13532.127303566758,-59685.57453038451,-10279.932384776563,-52687.113756136794,,,,,,,-453416.0884189923,-91533.45259376935,-71521.26985814096,-333989.0645464051,,,,,
CAF,,,,,-351510.93304085743,-910749.4821342746,,,,,,,,,,,,,,,,,-1920335.4289374272,-1832937.8096335502,,,,,,
CAN,,-5999052.294420976,-3527738.0268629245,-6142303.249208505,-5725778.192210114,,,,,,,,,-12867360.618749904,-13149859.248327225,-11884482.123883933,-14122833.241556007,-26310721.831780445,-31368330.94135519,-25017145.651419036,-34293149.625159934,-48010857.27137659,-62100404.21964818,-60820995.95479989,-38536433.98942144,-42120707.90616261,-42918860.98940867,-45066089.186957136,-47144046.829109274,-49498991.5064902
CHE,,-197525.93039213752,-179401.9127812403,-172252.15083949963,-242661.16200389998,-231771.9176974134,-187417.4454227328,-156929.18697925765,-165422.04696591737,-160081.75222652007,-159227.1546100063,-159064.78129865372,-156755.82318309028,-95320.36534544965,-179662.6567809843,-187238.92509213736,-162962.12836239446,-198832.94492280803,-211708.937684315,-210746.8578808052,-200424.47050100446,-280528.18538112927,-270364.41461383586,-265802.0559663863,-290305.7826609217,-207658.19301848483,-271079.1473931884,-307844.67041507596,-271648.65909063985,-355765.86428744154
