country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AGO,,,,,,,,,,,,,,,,,,,,,-0.0061676364398759185,-0.007323373710644593,-0.002546807956082871,-0.00869467834552414,-0.009392363179067614,-0.008958068454789381,-0.008449497768516388,-0.009315115775661527,-0.0075405023641811,-0.005617622661483134
ALB,,,,-0.0032152618992788307,-0.003070903658596072,-0.0037163881354404286,-0.003529728376843507,-0.002916120367625648,-0.0029210927433423873,-0.003464739492827232,-0.0034547009702031524,-0.003406111672210558,-0.0036437439468644224,-0.004561627617222848,-0.005855354620440822,-0.006332641876779299,-0.007377185494279642,-0.007182696075010712,-0.008807996251059417,-0.008741234212896402,-0.011272377779913325,-0.012251437508009756,-0.011815401902839615,-0.013171232591802109,-0.0140432693690643,-0.012166040432404235,-0.012572097371061049,-0.013312734641441237,-0.015202748703504486,-0.015267920749148898
ARG,,-0.0026877333410803474,-0.004880916919501654,-0.005996930786338383,-0.006720191646449211,-0.009151745872598666,-0.009400542785316922,-0.014789565809624925,-0.020111746811270557,-0.016291938385866015,-0.02273173360371131,-0.024041744863475403,-0.009235260156565759,-0.010024770556149502,-0.00990321848780608,-0.013668443192907965,-0.009190816441585774,-0.013514423282695504,-0.01392580131893998,-0.008011354827118702,-0.01280175826641103,-0.012826920838005792,-0.01114018676139828,-0.014553948042963,-0.011003266926006042,-0.01010503204288508,-0.007987684666383929,-0.009024077315464682,-0.005030869418179136,-0.0040993653303894265
ARM,,,,,,,,,,,,,,,,-0.0002030215100596695,-0.00012779308050298035,-0.00033137775175150886,-0.0004198910844633147,-0.0003182652632721549,-0.000272093498230668,-0.0004184495115455384,-0.00038705056942871073,-0.0004281635797173973,-0.0004168276173404791,-0.0004013026876419111,-0.0004066018372144954,-0.00019627547916148413,,-8.787333971186085e-05
AUS,,-7.475327493785851e-06,-1.4253228682215199e-05,-1.2322513948680116e-05,-1.6342711497429408e-05,-2.2782333281151557e-05,-3.6476557570374244e-05,-4.690672542691385e-05,-2.930310535687497e-05,-4.0110348897867866e-05,-4.636940564732037e-05,-3.802692186145789e-05,-5.542871482076841e-05,-4.795638716215972e-05,-7.25465090579429e-05,-8.446927735882964e-05,-7.574477514306527e-05,-5.802911713893784e-05,-9.74733733899236e-05,-9.249310742304933e-05,-9.942129579474229e-05,-0.0001267832212631635,-0.0001646369661813699,-0.0001787416425795551,-0.00013261755674015614,-0.0001446274826976992,-0.00011835909684218382,-0.0001364945991887828,-0.00012025934541589607,-9.681887194164869e-05
AUT,,1.5069789507735424e-05,1.6291955327201753e-05,2.7317097597692836e-05,3.140493578855389e-05,4.291259025335263e-05,5.4838935587714525e-05,5.637393174516244e-05,5.3932051517254626e-05,5.714296377744159e-05,5.744904297871086e-05,5.754082867948043e-05,7.132884468208825e-05,7.979259232196129e-05,0.00010497810445650086,0.00011459570627936131,0.00010324553190459848,0.00013169347449836484,0.00018040222246246934,0.0001656121921704939,0.00014693757577942607,0.0001966724768316093,0.00018080466547865494,0.00013579644485620747,0.00019877604537976164,0.00011881085461135481,0.0001588674268729171,0.00015500874997117128,0.00016599710106171293,0.00017047191071576005
AZE,,,,,-0.0012528998572996733,-0.00023413413661517305,-0.0002459681922915947,-0.00039160242228311896,-0.00063467429198651,-0.002163873325081452,-0.0020610344344269152,-0.002243519688381041,-0.002361361163088247,-0.002596863947519156,-0.00277066150765891,-0.0024273031340424356,-0.0019941627913975047,-0.0019453888106066605,-0.001980413791765489,-0.0018920269151389976,-0.001737827765338982,-0.0021083851597701268,-0.002641277145572518,-0.0030406151036345575,-0.0030657628017962987,-0.0025781197151309772,-0.001879643586303701,-0.0019201663684579517,-0.0021119555729675736,-0.002468239670803513
BDI,,-0.011340938253655414,-0.014839833149712644,-0.0175521131790162,-0.015695459640863735,-0.02595170393490227,-0.025858037145072836,-0.026132196886513397,-0.02027973091363873,-0.01786214301308309,-0.014377482672007261,-0.01427368853323194,-0.013637659254080416,-0.012355223587881384,-0.012941076598358778,-0.014514466193443572,-0.014598210232720501,-0.01433386894996305,-0.013687779899088185,-0.013941023778413908,-0.014905521400823763,-0.015177814877396834,-0.014817682394634667,-0.01609506010004836,-0.012948159844011976,-0.017608817919035957,-0.026847711806865005,-0.025143554302700964,-0.03201109054589243,-0.029652233836963447
BEL,,,,,,,,,,,,1.6679387352047668e-05,2.166874332045194e-05,2.9270572929090007e-05,3.880283312197131e-05,4.088059438381947e-05,3.934099965384108e-05,5.390960479874135e-05,7.541273055398211e-05,7.299781079725648e-05,6.645643148068515e-05,8.350599585680135e-05,6.644159896455205e-05,8.50287372846854e-05,7.022314105501295e-05,5.459815176059855e-05,4.5126821630193625e-05,5.9865955365729924e-05,3.9463709294078405e-05,4.318986988034455e-05
BEN,,-0.006272413369425604,-0.01010094076571575,-0.012331687936115141,-0.007826651983104786,-0.01156599563861903,-0.012251075640023163,-0.014731714363162531,-0.015020484680540062,-0.018124409270891147,-0.015786128174884093,-0.014693425848435726,-0.018810311301880205,-0.02358323671332025,-0.028945577080783703,-0.03186788827276391,-0.03350616513468513,-0.040094785678262586,-0.04619534881857628,-0.05651311396479736,-0.04742833134425083,-0.05935956450318522,-0.05667037997022496,-0.06445533364702953,-0.06591223074669898,-0.05421412946719726,-0.058922618777037444,-0.06303605822692475,-0.06714317891229318,-0.06524329489723185
