country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,countryname
AFG,-309.5507664301531,-541.0427302207773,-564.8647676060037,-1163.1087646416668,-1544.4431524415343,-1968.387458201932,-1569.9425257082833,-1504.7343053343384,-1876.6147764375896,-1530.6177022416075,-815.7997230526427,-1252.9211365804595,-2555.972335815945,-1969.5589129831394,-4091.351177952391,-3505.1010857176498,-4326.0449505945835,-4679.209061182961,-5030.234404373428,-4487.654320361491,-4813.5190576518835,-5116.589036682209,-5624.831148071319,-6007.90047102622,-6435.266627526418,-6786.318615614895,-7027.576008122631,-4109.814645690105,-2638.512880875406,-4774.959818424676,Afghanistan
AGO,-74.77269220542648,-248.34249159948857,-388.69263789509614,-439.2143963323635,-400.6732860621572,-505.89385750286084,-1120.941329185533,-1196.8144401250597,-1853.3040913568382,-1763.190636620642,-1808.167912914951,-2169.0664729100663,-3030.2887336624776,-3749.3110351431305,-3814.201672442524,-5281.743458527033,-4098.129567702397,-5175.959404062871,-6346.037284365402,-9385.33873350077,-11094.939584571717,-13919.333000132297,-5333.524935722127,-19298.10352407742,-22232.481940968693,-26108.72944456853,-32675.907696105372,-36424.594547842265,-44295.724979135965,-47204.80022817215,Angola
ALB,-142.87113282821866,-162.1629793268006,-287.38862940308485,-425.4817009825588,-584.0911000982253,-783.435600750414,-913.5977017606579,-956.4428627721594,-1052.786941858413,-1286.0856459644174,-1428.5243198873743,-1520.2578150090712,-1656.810256298387,-1899.939509142181,-2165.2595485374254,-2395.9227120940764,-2895.7080595888115,-2748.082150691792,-3352.5276307277963,-3883.542937048527,-5669.663203544361,-6117.921148518725,-6397.795305253392,-7016.302702537656,-7580.136450139281,-7993.866664656168,-8387.55814207599,-8821.44438998958,-9477.209999071667,-9853.111830601196,Albania
ARG,-1885.1526000618294,-5363.414418805982,-10919.536822998747,-14623.696770182542,-17349.909179276125,-22966.77127665674,-24876.82702347984,-42270.410630665625,-59728.51123453904,-46728.09259141976,-64597.20378507854,-65275.3496421834,-68492.89430750531,-76597.79107435394,-83028.93495246717,-123763.82930938926,-94543.32327633233,-153603.94608594314,-167141.14243736805,-106653.24366217258,-196970.63418005855,-220557.75955061187,-209101.33028129383,-336319.38116307696,-366472.4002923782,-395071.0669733198,-488210.70007272216,-636241.0294058046,-585119.979895055,-800386.9348030627,Argentina
ARM,-2.593830721952852,-5.187403068261027,-7.5851609192810905,-9.293912103020714,-14.539897310450797,-14.986117846255166,-18.35720315613642,-46.101216432348565,-31.35723611181679,-70.1782125449603,-40.32831787387542,-74.24771588720564,-100.21541832353296,-137.4000674135101,-189.97968435715768,-151.1164995128297,-97.55533843337753,-235.6844237375252,-284.4362816036796,-219.08012751292222,-196.0727948263904,-313.45435298227846,-333.8133141080153,-387.14845556267267,-394.80905912523826,-448.62709394659635,-456.0350475434845,-236.6924868128388,-181.18548083106035,-118.35234456211285,Armenia
AUS,-87.95266586199658,-155.6266356258266,-315.8864651641991,-306.86489098771125,-393.3272424185186,-561.6678545392386,-884.4564887547119,-1245.8958577848225,-961.9085938821949,-1345.5997917979223,-1798.269478232313,-1686.4340035915184,-2430.7303855869754,-1815.94952846615,-2523.320859881087,-2916.940468860052,-2725.146798557161,-1948.0934491959406,-3379.1395149981186,-3511.998235229141,-3278.63080065515,-3804.2511563973158,-5111.200471068699,-6101.7451821350605,-4971.9983596733955,-6644.059004575452,-5643.441362697533,-6449.748163663262,-5994.263016123757,-5295.631042187396,Australia
AUT,-982.2818778183162,-1904.8836550099034,-1981.9647599268906,-3552.1584081035685,-4132.332361542,-5153.882946313954,-7128.851862447586,-8701.522614858348,-8815.80677158355,-10213.965967270651,-12376.677578851208,-13067.853587901853,-15805.512199331875,-15093.897300113633,-18747.86569207038,-21194.71845526332,-19833.749995967544,-24439.606630953866,-32253.237335446494,-30586.068959792217,-29491.984878736315,-39434.7082957444,-40231.60187318856,-29763.721427070228,-44835.26120295612,-33177.10459445084,-46360.08272707428,-46278.588239230325,-49711.89855118871,-56083.584304225726,Austria
AZE,-14.249090798246899,-28.461163038106726,-41.599448268776534,-36.31130556686576,-45.86184646195339,-47.805995102325554,-63.17589861708563,-98.55714216329818,-170.33610019378068,-663.8602299067749,-762.3486393948026,-948.7761532974847,-1139.8665937224082,-1393.577600140933,-1623.6603041292096,-1748.578997624795,-1824.7401397445108,-2134.2782731684783,-2300.5817620235266,-2347.2125124679915,-2258.4819457537174,-2695.1363994650837,-3426.289589062312,-4160.80240721114,-4303.511218522206,-4772.088144616019,-5242.387347554584,-5780.330014390552,-6365.208063152661,-7610.273405829312,Azerbaijan
BDI,-63.174620273061784,-129.27705228606493,-193.4031787844255,-248.10708303785196,-220.88698937801357,-331.06007592769873,-367.00430953766573,-423.69208542712664,-436.77269613358726,-478.2931170875672,-487.12328560027345,-567.7050389246011,-633.8938385643762,-659.1745859247634,-734.6457861027386,-815.2939029639566,-820.9757541364784,-875.6723084151786,-959.1845967913089,-1050.5821022211753,-1179.5441213602694,-1278.2886015405777,-1488.4640367391494,-1825.762915379131,-1519.9625730542634,-2015.5624084890824,-3210.459618779004,-3152.4820497796404,-4198.486282653461,-4092.3101543058383,Burundi
BEL,-26.77361298373561,-69.96895501263629,-125.33536326452757,-303.107255963444,-135.12587621043787,-130.80393174489447,-155.17293983682538,-246.26991684515983,-1067.9853431796703,-1934.3821193748151,-2109.064889073392,-2700.422473531848,-3406.140863497063,-3893.745044250669,-4882.912472465702,-5281.776576391812,-5195.750160280373,-6802.174666037809,-8987.112090690865,-9051.217422964612,-8935.365341618346,-10980.718513620433,-9540.345025458064,-11934.277645296443,-10115.67505277267,-9613.999734032283,-8123.632700166764,-10785.945924513118,-6985.282597126149,-8324.945490069784,Belgium
BEN,-169.8956688337847,-357.09181803288703,-556.6633343337217,-769.7878878911216,-977.1908085557187,-1377.9430472858942,-1560.3121132901672,-2264.065355414201,-2424.8665128973107,-3215.7859442893823,-3428.7153711197166,-3459.5889160291404,-4406.332136829982,-4763.596335172638,-5549.191234990592,-6200.477273239402,-6716.219414363874,-7804.924029425892,-8810.29340444754,-11623.566577370171,-10442.276221131708,-12819.35912042382,-13868.579493833617,-16355.174689563064,-17795.239583959014,-17821.888452332274,-20034.667875233,-22182.811786641247,-24107.519127129774,-26390.982659177425,Benin
BFA,-95.52421810861391,-233.43732334187726,-371.26925890545704,-385.5830007487489,-622.8487514442961,-454.33532360505734,-737.4832601428673,-1058.4622421955996,-1237.1836778321856,-1722.53932520043,-1730.4498755103784,-2734.8631876428176,-3227.1280502387363,-3596.1162298469626,-2837.5468362686406,-5123.647439596369,-6018.829044849939,-4149.160914961489,-8164.220488452266,-7713.994212314989,-10450.15569805956,-10584.158497287923,-16283.542302027292,-17605.575384917334,-16831.513393479094,-18204.696103002083,-20845.550263704616,-20906.000755383746,-24262.539331006272,-25527.724754916093,Burkina Faso
BGD,-1.2595435807032525,-2.281632067321886,-2.9888949318542966,-3.92818611509623,-5.011256077751864,-5.787664765876358,-6.847255513081975,-7.744403557665012,-9.842000824579262,-14.866795586552655,-41.344435242330604,-293.64963731339975,-586.2593356595851,-641.1388908874173,-1440.0526549308952,-2311.8448855419883,-3665.3542260773697,-6840.061363371078,-10976.242366382727,-6368.28333098546,-8281.612017225416,-10132.607810852074,-13745.64831162122,-17404.134127037327,-25259.069995420024,-28497.684800416293,-32214.376491513525,-41770.58531453795,-47526.15598926903,-53941.934085341476,Bangladesh
BGR,-758.1951094285012,-3444.8655779930896,-3161.9756381768257,-2345.728681901045,-4120.453470448432,-6507.32975483887,-4381.526187487954,-8025.463385056115,-7148.198443404711,-10701.810773386256,-5501.845846109765,-6590.758312905921,-10656.063529329173,-10503.744950415932,-20945.963528685417,-17020.338107619715,-18457.339038710925,-12289.01623842852,-18445.70119823662,-18628.329989701575,-31589.30326141477,-36338.74930206351,-30073.15014984025,-50884.88153206974,-61653.54177326351,-55888.83150625002,-48440.50493966591,-58439.90423015987,-84085.7201382134,-101313.24334693632,Bulgaria
BIH,-399.85012415620236,-798.9287876681848,-1167.876202141079,-1315.7581869222333,-1399.075763905371,-1360.4226920167305,-2525.0824252505063,-4101.930416961384,-4741.520305284431,-6180.862156209029,-3297.5829130745387,-5943.0335901629705,-7630.470728269627,-5035.309873399719,-9978.794945568425,-11005.913698836082,-11798.023819199016,-8135.571881778759,-13825.99194946174,-14190.935453180202,-13445.82256451916,-12835.793368617447,-9644.177107895952,-15151.260658619698,-16044.243888557925,-16628.38637022212,-26188.042334079095,-16526.584558193026,-31018.286398968507,-31491.087172977277,Bosnia and Herzegovina
BLZ,-8.800322438705015,-30.01669891656692,-36.52613130987217,-49.3447164946739,-52.71416032070703,-76.86278605696931,-118.02589826463918,-137.5432045038314,-157.00053757459003,-190.28877532206934,-165.23995669172098,-211.2478964782643,-210.33581864852383,-262.6690632430195,-265.60195558607313,-386.1642065150027,-327.2005685251154,-434.8054427804311,-380.4776864922839,-630.3559240747807,-682.345641838014,-785.8802343353606,-846.7245954632043,-1018.3841483893568,-1035.8545076535593,-911.364494331381,-1090.7452499667916,-1556.4329567915709,-1415.1309319176653,-1104.398207676718,Belize
BOL,-194.34658196557095,-427.0288157316955,-731.5255813180856,-1025.710640755658,-1176.7374842310344,-1477.8078540834522,-1678.0594585138915,-1377.6446066124088,-2106.061372679976,-2406.4147599877547,-3579.188047141271,-4099.791793201716,-4457.359695294475,-5011.069940424304,-4252.095528583133,-6347.866784887649,-8328.575419004621,-7738.097679973597,-10818.386719888385,-13578.434774964613,-12596.132084132078,-12100.263104608717,-14632.645206910738,-13626.130456672227,-15852.572491218732,-17548.435876808107,-17173.221083270248,-17455.09497134611,-24128.44608523415,-19755.789910921725,Bolivia (Plurinational State of)
BRA,-9196.995800946786,-20350.280231872737,-38423.44682667739,-49763.400846777724,-67150.83314633358,-90145.72329896141,-86557.55521479309,-110630.76163737959,-112700.76710487263,-137670.5217718113,-153537.18619058278,-220069.54061339487,-206469.18569552043,-303611.8864625912,-286342.5853796906,-261784.25592626096,-344481.3111376705,-453939.37638413004,-551939.0197549887,-508580.717505108,-593575.1370086777,-636260.2661294974,-864788.3677336806,-1036700.1284314529,-1091201.61766114,-1228687.8026184766,-971153.6989531002,-1552629.627302928,-1367323.824089869,-1755155.4888929722,Brazil
BTN,-14.959869062776265,-31.031187158816365,-43.69309753828797,-71.79019958192329,-107.53890995001508,-150.86548267513297,-202.48997218615995,-247.48669488718605,-280.6258561387564,-259.21965639663586,-199.79618463166466,-272.87121959023943,-206.32288123849168,-270.6947199160796,-524.358074172422,-607.623190821383,-560.8842813448069,-640.218548546472,-562.6285421492245,-531.9918509066877,-536.3381446782174,-791.7191352457561,-770.958495941169,-848.513537441612,-915.636423339096,-1046.7001663761441,-1077.2100026398214,-1294.5080069954063,-796.2102126010352,-696.5596226190838,Bhutan
BWA,-6.024039822854706,-14.798195841862851,-4.476510632893166,-5.83757721785927,-26.438243106797007,-55.796376622708465,-85.14403467597184,-90.06231413532751,-10.567216886687282,-19.197110250682286,-52.59383696689948,-30.895788054711584,-111.85917843001174,-12.147364201977725,-61.09740075044955,-141.91695947311055,-144.91435912861868,-22.25501719979007,-99.41910919823378,-238.44871044865954,-134.1720372078706,-476.570252777319,-110.58009149315168,-58.73822464861831,-461.51681376544815,-64.63916292434158,-270.2926548197807,-230.07975654942283,-483.74395778250835,-149.41297945062087,Botswana
CAF,-24.03272966065334,-54.22433752855338,-81.09044014757748,-104.9474168957886,-141.49437835940583,-192.26455487460404,-241.67347672456842,-302.94776340310005,-365.96242845265215,-443.12072509675187,-522.5002665865842,-612.903978215604,-709.0190272217726,-816.5448037345907,-935.4572589594368,-1066.6057519386766,-1155.3274822208646,-1329.722444050937,-1501.1093095686686,-1655.355338374505,-975.4173583857269,-1053.1833605833904,-1120.9372108175137,-952.1075568697024,-1187.249321350301,-1265.6608927135158,-1589.8553241049203,-1657.3155993018718,-1804.3052077619097,-1961.8390380962426,Central African Republic
