country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,countryname
AFG,-12078.923290721421,-10996.651913092157,-8138.424288603526,-13192.695176205798,-14522.949943678825,-15921.06650188472,-11184.768446826394,-9633.012943115014,-10948.694517769683,-8226.909007932887,-4073.333085053559,-5855.445034248712,-11261.427737954205,-8205.168265520575,-16172.429994048567,-13189.037823774188,-15562.33617127457,-16152.978098450687,-16716.814639997854,-14406.161380938725,-14954.32920328869,-15421.334201090189,-16476.70156729542,-17142.3624287765,-17927.194446058762,-18494.01086211543,-18779.973480553454,-10784.586024599459,-6805.6442463345475,-12118.192996538777,Afghanistan
AGO,-2269.9574143850514,-3922.2803345903626,-4350.0737413717325,-3869.049834050047,-2925.804132008112,-3177.4134615996927,-6201.202398396653,-5949.610009143137,-8396.78778110026,-7359.998463828046,-7012.155886455376,-7874.109791058353,-10372.099683493652,-12136.073938114712,-11716.366996933897,-15447.328602252328,-11461.030904713181,-13893.884122367434,-16403.137787089614,-23439.582575965134,-26823.92671298734,-32657.442722406864,-12165.65781146116,-42891.09106904419,-48259.77950237851,-55460.63786280254,-68087.56297640051,-74555.41298790672,-89152.44909761794,-93514.56867561696,Angola
ALB,-3945.761050826361,-2330.0746010512476,-2926.9907328462064,-3412.1364470264966,-3884.412176532264,-4483.186386823076,-4606.854476293494,-4335.777532465203,-4351.58277947544,-4899.904409963196,-5058.769026855806,-5041.966677188399,-5183.472833012796,-5624.152890794444,-6085.925415011913,-6415.415512775122,-7418.602824728128,-6761.608327592266,-7947.817007664856,-8901.098355959974,-12587.676979712927,-13189.79321007065,-13418.677128166293,-14348.568430156221,-15149.871461710218,-15645.01238439112,-16112.746323439715,-16656.843388287987,-17607.557514376906,-18029.9883929654,Albania
ARG,-67197.49490645163,-99515.94005322675,-143600.55305972754,-151394.1385496174,-148909.19435556832,-169557.1854890295,-161775.48372323168,-247022.67256075272,-318121.6589342496,-229298.34651529652,-294485.2263485996,-278548.496925168,-275569.522223352,-291419.524650878,-299750.27053277177,-425370.96781470947,-310682.8524567005,-484425.9141341322,-507501.0357625176,-312849.1729530175,-559221.4326664428,-607559.6031436857,-559875.6349475856,-877250.1510626902,-933383.6093944669,-984452.9209614652,-1193075.1391673728,-1526943.44613297,-1380464.4358068085,-1858188.8423577184,Argentina
ARM,-53.00493949974261,-55.20833396166993,-57.26062552883734,-55.27842555250147,-71.76056752355184,-63.6820512974621,-68.78103924481562,-155.3818703222386,-96.42617558236705,-199.0426673510946,-106.38411402102433,-183.55424073135566,-233.86884386042465,-303.60193193939295,-398.8877309883724,-302.50605544147004,-186.99901167090627,-434.24016886758983,-505.36555673797454,-376.644525694619,-326.81578385903003,-507.80444989199685,-526.592074476056,-596.0407766234013,-594.5943490459832,-662.2297997792821,-661.338339149969,-337.6898259569615,-254.5763026861266,-163.9365194938793,Armenia
AUS,-3513.45549938973,-3238.2422956766914,-4659.938093155781,-3564.3327327403676,-3788.1069372350044,-4653.642611568786,-6455.613379771876,-8172.690976940295,-5751.262700442751,-7412.889504490142,-9204.08884797814,-8080.185393762638,-10981.041276152107,-7757.928738220062,-10229.588428871097,-11258.238856240348,-10056.693110181515,-6899.5495445952365,-11522.582641434572,-11569.290978069303,-10453.578672857031,-11768.519679635307,-15368.696653124729,-17872.92827283728,-14220.293413479558,-18590.816639406068,-15485.851109987447,-17380.335647875545,-15878.58920959956,-13803.31247297656,Australia
AUT,-9974.65625490098,-10092.025587386013,-7459.554626413151,-10549.573056954261,-10199.726913836843,-10970.52625006741,-13401.998903965194,-14740.227940503673,-13648.756455096207,-14611.323785963817,-16497.926765607666,-16355.958409132247,-18710.326797112062,-16953.567078935797,-20053.868320027752,-21665.49591015258,-19460.55338113452,-23106.003792750038,-29479.791331556957,-27120.044279818336,-25420.673988562205,-33126.836287402555,-33001.88911835833,-23895.764008358416,-35311.33154647297,-25682.97016504557,-35353.30783701534,-34814.183963002215,-36931.66925210217,-41190.36867946367,Austria
AZE,-525.6967637510957,-547.1280042803149,-567.0549137427039,-389.7866135178637,-408.26208992925893,-366.1692375837042,-426.3528386086914,-597.8631141664973,-941.9854699121217,-3383.2878202588304,-3610.4260912287414,-4207.146732967749,-4766.827601000499,-5512.494631091339,-6096.364810029706,-6252.338176763304,-6240.373584462156,-7007.156642910127,-7274.493370772195,-7172.508113212022,-6682.037088114573,-7739.479954934516,-9567.147387418183,-11322.243466881622,-11438.90013549542,-12414.474921430288,-13379.539882531566,-14492.957896447639,-15694.575150955723,-18471.48689215159,Azerbaijan
BDI,-1566.040625719426,-1673.8757407723356,-1778.2475568469904,-1798.5824811029659,-1329.340989441541,-1716.0191887021201,-1677.729901756088,-1742.5678459942571,-1639.0591390648124,-1655.471088545976,-1568.0624656660864,-1712.418845435559,-1804.61542673425,-1776.4148180544198,-1880.6804619156799,-1989.1467862908194,-1917.1680112911004,-1964.5745995335574,-2074.015086552018,-2196.7948031016654,-2389.699687004181,-2515.2740837478073,-2849.7568311024597,-3408.693387326654,-2773.620925544744,-3601.8366998470515,-5631.50844187509,-5435.435363489369,-7122.561922665756,-6837.588618588634,Burundi
BEL,-117.36891709780528,-161.3255397098683,-206.81501847759446,-397.4467794961392,-148.28011962066364,-124.61757175872489,-131.43284571268035,-189.1588410138077,-754.4098041647666,-1270.3082508898397,-1298.4404164947598,-1570.3715088116335,-1884.3063642254501,-2056.0368530478418,-2470.308768771268,-2569.220851752267,-2440.566414990972,-3096.9871634678043,-3978.957346794341,-3909.610458983976,-3773.4525731816207,-4544.840686975544,-3877.5916031823576,-4773.5465710822045,-3990.2020817179223,-3746.6156508065123,-3133.6137775360503,-4123.645823483452,-2649.6573988110868,-3136.2211301292123,Belgium
BEN,-7793.6980756409785,-8525.40502319924,-9418.679074792411,-10252.62219428519,-10789.006314245818,-13085.476845070827,-13050.666890989696,-17015.788599683685,-16608.04821187285,-20290.0183106436,-20095.70611606314,-18977.736122480565,-22786.35336638031,-23290.93403974072,-25741.94506206042,-27378.322697982723,-28349.209427534202,-31611.233785447377,-34348.32898113029,-43769.68128612768,-38050.1037120219,-45311.95495936237,-47636.85317996806,-54713.75079226907,-58114.55789142628,-56928.09569954534,-62746.4914718505,-68211.29352934432,-72855.04391926316,-78461.69875401251,Benin
BFA,-4398.0898398437885,-5591.593021637443,-6302.0309574457115,-5151.8933902957915,-6898.768216679928,-4328.415453958164,-6188.394474744115,-7980.9616334485845,-8501.487326715716,-10904.567062854794,-10176.289396520828,-15053.206957254934,-16745.658392965604,-17643.70514245802,-13209.154711487343,-22703.767432410925,-25496.56246051655,-16865.64875623207,-31945.989706836157,-29155.17518306828,-38220.99513460061,-37552.371032801995,-56144.92535379702,-59123.17001099011,-55180.48685962078,-58378.40472329501,-65543.5812979645,-64540.66961197336,-73617.2042473699,-76201.43738909836,Burkina Faso
