country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,countryname
AFG,-422.45615537595694,-721.3439091024105,-747.6937126333479,-1534.129828885891,-2032.9065484332937,-2587.7129339252697,-2062.3156638511455,-1975.771154708672,-2463.488302831949,-2009.1316280040292,-1070.8873409278428,-1644.9180381136894,-3356.366135272331,-2587.071115749423,-5376.0442663886215,-4607.677834944805,-5689.568515378294,-6157.242965818708,-6622.854818692836,-5911.956324598593,-6345.260723901698,-6749.24310180213,-7424.857816472208,-7936.234628567463,-8506.961114338983,-8977.634295066418,-9303.46453806057,-5444.738661488521,-3498.1434497804225,-6335.464727213041,Afghanistan
AGO,-96.12671960225585,-310.2218700558736,-481.2397855721871,-541.4141088907204,-492.64231146103856,-621.0531080760544,-1374.7834773255602,-1467.0089092006206,-2271.026458504728,-2160.369677595848,-2215.570027163043,-2658.209158887754,-3714.58270817866,-4597.572813870935,-4679.178514602963,-6482.876438168361,-5033.002441319678,-6360.728300952975,-7803.963508643609,-11549.787039833791,-13664.243410787249,-17156.62887341577,-6579.628946556202,-23827.962240615198,-27475.760186052798,-32295.503256954416,-40454.68922263825,-45136.35680870856,-54940.7446846011,-58604.20814633469,Angola
ALB,-69.93046054101393,-76.72348997067957,-134.65339946423165,-198.52457814845167,-272.0156089243574,-364.6262888357155,-425.2690199545008,-445.5033208739564,-490.8751272142497,-600.4255689265942,-667.9395037493987,-712.0451496455103,-777.4288222039885,-893.3548000662782,-1020.416775495249,-1131.9038581327452,-1371.5532304300948,-1305.1396991892782,-1596.6808842486907,-1854.8861947503385,-2716.1891680724325,-2940.0711173011105,-3084.5526373489033,-3393.929291422036,-3678.7818858789,-3892.435469396599,-4097.2384936586195,-4323.12187819699,-4659.817322647738,-4860.896269286109,Albania
ARG,-2736.3754804417263,-7518.319153956672,-15138.542043788128,-20160.76952731745,-23837.89443882722,-31486.27178022771,-34054.14396183764,-57805.946118368345,-81623.46089054334,-63827.234467129994,-88208.29379621659,-89119.16723830732,-93506.22419964554,-104573.80194653528,-113366.18505874723,-169016.15563482416,-129143.65747726112,-209882.3799035121,-228459.72677917677,-145837.4672156517,-269454.90893451055,-301864.26690462313,-286330.8005671188,-460782.9279133411,-502371.73287021526,-541881.9908581905,-670006.1378485139,-873656.6712471868,-803933.5041969268,-1100369.7842437364,Argentina
ARM,-0.7285315898459105,-1.4681962341821628,-2.156995852176704,-2.6537898392465484,-4.168355952572267,-4.31315696782001,-5.30438379288056,-13.373849873575942,-9.133110947671229,-20.523672844892236,-11.843660650716258,-21.898832960885606,-29.685697647252677,-40.888614878425805,-56.81107264792234,-45.42120827464067,-29.475875044242354,-71.59180269988524,-86.87389965076005,-67.2809970494892,-60.561271123579466,-97.38304738145332,-104.33375935074491,-121.74020258852197,-124.89896121894131,-142.77885753951057,-145.9769627468751,-76.20517209865311,-58.6780499601941,-38.55778231663552,Armenia
AUS,-137.87637592530598,-238.37291243256468,-480.34522528845775,-464.933860257506,-594.6333079143201,-847.9615843641193,-1334.0594670834478,-1878.1030822042228,-1449.441596022851,-2027.108071407198,-2708.6874441994505,-2540.1292770551913,-3661.311976028704,-2735.550654218929,-3801.7178965634994,-4395.669287097274,-4107.676290888714,-2937.253110728357,-5096.569691583435,-5298.796463848477,-4948.59648487674,-5744.285896476592,-7721.11135231697,-9221.655213394451,-7517.743525574793,-10050.684944129858,-8540.983048285678,-9765.896535583683,-9080.649537601488,-8026.31156610479,Australia
AUT,43.183242005502635,151.27618613589362,178.02752096827098,336.1416379030566,401.56772209269786,507.5238218974722,706.0106534451785,862.3667053560553,871.3207016279282,1004.160236798406,1207.7409256721714,1263.476292176664,1512.0513195702745,1425.9978291228244,1745.9902338550614,1942.1663558952766,1785.780920407663,2159.1695553815966,2791.967117635454,2591.397004694955,2440.851755473284,3183.485294921556,3161.8177806961526,2273.9164572195873,3326.432185651379,2387.5456916644016,3235.643028088984,3128.169494299416,3248.058873531749,3534.985352010978,Austria
AZE,-12.28375982078837,-24.16220893992519,-35.16361022675058,-30.637621006476444,-38.664957532033185,-40.294676263447165,-53.25555579282422,-83.10890792783286,-143.70829757670163,-560.4302553241083,-644.0421897841844,-802.1891648031603,-964.5951487424202,-1180.4457412531333,-1376.810880458218,-1484.460037138733,-1551.002809426664,-1816.4080471140792,-1960.5317044784515,-2002.9686902494418,-1929.9988662826042,-2306.522616205898,-2936.73307506682,-3571.847070004706,-3700.1072361426354,-4109.396929585786,-4521.218206186059,-4992.765829020148,-5506.519732840373,-6594.055184747999,Azerbaijan
BDI,-66.05310455005052,-126.67604095256469,-185.57274898019844,-235.52608348344404,-208.32043974664455,-310.9192078409464,-343.6968034020554,-396.0221114045269,-407.7121803337712,-446.0782566669781,-454.0642189775679,-529.0259666434685,-590.6609030150726,-614.2798709306264,-684.7925415648093,-760.2845758441396,-765.9973940925754,-817.5614850271892,-896.2005329325207,-982.401258761298,-1104.004830923294,-1197.605740831994,-1396.0020683357404,-1714.262729859286,-1428.773169241648,-1896.863500912844,-3024.882581088495,-2973.765039322809,-3965.304671621796,-3869.8764468910067,Burundi
BEL,4.841464056050955,15.471504393949935,29.22215697441764,72.4039054794365,32.70860689180837,31.89620051696633,37.98922031731618,60.3953557330103,261.966150225684,474.04716147367145,515.9171725062507,658.899471137233,828.5262592033839,943.5642067984165,1178.0708002295041,1267.9277621547647,1240.4837746320036,1614.5026586618178,2119.728286523627,2120.8688966284,2078.9273990862966,2535.859403668503,2185.873516615638,2712.0530805450508,2279.685265257856,2148.2629773022986,1800.104520752019,2369.647429937098,1521.0811078255208,1796.2488440565874,Belgium
