country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AFG,-0.0644912746740554,-0.12881969767161366,-0.1882882558686679,-0.24746573774098884,-0.3088824528392501,-0.371382648486448,-0.43608545524218445,-0.5015781017781128,-0.5686711443750272,-0.6377573759340031,-0.7094009334500676,-0.7830757103627872,-0.8577088375221292,-0.9378851966586379,-1.0228377944880978,-1.112727324181502,-1.2050439033085114,-1.2997987085880829,-1.3973071297325124,-1.4958548563567033,-1.5991842673090233,-1.7048477397981503,-1.8144464427302605,-1.92559431306497,-2.036467758537278,-2.147544199285628,-2.2549344372662623,-2.363112318282866,-2.4734803175645665,-2.5857222291486517
AGO,-0.04153373916030462,-0.08306644064491361,-0.12146773993695437,-0.1596870920313457,-0.19935898656098353,-0.23973739811527858,-0.2815458837602647,-0.3238720682633905,-0.3672402072490692,-0.4119048314924261,-0.4582314844443017,-0.5058808325309995,-0.5541595755438967,-0.6060348861595444,-0.6610126695728328,-0.7191990900950272,-0.7789712080234599,-0.8403374583663195,-0.9035034134449427,-0.9673595358486965,-1.0343323373643816,-1.1028373489513832,-1.1739144525231788,-1.2460178520714944,-1.3179649697484959,-1.3900656314796165,-1.459794351167082,-1.5300552077490643,-1.6017600039311186,-1.6747045452175342
ALB,-0.06293865867676943,-0.12592252616254151,-0.18415020560324327,-0.24209488357033077,-0.30223425735107795,-0.36343678521528683,-0.4267985380300045,-0.490936190231568,-0.5566436629366169,-0.6243058438438452,-0.6944755109241905,-0.7666376612485357,-0.839741640293151,-0.9182788140330794,-1.0014985750071022,-1.0895590445567527,-1.1800019714901564,-1.2728386894209849,-1.3683786247868557,-1.464942389395725,-1.5661975171240476,-1.6697461430546905,-1.7771579577455627,-1.8860950182970087,-1.9947701253391195,-2.103651225929165,-2.2089256619360174,-2.3149788655490164,-2.4231860427136067,-2.533237561140586
ARG,-0.03491029756942585,-0.06979282788277609,-0.10204658714426018,-0.134148705111347,-0.1674721220785654,-0.2013902989914089,-0.23651113541775234,-0.2720682980800965,-0.30850228264756335,-0.3460270473690129,-0.3849498640666821,-0.4249858003390578,-0.46555244580749844,-0.5091432495301954,-0.5553434483514235,-0.6042426832763057,-0.6544773945259902,-0.706054907316491,-0.7591482617855404,-0.8128250461068707,-0.8691252678012391,-0.9267173385175653,-0.9864758395091344,-1.0471014526924045,-1.1075999324372885,-1.1682318095053816,-1.2268731280529706,-1.2859660407971782,-1.3462775991968388,-1.4076362989959263
ARM,-0.06183123562110292,-0.12365631213350628,-0.180813600538646,-0.2376939434432606,-0.29672957031970687,-0.3568097810314489,-0.4190106226277023,-0.4819741856037646,-0.5464799149503452,-0.6129057478037542,-0.6817944773370959,-0.7526406221469674,-0.8244127688598015,-0.9015206396094873,-0.983227590426192,-1.0696891704659235,-1.1584920035160835,-1.2496473833465895,-1.3434593137336455,-1.4382789170651178,-1.5377076975826265,-1.639391310029149,-1.7448714187845336,-1.851852347933198,-1.9585790432527088,-2.065511061136357,-2.168903854808965,-2.2730643581206893,-2.3793433548624736,-2.4874368968489673
AUS,-0.040210974816424334,-0.08034444916725388,-0.11745209324444879,-0.15438399215581192,-0.19271958030871691,-0.23173796805309183,-0.2721383485456298,-0.31303908159440724,-0.3549467728073847,-0.3981073895435025,-0.44287417669574136,-0.4889192377068165,-0.535572622629617,-0.585701627501754,-0.6388288187650769,-0.6950568149486845,-0.7528173239889016,-0.8121185133079556,-0.8731590554142716,-0.9348667606378084,-0.9995865229512038,-1.0657872038463714,-1.1344737310884294,-1.2041523221494135,-1.2736801763207888,-1.3433567033057143,-1.4107413164295162,-1.4786404577431855,-1.5479352946669056,-1.618428514551933
AUT,-0.060625809245325415,-0.12122508471954803,-0.17725085580299663,-0.23300681974076598,-0.29087720972293046,-0.3497733918008346,-0.4107503536679315,-0.47247703997008794,-0.5357176954516303,-0.600843016460274,-0.6683853919328488,-0.7378494520017592,-0.80822405926502,-0.8838334211476451,-0.9639557928626543,-1.0487442913126417,-1.13583270493521,-1.2252324272620303,-1.3172419557031259,-1.4102443533961482,-1.5077725130195847,-1.6075176100095356,-1.710992390199221,-1.8159452438339603,-1.9206544886727663,-2.025570988513459,-2.127020506329451,-2.2292288042158086,-2.3335215781591274,-2.4396008784174104
AZE,-0.06695051800570247,-0.13372710128848608,-0.19545840852447022,-0.25688712590886215,-0.32063979775555995,-0.38551667353998265,-0.4526794002209419,-0.5206614566079707,-0.5903041770933277,-0.6620152338330116,-0.7363801350228123,-0.8128527251336805,-0.8903193478532375,-0.973538855062818,-1.0617149785270297,-1.1550143446398395,-1.2508317294458173,-1.349178640923985,-1.4503823224641468,-1.5526634187350714,-1.659905962326042,-1.769569485773036,-1.883315631696913,-1.9986679147422484,-2.1137337247457024,-2.229008526928639,-2.3404561932890324,-2.4527196576926604,-2.567254287992832,-2.6837318393804037
BDI,-0.03762723368815325,-0.07507430498125707,-0.1096991879809473,-0.14416113689272297,-0.17993400894266337,-0.21634519809160568,-0.25404727129968624,-0.2922175605737742,-0.33132892302537637,-0.3716110242467968,-0.4133936935654825,-0.45637104149635727,-0.49991785349825724,-0.5467107230799806,-0.5963043658372323,-0.6487949520175872,-0.7027187322754964,-0.7580835387826148,-0.81507508361733,-0.8726924692826084,-0.9331254270211404,-0.9949445713799623,-1.0590886280531775,-1.1241628810178397,-1.1891001153418457,-1.2541799743232054,-1.3171227104095755,-1.3805496299917137,-1.4452840163073848,-1.5111417539600935
BEL,-0.04806781508346862,-0.09617469309084581,-0.14065430492221595,-0.18492297966167043,-0.23087390003150265,-0.2776429458039207,-0.32606816945478784,-0.3750927812651119,-0.4253239876979602,-0.47705657453161415,-0.5307138989702282,-0.5859028981713074,-0.641820545257531,-0.701903442962866,-0.7655792397345765,-0.832970809542875,-0.9021983913113167,-0.9732717010156923,-1.0464287704035173,-1.1203845154142442,-1.1979491592346878,-1.2772875576626694,-1.3596039542035345,-1.4431080401093976,-1.5264302206394285,-1.6099292917348018,-1.6906805397262,-1.772047134020848,-1.8550849475892777,-1.939557442437422
