country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AGO,,,,,,,,,,,,,,,,,,,,,3966356.815158054,11046665.906180378,3357683.3143184497,9052524.597307181,8683219.021669008,,,,,
ALB,,,,-3350254.5211586975,-5338998.536939816,-1155098.295890474,882831.2861889355,-873715.5057737315,-2704230.2036390677,-1648860.0191735597,-4892461.739013927,-2858013.630414007,-2462067.0771410833,-5487741.814088726,1564160.461736917,-743658.4345474363,-3060230.0263232603,-7866497.764530945,-8838109.521921696,-4380125.647603945,-521438.9545637676,-10829186.803383006,-19584461.978407573,-10639156.012231318,-4113826.2438530736,-12255951.052776774,-4976229.5822008215,-14391219.390937312,-11350259.185764931,-11287321.300082847
ARG,,38007572.02984508,41693480.83140905,53220845.603444494,24719596.269355785,-30791766.642042514,-47678578.38860187,8211073.791612752,217415301.90669784,47124505.003620766,64336317.5761342,32401417.135381185,78694374.08619092,-8238891.301775414,-45379085.27960287,28165501.170820612,-60748324.506869964,56870501.790092215,-191701824.54143864,-123325662.53469364,-47804040.23256851,-207498909.1466632,-282743333.1446027,-22876879.731669944,42670447.42748704,,,,,
AUS,,-1235122.3048427626,81440.2416903442,-618271.6091609575,-417741.2838548357,-365698.0208797576,2123284.9781767153,-2197026.8989771013,-1215701.668324158,1835503.7878072436,744529.8258851523,-1746691.0007211629,-4142927.8628355684,-2332447.809428374,-3658037.9540982284,-4041949.261699068,-4139403.2898236923,-3025647.776636282,,-4059280.4856059323,,1622259.2833449459,3381502.2961313217,-4512150.0278298855,-9013009.47132662,-8536317.23045324,-10450808.688431954,-8504880.513303332,-10243782.537537053,-11113536.691014748
AUT,,185093.8663748006,-27048048.228355486,-15674320.679438172,-23334620.21938879,-6163771.53551786,16537985.746349685,-10113820.103798967,-9318888.709488217,-6051110.717797515,-15293782.183344718,-8420982.994509807,-10360298.83258766,-33717331.25986809,-3156736.6933338596,-3336092.926527173,-13847526.837678589,-39540726.26488737,-8169580.984115779,-10070602.380981853,2869802.846118326,-49146227.56456405,-81996445.19978543,-18870046.431222644,-18955694.66402241,-26258722.918908477,-20865995.77298625,-28669980.60011375,-56724233.59463369,-35474053.264227875
AZE,,,,,210741.63148466713,-143119.1011537393,-86199.40998530568,-22743.575645517525,-193736.76743869894,-706577.7718319431,-876733.6889599815,-510163.11434485985,4925.926528406749,96598.37560227561,-460110.9959660288,-1387201.4973823638,-3357993.7564180666,-1472305.2611998236,-2305423.4454331542,292536.97178038326,-3994082.48248409,-2752672.8310530693,-5087880.897780092,-3214069.867727105,-10223458.635187795,-8037385.1813623635,-3527954.2453866205,-5083294.862258263,-3797619.6651481166,-5400242.346509126
BDI,,-1252716.8843519182,-2728344.0345568173,-3278348.1115202555,-1104446.1307821358,-2599509.232265887,-3730086.8347520474,-5106057.827934251,-1283617.1723120576,-2539349.06182612,-2438112.9346312825,-85768.05678715037,-536967.4148612069,-1720601.4042825624,-1752345.1843707066,-3450001.275047227,-2028537.394995571,-215180.28960085666,,,,,-2382318.63024691,-2279660.1981287384,-1740934.955571314,,,-11355849.461935306,-1048983.8830711672,-1982799.9786561995
BEN,,6091769.028665749,-355172.0006947171,-922029.344910519,-553614.5446129655,1686962.4558825337,1432441.359551197,,,,,,,,,,,,,1467039.6576344343,-20023251.884820163,-8493204.186154615,,,,,-27030034.566868447,-28455953.20880507,-29124149.074530825,-8056013.6942505995
BFA,,,3505251.9178761286,-2223237.2461367645,1710853.5738530015,439586.4244226993,-1417448.5089628052,754806.4304988453,-3045571.463986887,1563161.091982955,755434.0650460628,-1552966.5440019122,-5433545.316706472,-569629.4681129372,-673606.6719580424,-5029581.003357004,-10886921.006446239,-4163735.327268039,,,,,,,,,,,,
BGD,,,,,,,,,,,,,,,,,-5393864.549261493,,,-15882057.086168582,227403.62257513043,7777095.060262255,-14413357.438804364,-2575281.821569628,-36853981.890857786,-41892996.82617446,-47394084.713039,-41814207.64976061,-21438810.374041494,-55073364.92285915
BGR,,,,,,,,,-2931773.450252503,-6077378.936453735,-7926706.4067762615,-10868727.231673883,-13233768.458425058,-13805834.260867765,2693187.8020446673,-3610301.760323173,7830808.875695637,-31354160.54293787,-25547779.10445022,-22891633.70044812,-19378703.62442644,-47560684.535981,-69751340.18532898,-77791476.26399216,-22670072.57204236,-23401906.064024195,-25613306.912579488,-52682543.175746135,-57421149.676297456,-94687555.81847982
BIH,,,,,,,,,-2478817.410313572,-3863181.657635845,-6269789.451836026,-4857817.211157496,-5445717.984248134,-14145252.935688639,-1543202.0818542098,-4112426.2108744327,-9589036.099385649,-20508515.283985753,-12731077.350155571,-18977627.564097013,8296835.497298309,-24918453.287467007,-24302315.107357353,-12776898.761086015,976574.3923732085,-13996020.132938635,-6606491.53212024,-16185467.059666306,-27640388.923909772,-18924460.439407796
BLZ,,,,,,-47639.56651922958,-1318.1700070073073,-230964.13190282776,-173109.9540924425,356739.3047685969,-105267.28618472756,-327617.84969976044,-529590.6579321029,-739370.4396641847,,,,,,,,,,,,,,,,
