country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AGO,,,,,,,,,,,,,,,,,,,,,1730195.8405299028,11629464.971838439,3303253.9019757,9638184.052728228,11152765.401066815,-3622688.2044629,-14395039.387707083,5609324.538494815,4045113.1688766093,2649933.3755136286
ALB,,,,-1331410.4640527074,-3613242.7169639785,3211929.3583523137,4905435.113148056,2073472.3440687382,-968436.6491387396,1521429.5772704596,-2897540.0328387828,79417.38592693926,-930110.5125878964,-3102318.85696002,3498865.5958092487,4017648.4143655095,1249321.703148504,-8941817.428048206,-5788532.022959983,1328240.6823750082,3080092.66694376,-526292.5229857507,-12117606.389866883,-513943.6145980497,4737800.8991359705,-4453254.402156159,492082.886531904,-10532515.662614016,181490.54757443132,-9189469.067745807
ARG,,570128532.964523,813967239.8222953,364011150.24554473,134492986.0729722,-241128798.54592618,-102038701.78660107,146771919.78650454,2626048772.0976315,623572897.131893,970659309.6113662,158963132.3821631,340478758.7387284,-93045396.50084344,-130880369.73402862,133696275.30173247,-209863505.28031626,209671468.21000668,-494656571.7880001,-494015991.2463795,-110612999.48958337,-161684936.47557253,-428534114.52056706,-244785907.03786534,-64420375.63469537,142396613.0117942,40760283.249693096,842444.7049765215,-93242628.63051444,9374912.32801005
ARM,,,,,,,,,,,,,,,,-1124.8484353166275,-41196.92852742937,147264.2486044271,-171488.95809991224,60863.34992924598,-50963.87502816148,-45220.48403739152,-221110.89452235244,-68704.80463401969,-227474.41348154645,-101819.58192843033,-76740.45039411994,-193898.18809515258,,-62033.87481895224
AUS,,-1252483.881402504,2738205.085845969,929807.0054316205,33109.35716223501,1163885.7178510262,4253550.496637753,-1650702.6015925054,-1631994.989085894,4240997.933000316,3580816.5426727156,-1638443.2739643713,-5012279.058637064,-2083835.3044464951,-4494973.066831426,-4159660.9199740877,-7525672.907274961,-2090509.5805243347,6681697.302369851,-4135999.8206320903,6330991.7043726705,9558866.625071054,5356151.945732601,-4993579.851375737,-10904351.149724038,-5866831.874545062,-9273100.09500411,-9766817.147939699,-9215899.451455792,-12360719.607510902
AUT,,-1412305.3814869004,-3153848.4386531096,2730123.4324088516,-2861402.3854400427,-257469.76984339568,8464237.302118452,10326859.635440663,-3014977.3804385704,13197488.465238202,326165.8569407353,-4344326.386808657,-1876935.3355610005,-8529866.543864973,6478425.099703371,3815003.314116313,3358658.533733869,-17430244.548272755,-1278578.464591499,15690812.989818586,-864680.1464076595,-13581468.089302773,-21801220.21407784,-6287650.313202939,-10188342.927162275,-21995453.86399686,-4414096.158280961,-22259328.450033665,-12981222.757589744,-22751368.82814635
AZE,,,,,4198251.646050926,21433.51781974492,-32587.15528201356,215110.93313500256,-462471.351009207,-1829752.9341595073,-3323726.0303850076,-874002.0414462916,655503.364355483,1985731.683192947,939903.1041963256,-823119.3356802469,-3927036.1570366356,919908.9831823215,-460884.3921902382,2638512.864993887,-2852601.6820963733,-1901571.1534364072,-1638304.7159096315,1247615.1750069074,-8409446.934333622,-7037612.317718698,-1963108.5762197743,-3590967.4542301926,-4118033.4560363013,-4839620.923924356
BDI,,13618185.262060726,163394.59491662896,-10874618.228240687,-19604.862992216465,-9618535.159206659,-7566473.38746996,-4717953.729228663,1765584.0612054165,-3307701.5478441906,-2787399.0978496913,2518449.13116484,1679727.9230430303,-2189807.4422396175,-1506275.906062553,-2746410.438412581,-2285394.0303712385,1302138.3815930325,1446073.1135608866,-1523494.6707153688,-3708636.7914580987,2677306.250145895,-250167.02347100532,-56827.5398306435,-247771.88208715784,595674.048073824,-16047.25625007259,-1413521.7931948553,2417529.520116722,2177707.9738794644
BEL,,,,,,,,,,,,1047209.4186256306,1694364.6024952983,-1285977.54292611,-1130670.7235813146,-1240124.2580809116,-815118.1024589998,3836950.1387637197,4597290.772065194,-863162.46177512,-2768303.185400183,2174079.8925329084,-104306.56125889363,-2338370.770279934,2153166.0619344213,-1571897.6679219757,642681.4152213789,-6824519.050616356,-3724062.1533410507,-5921194.429963964
BEN,,16876712.56835417,9947986.569296677,5349544.604317274,4991029.984302441,3433204.935461959,3971296.043980729,11306672.783462223,-7365384.997346584,518641.8788819479,-1774931.3778124414,-1604334.7913019175,-7871739.575512412,-416974.34737845155,10837488.09834135,635560.986221013,-16005815.919874957,-1031645.0105459688,2459534.0569763356,5323896.782849176,-17848230.18412706,-11221929.867367037,5881046.769663706,4275331.799470097,-22303314.7513202,-28469342.42824518,-26591029.13600539,-18872120.582193278,-20398287.527092744,-494009.01184836245
