country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AGO,,,,,,,,,,,,,,,,,,,,,0.002889268918983375,0.016046082320482876,0.004228392526906679,0.011815504299792199,0.013006398424247632,-0.0035115650184638645,-0.015902811260857415,0.0068695908801066,0.005043105374379701,0.003349657269532229
ALB,,,,-0.08543436230191045,-0.12315911144133113,0.026133597256975612,0.060256121182364626,0.020888210167212724,-0.03909688790481838,0.004955390734643294,-0.06559000048826957,-0.015737945647720224,-0.02992745926527137,-0.06056582832300383,0.02229788543346541,0.02645549751625415,-0.009443740970776366,-0.11781956803443949,-0.08247634929233529,-0.009426933222907784,0.0018350763900416608,-0.03207156976821965,-0.1336777517947552,-0.030445722015305696,0.015356687881354353,-0.059389968089141404,-0.016935484400903943,-0.1052342589302443,-0.021281344422322292,-0.09123375690375224
ARG,,0.14370871261643844,0.19392600384907252,0.04777514496752926,-0.01527775665084837,-0.12726881388688266,-0.07931811823859027,-0.03416727329973258,0.5430564507733637,0.09285726936009087,0.16467579674983168,-0.03207959359957359,0.0739376626704357,-0.05054951026333064,-0.05533777228704026,0.0010903640435278741,-0.06218189960482609,0.01560524757028972,-0.11528815975006561,-0.1098313908813474,-0.038673569998382645,-0.04513847742262047,-0.0873303851556455,-0.05845983356406451,-0.023751808852594113,0.012459519229199623,-0.0014680548985102743,-0.008828040997433851,-0.020577926443467877,-0.002124012552271201
ARM,,,,,,,,,,,,,,,,-0.00047781999064428843,-0.0007770740918082705,0.0009656293222070053,-0.002507651632553952,0.00018798296716328506,-0.0010126696834198673,-0.0011120824953891576,-0.002820195179190563,-0.001238175633142382,-0.0027015074844101285,-0.001406793958661345,-0.0011550817183018118,-0.001891477625753856,,-0.0005583190005528601
AUS,,-0.00022934961853148686,0.00039122404664142794,0.00011388428301337911,-2.3723252915823324e-05,0.00012975256734524778,0.0005298958733578923,-0.00026352681991229906,-0.0002309967569145953,0.00047062675487719713,0.00037491433315886194,-0.0002087092256879427,-0.0005740341814001744,-0.00024390056544673148,-0.00048687910651890027,-0.00044492822602287493,-0.0007429100806375658,-0.00021290948824927096,0.0005514368437039996,-0.0003876154104257896,0.0005019577241548232,0.0007475774566839391,0.0003764550890897733,-0.00043207500010507917,-0.0008545769571277709,-0.000467364596819198,-0.0006924839598011467,-0.0007145056042432407,-0.0006531805855441357,-0.0008437725816263062
AUT,,-0.001332917965075556,-0.0017813803381645857,0.00035860166709305837,-0.0017397858394037475,-0.0008618928101366779,0.0022243653980108234,0.002929454337862594,-0.001671888875647984,0.003771061481721279,-0.0004338869798320236,-0.001883775563317305,-0.0011688804162325447,-0.003220886839869231,0.001209535126040734,0.00037127460636900584,0.0003279174432147376,-0.00553057446937561,-0.0013256061039674102,0.0035616722137929925,-0.0009678828393386054,-0.004554200424702948,-0.006586323329128151,-0.00226250041565599,-0.0035238692348698226,-0.006220543096249219,-0.0017524801048330136,-0.006153706737707704,-0.0037594578882443382,-0.006083908711723706
AZE,,,,,0.03539165095947173,-0.0009144404486782258,-0.001416671478924115,0.0009053258647079768,-0.006583962701046287,-0.022911050146552134,-0.03269546157470716,-0.011760044683502665,-0.0005166717397187836,0.007278213712869735,0.0003914759357490089,-0.0076120861824574134,-0.015944621936800817,-0.0002624541483501827,-0.0036439782602535925,0.0034898566941146307,-0.007875346619009634,-0.006147770895816675,-0.005938165981390016,-0.0004192806079767902,-0.018388543811991925,-0.015144893963831908,-0.005237404856459347,-0.00828789779975319,-0.009225294311539262,-0.010543511801107026
BDI,,0.20416870146950775,-0.2864168473220412,-0.7141910583904012,-0.18676982609729292,-0.7054364642156555,-0.6018973540879138,-0.4335061820572283,-0.04179875713468788,-0.2668255653315589,-0.2142259459989177,0.058638026335160076,0.022217555623672766,-0.1524393482058384,-0.11421969677189826,-0.17099937753985286,-0.1415203816701282,0.01471164046423064,0.022308833726548172,-0.09116187740488194,-0.16739047653195566,0.061872116207359655,-0.03709675872072493,-0.03122591239021666,-0.030034478995256415,-0.009989828208695133,-0.04237491191380537,-0.082167570122544,0.030427229868340393,0.02685024457679501
BEL,,,,,,,,,,,,0.00031830492600639786,0.0004917603859462222,-0.0002835682405114575,-0.00022146712292270772,-0.00024266422898120118,-0.00013917823401887343,0.0009659985383588943,0.0011598086497685018,-0.00011676677088122154,-0.0005618295798822132,0.0005798367888585519,4.350402256652936e-05,-0.0004433321598069134,0.0005395245951729654,-0.0002944607382182874,0.00017543698283923793,-0.001396165674451875,-0.000741874444503217,-0.0011694611024702234
BEN,,0.31742735491453616,0.1364920640361153,0.030128146136595025,0.06278635933367196,0.01493233976370047,0.02791444838418205,0.15613541336528403,-0.17620270179561867,-0.04113479165709504,-0.06697609885352508,-0.05687627626509927,-0.1513303082740864,-0.04976861495487799,0.09451560779944453,-0.041556772903614106,-0.2495960606398403,-0.06606610831794878,-0.0297380659618849,-0.006658015531555949,-0.2448125727463524,-0.17827236684603495,0.004640622112312971,-0.01819173784234461,-0.2525099382056852,-0.2898893323526738,-0.26783992822649716,-0.1956648432503936,-0.1984126835439424,-0.047151095879990404
