country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,countryname
AFG,-30184.792933505523,12168.149359390129,31215.79590065416,21869.17171235574,-14955.775591947282,-15078.940282490496,6734.803957665789,-6163.185791127013,6115.571770112445,-20220.783576028316,-8074.999443288251,-11989.985744930747,-17104.267735506506,-5313.594779789154,-28562.516054572574,-7395.963018878861,-37333.38556453051,-19748.880859057226,-41957.867186485324,-27475.59221621027,-20929.474237944472,-40988.60330214356,-24146.127925505152,-32265.977524351052,-38486.040546412485,-28212.704890073637,-30987.38300284327,-14545.053673157965,-10296.661341452582,-16592.431836305346,Afghanistan
AGO,-9174.843359619936,-3683.9078642855516,-1525.986652286353,-2597.5953023889847,-1120.2723387827555,-856.9122671427971,3340.935731107829,-1382.269921798253,-16405.581124963082,-13193.152341206101,-11499.388889849417,-12861.860648672606,-12056.990127609646,-21824.475896390566,-24590.569020379913,-28433.694988708696,-5780.565268108638,-906.1074601124561,-8223.796372467172,-16436.606696719788,-25625.20656422697,-4887.326558567768,-4581.387693093039,-23302.93539939426,-19803.023132310664,-29723.581929313696,-74447.89454919758,-30521.30760721561,-56291.04290570349,-57300.74384859518,Angola
ALB,-15548.902672648985,-1457.5806160598265,-8321.750350258519,-12474.832114411462,-21409.516238834694,-2322.3908632302714,3147.2920756220187,-2456.262338211577,-14133.102555338353,-4899.267719958161,-24122.505585333172,-11603.894213499125,-14057.102688533603,-20362.789100565245,1843.8783634340748,-2500.9010315316987,-11729.7082714788,-28278.966167385006,-26427.66572116813,-14584.76772203407,1722.487161365242,-27105.06527729678,-58353.152913046535,-18269.452047148567,-10128.144717803547,-39705.89189266133,-17911.94056045556,-57288.86133108963,-24588.537719170075,-50390.76253017812,Albania
ARG,233705.25713841454,446935.86929280544,627214.175848664,334270.5571432321,82750.54986090284,-242093.38381820772,-99534.15361612377,105297.57235047805,2280338.791052045,614667.354042762,901394.438680742,168379.91945857537,967683.0730464422,-213503.42023160064,-396420.24343600066,306697.9021662714,-583673.6059875814,392419.7134298687,-1353183.3800686852,-1209147.1585223302,-243654.6664535924,-635842.7998202916,-1645782.9300594064,-902928.8681014501,-463566.9777728831,850256.2834976097,497212.8743541597,-257187.44752193065,-2264072.2705861507,345491.36121348187,Argentina
ARM,-3.0700445925000026,-93.79161201216866,38.09669460278678,82.02962109016951,137.41850754087574,16.832393177327276,120.56828982529541,396.5775415984007,-9.542132258238766,-295.00147642591384,-573.0418242175882,-873.178078864485,-129.71435213161357,17.49921040815897,-287.11928011856423,-293.51463295617015,-489.7305242176502,88.10766521564354,-855.9668307845621,-1.1991379218498068,-342.65122471530805,-547.5388421170012,-1290.3022843225947,-763.1425191373963,-1287.416234172123,-1086.9511890028773,-651.775462838167,-1095.9110799139917,-544.9510997632915,-432.7349496360561,Armenia
AUS,-12972.451524316108,-9655.04553131061,7882.356914733436,2336.310680016201,-3562.907579152599,1017.8274170144568,9781.486626931981,-17303.339796908134,-14074.933744330623,18010.60705900611,10443.119369011645,-17655.952358543935,-39869.30189191802,-16772.695104816168,-30718.79594393191,-26537.00387994271,-38221.437566961074,-13186.240112290194,18172.73329828131,-27992.5473011768,13883.662332854374,3640.932678931977,7091.107467890716,-27395.82802463889,-47840.294666155096,-37058.19886359338,-49443.24290556739,-50001.629443652964,-48748.55436233362,-56349.12103116824,Australia
AUT,-28529.24263695461,-27368.480917829533,-48640.32345354238,-14055.539504870125,-53315.171707372305,-22969.9675244524,43662.745265542726,29172.218507211855,-53013.930704085986,63281.46925757048,-50053.741937185,-66534.9898757629,-28642.856975977393,-104207.56898754358,212.0789697246232,-19002.847489245843,-4208.247918974446,-119628.18173547149,-52777.83250688814,36891.136582693194,-36832.17803992791,-123579.24962533836,-158996.0550070542,-84171.50274551865,-18976.242495588387,-136074.12020386444,-86353.14830401001,-180500.82844842802,-135764.69542593465,-169515.67549970403,Austria
AZE,-28.03909552532027,-323.6987860946725,1813.6942385200714,1392.9691905218765,1120.7051707445107,-333.8964684544022,-505.45390546910244,30.222890545859062,-2130.4489628707292,-7871.586572424398,-14003.345728693004,-6922.203266379872,-2261.2397926470308,1868.325482476496,-1095.2719597324435,-6737.835522582531,-17468.560331629036,-1939.5766250017646,-5526.729968465262,3757.0170457487043,-16919.272816667413,-10565.561529282815,-11701.73002136479,-4304.284437476141,-28277.89838240386,-31923.459679869637,-16972.432696682055,-29549.094584377588,-31513.93690379519,-39399.05626949114,Azerbaijan
BDI,-3234.9106186922813,-3536.199055062499,-6212.319149033174,-11081.045924828148,-4819.827781532961,-10679.13013712285,-9372.944938178121,-8811.976558030936,-3140.118716443687,-8345.874371357722,-7607.990397424092,552.655069253885,-2843.8801150484383,-7108.951430434124,-6268.039022871552,-9754.143027041999,-5896.285053789108,-1449.1740570259913,-2295.5770503575327,-7528.132703722769,-11617.385221202549,-2100.7469530904577,-5483.767604336292,-8227.688140529446,-4565.049019396269,-2893.2990900895647,-8505.495820130258,-13164.7359972276,-5390.167302563167,-6419.30993270629,Burundi
BEL,-3330.1547312226917,-2275.5365875296766,-1641.092557841684,906.1155392674403,-115.61523344642077,-1782.6495701572035,-3124.5133046570318,-1573.452121446298,-1463.1626199566056,14653.184990728916,5610.384700861368,9113.391797094524,10079.070371873118,-23371.4312012326,-12730.028680031892,-14241.701655225572,-17406.620543876248,17329.456465527936,6178.700067059881,-17886.78359280246,-23491.63378588661,2177.304330623867,-9668.953910151866,-25465.774633227036,2316.9263053891627,-17656.7989337456,-5443.859955243883,-11620.756068742316,-23965.409140921525,-33372.06824461422,Belgium
BEN,6144.748041834661,25527.74708558971,7951.90718278481,-3039.9772185714414,10599.930049838717,-7011.879880820708,-5241.825684261671,23974.64943661025,-47777.75130675493,-12519.775410400725,-27342.915827567816,-21885.404886006472,-59006.662192554,-23191.74798883546,13873.899740311901,-21350.754055135585,-76208.45987151268,-28187.544900346053,-21683.4111565214,-15214.598248073607,-85976.44071958466,-72959.24466111463,-14293.341634648761,-13330.613454902625,-116822.46665358637,-153692.3442271025,-144069.07360555738,-114256.89999916677,-116321.00754015805,-61083.75906597631,Benin
BFA,-5013.128621758977,21358.196295311398,16363.249758891012,-13569.511786279927,18495.34283983114,7652.234270196865,146.8140232586152,-2878.935240112349,-18784.58321846488,9957.314114964973,1737.8899678506841,-11806.626652156268,-80694.81184930273,13276.151321443336,-584.7859971769515,-42835.209475038915,-52521.57952356315,-21859.63417850633,-12619.143336540488,-63317.38750349837,-24140.19207352934,-84617.94022595216,19083.975843745095,-64038.87707281336,-68186.76735845758,-178204.3756671761,-26032.19575768758,-53034.60385607545,-98550.89959638426,-41522.788406785396,Burkina Faso
BGD,85.30062751202227,71.54762044114112,22.117484794127805,-44.997257609456575,-282.47227328311175,-26.213890740088395,44.65408913440122,-219.9646485778818,54.7498882659127,277.3086171850878,614.9508073274968,-550.7634725291364,8255.90173832617,-4026.4825050193413,-1312.260572133333,-21718.116570203496,-61494.03254452757,-39419.47676921583,17004.036817956472,-78723.30734238298,-39201.32590914852,2205.8892681622365,-35764.08098296012,-22111.38780778537,-194595.92243955913,-225884.50134728267,-218594.1054943378,-255180.12491853719,-17603.757876082676,-521577.26315556595,Bangladesh
