country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,countryname
AFG,-32261.689583292384,7583.373336396722,28806.169910801695,26526.663875993505,-6834.843409731653,-11814.841617406812,16362.049729519698,-4387.41251049921,3766.983279772837,-14835.313670826918,-1126.9330475631107,-4356.116661022235,-12194.347377094624,-860.7577139966913,-13956.607700436516,-13249.612131810904,-35061.37272105092,-13077.55686288699,-31590.603976363644,-16442.861616710547,-15542.45694755575,-33253.28004881777,-17058.309977112283,-29181.575149798926,-32521.525456990348,-22454.932215567478,-25774.733622044838,-10993.248566304486,-8374.433766953001,-11708.152435637838,Afghanistan
AGO,-5377.359363000633,2312.5617638729573,4983.021819066834,675.8162783027306,3629.5530179718776,2568.5066785464846,9407.63500914009,1403.1890248712707,-6662.314586755167,-2946.700003568468,-7765.330590448165,-11196.784758493928,-14981.989439102112,-7935.426012227277,-7521.079972785469,1337.2171748042506,-3909.1450500168517,15556.863625176922,16613.81513367821,14197.951048571444,7288.31713627751,35706.240999623784,10394.140476919221,28784.31013869504,34306.34465884825,-4406.418892563124,-55455.30819042482,35686.61429398708,36995.66859870147,36380.11058534485,Angola
ALB,-3046.280945536078,2905.6168043562134,-970.1905944590336,-6581.587032463439,-18162.648311502013,7914.608241626826,6364.891859198234,-354.55266692730055,-5386.641573371661,-7176.980777587448,-19432.352206402385,-5358.104024573919,678.2120664973222,-18833.05880307942,6883.76890602471,4959.971676883718,-4710.814608253279,-20670.899310164208,-23067.4544047481,-4352.829360221174,1132.354128482238,-11147.513246421542,-48561.33245549541,-14631.142831493322,5804.307604960393,-29440.70598518379,-8647.253165051883,-46943.568648835615,-14742.856856266219,-41019.70687237165,Albania
ARG,227374.06429563373,263102.0275805054,441244.2292726118,60952.96833588814,-177761.68617271417,-345527.48344238015,-85027.36408539633,70278.91097761515,1932355.871173993,359971.6532688884,683605.9620217814,-218451.8373172745,511433.07917253644,-543778.703376699,-509989.3939230094,-9088.130914059224,-561855.8003752509,224411.16421131208,-1612778.4344996274,-1302701.1864148094,-637388.2527313903,-1158242.0830026635,-2015064.4752729374,-1394084.9299524287,-860655.0518209558,623736.6640319424,-7827.016130634475,-705162.8438198868,-2905046.61243474,-509817.2895405774,Argentina
ARM,-134.03517297001557,-84.53872094257629,202.47006103376734,97.22722748104829,117.63804302046856,85.41013053280066,25.488044900847544,297.9332189101486,-135.84659165595792,-194.09332352147928,-576.5526257119087,-774.8130921820997,229.789361009373,-336.0071666565372,153.7443520890965,109.77594253706779,-703.5899447296589,123.4425791811863,-919.9151717903794,14.203238052523862,-413.661402067007,-496.99318063358544,-987.7007055644575,-518.8271268949578,-1553.0089027490592,-838.8149359487735,-901.5942029902669,-1041.2260718780783,-612.0381764401242,-367.1790355657683,Armenia
AUS,-13576.835603353811,-8557.78310223904,14919.71789667327,3516.1450974931504,1666.2637324531293,12180.295251448819,16727.593857444303,-11591.164987492584,-9827.551601661837,19915.314168569075,19346.13620988945,-11967.068123016508,-30526.545947252227,-4188.90826778047,-22579.637273391556,-16171.036853857831,-35802.41511238487,-7754.706075494552,28771.207894743868,-20162.42380805446,19668.155314834974,11417.189525938826,20413.44931791773,-20523.290137126747,-40243.49858151213,-31380.24716719935,-46489.55651334593,-43186.386489902885,-45273.07981627658,-49558.08595777066,Australia
AUT,9436.946827812506,4385.41813705271,-46059.41777170513,9282.279444848127,-63015.4106167942,4080.6034202021347,55072.84143419255,50581.29850078471,-12464.05849078765,39272.97883967036,-34380.072247370874,-39076.349729732014,-54687.661355663295,-136818.294115582,18063.371996142407,18093.220584533465,-36725.32426378925,-94805.7419482562,-34633.8173562361,47674.362502749056,-26225.845162484613,-83762.18142724385,-146202.6827236198,-57358.434261926144,-12867.282657891243,-131242.6732833592,-55984.33348734909,-153575.15332682652,-114591.54527687625,-158953.2021185714,Austria
AZE,-239.9999021831441,-756.0483278851088,2724.3758350527687,1251.4862564803857,1307.9837245690014,-167.9914909175535,-556.5385581770714,609.1053653657922,-2173.357432898332,-5150.7412612678345,-12689.664950530401,-6019.231088406821,909.2544997741815,1839.0302340589385,354.8015599113233,-7735.265055240698,-19576.46283598226,-799.1794033966407,-5155.286072532357,4404.668966872515,-17393.49305428138,-8449.465150800585,-10330.323812922008,-1706.8943332183176,-26115.409555605926,-32963.97573815839,-19739.86258548791,-31421.158617411802,-30984.491052759535,-36740.29118198237,Azerbaijan
BDI,-1610.035245814269,831.6162984065909,-2865.1436964025797,-4720.159496918037,-1123.75734216725,-6714.9512177417555,-6665.624567004616,-3021.304248137193,-7065.675647780963,-1525.3619236178538,-980.2520720487752,1841.9496196405003,-3855.6150237926986,-4631.789604971536,-1786.251833982512,-5994.3966700668425,-2832.816262648004,1467.499699849128,1750.5170249679122,-5270.889755940981,-8365.623074359975,-179.99878626681263,-3687.309754797372,-3904.4329411474887,-737.8668662708941,-1390.995403141058,-6447.565269887867,-10169.821072637315,4162.991001404,3255.8444976475316,Burundi
BEL,-1689.8927643519492,-1615.4859404353795,837.1323303593349,2365.353883975938,-1382.5134891124226,-2726.659503938721,-485.0697578390498,-586.2838486902472,3685.2488267220683,-1209.9623166902375,11122.790247708697,983.1703409540435,9329.124886286701,-32512.69632419004,2313.269845070373,-7119.178947373439,-1753.4902638650185,18987.59849991773,21886.0165600181,-16785.837154859564,-22363.506491860586,273.6682542868519,-6419.692984586461,-17689.236984973297,9296.710132720673,-18214.637107286755,1438.8510811565602,-9140.283065439471,-22568.694036419398,-24619.85619372937,Belgium
