country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,countryname
AFG,-26975.731483926284,4302.176356573014,25683.61977589522,23272.08382937143,-7942.132197601156,-7111.472323032363,13901.770090356513,-3222.9573254752745,4711.515673509568,-12601.751271146493,-1268.3053698886972,-5866.9151173746295,-9467.443506666496,-730.3857956819229,-9382.842684395833,-10574.172215965244,-31959.01054028595,-7560.675055927147,-41587.74515657617,-10537.886262751494,-14238.15830187955,-32864.059861356225,-8938.434205738638,-19488.07387998476,-24257.149068687057,-15185.470952354784,-16278.915464638738,-10846.361528426258,-8713.522234838221,-6460.294669214815,Afghanistan
AGO,-7770.168138167726,4334.0955042569,4359.584673300451,-317.30362626976154,3613.898042517839,1220.7316247869558,8915.149219344015,2563.422079453975,-4551.686683844439,1342.9657489487167,-3687.6697888863023,-11449.413913224542,-9050.770051019535,-5732.749043597485,-6453.4630484734835,-3227.7629804827134,740.5729019427117,10390.144499895943,12086.229032562607,9791.700506173787,1125.753462105914,30426.96598926089,7909.884612976928,23071.51140378824,28558.511637093405,-15459.63731009463,-70971.54482521354,20383.11448429447,18425.71610763788,15587.564623319358,Angola
ALB,-167.25348116154066,718.4283226479196,-24.3413773464431,-2859.012501136593,-10845.87430508394,4469.217684587717,4667.773343071147,1706.097043286852,-4316.627180025076,-2239.017235651683,-13486.567547370902,-2268.9023395842414,580.6501239983339,-16395.68372907305,2717.3998137336907,3408.727877610883,-3951.504911686516,-23536.955895897747,-15822.698578224823,-2256.9704308898995,-1512.2716732441907,-7312.353261351356,-36681.53305653301,-12541.356690766863,5078.040593526985,-19535.481545609317,-6574.506810627841,-36567.84176580169,-6771.1596782663755,-31320.256871700367,Albania
ARG,208899.70594831166,295648.7264175577,467846.3164822023,12246.706352044586,-156074.82655508528,-323278.35991955304,-10242.424492485567,92320.58749267395,2101340.0648347815,331381.5835227091,650358.041680654,-350976.29806413874,521358.96062647813,-756477.5915733139,-435552.46335840406,-93044.31184031826,-600563.6016258466,150452.84603642728,-1803862.9578873345,-1835724.7907173098,-801540.5275351882,-952230.6959418805,-2168676.7598992432,-1923795.881292242,-1155632.4200431618,528129.8983575124,-345849.9756764242,-1084103.334693295,-3077722.2597623784,-718142.1023192997,Argentina
ARM,-50.474246642944806,-51.348199918824555,103.04529644920653,87.23799706752044,126.59414447332931,118.72988347736033,15.50818134151221,269.4754316500415,-52.0280419327361,-38.22088478417124,-571.3993879258184,-539.047443228985,95.76668996074758,-70.41496049413414,65.03177147642232,44.71242103212581,-424.72895797127507,351.1215473903542,-515.8781577561109,85.77082816083247,-310.8489517108826,-244.80889117994187,-801.6268808403437,-315.16904594209404,-781.2675829300197,-455.1765753737699,-382.83173227116276,-828.6996623592148,-337.4867385744981,-235.7119461656795,Armenia
AUS,-15004.208565392333,-7066.858644398504,14814.892084564983,3857.024984558461,645.1888108752354,10606.665366903095,14053.27726915616,-10306.00453576601,-10238.814679034664,20359.465337669197,21149.72600603154,-10740.086169089354,-33107.575506198664,-3346.4142446648925,-24971.94089831375,-18958.386976361577,-37535.24231335181,-7484.456265999642,28064.581278230584,-19435.540645669083,25538.940451202667,32548.911982918406,13853.29103724188,-19861.653518008854,-42742.615857456854,-29849.100409997893,-46610.52931892027,-46834.74599028712,-45371.56749312656,-63866.96026440992,Australia
AUT,20948.33009361196,-19114.42160845111,-29864.103173377025,13742.828703200687,-53628.51736259451,-12490.840891565855,29336.13677808673,48465.05219534501,-8898.66537922979,69436.09644988703,-7801.300443070713,-31811.386208739004,6963.221799753765,-111032.28835265334,11756.470964881964,9640.287020072928,-18732.060205179976,-100470.37651350052,-35262.175883866636,73244.12708849965,-34098.89818798592,-75821.25904993033,-126038.91246812473,-61083.31523043192,-70989.0971654315,-166113.3513341297,-40379.63279394007,-157903.55929124076,-77800.08053667705,-168469.55843974766,Austria
AZE,24.57025418690166,-383.74912533657493,1678.7079038989511,856.6484585122078,1001.7321844458605,8.631831407448885,-290.7441317846195,425.52730567737206,-1323.5788579610619,-2853.50056954293,-11885.726717747348,-3875.048696435217,-360.76585113514795,2333.6308636404315,949.6435995304776,-4617.564111904605,-14226.34860426613,-219.8966141155161,-3328.0649186092833,3844.4321314227254,-10783.276754154365,-6800.599013246961,-6358.526274648857,-299.0132105666134,-22446.138253493187,-23997.133813032346,-12106.740857804902,-21077.78058441689,-24138.97938835262,-28232.396385064625,Azerbaijan
BDI,-227.42110431497295,1516.7273028456696,-1407.3913034072996,-12073.683196080889,1358.9270905995477,-5573.401666516866,-5651.198218062017,-3959.365009750867,-8209.832242499175,-1973.5408412208178,-1626.2018677495423,1476.248237233485,-3944.959688824758,-3869.473221371292,87.49669388272552,-5390.333268885895,-6218.39349396589,-262.6969873096698,526.6527952669336,-5086.744301651112,-10585.188671773161,4671.390709525486,-3083.6999168267903,-3697.6818349402597,-2005.5441791188623,-59.21907868466912,-4079.986140400974,-8130.303245817666,1770.421679752388,2052.33808045775,Burundi
BEL,-565.3861561274972,-1850.6333418304434,1284.646932519075,2334.3060419856724,-1076.614104035679,-1738.357491740001,-1102.3953306084827,270.60284394176233,2175.599952395372,10911.416062844712,12854.256941092359,6255.758153066404,12737.624261602285,-17084.900365043595,7770.497789605102,4932.003870275085,8161.604915942223,35138.20390802147,35990.294510343665,5138.280391110657,-15469.758894410794,27295.328844798423,3538.8892205804714,-16508.823316713653,23162.38319230849,-10727.758442816797,6764.829041366867,-50931.30755659318,-25790.60351883491,-46952.80318240914,Belgium
