country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AGO,,,,,,,,,,,,,,,,,,,,,-391607.6118859014,-444083.4018012884,-296512.0048181844,-599830.8265640185,-687280.487972513,,,,,
ALB,,,,-8489.02541364436,-10186.399708135272,-12162.733241080077,-19494.629894394893,-19461.426084958803,-22458.480549437125,-25987.386967218197,-24949.287635014385,-23123.95433441281,-27360.787192875032,-37483.001141985966,-50174.25554674726,-50762.683050586405,-57359.13106690632,-79595.2614855434,-107501.58536950235,-89880.25847600367,-133093.69340695802,-192570.25060372084,-188020.44850369432,-238278.71932660104,-219343.5485808014,-192404.53000842893,-200455.6113858708,-203630.37652756224,-236454.61344116135,-227649.414847992
ARG,,-46656.4722471716,-61875.4384037914,-145441.66033853867,-169112.7176399583,-239767.55691034,-343376.9546360841,-418334.3220805269,-523244.0372023186,-373708.6885364479,-471507.24820865516,-482705.02849125094,-467535.86247023725,-525493.9464722187,-573292.9281493452,-731248.2843023817,-729920.870177194,-1504894.3207635803,-1928199.694096495,-990295.8262112613,-2171731.3746379986,-3172566.323350054,-3463706.114880378,-4941750.503328612,-4282706.699446564,,,,,
AUS,,-1713.897826134929,-3459.974146408587,-3762.990905556745,-5045.830488623033,-9021.785326626414,-13704.321737095315,-16462.185204588324,-10898.045718294268,-13767.612841049911,-14018.69749489198,-14266.363313494436,-22566.018323729502,-23427.494907785825,-34933.01106542349,-35856.582656327264,-33048.0575676438,-33150.67574899223,,-63074.813332428,,-82579.36574585854,-107925.05854649322,-113874.40525830042,-108282.92685835251,-134204.26873853942,-111891.27822649927,-130121.29684175896,-124451.39767450509,-132793.77660057298
AUT,,-40439.311601736204,-45455.00736064434,-78894.83997976835,-58525.368909693054,-86647.13270159732,-104713.74690606068,-89488.12296219225,-93418.64138834053,-103285.35463453675,-112410.01392796129,-107294.23658733213,-130502.88148766688,-193908.50719335052,-177968.52129553395,-199185.00947035215,-259597.94442533405,-586696.8920245094,-353275.36940748565,-331236.73588218295,-579352.2527248474,-677346.944545383,-946172.0036152516,-494252.2830280433,-548774.8163610052,-446769.64621216775,-539956.3507121782,-614470.7450087862,-691527.9506313115,-678710.8944683317
AZE,,,,,-714.9307014375032,-709.2857689282362,-604.923116660272,-843.6738186450633,-1125.4806025173452,-4752.999285746194,-6423.100366251522,-7066.708064068528,-8367.766713621799,-14064.142849557902,-16756.178375414496,-21495.583588142537,-33045.3789494008,-60965.285273780944,-47993.45348588712,-53774.20905897221,-58414.49139597905,-72830.01408340647,-92016.10948699641,-118852.3552801147,-133106.51207788408,-113571.11504899623,-69053.76363552945,-83798.38854036886,-84296.92772614746,-93689.564220417
BDI,,-3508.2538133393814,-4534.236769986991,-5908.2911711576435,-4132.523481245116,-6460.932418938309,-9045.390761584646,-16762.35325369589,-14402.724524398576,-10567.25697982356,-11168.830826127169,-11168.593546326474,-10522.40440173133,-10460.621424669926,-15018.09208224213,-21810.55428406463,-20168.965408231714,-22914.50633150471,,,,,-47361.75200778538,-55115.38031858027,-38479.76273746073,,,-166015.71395771936,-120848.54299087379,-149809.75894394887
BEN,,-7410.376975928244,-12775.791366937492,-13924.22710163912,-8675.988511306678,-23336.65646277682,-37917.820002205415,,,,,,,,,,,,,-364694.9752229351,-215946.0280618689,-332036.2921138869,,,,,-446544.81654314237,-512355.1649391373,-492079.85443901824,-527700.1558352966
BFA,,,-8473.994731959576,-6793.394714554472,-7840.812638964828,-6308.820374114723,-12841.724770512861,-15133.788124700142,-19310.632227041464,-23027.792081905052,-14287.950078772688,-27335.81874711482,-41316.79652481951,-46979.51369779321,-41256.14713372493,-83583.43819061108,-100921.95156615217,-95121.09576895619,,,,,,,,,,,,
BGD,,,,,,,,,,,,,,,,,-40704.79749347464,,,-94481.06774737661,-148220.18654191677,-149437.86861170133,-222445.51885596884,-346435.3965414632,-424427.91704490804,-474878.90214405156,-554845.023787795,-701081.157765867,-762066.3151129632,-884231.0826262792
