country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AGO,,,,,,,,,,,,,,,,,,,,,397695.4311700197,470790.6844449286,174800.16184938964,629271.8408851944,696150.8132597575,659382.9197055892,625385.4469541017,680571.9305261599,530674.6434956928,395673.565015661
ALB,,,,5381.395775491832,7548.5448766328955,12914.42161169883,14309.946743061228,9730.703353506211,13427.911835920586,17953.0566525619,17914.98724284139,18951.737081683747,22108.414002821286,30983.77760302062,41055.02322909652,47553.657640241436,58435.84485496033,59142.512038105946,75713.29175149229,75361.60945628321,100918.16668736603,108090.25486445468,103811.14991501386,117344.57376120226,124124.36024573143,107928.13234506718,118962.54563511391,129020.06511641745,149227.07491566206,154010.85141724124
ARG,,811380.738058205,1167957.5609809607,1156680.5108224542,1713968.4535516417,2707177.9131167643,3093943.2419634378,4894774.963668474,8487440.669148419,6622039.325447633,8621837.135712193,8630870.253029123,3065223.2233908223,3816835.8822510843,4026996.152132347,6128766.536003383,4435870.223913743,6986215.794765682,7295835.072458195,3844667.448041721,6779525.98827919,6952031.453457367,5884569.968121679,7910669.523783218,5704886.578967055,5301485.670848276,4231312.859233069,4864266.507747946,2581874.289881539,2078241.816565644
ARM,,,,,,,,,,,,,,,,2974.2560637837264,2101.4115708016075,6079.628065139491,8028.172898945995,5097.827409679642,4442.010020277446,6933.058616682403,6765.675098728532,7727.137809252203,7635.460397112983,7470.813089724928,7741.946749710815,3974.3414023077307,,1978.3126729617393
AUS,,2914.1126129302165,3467.730487611382,1815.9865804759513,3632.93078154498,6857.878398989073,12228.152215360555,14534.493114574198,12834.597990149257,18346.130098975573,20213.736870444816,16716.52141616669,26785.51014702023,25813.70222692289,39687.58553915897,48732.86397873443,44806.78094450365,34845.09140341614,58533.93624490065,54534.96116087346,60125.89935316697,74652.50993540297,98504.22947079733,110500.80176763867,81423.95733552914,88685.86586566528,77855.62361318577,90241.87201812155,79031.98514187054,65684.39425593785
AUT,,31628.01175033204,31466.701616619575,48414.502201973904,64597.911222216964,101022.98647205431,138187.10598193968,142244.74522401183,158714.94630226571,176297.18337380938,178713.0105630274,181981.0021556687,235609.98559434383,276842.2802076147,372918.3657086668,423770.2637172443,398150.08362633566,528962.8455678758,735448.1591857738,652308.9903950422,600545.9562653016,827996.5413358887,775560.8670263713,594884.8200900843,887013.2682583804,545143.4153958377,774559.8215042253,788002.1093703712,875951.9669234392,943173.7417815435
AZE,,,,,-122.60964211541435,128.09400837163753,187.11813884581426,189.80135537297485,1006.0171711758627,3676.4068431679934,3154.3691652036678,3740.1504758739534,5092.147613408507,7543.034355205887,8451.153981972426,10117.953483230842,11272.197867060584,13242.092423422697,13929.228232647258,13425.208013199783,13110.62257047942,14124.21421915398,17108.260379714986,21259.14188930058,20213.80435236728,16124.729603936947,12707.402622264766,12330.568469678177,12470.188604682899,15304.420126813427
BDI,,42067.5721369402,44594.702193217454,40053.83516949095,43341.32671004113,78529.45007882433,76333.80559102944,72020.73542971938,70190.10970835041,61261.231533088605,46487.16994806342,46757.1674368114,48176.75250450907,45089.04535916157,48620.65895210718,55584.55309075553,58703.01471273809,58713.63330106071,57471.14048739719,59410.53726056758,66889.04818443806,68813.62768117346,69278.56615432104,79265.44943016258,65292.614643994355,84278.37781897564,131082.95454394937,122395.49645042873,155429.212960844,147583.3954000052
BEL,,,,,,,,,,,,43328.650845323085,58364.201654971,81856.91309161995,111260.25911310139,120794.75186165603,119213.29999428114,168370.262577737,234412.97787978637,220869.86482068727,208082.63733278294,263893.01301222993,210491.89738883966,272983.6221996927,229042.67515941663,180997.66312612515,155232.20903375256,210143.71580545497,140940.79565671113,160257.86150903863
BEN,,11260.132186499752,9322.331506828561,3951.6747300170946,5331.45383356984,12671.577242338231,15338.627405741003,15982.74513617137,26658.387536405964,33499.391554022826,27213.292163072198,26259.97725638281,38250.51605654502,55558.50717545102,68939.13988575284,79928.77266375543,87321.02394129698,107585.41095120816,123872.43756656314,147046.06477712435,126658.95942678016,151472.8060853094,146495.6073229372,180452.80488071335,186632.26298582368,150672.15679208547,180270.59360699105,197886.24332386223,212928.4027728789,224271.7401298748
