country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AGO,,,,,,,,,,,,,,,,,,,,,-360682.26082771394,-442687.1079630519,-166903.7801507836,-597059.7865060078,-676436.1789967081,-651483.4326249899,-600505.1566488567,-663671.7384652838,-530905.9948506478,-393621.85368028306
ALB,,,,-11360.088083669345,-12033.135569312306,-16848.902514268215,-17743.5580261134,-13207.262008067328,-14456.477350349585,-19384.08659549742,-20572.38084595209,-21799.724586593344,-24206.662580138433,-31681.176390522858,-42450.73433586012,-47874.3743870247,-58504.46734949691,-59915.77653882221,-78526.57719564484,-80299.39748944338,-107093.96895500088,-119263.81164588736,-116515.9888318556,-130956.71952974715,-142148.99163955898,-125881.7033965031,-134762.65248273354,-148648.68067070658,-176719.0321500753,-181425.08657656392
ARG,,-689096.2281405173,-1365370.281180816,-1828039.3771280237,-2153160.3584381123,-2849224.023123155,-3093157.5053029647,-5265609.407233283,-7409974.110033084,-5773768.544990962,-7920239.189775271,-7920928.136263276,-2685128.591475182,-3136173.295703759,-3336545.796710416,-4947564.552633914,-3557341.8718339363,-5655432.894432474,-6026370.541468912,-3250942.312469452,-5704854.969510363,-6055117.808161788,-5200520.507134754,-6948621.34285469,-5125853.460365672,-4839342.464465616,-3758593.313910842,-4384637.456244737,-2384514.932365069,-1908993.098973902
ARM,,,,,,,,,,,,,,,,-1395.509089248693,-981.1025686580136,-2860.0785160526057,-3837.7151177916876,-2482.4335994889734,-2155.6399076179846,-3456.677130382741,-3412.519038531275,-3880.683123181506,-3903.5110676702784,-3867.424495398962,-3926.4720056991696,-2039.3516369799765,,-1030.7748499542638
AUS,,-4609.034025480855,-8666.898923591274,-7733.262958841863,-10494.965220489012,-15103.457682285405,-25034.9891103947,-33363.130753580976,-21678.704413689175,-30961.178904591874,-36797.123582456086,-30413.045806453123,-45597.47171273806,-40165.866810924665,-62496.51157337849,-74028.50009801981,-67458.40288720692,-53159.36709590877,-91869.02547133245,-88485.9137202659,-96908.37212138028,-126413.15192061642,-170378.5580401946,-189483.2424382616,-144319.73022505295,-160908.26990852153,-135749.68949084918,-160771.58256416634,-145952.235662204,-120344.49745432363
AUT,,-2294.3345914690835,-2037.0610274166477,-3017.15942171033,-3231.388516845772,-4253.601529161704,-5308.081208429428,-5391.46374520142,-5193.11062470355,-5586.831379282848,-5679.602670898926,-5662.881588475119,-7030.073449502818,-7858.817006248579,-10497.118012726702,-11626.86476810984,-10776.632674675351,-14267.739475762304,-19906.986908588995,-17765.88476856457,-16221.985771639478,-22674.870503010236,-21320.88060259046,-16253.22074358924,-24469.6345364581,-15139.41874942721,-21186.44609535089,-21710.6752423062,-24440.627517608802,-26255.33205412059
AZE,,,,,-10381.986711791733,-1734.8568584878496,-1867.336185033127,-3170.819908448082,-5663.181151779544,-20732.435559612994,-21811.902932067576,-25879.34946200634,-29586.25553822495,-35515.25070739996,-40954.71658962431,-45373.41703877975,-49674.08516679254,-60136.81636384351,-67440.34547462269,-70237.17998013237,-67620.76148196543,-82106.72730609842,-105039.42618223194,-127817.92524654882,-132565.25911777097,-112793.97940916255,-79968.24118462382,-82211.74090928238,-91936.30941604034,-110408.799894827
BDI,,-23259.726369336586,-33016.73407403,-37950.38378383266,-32942.7298787622,-50725.148832699604,-46944.525766275394,-46999.639944165705,-38232.35723093852,-33295.6474244758,-26394.843589906468,-26504.474496146497,-26235.174263366913,-23239.354021761395,-25230.99657255381,-28204.671178589593,-29613.822453782355,-29852.16268701031,-29720.071062792405,-31331.575752535602,-35126.37262634756,-37191.85320330657,-37895.22969486334,-43132.813872395745,-36200.41504136577,-47337.58306514606,-71977.10634002903,-68023.18442593556,-88125.02987128885,-83298.96342141791
BEL,,,,,,,,,,,,1986.7100638204956,2673.3510766646496,3698.809374170732,5131.54052705026,5574.928036238789,5551.656186743552,7966.211600682588,11316.825808744206,10885.425331935856,10310.953239729519,13398.722368773135,10831.99004442969,14081.08216261712,12003.781300733564,9598.321073621019,8152.683963733816,11151.597009315443,7587.9578780022175,8626.008122769575
BEN,,-26829.81165108641,-43165.13811860198,-54968.27749986196,-34889.59851353611,-54180.79656315438,-59554.44357614755,-75400.18983769044,-79336.41216922169,-100092.16488701229,-91233.24419009632,-88310.2422365165,-116974.8334959827,-149771.8359965567,-189392.60671448623,-209112.97328908698,-225965.23099476422,-284018.6137241458,-340883.7930043413,-425016.19116734073,-363015.3046038915,-467255.11370941234,-466965.2889729021,-568389.0418252948,-618553.4469744399,-518064.56938320055,-583744.3995874971,-662635.1891911818,-754297.8094615963,-785221.6234640781
