country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AGO,,,,,,,,,,,,,,,,,,,,,-3286640.5230249627,-3695291.0587457344,-2443619.3205723884,-4902916.164452232,-5565197.529127575,,,,,
ALB,,,,-73007.21901736714,-87196.6729473923,-103205.48119123068,-164021.98295471852,-162637.14672058387,-187152.35945972928,-216170.80995035157,-208492.80194932202,-194102.35562804976,-230852.8887487731,-317966.50886344095,-427941.22610429616,-434911.89498685754,-492697.85123213136,-683939.6148788424,-921734.0066198352,-764528.6697429357,-1123634.9916035277,-1611078.540258243,-1557161.7135417573,-1956418.9369355466,-1783397.9918874067,-1550067.9399239845,-1599231.8517356645,-1608470.8680058718,-1854690.2092097166,-1770456.3760312896
ARG,,-341216.5137525041,-466533.6670910899,-1114640.2140825333,-1320208.8540399768,-1885610.0634734144,-2709466.9541954775,-3307522.0648249383,-4152687.291196469,-2976359.952148722,-3788470.2743565976,-3909287.069584269,-3817235.085098191,-4324915.310581548,-4755008.156773005,-6105135.662918214,-6121429.08856037,-12647122.629250009,-16195570.353613816,-8264108.587773544,-18012662.685516436,-26109880.38401962,-28252246.612386744,-40004056.92046482,-34365189.706754826,,,,,
AUS,,-13449.660524975263,-27366.062721570426,-29901.328897237432,-40559.2253716248,-72694.6018233733,-110389.66159340588,-132506.0916894068,-87869.80333753223,-111211.37976516067,-114089.22772355497,-116899.82690107785,-186237.71872185665,-194739.44041380132,-292420.9751445556,-301932.98056419275,-279365.0064359718,-280664.10443873337,,-529746.1433223159,,-683402.4528213621,-884873.5705367608,-926295.988355926,-872820.378629242,-1072529.0939465114,-886019.3757184398,-1020713.603605494,-969872.8953961501,-1026560.9428901153
AUT,,-325244.6047822121,-365430.1201873752,-634580.7664327712,-475027.65373590257,-703771.5863454918,-849153.79198998,-724450.323751111,-757008.4472509648,-838004.9329010024,-918440.3641881055,-882290.7778175151,-1080480.2764948371,-1616489.6626755786,-1493621.6070087133,-1681167.7503375195,-2199053.3393939496,-4976449.57227798,-2992711.384543464,-2786031.4757103836,-4840152.832416677,-5611705.405666533,-7764906.877112779,-4023588.3728210856,-4426269.573813774,-3572296.018985546,-4277323.626875567,-4821375.131254492,-5390017.066379498,-5246988.602458639
AZE,,,,,-5744.622137734262,-5712.84294695252,-4870.468976904884,-6787.340798504328,-9069.46284401276,-38369.44850809208,-52237.41912758593,-57861.57215544925,-69002.72132135283,-116803.28676961694,-140129.48477519033,-180817.4334684896,-279031.15800247615,-515536.04191839206,-405378.6773163402,-451026.02711637353,-486702.7316162419,-601815.1774560653,-753245.3094200529,-965184.4036862098,-1071046.7418275026,-905983.8076034914,-545770.4206025833,-656043.0324186594,-655589.9923617429,-722717.6410473752
BDI,,-23826.22996202719,-32461.439188484153,-43512.22042106864,-31229.592521808157,-49446.29066564887,-69732.76406029488,-129869.33657694534,-112266.58611028738,-82812.27723021124,-88429.58103539613,-89238.64647347269,-84846.60653375591,-85103.8526829354,-123231.84263232946,-180278.84554104533,-167569.56904942286,-190894.40990552364,,,,,-383868.9378204831,-443503.2548488032,-307028.88963097375,,,-1291188.1968403491,-934184.271565717,-1149224.6095052126
BEN,,-50269.0301558361,-91386.78142271336,-102476.62992194259,-65526.44147125646,-178505.93484458514,-292178.6082063556,,,,,,,,,,,,,-3018731.3764870646,-1777392.6704956656,-2712902.0064416453,,,,,-3502155.748149051,-3982540.607867217,-3801613.1525602583,-4045626.219328989
BFA,,,-60778.54112363878,-50099.568871431184,-59317.17538867191,-48323.38796245108,-99066.37432572419,-117314.25101856233,-150585.49840188996,-180518.44329215266,-113150.90859002409,-218449.1510049125,-333179.24323784973,-382209.2420999987,-338507.19005685183,-690781.088143764,-838322.3231325472,-792220.0825453046,,,,,,,,,,,,
BGD,,,,,,,,,,,,,,,,,-351100.93138340866,,,-806711.5938989415,-1255965.522979653,-1254743.4656006652,-1848796.2690627484,-2854388.998739331,-3462766.6496785367,-3838848.4733339297,-4441581.953791884,-5556548.589496565,-5997658.254821194,-6900019.234141796
BGR,,,,,,,,,-497832.940152171,-689239.7461165882,-363424.2368934636,-507793.4971713259,-730942.1716316615,-917649.9836739,-2245416.1053634416,-1137664.4496292723,-1415819.6384979528,-1714308.3952594919,-3074825.304300418,-1940289.1549620202,-4116571.861862454,-6048346.225402745,-4790938.5180281745,-7136249.138738189,-7820162.936273402,-5789130.099465011,-5073345.939657765,-6353332.311506954,-9354421.15347249,-10440764.923887981
BIH,,,,,,,,,-294523.1602779322,-535083.975507834,-308277.71180641884,-543954.8715902887,-569986.438531269,-563611.4438389615,-1314864.0571181762,-1287738.8024412629,-1420783.872139435,-1655714.810971362,-3020430.8260515723,-1776857.3168214802,-1925874.9712698536,-2353888.23074205,-1961448.732301882,-2628873.4329893435,-1957895.985887064,-1904216.4996979076,-2681958.5807516174,-2002861.294541762,-3407519.0854187533,-3228904.0057773707
BLZ,,,,,,-7774.70603458197,-13844.08940423283,-14024.997515754514,-19713.9108410361,-25372.065721335,-19442.65533762068,-28400.103779624107,-32953.10979413589,-41030.64673567178,,,,,,,,,,,,,,,,
