country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AGO,,,,,,,,,,,,,,,,,,,,,-3681658.5051243226,-4484376.887649649,-1675950.9727677782,-5951262.219513204,-6684750.648059522,-6386434.637010133,-5835650.48922912,-6392134.433303309,-5082542.497483793,-3739737.5272638635
ALB,,,,-118433.6967064529,-122984.86267980948,-169016.9120841948,-175275.122404021,-128957.18706684481,-140268.27567565045,-187256.81037785808,-199275.28046424763,-211812.77200233645,-236172.33120665542,-310533.6306925574,-418143.19445490657,-473542.5265990884,-580092.1242866998,-594276.9505507906,-777244.3495300956,-788572.2418482886,-1044068.1436855245,-1152548.9291729997,-1115039.4624118356,-1242992.193611782,-1336707.3399207548,-1173523.83053556,-1244782.33643086,-1360240.4672662506,-1606844.8865589814,-1636697.9018345773
ARG,,-6341342.79609192,-12757985.792666417,-17227747.36888605,-20575398.4919813,-27341563.390330523,-29714088.336407464,-50601253.36058375,-71392630.31703599,-55772905.73235405,-77130949.26683727,-77710549.91581328,-26546785.71099944,-31245302.90559023,-33492015.475482423,-49981953.4031647,-36094113.44102528,-57496986.91698069,-61230433.425785,-32816018.888974033,-57234199.84605852,-60278097.777941965,-51311443.40163807,-68046060.7127738,-49759898.07597269,-46595012.1211521,-35870715.90546052,-41467963.32761921,-22412659.172613777,-17804956.91684548
ARM,,,,,,,,,,,,,,,,-14770.439838049879,-10451.2428800835,-30589.238985980006,-41099.036794816195,-26458.61202796652,-22875.446279110263,-36461.185717798886,-35735.80443258764,-40400.38361880612,-40348.88759894738,-39710.416862855825,-40021.45202750907,-20629.34449512739,,-10312.786912772699
AUS,,-36673.78934352309,-72379.4449444621,-66267.51119061356,-92143.93816026839,-134141.09262821055,-223792.39951056824,-299551.27571166825,-195748.0435821344,-280984.4579770636,-337336.25355629786,-281336.7524374552,-425644.05805043364,-378290.8570444113,-593671.1640559753,-708393.6507451538,-648885.4300178462,-512756.48256992706,-886202.7161649311,-848547.7362256364,-924163.0927820646,-1196840.3991753915,-1599550.9947697201,-1766343.2694078113,-1334157.949513845,-1475872.0509852548,-1234543.587559909,-1449324.9101742154,-1307944.7459370198,-1070407.0147447016
AUT,,-16076.127118730665,-17001.490864303785,-28338.52782685078,-33310.328261574585,-46998.027045613446,-62012.90950727956,-65945.7093012245,-66167.93478999348,-73817.28911620857,-77936.79656448649,-80398.5151987829,-103090.82436695775,-118913.37217825034,-163702.9322562978,-186488.6843144507,-177281.46972278558,-239960.56524380017,-341111.9737450448,-307847.4594125265,-284302.62508473726,-401022.38543978985,-379752.83560037834,-291755.98043151584,-441813.1612474364,-274874.10303046403,-386289.6430993857,-397257.0053254221,-449971.2910669486,-485317.97359209706
AZE,,,,,-102227.38018230881,-16947.937262573083,-18101.53199269943,-30549.683816518733,-54440.14465711013,-199054.12301851992,-210496.1130499318,-250995.65464127788,-288581.43953635986,-348473.28701372107,-404257.43793268665,-450150.5051819377,-494381.2577215223,-599076.7161682509,-670781.0361950953,-693445.5520929615,-663007.3663404605,-798238.8618331805,-1011488.0759973328,-1220962.3695594983,-1254695.124694036,-1058409.3575889282,-743509.4553284876,-757224.0762029353,-841354.9221391295,-1002386.3490953799
BDI,,-241237.10893186406,-330833.85207875725,-374508.21201072633,-325226.91490456735,-498181.9811746751,-458397.5300678239,-456808.5369782517,-371192.5900223464,-323168.85705387197,-257720.10618413406,-260259.99637547001,-259236.13209279298,-231123.23252840652,-252558.49969607955,-283881.5072021057,-299125.68994299514,-301922.1247365921,-300208.4575247556,-314233.8226323743,-349951.2173613901,-367486.38217659283,-370961.0191913165,-418934.47155202273,-348446.8364444255,-451825.20235495287,-680828.408445346,-637525.1147193571,-820760.8331125733,-769782.038715905
BEL,,,,,,,,,,,,9785.618740255843,12812.69860961203,17280.265971139892,23397.573433060523,24808.928840574117,24077.03767900746,33609.928945805106,46347.40974082112,43082.64694404565,39428.526738692744,49416.274040268036,38496.3974148015,48287.35228359168,39670.870262695076,30592.341022901088,25043.135643541988,32987.00771345103,21660.66574820612,23718.986675040287
BEN,,-201638.2409052065,-343377.3681888727,-450821.49272789253,-294038.914077392,-462900.7614019885,-512946.7102409299,-653075.3472728704,-691698.7143891423,-877724.7062160068,-808597.4662474766,-790130.2502822852,-1056516.7261103939,-1365246.8328703225,-1741724.5288368491,-1937673.5015730674,-2105153.2234233,-2653778.1833312744,-3185848.114953994,-3949372.380854569,-3354969.259654224,-4287692.818660977,-4249478.872990699,-5136296.043036159,-5543526.585483144,-4606827.911839211,-5147001.400293563,-5791711.5875491,-6553920.268927483,-6771689.624951636
BFA,,,-209803.25459059371,-206885.2470294763,-171630.83476160947,-139884.90313587748,-222078.85506396895,-279809.4440949337,-323354.6831968731,-430792.8011372995,-374026.1048503789,-572459.5350100353,-709018.3589987603,-944417.9159940279,-816284.6731647463,-1466734.12885402,-1728574.8895369892,-1293073.2990789851,-2705622.080861717,-2402512.4218193493,-3076880.810304267,-3245441.954648957,-4572865.483442493,-5068042.997838268,-4805804.929579585,-4314588.353146622,-4909199.876169082,-5002489.76145058,-6047972.864456356,-6005248.7705011545
BGD,,,,,,,,,,,,,,-151685.19066184625,-331272.025183883,-488983.46850317076,-718656.385680836,-1334784.8982410298,-2136485.9084832394,-1220093.2486727065,-1559053.9876970418,-1777639.1112153532,-2163964.372942313,-2847733.4981877706,-4127608.3313097036,-4607610.329957157,-5137038.352155391,-6484875.909795981,-7081487.238868809,-7912096.609069706
BGR,,,,,,,,,-645656.9637528738,-926409.9793018332,-412088.8312569432,-478566.53275613004,-813168.8736944138,-958071.9286583709,-2094682.047189674,-1693763.1303466677,-1846689.852483254,-1335057.8109597957,-2130800.4432587447,-2028619.253833206,-3251032.7782378676,-3900836.6558289267,-2959045.1407547956,-5136216.05216341,-6181865.150756136,-4654304.081534516,-4010467.6780527616,-4912921.24607611,-7381826.57633298,-8408418.272061098
BIH,,,,,,,-147960.98396905308,-207948.73957554085,-237256.77997573547,-296425.04949100147,-136975.2172607321,-239491.17425529557,-323427.8836812346,-255635.78602904585,-556075.1682304884,-611874.4153113773,-659426.7753567101,-494407.264067503,-895805.0202030999,-865937.0812243208,-777354.5760007208,-774700.1690791808,-534548.7983063422,-862659.8183939216,-908501.6431543072,-783516.866013928,-1227847.886410871,-788195.785577438,-1547054.7048918833,-1486841.5816765723
BLZ,,,,,,-21630.37938120433,-33331.99377061714,-38923.3218887696,-44416.307681260056,-53776.08500124516,-46684.22483947741,-59512.15122161538,-59180.12160638405,-73675.20421843983,-74204.47958990978,-107216.06441386094,-90345.67128329269,-119425.016082461,-103849.46607544011,-170513.03915719612,-183036.95152610666,-209230.84113440328,-223364.80409864816,-266510.9885629043,-269119.7410978613,-235188.30577054113,-280226.8861610844,-398276.54562800063,-360788.66865816276,-280299.3708800041
BOL,,-173282.69447249995,-280046.11417974386,-364974.6650664559,-389415.8270824291,-473024.4510889721,-509824.00884029525,-404869.88735128543,-590265.9467775768,-638353.6074704024,-892340.2220074587,-953863.8161609155,-954645.6848028202,-1001470.2692744946,-817029.1442375411,-1192783.476110749,-1567668.4840304686,-1478564.664779606,-2229172.005257023,-2858377.82927538,-2631838.03071832,-2537749.53901159,-3054581.438043772,-2821964.1481851023,-3260388.760347987,-3585367.1105015567,-3493818.4268089943,-3537422.440076479,-4873104.229136711,-3972616.4725260707
BRA,,,-9800520220.263613,-579681677.3819067,-45498325.99154563,-44422032.474233024,-39091596.531604536,-46672362.613104075,-44123947.995351784,-34444533.38846675,-38075155.20209977,-42384933.68566804,-31936999.70905379,-44423490.49917151,-43892248.95087305,-47922024.114347495,-70222419.15750498,-102750854.46962771,-131852706.16086717,-110444077.21869448,-145327125.4162905,-162560177.22405353,-187528058.9725193,-201938567.8637728,-193406698.73301446,-153050459.12111482,-114682574.91310349,-199844080.04862836,-153133111.26036412,-182018748.75752524
BTN,,,,,,,,,,,-7368.32619864673,-9658.141648322135,-7146.524795095679,-9838.633739842346,-19680.648942030894,-23472.709590437655,-21136.06692619902,-26478.78442369234,-22130.34720650753,-18753.039829021713,-19968.83075586461,-28827.79417752631,-24437.751990210232,-24475.41340759757,-25321.539411088957,-27497.90039750435,-27027.359964574825,-33547.798795316376,-19680.823708483986,-16730.58379725988
BWA,,-13559.692267867087,-4046.9160113776725,-4675.034484809677,-19270.531953225956,-39597.51503419482,-50582.46320116437,-48800.97131726021,-4945.204250343195,-8204.95990507937,-20355.54236566048,-10420.201332180273,-34786.2626399578,-4812.511544074673,-25422.885550532515,-53929.43081214679,-47958.174672998255,-6962.837083555344,-27800.131113784395,-63034.211661672845,-37065.12223273908,-129818.00922246184,-26793.550527545827,-12809.826566943986,-93502.48154182348,-11527.573627444177,-44592.422219705986,-39828.144129170214,-84671.88488546514,-24685.79035858331
CAF,,,,,-80466.79629922612,-122159.93222744414,,,,,,,,,,,,,,,,,-650161.2890572232,-566102.091182543,-700355.218094906,-619724.6776864339,-773551.4333442696,-819606.5595599423,-929337.2702120349,-953652.878550353
CAN,,-315552.6328919199,-295383.01885460655,-492158.5205337205,-633921.5278789776,-788357.4897542718,-970780.8841341101,-1051549.057537641,-1388602.6566653936,-1592805.8167047193,-1349099.252484221,-1720666.047756941,-1996606.945444263,-2605560.7589551783,-2813943.168631327,-3463259.3345148065,-3847765.6231462513,-5664656.831768361,-5556567.073909279,-4979101.636440854,-7399469.670510927,-7710775.508539803,-9288678.781818556,-10341672.587778274,-8292426.897563359,-8876980.637414237,-9117703.806532027,-9892602.23850155,-10211063.81259287,-10047229.154215982
CHE,,7314.651417326894,9952.894441863264,12942.561336148456,23731.485474961024,29173.48046811241,29712.24200869152,27884.36884715243,32323.7164586757,34998.85736586456,38152.13871402526,42963.45481096316,44069.38763531357,26600.069670804816,62158.882088763945,73521.07504612014,60001.945009598785,77998.87647093635,88331.2732151193,94658.06042635208,85944.9438955032,131760.7929663742,128696.5078195141,119203.19080973182,139124.07624231686,92257.48047404877,119656.88774407265,139772.59591783915,121148.19375845247,159703.2850469115
CHL,,-73291.17348213699,-114368.42123811625,-134652.1780530091,-169296.72699197623,-217324.71627333076,-243436.6098686733,-260752.55461797622,-288329.7345788842,-193236.67270962888,-211752.56235517748,-236743.13276690178,-283442.2499755862,-396682.6695423459,-542933.8494673059,-730473.1974085259,-761785.0729201147,-674747.6798724212,-877597.8136779312,-855801.9197852229,-1007527.1749332894,-1191815.4792211298,-1300962.3844143993,-1369518.189518542,-975927.3674903454,-1158275.5802161745,-894000.1345474275,-881992.8295339327,-973858.3293322305,-811579.2911566754
