country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AGO,,,,,,,,,,,,,,,,,,,,,-4141199.754687944,-5043990.121953845,-1885070.578930856,-6693813.541732845,-7518851.585170995,-7183392.101678701,-6563987.626981883,-7190087.344751393,-5717173.611661959,-4206833.6219480075
ALB,,,,-72423.3530812804,-75118.74053464094,-103174.81467139625,-106969.03956162257,-78699.9669438625,-85613.89101480502,-114320.75186115739,-121697.85083956542,-129404.55532719742,-144350.58552889153,-189896.23828774155,-255843.0759024006,-289912.01038035925,-355368.22295423085,-364297.7074212598,-476781.9938951384,-484047.5295841582,-641325.3905730109,-708468.3880861546,-685907.9007334772,-765183.7551474471,-823487.6368704598,-723495.4010678016,-767997.7964648192,-839866.3009461261,-992897.0178273706,-1012121.7628783796
ARG,,-7228359.4712458765,-14365337.804572456,-19278644.9272039,-22938069.302538212,-30404543.199910853,-32982893.892667256,-56092716.369604245,-79059445.18648122,-61712078.77543141,-85287108.5220291,-85881524.62741895,-29324819.703510582,-34501574.785883754,-36970075.853754446,-55156803.39257383,-39821477.58118326,-63421638.22063444,-67528167.28188385,-36186271.8403559,-63104538.312642954,-66453728.449993685,-56563499.82212689,-75005502.35040519,-54845792.927200064,-51354900.57051503,-39533507.85191918,-45700850.95233229,-24699848.057919502,-19621587.998390257
ARM,,,,,,,,,,,,,,,,-8005.275282458427,-5673.027917632333,-16630.024574723055,-22379.053957296775,-14428.76812822347,-12494.495584599306,-19947.04405409223,-19581.680780307048,-22173.838634444684,-22181.671709175633,-21865.988671755073,-22072.643527479304,-11395.965049977875,,-5715.695039048199
AUS,,-41113.734452686454,-80283.26007630494,-73112.59805853445,-101331.65826543905,-147196.25477485763,-245187.26033319585,-327807.5824088987,-214021.24145201402,-306994.8616581967,-368343.48874379793,-307048.0564255142,-464353.7341902443,-412546.8124842212,-647229.6411887248,-772094.5224072501,-707070.0749781115,-558621.7368230869,-965302.9849413161,-924153.6424258287,-1006372.8425399754,-1303152.7483212797,-1741454.898009677,-1922866.249056778,-1452264.7945900934,-1606408.938659172,-1343650.4996900237,-1577323.8598987912,-1423383.85723445,-1164827.903373985
AUT,,13382.42916557198,19698.254833164374,37587.716441628654,47354.77072224432,69365.18039591961,93371.36519214143,100160.32227563673,100636.57134924187,111851.1903637881,117177.72618729308,119600.2304533677,151363.81790398472,171905.08352633013,232511.9551681886,259798.5460713415,241874.75146076147,320270.2483556858,444974.1925005645,392746.5120185368,354149.50587345945,487355.9772845029,450074.3825306505,336969.5690656532,497136.5665636637,301288.71949055046,412404.5303348016,412847.51793123677,454836.59680887626,477129.34124131483
AZE,,,,,-73652.22006758218,-12194.528579844982,-13012.88977243388,-21948.10939596995,-39095.04054413131,-142902.58819203408,-151083.90841114006,-180126.96086832994,-207082.54521036716,-250049.88415137766,-290077.78199166316,-323019.1947632659,-354780.2706233264,-429949.4657221208,-481462.07664285274,-497787.65031395695,-476002.0906406002,-573176.1635528097,-726415.4541960629,-877001.7474468503,-901391.4011336531,-760515.7244065603,-534345.6805204191,-544307.9227779248,-604905.6469974332,-720829.808975372
BDI,,-306101.50953521096,-398212.16831958457,-438977.18242255616,-375087.15976721793,-568373.4715921668,-518905.25778986694,-514121.04412707087,-415907.2472815609,-360811.9870366184,-286888.50941298873,-289020.9200499301,-287301.26970492996,-255693.07619516712,-278978.8888582995,-313164.42355267075,-329603.3914413262,-332356.31294058217,-330188.19149832416,-345372.63271453744,-384383.5957073867,-403416.1645381495,-407030.06229437096,-459467.3236960795,-382014.0505191172,-495186.5615350375,-745950.36483564,-698324.6812214722,-898827.5960794262,-842831.0770086736
BEL,,,,,,,,,,,,52072.4750712367,68943.84043027576,94106.44567740161,129066.83405830438,138716.5752849873,136556.22819470332,193474.82487185154,270937.42088932387,255659.07391655623,237799.65310679568,303132.30867300386,240303.2145465989,306970.412829557,256974.2388579758,202016.01924009007,168667.09296721558,226797.53811066737,152199.28997023395,170423.39744372884
BEN,,-247945.60046094458,-419392.9569476756,-548743.0007234196,-357154.7830969085,-561467.8168652046,-621527.3677426325,-790706.7199062514,-836965.1365016684,-1061539.9432497583,-977530.9347651129,-954878.443772661,-1276431.5187922835,-1648988.9430570211,-2103214.8271774976,-2339341.661615818,-2541060.4197014044,-3202746.642670966,-3844297.7131786826,-4765006.277029473,-4047340.5555212977,-5171951.862681716,-5125309.223321715,-6194279.3808959285,-6684766.890688773,-5554747.416815923,-6205563.315328102,-6982323.282063301,-7900623.06818773,-8162556.712794823
BFA,,,-253330.90660305327,-249132.78061256502,-206335.73569553337,-167982.12181803855,-266466.849675303,-335529.9354735487,-387560.39804809436,-516129.6996437344,-447969.0267216364,-685442.5350658946,-848750.3578345333,-1130299.5670045738,-976758.704889305,-1754777.8315648441,-2067717.8880193438,-1546554.2725303299,-3235592.2160497974,-2872794.236584263,-3678776.921568285,-3879925.93406268,-5466356.277157969,-6057756.407665474,-5743836.101631126,-5156343.690439967,-5866535.224313104,-5977598.844763476,-7226378.641490319,-7174863.393445487
BGD,,,,,,,,,,,,,,-101015.45545132179,-221209.82701720393,-327301.50310365605,-482050.55144461273,-897005.4328039761,-1438156.2645037964,-822450.4135926528,-1052337.7914518807,-1201342.5622184686,-1464042.4509687189,-1928625.3966985636,-2798043.9792567473,-3126117.185886373,-3488080.691338989,-4406560.42136861,-4815391.477842527,-5383762.244263927
