country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AGO,,,,,,,,,,,,,,,,,,,,,5413794.725799553,6419695.52866906,2392804.4217179436,8651817.074289018,9609795.567682017,9138895.420278218,8725748.485527515,9545201.63626733,7459614.883413371,5586722.478695491
ALB,,,,78720.63865508573,107854.61362492957,183845.00119867962,203539.4268764552,138040.21456251643,190939.07736159605,254642.96637654278,251815.19368488004,264137.41346056946,306056.2492284541,426560.34051371226,560231.4617046475,644918.3677884585,787810.3855212854,792634.1540532575,1009968.6102950419,1004778.0604753323,1347624.0190957244,1442034.3402056624,1387527.0169345944,1573090.2311721875,1667108.644829423,1452581.5066385109,1611497.4067266134,1753972.1735434283,2028237.9009495936,2100340.3855700823
ARG,,10942931.67937596,15748907.836671483,15432149.814438578,23271434.404020995,37336984.47090292,43025863.00451483,68216166.5779661,119434899.71509802,93313932.75493732,120929009.5275174,120565677.78812449,42692951.57244171,53037153.187022194,55681414.39827698,84480711.48767775,60973110.89939767,95777434.89867096,99878438.87162344,52736164.44090478,93283037.07539985,95848779.2462472,81440822.87692769,109932346.86158533,79596933.78022067,74261667.30758382,59625987.400946364,68887934.4391649,36654493.48764954,29627710.395013865
ARM,,,,,,,,,,,,,,,,40777.369693548426,28744.885128279344,82949.53447224211,109293.45637582825,69368.04970117594,60478.62003304612,94304.0758023378,92059.74213783958,105243.64203525345,104009.39424880917,101789.5722414074,105762.47435395107,54337.72168175144,,27043.89541033941
AUS,,33990.532362960264,38986.87893413968,18058.319701758657,42123.44917480735,85886.42409955028,157708.3308943839,187850.40077342797,172445.33801470284,247738.27920570486,270146.28701305453,221891.4019155448,354759.40132076,341740.9689217988,520540.1090045616,636632.7564217983,582739.0948791966,450949.64154292736,755091.6856679046,705966.4187790982,784101.8589505953,976605.4870310037,1298865.3089407799,1470879.1377663242,1092587.7606088554,1199942.7903176562,1067935.8924362212,1250809.479501276,1101089.7670469193,923583.2111539268
AUT,,517938.64300269895,500087.02009877947,756751.6081231881,986442.9341997999,1519839.1656560758,2060639.3955699923,2110088.374435748,2337983.4598884047,2587074.2350192093,2615000.5774306757,2655205.74323843,3428293.7578205485,4018101.151387593,5400368.585037265,6123446.153639917,5740973.60716804,7610776.229365359,10558376.506516162,9343994.048682885,8584499.700899009,11807469.838731626,11034848.929589337,8447175.483549146,12566639.428528024,7706459.969990144,10932377.301565943,11098742.879128372,12309522.370968254,13230320.947971039
AZE,,,,,-8065.266242738686,872.8130612825471,1765.2109829663673,1307.6496838092974,12125.866497697016,44462.42314033773,35092.66135865317,39676.22449118392,54682.05799002205,83085.4604272243,88657.85791516132,105356.48269138526,114993.12085199894,130617.71487504961,132173.83565651425,125144.07015394744,125680.53022934266,130811.94655904993,159891.24152500305,207480.6545987116,197566.93691130483,159385.41178785072,137167.64930849482,136606.71008469907,137085.09735302138,175355.7353534375
BDI,,731004.3244832791,751775.1108688994,665147.8447889384,680692.3173084646,1200405.4348233843,1153073.6137156896,1083088.8455174684,1043809.4879945857,906986.6419324066,684608.2230720482,684375.1890554068,700770.7304144703,652090.6950984661,699555.6201360438,796104.2675417282,837601.046261252,835083.701700084,815638.0930525342,843191.0639397256,949629.8373106476,977230.1366865338,984945.2785248699,1128233.251729186,930717.1088312516,1203060.9298570298,1875636.9757461105,1755095.6283101547,2230297.9671402755,2121123.170646282
BEL,,,,,,,,,,,,630553.6849915505,848355.6473000385,1188552.4427085952,1614002.8984293332,1750672.4341719884,1726020.1663389988,2435082.146839659,3385965.283203117,3185370.657762855,2996457.49676415,3793691.7957588555,3020853.1749693896,3911680.3476683684,3276277.1031496455,2584699.661507928,2213647.024101522,2991559.719017191,2003149.69900257,2274409.151217027
BEN,,101104.06364620746,62484.21777420529,-17714.057313097066,34011.49549764386,124638.41139889725,166123.8472437335,169563.77143221776,327205.351621409,416500.910275441,329856.6096023387,314906.7610519876,461473.8613601276,677235.8626796941,826468.2637511354,956075.7701927664,1038418.0148569334,1267960.4181353124,1448907.15040535,1727560.350826074,1512279.9344134708,1813005.9665410437,1779458.0523578306,2237298.3780229464,2347278.4007208385,1925322.8698134,2373442.827363212,2658208.703385249,2888750.6949160355,3100973.3446345935
BFA,,,71786.13430133532,21361.257131046805,46906.025273324085,61776.420300698526,111420.3079781106,120886.73697546394,214989.08543830956,287148.25418723765,222092.6532919563,334060.1681103708,443314.0486964177,651568.0587846459,543955.0982727676,1007717.6103266113,1187573.3162221436,866889.379242903,1746888.9148686246,1507115.5035296571,1976757.6440943845,1988475.9862436007,2784802.371416687,3182649.6248163423,2957290.7772594844,2631801.5722249183,3228787.1734630372,3281222.8027972793,3850126.5113499872,3938910.5642403564
BGD,,,,,,,,,,,,,,232069.41996814162,495886.9299330697,744880.6151063754,1094092.8439511063,2002038.8248810654,3133636.248107637,1760926.234957831,2283372.7092683255,2535217.4545792527,3078910.612692803,4127444.2583220624,5917558.461479768,6577623.205359567,7666714.22602704,9668834.188208148,10380580.889574619,11810080.244456973
BGR,,,,,,,,,737642.0872878239,1056881.1772756018,432570.0886098977,494774.6420574055,878273.6282988703,1105178.592080632,2349307.02475434,1934967.757806755,2102807.9965665787,1489252.1318279593,2307141.2323075454,2147049.2208715132,3490125.498513669,4039561.8175803362,3043447.152312934,5383051.7363337595,6368455.215823849,4751346.895143536,4307604.620637901,5250987.233469011,7697263.315335993,8931318.205305247
