country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AGO,,,,,,,,,,,,,,,,,,,,,-6691633.147482576,-8183723.27276727,-3072114.438585422,-10949255.456228044,-12344884.519528707,-11836940.63197616,-10853993.033297509,-11929362.206443347,-9515016.746593833,-7025472.167629861
ALB,,,,-218697.4734625243,-226131.75451360265,-310193.38717740396,-321195.359400064,-236041.11571013223,-256169.2743754901,-341442.4635812535,-362405.44926083164,-384701.8062881153,-428464.95581176557,-562960.4088382594,-757297.7635936631,-857434.446328729,-1050792.7720952574,-1078075.2526359027,-1412761.1245192569,-1438933.4838169836,-1912704.8402475775,-2121221.1799225,-2062507.5100931947,-2308991.5924942903,-2493830.522346633,-2198622.106730563,-2341631.6981469323,-2568984.5028582104,-3045992.4765407885,-3115187.2675770116
ARG,,-11897477.1080415,-23707263.738918934,-31900246.272722695,-37883063.61319406,-50192641.93602827,-54415786.28283653,-92484283.38814068,-130098984.00281641,-101406124.81576873,-139782274.97332075,-140561889.5299681,-47935038.01040794,-56343581.90637373,-60298939.921688154,-89911484.77952419,-64915097.38858472,-103494541.8020968,-110359842.1254869,-59338577.3634379,-103832354.00927684,-109783995.49222659,-93855986.6897069,-124908358.28803882,-91671681.72215216,-86142082.27550893,-66539036.59601586,-77172178.01803844,-41834872.45687237,-33345001.93676366
ARM,,,,,,,,,,,,,,,,-26998.97668114181,-19116.95624523921,-56053.07273966883,-75486.23537054883,-48804.91080061934,-42381.24561334413,-67896.32426221811,-66913.2963802391,-76007.8378998764,-76278.50529984597,-75426.94747110119,-76367.10110460482,-39541.12567436293,,-19942.62868376282
AUS,,-69203.1412985901,-134999.28972373586,-123039.93685264762,-170008.2618968202,-246660.8573627114,-410385.52491522825,-548096.0929514274,-357035.92265566665,-511265.3120626129,-611712.3871118614,-509121.83040110645,-768860.7051704519,-682340.3931036983,-1069026.196321322,-1274417.6721812277,-1167013.2402798994,-922883.5810444235,-1597006.5490453856,-1534003.0018472555,-1676071.9703543035,-2178968.6002476458,-2924487.2170461873,-3240683.719653363,-2456436.3639426087,-2726699.3646999868,-2288368.853915371,-2695053.4356060144,-2439260.9615594484,-2002777.7357427909
AUT,,-27389.903435521228,-30015.494753062827,-51313.09790678296,-61291.04249721399,-87761.38655905069,-117312.47679332826,-126207.70136244346,-127792.50200724512,-143853.4526136781,-152993.5066646766,-159099.2087460073,-205606.93707487333,-239099.1390487972,-331667.6705849244,-380954.01263146166,-365333.5236923878,-499375.4369846766,-717112.285264174,-654977.3661631785,-612296.818585411,-874922.4454973639,-839579.0654764742,-652904.4747819226,-1000658.6115044501,-629847.0292941176,-895144.3186711016,-930727.7207908749,-1065431.1203678844,-1161666.310342038
AZE,,,,,-188805.74882772073,-31200.9005597715,-33238.80109357982,-55982.02833878627,-99463.16580981859,-362859.02402102546,-382477.57417737093,-455213.92222710093,-522518.35023355304,-630171.533626005,-729958.7545057151,-812231.6829222944,-891959.6440238918,-1081902.186706576,-1213167.2694813493,-1258424.599069767,-1207344.5109638816,-1459570.244880058,-1857808.1616169158,-2250931.9935854115,-2321912.848631787,-1965902.846337503,-1385912.021328822,-1416336.2887157446,-1578701.9615358708,-1887487.790983243
BDI,,-467931.807493527,-628370.7116358908,-705023.950706908,-606844.274328474,-924966.6704478507,-847862.4351098741,-842445.8446338145,-682044.1120068613,-592156.5538144951,-470501.1107371692,-474089.3880266006,-471316.12042308156,-419581.8731199977,-457722.92639904463,-514035.60998333956,-541525.1465840497,-547070.9185372301,-544726.0132272325,-572096.0414782404,-639312.8416710709,-674102.5077975173,-683544.8757862197,-774843.9819398173,-646943.7383831132,-842013.7777261055,-1273352.5080823258,-1196536.3787154043,-1545439.4080929945,-1454664.9630573837
BEL,,,,,,,,,,,,15668.90908447165,20113.69578642862,26565.480508529734,35168.95996387563,36423.14796090876,34477.60478907394,46876.61652438967,62839.62996413196,56771.967044547724,50280.97696241662,60746.294597620836,45427.87362415372,54411.00266711004,42446.70257069829,30886.796650582637,23680.17328676203,28909.34335330531,17354.70050687364,17093.66796179018
BEN,,-377650.44160255627,-637238.4653235537,-833819.5706762268,-540794.2657036851,-848865.3726873097,-938337.2794083626,-1192272.2891318162,-1258982.6460833282,-1593872.0379427068,-1463454.4523274596,-1427169.4769203651,-1904890.7129644195,-2458007.315623383,-3130528.2056903173,-3479418.827398508,-3778928.5602540234,-4767171.379817378,-5729788.017182721,-7125130.388389092,-6071821.93284893,-7789200.724601272,-7751883.315142132,-9401479.63853419,-10181976.552804997,-8489855.254800111,-9515790.797794547,-10740870.402844084,-12188764.737325864,-12633615.909931652
