country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AGO,,,,,,,,,,,,,,,,,,,,,-0.0004971067427439502,-0.0005896559409607056,-0.0002048187582951463,-0.000698103548473658,-0.000754525797362857,-0.0007198996700399961,-0.0006811416479296985,-0.000753900146233961,-0.0006111291223206863,-0.0004563050185141534
ALB,,,,-0.00029392684069271967,-0.0002874725660439404,-0.0003552006119865526,-0.0003428609708899424,-0.00028649025043371595,-0.000288146403963804,-0.0003422453060934289,-0.0003396341013055629,-0.0003323350156562096,-0.00035301402182054967,-0.000437812350058887,-0.000555979885318794,-0.0005941768973901681,-0.0006856378983077264,-0.0006625363420013048,-0.000807749223987703,-0.0007991782631972523,-0.00102775258570123,-0.0011161332336267504,-0.0010751797603642927,-0.0011964465277376258,-0.0012760583399726775,-0.001105500370884552,-0.001145519623127602,-0.0012172669073259265,-0.0013912140771424886,-0.001399398772588354
ARG,,-0.00023754190856746543,-0.0004360530196331336,-0.0005395343833058466,-0.0006004484309603097,-0.0008178275135922214,-0.0008413463973695657,-0.0013248032132836536,-0.0017951972477288985,-0.0014478125923458338,-0.0020018495973236493,-0.0020943607365952227,-0.0007967754016418594,-0.0008550552075538542,-0.0008343473322038934,-0.0011365962126026262,-0.0007563573257591334,-0.0011030883204278781,-0.0011296086008440633,-0.0006477050822323311,-0.001032108033016392,-0.0010334300642440423,-0.0008967802400517155,-0.0011700793853570818,-0.0008853896658780546,-0.0008136777265908613,-0.0006453888487007242,-0.0007322485722797741,-0.000408924855767271,-0.0003340608340529849
ARM,,,,,,,,,,,,,,,,-1.9799432344376342e-05,-1.2296685212420945e-05,-3.1527616109646284e-05,-3.957384111485857e-05,-2.9800252902261286e-05,-2.5320228951901954e-05,-3.877961988774789e-05,-3.571289272051699e-05,-3.9314957142784074e-05,-3.81720324472366e-05,-3.6646458891804446e-05,-3.7131710507657646e-05,-1.7940151325997693e-05,,-8.010687473275303e-06
AUS,,-7.350221347641407e-07,-1.376252653218528e-06,-1.1802358098050431e-06,-1.5404073350048492e-06,-2.133900872936347e-06,-3.4054984364928805e-06,-4.36746224187201e-06,-2.711450097680494e-06,-3.6870751695324837e-06,-4.21670244059878e-06,-3.4159534774934646e-06,-4.925436350755534e-06,-4.208635780833935e-06,-6.283057760575366e-06,-7.2148523401557826e-06,-6.398234090662211e-06,-4.85867840223971e-06,-8.105975363968104e-06,-7.662453532645755e-06,-8.20954749086714e-06,-1.0457315172501292e-05,-1.3563053963874805e-05,-1.4701332970274176e-05,-1.091400670198045e-05,-1.1907696432284883e-05,-9.776124720305687e-06,-1.132004594007894e-05,-9.989072350681095e-06,-8.061403948008555e-06
AUT,,-9.268814610779592e-07,-8.060709761033471e-07,-1.1876421520190242e-06,-1.242131513016537e-06,-1.5925760280252146e-06,-1.9442989235432642e-06,-1.9333545482003473e-06,-1.7993759666898975e-06,-1.8656144085316628e-06,-1.8379710845732454e-06,-1.8087391201197025e-06,-2.2125808949875203e-06,-2.4454951307093444e-06,-3.1847800300990315e-06,-3.44754466181116e-06,-3.0942754723527805e-06,-3.947638568208053e-06,-5.4290212500614385e-06,-5.0253225618029245e-06,-4.507077445453638e-06,-6.120748446694021e-06,-5.719327293155853e-06,-4.37088625342597e-06,-6.531117577267467e-06,-3.988822137047425e-06,-5.466314318708278e-06,-5.47711687043748e-06,-6.0163629137456145e-06,-6.351605707458024e-06
AZE,,,,,-0.0001080776508121546,-2.047625292615373e-05,-2.1757044911993854e-05,-3.491912102603546e-05,-5.6696923950127766e-05,-0.00019326138201876273,-0.00018300976249271652,-0.0001975769897580245,-0.0002063959777087005,-0.0002248080245028479,-0.00023728172503561097,-0.00020543876767896226,-0.00016722011109756421,-0.00016195301983464686,-0.00016397946454470264,-0.00015625395925499726,-0.00014320306987615483,-0.00017370684601738574,-0.00021751408077245473,-0.00025015022766071616,-0.0002524962259100445,-0.00021251314953911227,-0.00015548684648891944,-0.00015952995211322826,-0.00017576379199441306,-0.00020593120999252385
BDI,,-0.000928511432240362,-0.0013048253986296143,-0.0015996201397856654,-0.001443845289611694,-0.0024144548832636397,-0.002428806370870168,-0.002470945896729175,-0.001918870866702397,-0.001688149146628752,-0.0013498322207070807,-0.001328134854177235,-0.0012586731192568788,-0.0011287569171308232,-0.0011689879603848275,-0.0012951065755176482,-0.0012899754260345374,-0.0012569676290069636,-0.001193386649835192,-0.0012118891372469478,-0.001292443066122862,-0.0013153958983594474,-0.001283212137493464,-0.0013920219437952718,-0.0011207654342881553,-0.0015250492584683772,-0.0023328445144403694,-0.0021937255965917106,-0.0027969741041660666,-0.0025967335255220074
BEL,,,,,,,,,,,,5.342889235276196e-07,7.068825859468128e-07,9.679851343418993e-07,1.2966282057175474e-06,1.3766991967109924e-06,1.3368318330340406e-06,1.8502224533888871e-06,2.6167376351953636e-06,2.5659043345954435e-06,2.366354622380803e-06,3.0167370311801656e-06,2.4335826734860563e-06,3.1539090247002507e-06,2.6419856870952185e-06,2.0818631398292454e-06,1.7474504958434442e-06,2.355507866871214e-06,1.5732296654785162e-06,1.7458030841075629e-06
BEN,,-0.000650337154026945,-0.0010162374592998147,-0.0012227567491918828,-0.0007607411148290523,-0.0011140259118481862,-0.001173758270079129,-0.001405463086183501,-0.0014224894748777464,-0.001703637921236661,-0.0014669247029155386,-0.0013480337537917291,-0.0017063645357384668,-0.0021120588036497054,-0.002557495671145089,-0.002776231619982916,-0.002886144060422065,-0.003422734836317032,-0.003916259744801609,-0.00477213897713454,-0.003991599680189375,-0.004989898863557364,-0.0047578910128940706,-0.005402757898981796,-0.0055281292722343485,-0.004549150380950191,-0.004960232619147073,-0.005328386084985386,-0.005684742479084395,-0.005537604303728787
