country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AGO,,,,,,,,,,,,,,,,,,,,,-0.004158911735207237,-0.0048969566063361645,-0.0016865251595122868,-0.005707443051830642,-0.006117320847869324,-0.005790953308161594,-0.005432799009217103,-0.005960863977305856,-0.004803831184224036,-0.0035603627000875444
ALB,,,,-0.0024383826151027667,-0.0023449618047467853,-0.00284969321662384,-0.002712960723505221,-0.002243457549486483,-0.0022444834079100792,-0.002656455830184535,-0.0026453291011542734,-0.00259813558425657,-0.002772875300459493,-0.003456888267513135,-0.004413895011070781,-0.004739310149767766,-0.005484745526713269,-0.005304095305066061,-0.006455985614113632,-0.006340025879059764,-0.008097396094931139,-0.008720289938704164,-0.008321770243808863,-0.009188133306706942,-0.00971215281509476,-0.008344399359758841,-0.008570057878860908,-0.009025002958076463,-0.010252779196857175,-0.010235671100876838
ARG,,-0.0017350937654076052,-0.003260515593924782,-0.004085606536256361,-0.004622094432674308,-0.00633277859349662,-0.006530125201092191,-0.010295997930923801,-0.013998615527841997,-0.011326278734442924,-0.015796867294306717,-0.016657371716183107,-0.0063887034019245136,-0.0069115153651967765,-0.00679731118688739,-0.009322093390503916,-0.006232362524492102,-0.009110129172497546,-0.009325807697263312,-0.005313736817866232,-0.008417447331217269,-0.008364819466290693,-0.007195842613836021,-0.009320407161604538,-0.006992723611132911,-0.006375056301901561,-0.005012929295602754,-0.005637266047992358,-0.003129268983411031,-0.0025371188526322544
ARM,,,,,,,,,,,,,,,,-0.0001467308599705451,-9.179037502314127e-05,-0.00023647347353858284,-0.00029744689708137553,-0.00022308525368258027,-0.00018886598418401461,-0.00028774039884975713,-0.00026327389271526896,-0.0002883501182196098,-0.00027818504517154567,-0.00026549087860336943,-0.00026723214796277724,-0.0001282309861127056,,-5.671532342569432e-05
AUS,,-4.958722163849601e-06,-9.808885530867226e-06,-8.659666326124906e-06,-1.160354154187865e-05,-1.6282493580339006e-05,-2.6180394330471905e-05,-3.37490566466969e-05,-2.108411350807491e-05,-2.8830514154027974e-05,-3.3320715048190715e-05,-2.7247613818951767e-05,-3.965882247556704e-05,-3.4200073542909194e-05,-5.151047838020794e-05,-5.9599833705329555e-05,-5.314146209534856e-05,-4.047463757280067e-05,-6.754422827103627e-05,-6.348403660022295e-05,-6.765122366290542e-05,-8.556669605976976e-05,-0.0001100649451024266,-0.00011847726637291816,-8.72373655405242e-05,-9.444846502400302e-05,-7.689334810818038e-05,-8.827051727268418e-05,-7.744099159059175e-05,-6.203755682018519e-05
AUT,,1.783139214261367e-06,2.6093236699557563e-06,4.944372922186531e-06,6.044677637063599e-06,8.551342599804823e-06,1.1149437742744408e-05,1.1581578268263938e-05,1.1112829388756155e-05,1.1754452940263034e-05,1.1770400863552472e-05,1.1688173751170643e-05,1.435339526801686e-05,1.5847714234507755e-05,2.0518662794939286e-05,2.1968814335107204e-05,1.9389633189865534e-05,2.4186555625906408e-05,3.23359675455707e-05,2.8899877822169797e-05,2.4923841942083995e-05,3.238175992071458e-05,2.8828250376004162e-05,2.0939173178909517e-05,2.960671163510125e-05,1.7066259968416534e-05,2.1987858418178277e-05,2.0613993401857266e-05,2.1130036891210707e-05,2.0694199568867073e-05
AZE,,,,,-0.0008780290294147961,-0.00016513968851192824,-0.00017420040375169262,-0.0002779884428577671,-0.00045049988727517985,-0.0015341770073113775,-0.0014606952515190082,-0.0015852550769162798,-0.0016658642653866174,-0.0018257250131218082,-0.0019390777780759528,-0.0016878025836835823,-0.0013785058552181326,-0.0013366643618740771,-0.0013515851052450529,-0.0012786853186604367,-0.0011640604587329307,-0.0014004047795288053,-0.0017372992373893812,-0.0019823798610211613,-0.0019830531055022426,-0.0016550784800306772,-0.0012001082925995198,-0.0012200677049601107,-0.001335879730263445,-0.0015530762040269054
BDI,,-0.008716759897661968,-0.011444239818071507,-0.013589678295748087,-0.012148839639228881,-0.020076102140742045,-0.01998329407415775,-0.020164684181177846,-0.015600334424647089,-0.013691293905932064,-0.010993426655866816,-0.01086267466912061,-0.010346988932143841,-0.009329601095384218,-0.009716212579023525,-0.010815689054510913,-0.01080423617848374,-0.010535606848535451,-0.009985493737528177,-0.010064386869232741,-0.010658471141740858,-0.01075560699869282,-0.01039255019117613,-0.011183413858352875,-0.008921797728800005,-0.012036505574391562,-0.01824440826383084,-0.01699733046160952,-0.021534213797900055,-0.019835898120846372
BEL,,,,,,,,,,,,8.496421602580306e-06,1.1029399961447387e-05,1.486119991753109e-05,1.9631156275523198e-05,2.0572976133582133e-05,1.97058429773878e-05,2.6874329944071746e-05,3.7393991943528306e-05,3.5908078030738686e-05,3.246087543991559e-05,4.052491274230792e-05,3.200250968664698e-05,4.068880969189445e-05,3.341662518482247e-05,2.584731139016855e-05,2.12928126831167e-05,2.817146383934299e-05,1.852766944826554e-05,2.0220084383139622e-05
BEN,,-0.004088151852816559,-0.0068598590939193205,-0.008570992777843664,-0.005503604772803479,-0.008194394279610715,-0.00872264114474041,-0.010520085597762277,-0.010731168950530055,-0.012939933723261746,-0.011270935881187409,-0.010463420879714453,-0.013378630865196466,-0.01672191023573033,-0.020438478474826764,-0.022364953221347263,-0.0233856449076914,-0.02782529114058257,-0.03185542353831126,-0.0386058873662612,-0.03212541205391688,-0.03988522894417647,-0.037724262382085996,-0.04254749210084814,-0.04318508947044116,-0.03526808658994213,-0.03813720510453019,-0.04061833447191143,-0.04308635868130745,-0.04166489047392057
