country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AGO,,,,,,,,,,,,,,,,,,,,,-0.005707567420645352,-0.006718557392020182,-0.0023132958098763456,-0.00782664498919105,-0.00838684810733894,-0.00793776379382337,-0.007445407087231719,-0.008167603931995029,-0.006581073345070927,-0.004876759955782667
ALB,,,,-0.001873855836923957,-0.0017945926874250546,-0.002175082755796382,-0.0020669760092810476,-0.0017071496897010296,-0.0017064554681897345,-0.0020184464468210204,-0.0020091374211967817,-0.001972761846133466,-0.002105113853717121,-0.0026242370967313193,-0.0033507925416419566,-0.0035981466295805027,-0.004164706261765249,-0.004028329171665736,-0.004904330474262247,-0.004817474054507624,-0.006154630693668811,-0.006630218353785096,-0.006329382771722818,-0.006990870344147879,-0.0073923722903181475,-0.006353778290514782,-0.006528192567906953,-0.006877568304724443,-0.007816545233119905,-0.00780686937737379
ARG,,-0.0024917250080511693,-0.004587802308335347,-0.005689971415228926,-0.006396703184689341,-0.008727173351512761,-0.008971427709013552,-0.014112670565002289,-0.019153548487244463,-0.01547473267324184,-0.02155641512343855,-0.02270780520721334,-0.008701741537265857,-0.009406607482402744,-0.009244855619955023,-0.012671085575203368,-0.008466789916807603,-0.012370347184643707,-0.012657767728676625,-0.0072096118372015705,-0.011416714580889602,-0.011341691943427532,-0.009753836924411872,-0.012630187739156036,-0.009473524487211235,-0.008634714127455463,-0.0067883069506935205,-0.007632189250711039,-0.004235822417157282,-0.0034336447081498326
ARM,,,,,,,,,,,,,,,,-0.00011357855536324467,-7.110310454065989e-05,-0.00018331840463229037,-0.0002307688555362388,-0.00017320944228988087,-0.00014676082388462045,-0.00022378103511686912,-0.00020492734460918845,-0.0002246417674240569,-0.00021691228167106173,-0.00020719500948019698,-0.00020873573233464148,-0.00010025016470682896,,-4.441963892735332e-05
AUS,,-6.556580988222762e-06,-1.2748510241453746e-05,-1.115830495300885e-05,-1.4873039250816494e-05,-2.0796709148623296e-05,-3.3352713996826935e-05,-4.2912256926503956e-05,-2.676856997387373e-05,-3.655910955723079e-05,-4.2209682082464865e-05,-3.448723560209134e-05,-5.0159464463262513e-05,-4.3227232825903764e-05,-6.50689313302002e-05,-7.524869427903507e-05,-6.706354826953645e-05,-5.105710462705742e-05,-8.517258319171865e-05,-8.002725003778096e-05,-8.525440540888132e-05,-0.00010780111721021333,-0.0001386292208893281,-0.00014918837476562865,-0.00010982578526504949,-0.00011887909800122298,-9.67640877466331e-05,-0.00011106053863288065,-9.741737951595106e-05,-7.802723396284547e-05
AUT,,5.406328067352768e-06,7.794656756571317e-06,1.4795624030668988e-05,1.8202965288491168e-05,2.5970773877344673e-05,3.420103003408283e-05,3.591703918869261e-05,3.486985757524395e-05,3.735054419718087e-05,3.791977801401357e-05,3.820062493211858e-05,4.763886097241441e-05,5.3493171347998965e-05,7.054311770917954e-05,7.703427437387844e-05,6.944906942826699e-05,8.861327940605157e-05,0.00012135308863704496,0.00011109370198147601,9.83960455095074e-05,0.00013155459214442514,0.00012073247573297063,9.061931050391198e-05,0.00013268924647602502,7.938132459623317e-05,0.00010640448044582496,0.00010415217767953776,0.00011196365686125057,0.00011542559967541528
AZE,,,,,-0.0007667279050707186,-0.0001439301751579437,-0.0001516181336188517,-0.0002417067857586557,-0.0003913999007185672,-0.0013320939360279465,-0.0012676486907588268,-0.0013751869132133513,-0.001444623647283761,-0.0015827910366271072,-0.0016806405278097694,-0.0014625450239310592,-0.0011943128105863265,-0.0011578866085743703,-0.001170662649647663,-0.0011074090852138349,-0.0010080478118452032,-0.0012126244322456234,-0.0015042503136321343,-0.0017163647928059213,-0.001716874604769689,-0.0014328742785231397,-0.0010389590113314988,-0.001056216738573029,-0.0011564583241423078,-0.0013444703221335633
BDI,,-0.012219350585489371,-0.01573739395609892,-0.01850302083660697,-0.016439676700043888,-0.027053880285878306,-0.026847015182832258,-0.027029255669129896,-0.02087426352600509,-0.01829381601276616,-0.014671477496626114,-0.014482790728806703,-0.013783723396528237,-0.012419249181689528,-0.01292548874710896,-0.014379933791574848,-0.014357493902062885,-0.013994333711848689,-0.013258453481985146,-0.013358834716611884,-0.0141430462600841,-0.014267962536435363,-0.013782893532154937,-0.014828353163649116,-0.011827161173290308,-0.015953157080986352,-0.02417694049036583,-0.02252074407947303,-0.0285276216531877,-0.02627412904225296
BEL,,,,,,,,,,,,1.4003928986863799e-05,1.8230003770870677e-05,2.4627827834977658e-05,3.261236982938955e-05,3.425532966954376e-05,3.288256813987257e-05,4.493622352596177e-05,6.264761497663564e-05,6.0263766085149984e-05,5.457480945230034e-05,6.825057164049004e-05,5.398802407544083e-05,6.875584874501997e-05,5.655903285854353e-05,4.381700725419857e-05,3.615219190994465e-05,4.7905549739686576e-05,3.155584702705026e-05,3.4491700984606006e-05
BEN,,-0.006010039811470064,-0.009873774337190657,-0.0122066624283079,-0.007787487945848911,-0.011544490600605787,-0.01224968019448698,-0.014738810462118501,-0.015006654132200837,-0.018068144537279014,-0.01571756314050623,-0.014575980547377562,-0.018619880968163485,-0.023253781935240976,-0.028401123514306598,-0.031057634487090622,-0.03245572960587348,-0.03859659887085558,-0.0441653979746782,-0.05350213157397104,-0.044503256645513654,-0.05523217609560217,-0.052221574639053255,-0.0588790236809703,-0.05974302739275921,-0.048776509378696875,-0.052730334712631624,-0.05614630014205513,-0.059542805246934165,-0.05756465159835316
BFA,,,-0.007616754712179692,-0.007239930217623241,-0.0059183981176732965,-0.004557750312491313,-0.006512533841923702,-0.007713225717982402,-0.008302582403554226,-0.010295504382678452,-0.00877024462902587,-0.012587020922796394,-0.014935751700397525,-0.018450658388870264,-0.015260855047792234,-0.025231119970707507,-0.02798103663748338,-0.020102009844875406,-0.03975048797419246,-0.034278076253865336,-0.04047629081691092,-0.040037926054272296,-0.05298946119268397,-0.05550704999925242,-0.05044780836268595,-0.043579059011051746,-0.04679333698515463,-0.04489420804196631,-0.0509106267020346,-0.047736401616875965
BGD,,,,,,,,,,,,,,-0.0001058724223676203,-0.00022030305915525273,-0.0003059623227123142,-0.00042243751819980794,-0.0007342490861478213,-0.0011104322305481211,-0.0006045327083128297,-0.0007326851161648808,-0.0007856420867179533,-0.0008988235458879541,-0.001116881370355657,-0.00152776916824834,-0.001601932619918955,-0.0016687120114403818,-0.001977776068408073,-0.002013866607752958,-0.0020870666863686844
BGR,,,,,,,,,-0.0012605799188657575,-0.0019721581898891104,-0.0008379920394164436,-0.0009366543386645567,-0.001502407037292611,-0.0016812629338345537,-0.003449902244762506,-0.0026050194669225988,-0.0026587974251130507,-0.0018020039615154028,-0.0027097494226497,-0.002669067791332282,-0.004211925219609017,-0.004950518508656968,-0.0037276440721709255,-0.006506249832087867,-0.0077580621608484375,-0.00564983851911212,-0.004725971404051078,-0.005635628652418605,-0.008258688767032557,-0.009065529674224804
BIH,,,,,,,-0.00239760081695854,-0.0024614570443753647,-0.002405224410371112,-0.002741576481518751,-0.0012011913364464648,-0.0020500192547809096,-0.0026358743633618925,-0.0020060575960708506,-0.004105194077229494,-0.004349367112870371,-0.004448813508823047,-0.0031527587119764377,-0.005420955435085552,-0.0054060559605012,-0.004814883271965056,-0.004756515872301342,-0.00331188315192324,-0.005226419303226903,-0.005446035692478473,-0.004506451930225343,-0.006846278375633618,-0.004260588555947791,-0.008061797443729016,-0.007537586807948187
