country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AGO,,,,,,,,,,,,,,,,,,,,,-0.008402725226405209,-0.009922831293405118,-0.0034287514597916686,-0.011632926986887478,-0.012500865268370943,-0.011863604351670826,-0.01115633262968315,-0.012268311744828038,-0.009906481724831771,-0.007359200028269379
ALB,,,,-0.007416516161402846,-0.0070846281052864,-0.008574473047386087,-0.008133326359445314,-0.006704065454463484,-0.006678665357699331,-0.007876219591643512,-0.007806776997441098,-0.0076420147596233685,-0.008130223795689756,-0.010106834502538506,-0.01286389193740861,-0.013778120961064443,-0.015915090360886067,-0.01537737552148765,-0.018708992130397086,-0.018401796378033228,-0.0235382895532066,-0.025402675704078274,-0.02430213014049596,-0.026878110031679323,-0.028461302171019574,-0.024493941401654295,-0.025195061774331135,-0.026569761256238007,-0.030217608409672154,-0.030210834704917637
ARG,,-0.0033015124903475104,-0.006110838082599257,-0.007607547781214481,-0.00854047583913584,-0.011649281829425078,-0.011968172479573918,-0.01881286857893851,-0.025478524585148196,-0.020550241305123257,-0.028544262570866175,-0.03001758967539767,-0.011484235549873222,-0.012397820158462499,-0.012164142238262827,-0.016655392328989965,-0.01112406518675369,-0.016261451983153454,-0.016655369152825887,-0.009513729394222358,-0.015108393805707764,-0.015060934196899908,-0.013001680824889018,-0.016886777780852114,-0.012705138634870711,-0.011614326593909943,-0.009156331163522814,-0.010322050641191767,-0.005742328278495248,-0.0046674707906912746
ARM,,,,,,,,,,,,,,,,-0.0006908453227587452,-0.0004307444338610777,-0.0011071905311978302,-0.0013902049282199372,-0.001042987266619659,-0.0008832106878443581,-0.0013467130729418518,-0.001233720655373027,-0.0013518460005189621,-0.0013048860539923816,-0.0012459107365079287,-0.0012545194565437134,-0.0006021057558352875,,-0.000266347837741768
AUS,,-7.995280933821749e-06,-1.5535786196483017e-05,-1.3608626124871826e-05,-1.8080803472935526e-05,-2.5245727699794886e-05,-4.042865254230269e-05,-5.194506836908583e-05,-3.231911489141928e-05,-4.404894373302369e-05,-5.0695324885722297e-05,-4.1339751020238e-05,-6.0016690626746454e-05,-5.1644157099791044e-05,-7.759737598895892e-05,-8.963621845422017e-05,-7.984274883771536e-05,-6.081440519658419e-05,-0.0001015418932066292,-9.567683752978136e-05,-0.00010221380175979098,-0.0001296887293679031,-0.0001674081102003022,-0.00018070312920828943,-0.00013343338645376894,-0.000144858805336544,-0.00011824165420348107,-0.00013607478678514127,-0.0001196449322092552,-9.60921272538586e-05
AUT,,-0.00016595820754659616,-0.0001831958461816272,-0.00031281159513029755,-0.0003626963554594811,-0.0005002005573793817,-0.000644756985529778,-0.0006681694818178848,-0.0006426575065563178,-0.0006847690600827425,-0.0006926170611066648,-0.0006974596102525912,-0.0008709812915928236,-0.000981164625417734,-0.0012994291809896058,-0.0014277161511922897,-0.0012971539709517139,-0.0016711073860589641,-0.0023134007661736243,-0.0021449732319314373,-0.0019261248905477332,-0.002614174708062113,-0.00243738507704035,-0.0018583346099800056,-0.0027652258528031133,-0.0016814576905966215,-0.002291206690994581,-0.0022807918791153993,-0.0024944529841247416,-0.0026177791800837693
AZE,,,,,-0.0016746080805692181,-0.00031351085975041157,-0.00032942266400004663,-0.0005239535301799174,-0.0008455353319499618,-0.002869522798138715,-0.0027199228131524586,-0.0029427716605088536,-0.0030835307418346997,-0.0033709032838820747,-0.0035701665184405926,-0.0031010899611758603,-0.0025290994346857496,-0.002451282274356922,-0.002478753767032301,-0.0023497947403666635,-0.0021434357840979263,-0.002585365577580151,-0.0032169162633899147,-0.003678892942253511,-0.0036885540140706146,-0.0030852368321043298,-0.002241724193776416,-0.0022833995944771895,-0.00250424581114321,-0.002917174710482069
BDI,,-0.022770455755784593,-0.02995992570433424,-0.035649435865880895,-0.03178760888003335,-0.05247021926228345,-0.052157621673224915,-0.052558748716654786,-0.04055277204979925,-0.03551173306158682,-0.02841770268657372,-0.02801845276713722,-0.02663268489252194,-0.023970512291014875,-0.024910138473920592,-0.02768786341622965,-0.02763308084212169,-0.026947901673714584,-0.02555369534087871,-0.025818149797295083,-0.02740787317199017,-0.027740573023234728,-0.02689412500595182,-0.02901523274988553,-0.023208112537936004,-0.03138870255172187,-0.0476898503692768,-0.04452884988269742,-0.056523326504344905,-0.05218350257967981
BEL,,,,,,,,,,,,-0.00010313365104723692,-0.00013404210490284237,-0.00018097095162094778,-0.00023956011185119217,-0.0002518424335177939,-0.00024220242705114703,-0.00033205859761100293,-0.00046478468633106944,-0.0004497645048780299,-0.0004098800858724636,-0.0005162607599831648,-0.0004115109167660123,-0.0005277964881464587,-0.0004373240543614739,-0.00034125161773554825,-0.00028357454491575545,-0.00037846612324797687,-0.00025106536129062824,-0.00027647157994229756
BEN,,-0.0056932757557208715,-0.009362419778355979,-0.011593708357826112,-0.007376917227222868,-0.010924746491244782,-0.011579076664881041,-0.013916787778867325,-0.014136369516090555,-0.016989049477999212,-0.014734904257162094,-0.0136407142820491,-0.017396668752364113,-0.0216973657433564,-0.026456817586754937,-0.02890411042878521,-0.03019425086583983,-0.03593017708150512,-0.04115878850080313,-0.05000858661871111,-0.04172160971221486,-0.05196604880819529,-0.049327749368278356,-0.05579333655185029,-0.0567948659599728,-0.046513752015725884,-0.05043322993509303,-0.053852779544999785,-0.057256718923847524,-0.05551444736750118
