country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AGO,,,,,,,,,,,,,,,,,,,,,-0.007590140791058103,-0.008973684408471192,-0.0031044477772388395,-0.010545203974456662,-0.011345593092294973,-0.010780136747683898,-0.010149591865845546,-0.011174786806786326,-0.00903464751949951,-0.006719898580171865
ALB,,,,-0.004620673560855948,-0.004422693161823594,-0.0053633687862343,-0.00509765511236792,-0.004210251846563731,-0.004202589420985093,-0.0049660992708127315,-0.004932422612086164,-0.004838276249857932,-0.005158187751314786,-0.0064263665003363064,-0.008198016071427746,-0.008801210586568216,-0.010190779917998844,-0.009870835156080386,-0.012039581242989966,-0.011871051739842093,-0.015224007482056743,-0.01647375158190541,-0.015802642428056488,-0.017525192384481296,-0.018608100279538707,-0.016057740892805875,-0.01656206701016699,-0.0175135801214459,-0.019973554737627297,-0.02002489019240552
ARG,,-0.003288206913293155,-0.006095969689803008,-0.007597368817429896,-0.008536655401957556,-0.011653392964416148,-0.011981477538483753,-0.018847367295074312,-0.025542887805155116,-0.020616292177948307,-0.02865579809801785,-0.030155534493325368,-0.011544999274564578,-0.012472398105072469,-0.01224636158091098,-0.01678068767581957,-0.011216471992130028,-0.016409598521350013,-0.016820669974273075,-0.00961574486626313,-0.015283105321964478,-0.015248147661934061,-0.013174701273143397,-0.017126406469440192,-0.012896700562146606,-0.01179971904812836,-0.00931056697321892,-0.010505160166714857,-0.005849429007992925,-0.004758800963133217
ARM,,,,,,,,,,,,,,,,-0.0002725433877600447,-0.00017069016612198762,-0.00044074018200105904,-0.0005559402316335223,-0.000418956008840829,-0.0003564415610083657,-0.0005461174799336434,-0.0005027252763135258,-0.0005535386497640318,-0.0005369098190831586,-0.0005151207210621657,-0.0005211681231365855,-0.0002513461918323957,,-0.00011228152575912496
AUS,,-9.461912517977784e-06,-1.8414405906516488e-05,-1.6146887210780724e-05,-2.1470828234520497e-05,-3.0000824506572667e-05,-4.807599682314607e-05,-6.18101695137663e-05,-3.848027721529105e-05,-5.2477611831826406e-05,-6.043201157875788e-05,-4.930880959873709e-05,-7.162888265567058e-05,-6.167465396207802e-05,-9.272747526035553e-05,-0.00010718339257862389,-9.553641961283066e-05,-7.281753129415796e-05,-0.00012166741390366113,-0.00011471728399408326,-0.0001226421526230854,-0.00015572183138523756,-0.00020116117681724202,-0.00021729778589926253,-0.00016057473427004746,-0.00017445336560155666,-0.00014250342573420593,-0.0001641182726249539,-0.00014441209499760235,-0.0001160722302265248
AUT,,5.253656767486779e-06,5.576750166727822e-06,9.12957476925727e-06,1.0122469025356018e-05,1.3304590663677393e-05,1.6276649409417898e-05,1.5955659842357676e-05,1.4470983744778782e-05,1.446509577634171e-05,1.3636486681337764e-05,1.2720975177224325e-05,1.459208389532509e-05,1.490318973256871e-05,1.7630317628823653e-05,1.697455815224827e-05,1.3171135092427621e-05,1.3978837977272173e-05,1.513350605298516e-05,1.0180964828551579e-05,5.483980604958902e-06,2.3063292321123166e-06,-2.7153412827007085e-06,-5.816494987070572e-06,-1.4275195929753031e-05,-1.209899030356488e-05,-2.114431078494004e-05,-2.5763650979571928e-05,-3.3443149534588e-05,-4.066618251114473e-05
AZE,,,,,-0.001627473937514362,-0.0003049075351285949,-0.00032066387130701287,-0.0005105142950274245,-0.0008246822196543351,-0.002801750514875264,-0.0026586817522821046,-0.0028798431588663138,-0.0030212125656913246,-0.003306983753732072,-0.003507118648123873,-0.003050528205173843,-0.0024914207060297683,-0.0024183260179422776,-0.0024491072453697933,-0.002325128135405673,-0.002124254413814094,-0.002566371295988057,-0.0031985161244069567,-0.0036638908409869744,-0.003679612716522365,-0.0030828562211144364,-0.0022436934384782946,-0.0022892314878388536,-0.0025149193168040483,-0.002934621157693564
BDI,,-0.01583849575374697,-0.020910787642088265,-0.02493782002063789,-0.022275699483093117,-0.036826398474535615,-0.03665984761797801,-0.03699185422748043,-0.028578539419587178,-0.025057740411608596,-0.020077539000079487,-0.019820297512469696,-0.01886380127900885,-0.017000452000609997,-0.017690560794930758,-0.01969024616413316,-0.01967894066806962,-0.01921859566438304,-0.018250805446681326,-0.018465933733958138,-0.01963230230509762,-0.019901221306281712,-0.019324007738792674,-0.020880677891449626,-0.016727825556307502,-0.022659556360910958,-0.03448096944483791,-0.032246246932686726,-0.04099787015252117,-0.037911018433541575
BEL,,,,,,,,,,,,1.4780569531251052e-05,1.9039427288604776e-05,2.546445452647902e-05,3.338042734123492e-05,3.473680855361102e-05,3.3055727988442296e-05,4.4824529091746804e-05,6.203757076874024e-05,5.936407111778352e-05,5.34564700623181e-05,6.649393411487363e-05,5.2325767053247957e-05,6.623709536783387e-05,5.415292352928018e-05,4.1687112150657944e-05,3.416862086001393e-05,4.496121895255973e-05,2.9392179812700156e-05,3.1885063493808115e-05
BEN,,-0.007912861274262422,-0.01306060771978574,-0.01620627338553782,-0.010325898241654733,-0.015307873367051682,-0.01623863567807367,-0.01953129841355403,-0.019852148231635256,-0.0238723539372622,-0.020716535765482182,-0.019188329950132293,-0.02448441512755548,-0.0305531240317135,-0.037274387387687354,-0.04074338441538076,-0.04258409540580155,-0.050700175978693994,-0.0581084250786623,-0.07063825514117154,-0.05896363557192768,-0.07348100970628892,-0.06978780121099253,-0.0789773992995279,-0.08043799386334119,-0.06591177196424058,-0.07150324956120946,-0.07639174711125642,-0.08126379452350788,-0.07883318274907433
BFA,,,-0.010153279328189876,-0.009659746542749021,-0.007873148430826113,-0.0060563835856915355,-0.008644561387867487,-0.010228482641483396,-0.01098611117298954,-0.01360119874721508,-0.011554745482233416,-0.016558934405752453,-0.01962276927892745,-0.024216779019165705,-0.0200045741840403,-0.033055443277608385,-0.03665959825775522,-0.026364811875363672,-0.05221402505329291,-0.045179584124480913,-0.05353308079419054,-0.05316907303430252,-0.07068094960731104,-0.07431139051817698,-0.06778998562551683,-0.05877137376146182,-0.06332474121117487,-0.060957859610555595,-0.06933964549923749,-0.06523801286432551
BGD,,,,,,,,,,,,,,-0.0002405071966485409,-0.000498859747644185,-0.0006912854853661307,-0.0009530933467216533,-0.0016562510239649594,-0.002505836394371375,-0.0013676253177381944,-0.0016618622924411133,-0.0017879001578026369,-0.0020532065762269296,-0.0025591748077007062,-0.0035118540269421504,-0.00369388605597274,-0.00385957988602522,-0.00458796451779165,-0.004684404457414334,-0.004869714958159834
BGR,,,,,,,,,-0.0031492846677514275,-0.004926150180482471,-0.0020901538446016317,-0.0023354428470301405,-0.0037449886836882764,-0.004190814569088271,-0.008596470127615087,-0.006493358802804904,-0.006633440650858529,-0.004504460692912956,-0.006789522100289224,-0.0067159584492668565,-0.010643652239600197,-0.012571872293155227,-0.009516639032536328,-0.016685485132828623,-0.019986629913738705,-0.014619873456729136,-0.012281489629807157,-0.014706309912382252,-0.02163503647760722,-0.02384914584449832
BIH,,,,,,,-0.003576875170502379,-0.0036843423874764825,-0.003605170458081752,-0.004115594856805423,-0.0018033961470074061,-0.0030811645697532003,-0.003965962770794055,-0.003022412168518625,-0.006191031062112543,-0.006569984869342836,-0.006735042909038586,-0.004788394805804885,-0.008263528480581761,-0.008286684192401524,-0.007422321932274264,-0.00737893169350838,-0.005172471704272597,-0.00821088309073098,-0.008606897545238565,-0.0071633560001627345,-0.010943966352914298,-0.006848228826088048,-0.013026041068328205,-0.012247279022547804
BLZ,,,,,,-0.0033956008753036537,-0.005159159525206791,-0.005765539890578943,-0.006311746789278885,-0.0069659021897341585,-0.005369008716715687,-0.0065051173252964325,-0.006126211652743373,-0.006944410246322044,-0.006664009365964913,-0.009411068341242007,-0.007585980657720578,-0.009710173387296328,-0.008599413590530696,-0.014220734385223373,-0.015146756085148297,-0.017425190701152202,-0.018009672327398057,-0.02064577499825044,-0.020113116196868196,-0.0171462522841204,-0.020488145600946476,-0.02975443447058679,-0.02673862379598898,-0.019990464717091375
BOL,,-0.00207764124422617,-0.0032770874545366814,-0.004085616880422273,-0.004144153130141679,-0.004797565508029488,-0.004945218128581465,-0.0037361488166839977,-0.0051729900455890045,-0.005560329949660051,-0.007560768831864006,-0.007935977802560615,-0.007739483955721807,-0.007897274448476646,-0.006177319725959966,-0.008632610304777208,-0.010828558619757777,-0.009779508618908663,-0.013914270480772033,-0.01732542517862128,-0.015377138381229458,-0.014155620326944467,-0.01628551493175687,-0.014144349063981583,-0.015558740146180347,-0.016381590596749995,-0.015368924633626962,-0.014989609704207357,-0.019881040797383377,-0.015915975330744268
