country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,countryname
AFG,-35.16529407963995,-59.883525091125186,-63.648803048257044,-132.4936781274252,-175.16415879550638,-223.71012324340114,-178.98173408237872,-171.9224149057371,-213.9010768957513,-173.87520610633536,-91.92578754993382,-139.78684799859576,-282.6736633073768,-215.5378122267792,-442.65988425773764,-374.65090527875986,-458.047435093544,-491.8596293009078,-525.9756423485145,-468.1364245877955,-501.2161057858086,-532.9364508049157,-585.9743681241938,-625.7098329471669,-671.4764072734439,-709.3048277834247,-737.7445588079183,-433.7048167780015,-279.18835197469997,-507.04048663676826,Afghanistan
AGO,-8.935690773122293,-26.078131966685323,-39.988258424574404,-44.77362979724448,-40.17552517539136,-50.39575166661125,-111.2968519486975,-118.51726368362719,-182.41608144603188,-172.44438430594477,-174.99502934962067,-207.43357177793027,-286.7683419134203,-350.5553398668597,-352.09481995289156,-481.0791599339952,-369.3371549024619,-462.61743947586365,-563.6636827671391,-830.9044023899495,-979.6404049257652,-1228.4182692984725,-470.42868495953286,-1700.5167086256108,-1961.521689941606,-2306.0743190471917,-2897.232770512357,-3244.8985966813048,-3954.8646097614123,-4227.618082169356,Angola
ALB,-14.364680195201734,-13.252810010257745,-22.26978937439066,-32.088116855906954,-42.84812975361478,-56.64256839959487,-65.44209282821461,-68.02362204132523,-74.16739959715406,-89.77989189744879,-98.46593630362828,-103.3619433814884,-111.30261860145572,-125.93936996517584,-141.54273565058836,-154.38398159530544,-184.45829669799596,-173.4705103203139,-210.16006800448653,-242.503370008699,-352.89491429650644,-380.41888816483095,-397.4233514405925,-435.2732902760763,-470.6887048162682,-496.802770673381,-523.1598465774947,-552.7232053046434,-595.046316868898,-620.4879551431993,Albania
ARG,-246.7387303601945,-627.4084688506024,-1259.7960361770379,-1677.6749565384994,-1962.0381353096573,-2584.253714218897,-2793.095010319997,-4737.4733267726815,-6657.774114826575,-5178.191832225866,-7086.360018265896,-7078.109650254784,-7351.412694069323,-8124.557232605539,-8696.608048611786,-12792.968829346257,-9670.999339653681,-15584.514373379983,-16854.273618162606,-10720.81150546338,-19748.454267952322,-22104.076408789126,-20945.227944483362,-33657.96825494313,-36722.58564973532,-39633.48743465254,-49166.85886994288,-64379.056757217804,-59338.227981793985,-81419.8878382826,Argentina
ARM,-0.07750601452106337,-0.19333839681444062,-0.3096457043631723,-0.397280538140876,-0.6315352278792904,-0.6615001928595052,-0.8212160510678175,-2.0826517716326274,-1.4213797869409661,-3.185070277099888,-1.8222681577907778,-3.3319312387270275,-4.469529225022327,-6.077726414365495,-8.325327131290665,-6.554301761191567,-4.198452035468463,-10.0853077871766,-12.124768912234806,-9.329226983685155,-8.344730917807231,-13.360243202602453,-14.246027625169436,-16.53411539932823,-16.908772866486625,-19.262733337326328,-19.682693856013817,-10.277281757329517,-7.89380565043476,-5.178086131297099,Armenia
AUS,-10.857567129485183,-18.581690275110756,-38.29810843664838,-37.560722270858165,-47.893115367857334,-68.49082897901827,-108.13608418970094,-152.60121164062807,-117.50032879681956,-163.77057364816466,-217.04682740980428,-201.49408408866228,-287.8252927351901,-212.7333137533474,-292.1924128593536,-333.6287358392126,-308.7001793085772,-219.04077794565507,-377.8759858003808,-391.7360787681201,-364.9725543247633,-423.5342114101875,-569.0293388063008,-678.9939184896128,-554.2132660855946,-741.7118794881405,-632.6623644691259,-726.7197070193895,-677.0964122442972,-600.1931406984276,Australia
AUT,-28.21748273208917,-31.720095726399503,-25.69205671101929,-39.30529414932843,-40.55179888340976,-46.34250179486443,-59.8801528068188,-69.24263709394167,-66.92878597099647,-74.46457429817563,-86.82779872966913,-88.48720665080705,-103.7831865377913,-96.16371535700944,-116.03916175230792,-127.58835128002085,-116.60347026066289,-140.81705872113812,-182.70482073226776,-171.01956923632093,-163.00842084846067,-216.10741530447052,-218.77785680111595,-160.70593206823366,-241.06199257845245,-177.74648116965767,-248.31703275145395,-248.17098232129752,-266.3990334103005,-300.7141001608074,Austria
AZE,-1.4766399397894419,-2.8680300383385178,-4.264827738245126,-3.7622326602717497,-4.7301639412924095,-4.940361181156536,-6.548545251484224,-10.237843077374222,-17.651424951467394,-68.56078352618715,-78.09671625375093,-96.23471706832508,-114.60695240214747,-138.64929841045333,-159.71165973062523,-169.9249324768668,-175.66088814650644,-203.9786713912619,-218.72165829845025,-222.6358781338822,-213.837110349847,-255.26753440513167,-324.58625269566045,-394.07774065763266,-408.3761154538532,-453.6274888648345,-500.54311060925806,-554.8264105589769,-612.63756880102,-735.1019524481159,Azerbaijan
BDI,-0.8615346325000222,-5.43811027460489,-10.24896840345166,-14.584821074641134,-13.608911997130683,-21.155016807394585,-24.111350462725262,-28.401209054972615,-29.601754659682705,-32.650852115439655,-33.26169280295458,-38.64264700703918,-43.016107277784386,-44.48534116463198,-49.23247066588452,-54.18664893943931,-54.23960126520254,-57.61609537822735,-62.95863383210665,-68.97499583928654,-77.48619362600577,-84.18382255665355,-98.23733685836429,-120.67729592402286,-100.81513453790842,-134.1038445159599,-214.8224091071679,-212.30387820736362,-283.8019383151601,-277.87431501617243,Burundi
BEL,-0.4031003505930454,-0.36265211641235695,-0.24327298983322826,-0.07813217149511184,0.10115859729719501,0.19007310045691753,0.3064812462123492,0.5820569968804932,2.8267507111608676,5.547020759520215,6.378531579993861,8.478524039502677,11.013282489118977,12.865990503400749,16.393430519868573,17.932304310825714,17.834562042971477,23.598039630429756,31.506993163041592,32.10131927130067,32.02703318472536,39.8059984658029,34.92362917627436,44.03147796160951,37.65857391476385,36.06741141618758,30.769032727277537,41.251594782196165,26.885287785334157,32.256132968608256,Belgium
