country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,countryname
AFG,-27.791517707951062,-49.07358539785304,-52.803230943144015,-110.59737410788999,-146.75109758922133,-187.9019419225847,-150.61635719725393,-144.87899907360534,-180.44679326463086,-146.80704493337146,-77.66839191289256,-118.1732011683463,-239.08236468733466,-182.37767387446758,-374.6999700773033,-317.2400595746691,-387.9775351833945,-416.73572719069745,-445.75791556129496,-396.8362006032066,-424.9739428829348,-451.9651697286608,-497.04223498393713,-530.8410336259863,-569.7627586740823,-601.9513807479548,-626.1744776806584,-368.1637768767537,-237.02582615205526,-430.5172731933313,Afghanistan
AGO,-6.216702900584119,-19.539959211250512,-30.816972523595425,-35.01873809600854,-31.705446632721237,-40.024927019850864,-88.81326947152786,-94.91207449960744,-146.48146826061367,-138.7782754108655,-141.0782324899739,-167.47220850109758,-231.80970660109276,-283.68298261901765,-285.2063074733902,-390.02580226456143,-299.6701726488247,-375.6264758007705,-457.9759447910742,-675.5221843290357,-796.8974262098118,-999.7983869665742,-383.06396597561206,-1385.3129110496368,-1598.5855055191635,-1880.0718460789517,-2362.8227495979577,-2647.1961486366176,-3227.29471462126,-3450.7931827440807,Angola
ALB,-6.918728792660103,-8.133877221314126,-14.977995040728167,-22.648121369556783,-31.142512157576686,-42.03575263849644,-49.3268258000632,-51.87478091347694,-57.06681830301588,-69.57924890439223,-76.75196800895728,-80.95276650572819,-87.52639692957523,-99.39369167361635,-112.06557624112511,-122.581288683861,-146.84070454497248,-138.42063365377237,-168.06163713238445,-194.31430772227287,-283.29477600651546,-305.91835307830763,-320.0985375759658,-351.08060803413866,-380.143374260949,-401.70660537552067,-423.47855680604613,-447.86319119856967,-482.590824507867,-503.6541640489707,Albania
ARG,-141.70320829016774,-425.85858527436983,-906.3700302378643,-1243.324327866093,-1479.9726567863916,-1973.6233698081382,-2152.731351754263,-3676.3377200068485,-5193.381477245024,-4056.1248677066405,-5569.294419726128,-5578.063317861995,-5806.952398669273,-6430.908464515664,-6896.284685375709,-10161.136474260398,-7692.784880657131,-12413.358092044211,-13441.305372540523,-8559.55962063813,-15783.85928206654,-17683.840944934287,-16771.69980133325,-26972.82138535607,-29450.459105015863,-31805.97510804504,-39480.63304532675,-51725.36215401858,-47699.35007254705,-65481.10449542535,Argentina
ARM,-0.020784951972550682,-0.10205388855384458,-0.18366635451412983,-0.2474523955797752,-0.40392209128735856,-0.43058394105875436,-0.5412552836123663,-1.3851308868648489,-0.9517250385369613,-2.1440811768880543,-1.231867273495751,-2.2601781216261934,-3.040691999381068,-4.145395053952202,-5.691277588302418,-4.489615153112538,-2.8811501048543744,-6.932485361684991,-8.347135395716803,-6.43164368959525,-5.7604742146347006,-9.234048597707018,-9.85736167132017,-11.452173225928059,-11.722736543031921,-13.366142625119242,-13.668419697888126,-7.142291935070096,-5.489555806505816,-3.6032931275097626,Armenia
AUS,-7.927833028256418,-14.74886624877,-31.250431506716286,-31.073986856718008,-39.94494853116735,-57.448406416433855,-91.07961841200809,-128.92873626171718,-99.50552302803291,-138.95044492872765,-184.427932912658,-171.42323412093177,-245.12646785826888,-181.34194310497193,-249.27980090727877,-284.83799290700796,-263.72954919003894,-187.24428473627333,-323.2011897180685,-335.22629602754967,-312.47086118667266,-362.767450740472,-487.5832740556348,-582.0173930698393,-475.216314037416,-636.1791575649274,-542.7952732607878,-623.6528851828881,-581.2002734768773,-515.3006102395591,Australia
AUT,2.379280059414487,5.033105727851534,5.51848567548482,10.156662029449398,11.859909154929426,14.892699328754516,20.71754948444523,25.372481364910517,25.64943648370045,29.603270663018115,35.549110237544475,37.11666072711654,44.431710662944084,41.91049168219546,51.360244718944685,57.231306464049545,52.91823428397778,64.5568272166054,84.49288530227574,79.67601568325357,76.4149909931554,101.81734531753087,103.47212699394251,76.21089504574059,114.51423819854024,84.50375302414496,118.05240619600586,117.89161411956145,126.37349687902291,142.35984616747427,Austria
AZE,-1.3851351702656418,-2.5335957577678316,-3.686559921030486,-3.2159005334709154,-4.016230045671591,-4.1749348408712645,-5.514666322813869,-8.599078274126951,-14.796694617013497,-57.3814233736076,-65.28002602627578,-80.3580237691317,-95.61520766496216,-115.58390172520848,-133.05151525168824,-141.47436121473277,-146.17008538278947,-169.64993678791762,-181.82999527410968,-185.00818242223343,-177.62968852723554,-211.9717487895173,-269.4492932209871,-327.04646820351974,-338.8279409466943,-376.2896762127342,-415.1237213415268,-460.0592790312232,-507.9155309650791,-609.3568545996492,Azerbaijan
BDI,-3.0318092495758915,-6.88863916077381,-10.937220964482263,-14.477158288076039,-12.986557987798838,-19.66605927752551,-22.0013222225853,-25.568672593404795,-26.38350338725384,-28.87106576789641,-29.228266674423015,-33.784571603388954,-37.447547972535524,-38.58134593213768,-42.557718087384494,-46.70375637749852,-46.62644111539694,-49.411187757332684,-53.875866985922315,-58.9073451553476,-66.05550136453822,-71.64418492969712,-83.47640939632291,-102.40528279557792,-85.44376312773127,-113.53046870427306,-181.68040709425907,-179.38109228578298,-239.59289568423534,-234.4056489426882,Burundi
BEL,0.6675125593010192,1.3277526190672544,2.1862563243005235,5.0527804805626255,2.165209760657552,2.0473439843219072,2.38949272808736,3.7445549967969587,16.014142640057305,28.634481472127476,30.729836599724663,38.704680244198194,48.11994159177194,54.154148878302124,66.83064918036753,71.11458341844012,69.02462945758411,89.38152698570704,117.06134642232848,117.23026380405567,115.1536012271153,141.12478995135982,122.27890078905267,152.5080921637155,129.1751823210753,122.67830788526916,103.87324611603462,138.3243548040683,89.6347462013504,106.98035115552135,Belgium
