country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,countryname
AFG,-225.69003168199924,-394.9398302560891,-424.8091159881599,-890.3803834937711,-1192.451326682991,-1528.3140733737594,-1223.4590937218468,-1175.2163950837605,-1465.6190664001695,-1194.2612836200894,-636.4723183394002,-974.9678230728925,-1986.6980631933939,-1526.496468214892,-3158.6191838441096,-2690.49518959293,-3303.768546794204,-3554.8126458598867,-3799.1282178768324,-3359.4287249560916,-3574.9239920400396,-3771.901023368793,-4110.678504094339,-4356.804936562137,-4635.107730308755,-4856.560253866126,-5007.164036077443,-2917.255886995762,-1866.487063586514,-3363.9306724531907,Afghanistan
AGO,-42.92589052173636,-144.8231731306343,-234.67105995870105,-270.5803493602327,-249.33015562641685,-316.89757891998994,-705.2979370995,-755.1216663185136,-1169.8254918394864,-1112.3019184017892,-1140.9504457334335,-1365.4949053606515,-1905.9704388509856,-2351.965430717894,-2383.826265514947,-3282.6789691106073,-2534.5263959327435,-3184.8919502150966,-3882.5681571006116,-5692.027928569333,-6676.513736669364,-8315.069389589475,-3158.8434049570105,-11342.539321595978,-12979.863618004461,-15146.258546515986,-18874.499537915908,-20962.56836881202,-25407.426342992578,-26966.79151366046,Angola
ALB,-58.16383338677045,-65.88769732247276,-120.23055817425141,-181.19411258945374,-250.94642383776306,-338.62656614859856,-396.55250752490974,-416.29812638014914,-458.497859941113,-559.9277811095183,-622.3170632809373,-661.0213718696657,-720.1050699295712,-824.0401679185957,-936.2092131018466,-1030.8573901858765,-1240.6237867351535,-1172.249193710291,-1422.9758916100193,-1635.1862372384414,-2370.488360327171,-2541.2666712532873,-2636.8842457459546,-2872.1486914177826,-3084.7489049335722,-3235.1532116425906,-3382.653297333199,-3547.5208272443997,-3801.7612758517557,-3939.9553318049598,Albania
ARG,-1223.3771117651993,-3533.4739900745694,-7445.645736369151,-10172.542730108345,-12188.61583838235,-16238.955335774219,-17664.889544969483,-30094.168219131014,-42534.601920750516,-33252.015011933145,-45971.25116643749,-46338.24320314564,-48571.12731822683,-54165.18513555216,-58485.2062620647,-86678.1147980195,-65875.48081759278,-106464.32484720727,-115163.00879847415,-72832.18088036454,-133436.12132042312,-148296.35909343715,-139362.0092471196,-222399.23600017422,-240669.6295392081,-257753.92114377616,-317087.4513686675,-411630.9481445564,-377216.9653788028,-513809.0695649042,Argentina
ARM,-0.5890609798692439,-1.233988500901647,-1.888474904513893,-2.375447049593036,-3.769825137765587,-3.924391324954132,-4.842413735892272,-12.225353935338262,-8.338156275568009,-18.690836955202634,-10.766398907616754,-19.816183159421097,-26.77699963231506,-36.690476276335644,-50.648888307378236,-40.148039092039106,-25.845135800043558,-62.2537610156575,-74.85886079783891,-57.26887084292597,-50.960449961824814,-81.04240923445754,-85.74368828600744,-98.89161461176795,-100.38068240322485,-113.5717409793934,-115.18200419681285,-59.68328229002385,-45.62834997962991,-29.745191258841892,Armenia
AUS,-66.78433286654878,-120.98129015219891,-254.85198952085767,-252.9047858481055,-327.63689533598864,-471.1316639171354,-745.3369383981903,-1052.926736942075,-813.2906621363442,-1137.0194132915585,-1519.798970987677,-1421.8480904854107,-2047.3343884648016,-1525.2693859425572,-2111.2595677172985,-2426.6374272130906,-2255.532375708787,-1603.9054153771938,-2765.6747356601445,-2848.823244079864,-2638.278582548132,-3038.266556845793,-4046.2276294636085,-4792.5309065921465,-3878.1882108643063,-5148.360958125186,-4353.189150016639,-4955.712619629259,-4589.266531329603,-4037.0554607545846,Australia
AUT,0.0140315227760586,25.657421503966074,36.07568039892432,72.72151715733405,89.39164730776109,114.59061616784642,160.41704752249336,196.1784681456575,197.55646539183124,226.33332214900938,270.4212981432787,280.0931824682872,331.9553753935647,309.1705454324849,373.0768925006719,407.97415717013865,368.60680435586505,437.49228912664455,554.5866481911688,503.6819425730431,463.8710535950109,591.1457294468289,572.8067708928902,401.6541421453952,572.5624299229279,400.0884722995997,527.5731349604882,495.2803198251698,497.94321999516137,523.3472917724715,Austria
AZE,-8.993453523142643,-18.1800888166872,-27.480050672109524,-24.46517747351791,-31.20662777448355,-32.744192875406846,-43.465916881213396,-68.00215355912644,-117.59186318811805,-458.09873602803526,-526.2755023486978,-653.5694818868719,-784.6602016256926,-956.9726675354781,-1111.107403461864,-1190.2383097040642,-1236.2944170138214,-1439.0654852318496,-1542.762684361616,-1560.7463799765196,-1490.488796741233,-1766.2123766175448,-2226.808825085095,-2684.4202596525597,-2758.770394124016,-3040.6831061503467,-3326.9793171783053,-3656.008082276902,-4013.752111511781,-4780.9864444907635,Azerbaijan
BDI,-31.403416434085724,-62.0124749451598,-94.3826863156424,-122.47625575396641,-109.56273017276408,-164.72704018196654,-182.97056422510067,-211.43420118380695,-217.7564924389679,-238.06408025363976,-242.30658011585936,-281.54021319782476,-313.9104422075845,-325.41159885873583,-361.18767621980345,-398.4845139713505,-399.1866228397495,-423.536955737125,-461.20638370322956,-500.69497564909136,-557.7320381766026,-599.9771006069818,-692.6152240932316,-843.0827382627036,-697.1772047002311,-918.6465696471474,-1456.9947814792042,-1425.4798168404293,-1892.2170360442738,-1837.0261245783854,Burundi
BEL,2.2482047572524277,6.601497371513546,12.59246254106744,31.433428246624786,14.227393404231327,13.88994484522465,16.551073094331617,26.308500054707892,113.90838400138946,205.65422846331552,223.5656260741438,284.5814942005518,357.24893697943605,405.56503113329313,504.3589470376991,539.8471349539815,525.6914144460832,681.0303968782937,889.6599405663807,883.4216108497292,860.3537433079529,1043.3644639802988,893.343942236228,1102.1538105375646,922.1659991333297,865.4152266907312,723.5269469980443,950.9518142607541,609.7341485467014,718.9270128198026,Belgium
