country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,countryname
AFG,-282.4539751780537,-504.19266007381833,-545.8465922264863,-1147.6535464890246,-1539.8182658920061,-1975.8041052309206,-1582.9253293272882,-1521.3155408978323,-1897.9351455324277,-1546.925932085426,-824.5645483229916,-1263.2253090617667,-2574.2221111058316,-1977.9519411157248,-4092.674955977499,-3485.930844049643,-4280.17114546127,-4604.936046084401,-4920.82890356086,-4350.749827661306,-4629.157065228697,-4883.445095974375,-5321.163787809452,-5638.76337014668,-5997.847882326568,-6283.220224425388,-6476.815705188231,-3772.745594172242,-2413.335518321716,-4348.591943230256,Afghanistan
AGO,-68.59813002853349,-204.23821527644438,-316.425459880866,-356.53507533906776,-323.87955999461275,-407.6942330907267,-900.9834150264873,-959.5320000120415,-1480.3638047540423,-1402.8563595764708,-1434.9072852907557,-1713.2793775156058,-2386.5841875385713,-2939.7408015684946,-2974.780702684051,-4090.6247208913755,-3154.3082524395813,-3959.197830550794,-4821.56242532364,-7062.479013724372,-8277.111297784933,-10300.55859086722,-3910.361015373912,-14031.77675271302,-16047.509529132854,-18715.341927757403,-23309.862648689737,-25875.674537794417,-31347.213888033664,-33256.11346933107,Angola
ALB,-109.05610777044603,-115.22354300835278,-205.08840699257607,-305.12235271236005,-419.17008475537057,-562.4659635495964,-655.910194520165,-686.3278036923534,-753.9105931169271,-918.6474457613523,-1019.0030003341551,-1080.5422774329024,-1175.3202021348723,-1343.025921234974,-1523.7790735884605,-1675.7052957602698,-2014.2756923431489,-1901.1102562663896,-2305.255433367686,-2646.4873084176015,-3832.8326738561054,-4105.090031785975,-4255.681763412959,-4631.246632873099,-4969.764382463251,-5207.725443977073,-5440.74774884674,-5701.343663089245,-6105.033158087989,-6321.998663074202,Albania
ARG,-1473.1012934193423,-4417.69944580058,-9421.329118771835,-12947.26410661359,-15567.414939771774,-20787.867396963593,-22649.73271750873,-38631.36325976649,-54648.52716499537,-42751.095994805706,-59135.85819420731,-59633.028346478866,-62527.64107805072,-69748.39543268719,-75328.05376466415,-111659.58350051628,-84872.81123358881,-137180.32799404184,-148398.9157208898,-93855.40762292776,-171956.93233568835,-191108.21174150062,-179592.87985304088,-286594.5518531457,-310127.8704628495,-332127.93693817634,-408560.3059930677,-530345.0280675954,-485972.24005505897,-661895.3337150994,Argentina
ARM,-1.360029608137764,-2.6090266637218997,-3.8743126683910303,-4.798480559400462,-7.540940953815807,-7.796477478585513,-9.569913042733168,-24.06067066482357,-16.354199624011827,-36.55138721812471,-20.998268080964703,-38.557059115446975,-51.9869744696844,-71.08425823828969,-97.92930914534847,-77.47599744974154,-49.78186525801124,-119.69556008735084,-143.68248167155886,-109.7470945002195,-97.50111554893147,-154.81049611540027,-163.53855817491535,-188.32727696501865,-190.87746223833645,-215.64619582104254,-218.39235556254488,-113.0026813247058,-86.26808900652681,-56.15966718354854,Armenia
AUS,-60.722803007137244,-129.78939867524542,-286.97805526932683,-291.41927292622717,-382.71834866887934,-555.281769834578,-884.0916240431131,-1254.798900169874,-972.6850851284372,-1363.722342511634,-1827.1067587546186,-1712.591312609434,-2469.90615969842,-1842.6295084800151,-2553.595478794144,-2938.0617073019657,-2733.314207682982,-1945.133708557964,-3356.2605150551667,-3459.0090045546067,-3204.923203596494,-3692.3940778953674,-4919.182716932685,-5828.394518019173,-4717.756058590637,-6264.42895011771,-5297.996131850636,-6032.40872340739,-5587.261727722561,-4915.652212938958,Australia
AUT,-317.03622759577934,-523.4587784011034,-528.5901797462867,-935.4963209387397,-1077.81808528824,-1336.0430243635094,-1840.0131131835185,-2238.5166416566017,-2259.209349388028,-2608.068210175884,-3154.2520064897817,-3318.015254860978,-4006.1791269878827,-3814.150225568507,-4719.965751635147,-5308.141896119974,-4945.99697739902,-6068.977840364004,-7972.129233709317,-7502.976447013272,-7188.057107719152,-9555.578241806264,-9680.603064961855,-7119.355462722038,-10671.497637954468,-7860.8301026256995,-10957.34807712149,-10918.811852073179,-11713.082538661933,-13187.610478128057,Austria
AZE,-11.596075415695921,-24.313311224323233,-37.18114573324458,-33.288013194847956,-42.60025544040728,-44.7928929168994,-59.545105900740666,-93.25023585536914,-161.36475947988674,-628.9401194686836,-722.8064314659531,-897.8575754922147,-1078.118996684478,-1314.9953556913176,-1526.8419040976482,-1635.5452399030492,-1698.7197613694357,-1977.130376609777,-2119.313868599523,-2143.6945052075594,-2046.8287371842637,-2424.98432678971,-3056.719305950762,-3684.024899563064,-3785.1421823522496,-4170.890605037089,-4562.42455296164,-5012.2883770944145,-5501.198950911671,-6550.8938597454935,Azerbaijan
BDI,9.63597294081856,-29.914942687788542,-71.86605581662421,-110.64522912510677,-108.54117325199144,-172.84783347940254,-199.78775298584205,-237.56303963714464,-249.99590755805005,-277.990882513003,-286.93307455951776,-337.17266387312486,-379.5192832846493,-396.68306435736145,-443.46492182613855,-492.30242575326423,-495.84198476546015,-528.564110293637,-577.9346463438701,-629.5488172758876,-703.4702553606147,-758.8885086744901,-878.253803825762,-1071.4679924867307,-887.8267794899548,-1171.9678637931243,-1861.7744110869858,-1824.203304214671,-2424.8124647234495,-2356.9953403244526,Burundi
BEL,13.09117793781312,13.403149791742877,11.802872400124505,13.114268358334254,1.5125171892023055,-1.3963679716148951,-4.157314969345774,-9.584267978981034,-51.626789641066765,-108.23970321407349,-131.73854981931933,-182.80158369384716,-246.21133649414188,-296.9223837374646,-389.174075365813,-436.14356131637413,-442.4178357830488,-594.4711950728391,-802.6128174217248,-819.9560557962988,-820.7890030017902,-1021.4478700325618,-895.9370325836077,-1131.1092064010024,-967.2184147623602,-926.5836929766965,-790.0041797929251,-1058.3331378079158,-691.464029561172,-830.1514317779738,Belgium
