country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,countryname
AFG,-383.7647369489733,-678.0973611603686,-721.723434619584,-1506.2245632776592,-2004.3580572812107,-2559.5741087207743,-2042.630970290127,-1956.8846803593985,-2431.576600763972,-1975.5541641864752,-1048.6872627020741,-1602.1953827778611,-3256.8605140855616,-2497.2120406134222,-5154.996577100248,-4383.790353323608,-5377.462761727602,-5786.04123301356,-6186.551731587621,-5483.7147131483825,-5849.508230445542,-6190.4341392892575,-6769.30118432051,-7193.4477463237945,-7673.47348810046,-8060.8018683341925,-8331.057255602653,-4865.047139466369,-3119.0301214776464,-5634.688710621823,Afghanistan
AGO,-92.74301605692291,-311.3384830640234,-496.75028250086086,-568.9159740324455,-520.1101088028682,-657.9933092784287,-1458.812544171505,-1556.8593788172889,-2402.0550277333746,-2276.4170084345483,-2325.085507289716,-2774.657100176932,-3862.6011099552684,-4755.5257620379525,-4807.651925755056,-6608.4652035829195,-5096.279760976442,-6403.078530271359,-7808.3502027213535,-11473.802334482807,-13489.324604951511,-16849.04265622757,-6422.014444855205,-23118.396552674272,-26524.60616758706,-31029.29850094456,-38759.0622635854,-43143.967837543794,-52395.30597337636,-55739.83034503334,Angola
ALB,-177.23499697666514,-203.30933653993517,-367.2875364806329,-551.1149300554271,-758.1624927294313,-1018.8971737842086,-1188.8454316394668,-1244.0127910875124,-1364.3022545750405,-1660.1496284520988,-1836.554299658531,-1944.2923267224014,-2111.3879062531473,-2409.2296181122206,-2728.4958337119315,-2996.9082771010876,-3599.91900692366,-3398.527933543561,-4123.684027373987,-4746.094850686411,-6890.763494058938,-7402.847104992317,-7700.513499903059,-8401.916469683756,-9039.80532190375,-9496.387909415382,-9944.642147362338,-10443.961278380013,-11204.779825548045,-11628.874951220534,Albania
ARG,-2337.8605487841824,-6723.445582670705,-13954.583011387684,-18941.644083685038,-22521.517159913023,-29871.90607234373,-32375.55764956184,-54988.126017249684,-77416.14866140965,-60331.98973805906,-83068.08176320881,-83504.31235195715,-87310.7157983525,-97161.0694149535,-104662.32135705232,-154864.14347327268,-117580.31403722988,-190037.31710503128,-205674.67039359928,-130398.94218266623,-239503.18778218128,-267008.9551779071,-251803.77901294266,-402944.46496258944,-437274.6841631885,-469586.16194993915,-579173.8804446583,-753712.075331814,-692207.5599463875,-945241.0247546488,Argentina
ARM,-3.217194188142676,-6.503104873443119,-9.693427105066014,-12.037668852237296,-18.872558434555913,-19.48982005215239,-23.88755810495877,-59.96195011629272,-40.6357029301892,-90.59028164007259,-51.84777065467834,-94.95830173167275,-127.71352611927198,-174.23441713492124,-239.40346657556532,-189.02693700724063,-121.28339584020421,-291.47782918976134,-349.8747447804597,-267.7483252561653,-238.3108544299253,-379.30326229837135,-401.8011744929031,-463.6246883587699,-470.8569164004956,-532.9759432583683,-540.7211161163457,-280.2415304081093,-214.22476268587215,-139.69006780658918,Armenia
AUS,-109.05033863480638,-195.06626315036488,-403.6468779745585,-397.4387171725767,-510.5284704391771,-730.4815837523361,-1150.974570095444,-1620.6186712317367,-1246.665378633835,-1737.2046815348956,-2312.2763867394942,-2157.2107722836545,-3098.282473658701,-2303.248023378918,-3180.483032543422,-3649.584051027456,-3388.839860031159,-2409.9179060541483,-4157.74753581867,-4293.463574021324,-3986.1582603056736,-4604.933313810423,-6154.287545942884,-7309.63296302555,-5931.8593939007,-7896.215334423768,-6694.054802171544,-7639.555753381386,-7090.333836813134,-6253.135470665306,Australia
AUT,-1218.2664867235853,-2387.9569519924025,-2532.8075904707307,-4600.812709778605,-5363.7309768589,-6702.841034449,-9276.70205212796,-11318.014036472005,-11424.736312540866,-13185.305778246919,-15912.66151016352,-16713.79002722077,-20143.451511832773,-19141.38518089469,-23626.637160188766,-26513.551645345375,-24659.55778059501,-30227.39603816495,-39676.59773987036,-37383.697290153104,-35848.14830755762,-47723.107653276886,-48429.94830390811,-35646.4788372073,-53476.5377891396,-39418.820521438116,-54974.8444719432,-54799.24774018546,-58783.42557737215,-66202.4950419575,Austria
AZE,-17.665033010512108,-35.67051789775555,-53.15087489651104,-47.022711826337876,-59.51838639469169,-62.1634941467181,-82.19646926090886,-128.1706823883006,-220.70610422738238,-856.8273156007348,-979.9639886231713,-1213.246863218666,-1452.413563265617,-1766.8938555345899,-2045.734572940699,-2186.8885077629243,-2268.188777972248,-2639.073664417781,-2829.3659057487735,-2868.128366842575,-2744.502657713925,-3260.703439429459,-4123.329689386655,-4981.736821211947,-5131.417601934617,-5668.14663294913,-6214.580861996563,-6842.347632461382,-7524.1967405541645,-8980.224351428169,Azerbaijan
BDI,-78.28502622346214,-161.99279705113892,-247.08484921182222,-321.2886522825446,-286.67241629518384,-430.5250021235094,-477.56438106621476,-551.0979963920881,-566.0538524282991,-617.4776560640861,-626.35578225814,-726.185898575898,-807.99138247987,-836.0789116633601,-926.0022829402853,-1020.1092820544601,-1020.9658542999739,-1083.3198697021448,-1180.264865033919,-1284.4317345927648,-1434.187770742811,-1547.4448419024068,-1792.3685789465162,-2187.36802446351,-1813.5545679696622,-2395.6391451487825,-3808.501877000347,-3734.4085836460163,-4966.719581647511,-4832.77625882387,Burundi
BEL,-33.21358922327817,-87.725053800569,-160.18867388102143,-392.6344646881378,-175.4120621777132,-170.1358028244227,-201.94957924557687,-320.36296184641213,-1384.2298799238642,-2497.4685528212262,-2712.0272919976705,-3454.3870219984856,-4341.70486648508,-4938.732406243322,-6154.720795338408,-6608.495305280223,-6461.217447276632,-8414.795791690278,-11057.934575209929,-11065.245069988125,-10863.596911934555,-13291.777690900462,-11487.248601955213,-14296.631309783585,-12068.4052116207,-11425.72787023101,-9635.82537369245,-12775.447118806564,-8262.405842438106,-9829.973175741261,Belgium
