country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,countryname
AFG,116.13282994738715,41.98103625127785,-78.961901977835,-346.8590697489494,-285.7382348373647,-142.29030662569014,-49.38337423197022,-117.04528322160324,149.01748422291888,123.95779663967322,26.99683615820122,33.26682609369058,139.61804882298884,192.17854404943057,334.63804911380817,332.3499949658988,406.54618332006794,383.4518393110943,324.75854529175416,227.46414293291167,280.78559705407986,190.97728329135117,184.1840579441636,255.9276234246046,211.36128329412568,187.94546932989394,386.6306901362083,214.34896666771576,102.4314973100454,232.3899624011683,Afghanistan
AGO,120.47984947376834,284.73248260001725,320.7387226583552,259.9194448561282,307.892291198414,477.84109487534994,1129.973957814102,1119.8021406061393,2177.9241721365656,2069.1471003511797,1980.3342154912111,2342.102866531799,3393.0044051751233,4428.823746784389,4388.574942312907,6144.987082011801,4738.188730260623,5862.156892688313,6984.173795870414,10070.059314240207,11978.341727378302,14519.640286141233,5499.7890380331255,20103.79557285104,22744.180013475638,26412.9925441567,34385.48797505339,38131.23669199543,45415.56227472445,49053.29400642023,Angola
ALB,146.01265984373123,116.90528882183773,146.49478355696397,151.35207719358814,275.741136444157,460.55004774873805,574.8877847562854,555.6345965095134,777.4392400716451,947.6615511742503,978.0040738040029,1024.4923174094388,1159.1077788465068,1405.1743786321986,1556.2962772344142,1741.0083503574272,2088.387610842585,1937.090533596659,2289.8273902966307,2579.156601835607,3786.036096573909,3932.8037292784466,4057.0685677827464,4492.610547358113,4753.2971203790585,4945.800158796428,5406.750462778918,5645.794371790496,5920.696117256035,6236.038797873317,Albania
ARG,3737.89192426923,7681.977063365405,11485.64479328829,11340.520655611,17113.469568943383,27481.354959370812,31658.607797176646,50165.36079478549,87919.25902015407,68695.801571163,88948.57552663381,88681.32914142912,96314.6757191969,113323.83491534615,119803.3392027204,180454.74477485212,137028.485476901,218316.82352901236,231190.74880492373,144012.3892421065,267532.3036973263,290014.02239039505,271984.4739480814,441713.4134117745,473194.3245456351,504837.9830563143,647618.4016467031,840054.5621528652,757737.8942576189,1049978.115105815,Argentina
ARM,3.5561670084615242,5.474052975848135,6.387643907843442,6.387923189279796,11.706112969226158,13.82686607509687,17.70036883516272,42.14757195563214,33.64660776178059,75.0697548522027,40.926160090854744,74.38848669666265,102.88560216933793,146.40211220987499,197.96967412378078,158.30045153448947,101.44155418465054,240.71895783015745,283.63734037815374,213.77137471138943,191.67823171216284,297.97971251757616,313.7719135296695,365.6662073521711,367.01076318257475,412.60467061778434,431.0920181800435,222.4821272292744,167.3735294454173,110.22791062415803,Armenia
AUS,117.76601873765341,132.25037316901614,160.85007543496562,80.48950131071187,174.5744730775751,351.11045119820767,610.7512651685244,767.2042560443879,831.9748351521372,1163.518014729072,1411.9844706936483,1300.5205798319384,1978.2757525056588,1596.984714482063,2144.9418449594878,2526.2557857038664,2345.9232090943515,1633.2857892218706,2728.0273290068308,2743.334264826057,2590.451109804393,2868.5881999107437,3801.0883032458,4616.286893654701,3673.1712699778263,4840.430779821122,4354.034222549123,4944.47868170208,4465.90529649778,4025.969732697832,Australia
AUT,1841.3468928619668,3010.74182144769,2735.90745772925,4381.193241532714,5607.563041204214,7625.279220088041,10859.880033764877,12817.078746241357,14401.322510843938,16634.558963168198,19442.054153406647,20323.219563302224,24954.127191801756,24392.817824766793,29790.79275440007,33718.57546876001,31336.83996508971,38089.69921889914,49385.18724177658,46064.8891068398,44390.32027664384,58184.95038913128,58816.078032590754,43574.69025033573,64865.21276592467,47600.12334768464,67678.5180310775,67273.094619317,71407.27222407259,80942.71040384319,Austria
AZE,6.8779867980796325,5.398912498868129,-0.8458202356921742,-6.286336742590614,-2.9840912695171435,2.0426356314726637,5.131847049153338,3.522727630469026,31.68796945299552,123.75749437027498,106.08416042431325,124.88375832593952,179.67931775470112,275.66785293330923,294.33263069274864,336.39881321886946,347.17127436361983,378.7118436504773,366.83511339312327,339.81527543833175,340.7951881587463,349.03979158481815,424.3928077004377,549.8577859291687,523.5047717729886,551.6975139766381,739.3625883867945,794.3348883822225,787.436930769226,1006.8463585529915,Azerbaijan
BDI,131.66385684672667,207.5996328986618,245.02568799445055,252.67461027292669,269.0543204955052,468.82333088948917,546.2344906374551,597.0581120532236,731.2621886321255,799.6015361322679,771.6758941878562,888.8344827099226,1019.99193131887,1104.725374916905,1204.8522675394067,1346.8265677837826,1348.050276847205,1413.5463581430083,1512.706240341278,1622.529350301304,1828.3660458726545,1927.992170138695,2222.777133724422,2744.9408223644054,2251.6956134539573,2958.104081281116,4854.767217957399,4746.860649476515,6220.051556501508,6123.745587587306,Burundi
BEL,67.20255968159142,149.22293329121115,235.75920027165165,514.3548907888048,250.36203109478768,262.59569970055605,320.1455011314115,492.5384539163297,2351.947215685408,4247.749735328025,4477.915684237135,5679.817061885189,7265.8813449490535,8488.514845681673,10477.697620316168,11344.317304394102,11087.559105977589,14332.256672996655,18626.885972467157,18472.721863528855,18226.61237605213,21991.257509775354,18945.32801599974,23732.511975299167,19899.379333091565,18770.51315546789,16122.57191798168,21330.167517348156,13667.854488843319,16366.500422560337,Belgium
