country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,countryname
AFG,-422.50728027195277,-744.3402540712897,-791.8199664939602,-1652.6322630392547,-2199.873290966378,-2810.493434367621,-2244.0618211997053,-2151.103347737724,-2674.5263867448098,-2174.3286549732265,-1154.9789767966333,-1765.8041416482397,-3591.995628596356,-2756.2621011118567,-5694.239370241017,-4846.325768950226,-5949.885228344435,-6407.561630721151,-6857.209386140492,-6083.520138744497,-6495.348641500756,-6880.5082444505815,-7531.220651359055,-8010.94835453668,-8553.946711467157,-8994.550512785723,-9305.221776383789,-5439.324323274375,-3490.731461303212,-6312.591867534179,Afghanistan
AGO,-81.54730841009707,-274.99441427094126,-439.6351337674475,-504.21407822773256,-461.50111071125605,-584.4744277052935,-1297.1527356523038,-1385.703687378122,-2140.0203765963697,-2030.0169560174024,-2075.4106226140652,-2479.0727290514787,-3454.4568144880323,-4257.318554379248,-4308.442298943024,-5928.566114452706,-4576.953416805884,-5757.020501433374,-7028.465249470103,-10339.291583601786,-12169.74088715072,-15219.107546928997,-5807.832280546734,-20933.039111394482,-24046.812258290985,-28165.186810957413,-35224.4335245271,-39257.981911741226,-47736.08153592375,-50847.41211380498,Angola
ALB,-108.72594895626169,-124.19572220058411,-224.33890887926637,-336.9153736478892,-464.08690312481644,-624.6363195415827,-730.0530524363298,-765.2840598457718,-840.8040706010183,-1025.0582602773602,-1136.2028661701834,-1205.2537516228135,-1311.521008250261,-1499.7732288841862,-1702.3415094262245,-1874.1636139877698,-2256.6871094949925,-2135.7235636162363,-2597.9700290581986,-2997.5105400663188,-4363.418489890602,-4700.3434598776785,-4902.718441926922,-5364.014521741879,-5787.230297104804,-6096.302347477107,-6401.610089835478,-6741.758096776201,-7253.371836269607,-7549.320376922592,Albania
ARG,-2321.942086905826,-6705.389342076935,-13940.911524077264,-18944.870460738533,-22546.152319676108,-29929.142153580706,-32462.665874361483,-55176.410910397215,-77735.49662505937,-60622.7769055033,-83526.49854499348,-84022.95056151184,-87914.03727148585,-97903.12587716163,-105539.7672001693,-156281.03448248332,-118748.47406971184,-192078.2518022011,-208051.26877951738,-132009.89710188014,-242663.5454267031,-270763.7253793078,-255565.63633699293,-409320.0174422647,-444581.31553436466,-477848.11024044856,-589874.7421920104,-768311.9009714153,-706246.5517118861,-965277.4361416944,Argentina
ARM,-1.1514537798738307,-2.3798304124872205,-3.5805279476919902,-4.474905820939415,-7.052226827547854,-7.3168978539353535,-9.00756108438559,-22.705521750174047,-15.449173066606285,-34.57844939755846,-19.86961786960956,-36.53506212533706,-49.33388207221006,-67.5833979702087,-93.25593841739928,-73.95248407890388,-47.660355775645904,-115.0611322155838,-138.74678485498106,-106.65409424919712,-95.37428897457248,-152.5333583014688,-162.36691716629778,-188.2635064285382,-192.13389500212162,-218.53660827609892,-222.78049635814983,-116.02325407556401,-89.12945874242139,-58.406184503622455,Armenia
AUS,-127.68914529249454,-230.39220661807477,-478.22527844890215,-471.72452584577115,-606.7331706083529,-869.0369046334678,-1370.5269961976828,-1931.3134542330206,-1486.7604614155937,-2073.2277436709237,-2761.4270132020793,-2577.950316896277,-3705.0013729786874,-2756.1332651483845,-3808.4496219956222,-4373.189676279368,-4063.5967535110544,-2891.818770491798,-4992.72949452864,-5159.297182618963,-4793.519108214958,-5541.768176128995,-7411.912324500719,-8810.006304883704,-7154.8415535607455,-9531.355360581289,-8086.292698641582,-9235.416136185782,-8578.04533313754,-7571.007129144877,Australia
AUT,23.127227496857287,68.84996994838542,78.92063849313494,145.87361302502993,169.05924734749263,207.43530008805382,279.52134553007113,330.1211793420523,321.1923110640048,355.61216347789616,409.63824833316517,408.9301908947928,465.9075424869146,415.30866722713733,477.0563338844156,493.57710695959463,418.53529812255607,461.45338777895563,536.2780024142401,440.564146911181,356.5375950256567,383.5164513093675,294.9589488885477,146.87620529749552,113.89177744807438,5.310223502292915,-102.43759561394342,-213.62100098622696,-351.44764930482165,-534.7668090320786,Austria
AZE,-17.005678691726153,-34.447016490937656,-51.418390297498355,-45.556438154822345,-57.739622545335976,-60.38388146530142,-79.94657829449156,-124.82103412914336,-215.2065466440872,-836.5306871955883,-957.9813261883282,-1187.558504817928,-1423.5240878940303,-1734.1234490700372,-2010.6289508627692,-2152.4860468700576,-2235.8461954715744,-2605.4325246293556,-2797.6443976561613,-2840.2955016738565,-2722.2327087408007,-3239.5915672882124,-4103.481172115275,-4966.087363582008,-5123.924973966878,-5669.376082690453,-6226.321147003461,-6866.878503535924,-7564.166623961579,-9043.516313591514,Azerbaijan
BDI,-56.74795115326817,-114.78984950133282,-173.90483840554737,-225.46361217867988,-200.89471950449027,-301.5291026588966,-334.4399179431875,-386.01571091451433,-396.6537477872241,-432.93118309353696,-439.45709822504284,-509.89259583846086,-567.8172017391905,-588.1148014056741,-652.03896318317,-719.0941860484738,-720.5377561205323,-765.4815544580197,-835.0429105335566,-909.8917738277238,-1017.3527385456993,-1099.2401306940524,-1275.0586521506584,-1558.329495149772,-1293.9281312349437,-1711.7681678220795,-2725.353739263372,-2676.378211749188,-3565.0580108535546,-3474.3247568290703,Burundi
BEL,4.6967526146641765,13.01722059056832,24.019444607136723,58.981186272681974,26.30551909478987,25.423346055072603,30.033075775928573,47.37987322500894,203.49343283057937,364.7684369652943,393.3463563816656,497.3759014852031,620.3547314832645,699.8461053511514,864.5579157505362,919.7708256439165,890.5826035840638,1148.1129938819715,1492.931830400347,1478.2740700748172,1435.0254839531249,1735.0659132850406,1481.2751366384705,1820.574576212085,1517.2385255767429,1417.858819660525,1180.050484174615,1543.3564904364987,984.1436271091262,1154.0440712788063,Belgium
BEN,-285.6489711192758,-614.2507979742905,-980.149760450517,-1376.8584421327819,-1754.2084892974196,-2481.311841185468,-2813.965697070987,-4084.5339457388495,-4361.660353406858,-5765.54503283631,-6126.1887144411785,-6152.657429825824,-7812.858696867853,-8409.204046916135,-9740.173598047524,-10809.129337261882,-11643.137687262488,-13467.296680372634,-15128.510715746797,-19841.44646447889,-17736.720848705685,-21690.855598027534,-23355.20514615821,-27417.859424349623,-29726.22798161771,-29672.36905767953,-33310.02248594957,-36849.0165986146,-40013.526834262935,-43752.07424447531,Benin
BFA,-166.95038759173224,-413.2727685686579,-670.6804733534066,-706.4325286017968,-1144.208067761619,-836.7011258313031,-1359.5809528966242,-1951.3255374967566,-2273.4767453952954,-3154.4905865486385,-3157.591522333852,-4966.574031781982,-5842.340876059802,-6481.174687447354,-5084.508627138016,-9117.766174489238,-10650.747261130236,-7307.658559650948,-14309.14977886787,-13439.941198228202,-18116.65494278196,-18278.426647550503,-27987.888036328684,-30122.9439830481,-28696.478603573734,-30935.23212980308,-35373.66425356717,-35445.20230617639,-41102.84945621868,-43195.814404443314,Burkina Faso
BGD,-1.3392768116760883,-2.6521848082385797,-3.6295931396903485,-4.895958602182921,-6.308214799993498,-7.3399356710118795,-8.72495558714461,-9.895882809731683,-12.563547247629456,-18.947467084405073,-52.58682077221053,-372.22592697800195,-741.7264220935323,-808.4320057190366,-1807.1947217271124,-2884.0701445251843,-4551.069146171554,-8460.127785208562,-13520.708013785346,-7803.789780334885,-10105.358264907833,-12325.211558710724,-16652.305104919276,-21002.623122124238,-30392.985872187255,-34197.66280371096,-38627.06554482888,-50071.14262484689,-56957.66206219928,-64608.31776415009,Bangladesh
BGR,-642.867120887394,-2953.0455457200233,-2766.5694641731475,-2083.2764930273825,-3673.175953413237,-5822.187861227924,-3929.400949546477,-7206.945625792348,-6407.186162304191,-9572.801425174996,-4910.852780314789,-5863.365764302292,-9464.84643709209,-9302.548703616145,-18474.025318034728,-14933.966945038866,-16132.49293439268,-10709.962342290572,-16026.890205188793,-16118.898096213905,-27250.228433681168,-31288.484709025906,-25822.649656503458,-43582.36090129938,-52724.94289295318,-47733.42225274104,-41397.45307353137,-50000.70159166921,-72033.56375305413,-86870.68712780924,Bulgaria
BIH,-141.3372196967994,-290.9290529563559,-437.48459696406076,-502.97141625077035,-539.1466382503725,-528.1967665044707,-986.2515020105203,-1609.78418552371,-1863.3899767669004,-2431.899647401665,-1298.8553196749315,-2340.554717719252,-3009.9288789245124,-1987.0538682362212,-3934.8795397546905,-4332.3253367929565,-4642.534958706801,-3203.499967205263,-5447.271712991986,-5587.558282580501,-5297.345258983808,-5066.4758092969805,-3810.583327174234,-5993.896505218137,-6361.302806800701,-6608.919205821225,-10453.18471512884,-6628.866570761202,-12503.93323130843,-12753.636237516186,Bosnia and Herzegovina
BLZ,-13.989522726448147,-48.768921286269205,-60.73114038135785,-83.3364069610185,-89.3516344586928,-130.6936515671953,-201.00113613828051,-234.3358799692895,-266.7150212675964,-322.24701739206296,-278.8946840095664,-354.9300390652615,-352.37612645628224,-438.16879738604405,-440.59122607779443,-636.3015398837193,-536.2222970203059,-709.3407953846876,-617.7992594392051,-1017.6438404865535,-1096.29148046465,-1257.9978456901144,-1349.205621635717,-1615.6455621457278,-1637.8082804188805,-1436.452037734022,-1717.070908097039,-2448.411297935666,-2224.689733414876,-1734.4495446313679,Belize
BOL,-219.58250214219123,-485.08685689667,-846.1426705929532,-1202.2958867598893,-1382.6447723554604,-1740.6476027920353,-1978.881665420458,-1625.0104608435158,-2476.9967343614685,-2821.5335421085415,-4183.23622495107,-4770.932314282884,-5173.339915655207,-5792.866201936478,-4889.745819931894,-7253.73393396767,-9469.410969223107,-8762.07749025894,-12198.180145902645,-15229.209935476054,-14066.816962326842,-13470.56835089785,-16224.22054062786,-15050.620947326483,-17460.54970153143,-19278.78055620688,-18854.20828395926,-19161.199564060316,-26485.606067038458,-21677.14883811683,Bolivia (Plurinational State of)
BRA,-13618.717037589713,-30468.062788758438,-58669.149030759865,-77049.1541962239,-104244.79787863344,-140289.0926040919,-134854.28424316668,-172373.34222758387,-175050.31262859874,-213121.06483606913,-236857.15702387664,-337917.7824345104,-316091.713712154,-462794.26606819866,-434016.87852252484,-394127.0677816255,-515809.671743701,-676623.2363250664,-818839.2433083414,-750175.3113342235,-871359.0740043175,-930611.166508575,-1259123.169128124,-1502881.3102997895,-1576605.6779840055,-1769752.8576219948,-1397156.050131377,-2232212.4795252103,-1964631.6884895265,-2519490.970373747,Brazil
BTN,-0.7722956400858094,0.12027795608718686,0.9499053821674068,2.2048009744665573,3.8312220356837816,5.829455720740506,8.199170118365526,10.284556381801915,11.782456696043392,10.904738027474814,8.368686413964998,11.313091703217388,8.448064962693927,10.890488660709243,20.631718616777476,23.28235097477701,20.891986638692547,23.134089595214295,19.666879051658288,17.941322276161202,17.400809480140246,24.653588052116728,22.95256517574005,24.086250447995678,24.73167327917988,26.83011272115147,26.173353340183453,29.699857018798856,17.161189622397128,14.02815096271942,Bhutan
