country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,countryname
AFG,-538.6671174315228,-958.8126890097062,-1023.1497920545248,-2138.49173664382,-2848.704553123955,-3640.8325871710595,-2907.588970590372,-2787.2851006727333,-3465.3780403807878,-2816.9887160404196,-1496.1272445846491,-2286.944494482172,-4651.07797786486,-3568.0269040698463,-7369.208779172556,-6269.951094731474,-7695.1359619940085,-8284.140347916073,-8862.211265627631,-7859.393066502193,-8388.105305779545,-8881.798964208434,-9717.620381178653,-10332.11342508747,-11027.56325059538,-11590.418537808655,-11985.390040951705,-7002.807362099757,-4492.009687113171,-8119.455918366556,Afghanistan
AGO,-116.03389821232675,-364.07266526498904,-568.0266729819302,-643.2493582285953,-584.1813295059617,-735.8763692335539,-1626.6768235564027,-1732.4805454566758,-2669.2467265789583,-2527.089989686486,-2579.296766221613,-3076.598326034655,-4281.740647824307,-5270.873843351013,-5328.661005316715,-7325.487298174107,-5650.45958970125,-7101.538843324802,-8663.402600325358,-12735.72084999196,-14980.465645540828,-18722.148498023365,-7140.312130655774,-25720.85782345895,-29530.61471446988,-34570.148440496436,-43213.213472266645,-48138.21132011656,-58506.22445987008,-62290.720769212836,Angola
ALB,-191.08168953237583,-209.69781769918262,-373.565917341083,-556.8163680053483,-763.2461777656981,-1023.5972528828823,-1192.9184273570954,-1247.5457394575074,-1367.9212617622418,-1664.7023348974074,-1842.1488694709938,-1951.1208585530608,-2120.073197538206,-2420.9148204840135,-2744.047720555883,-3016.840394412427,-3627.618159015264,-3428.5047209456616,-4164.963747434123,-4799.32349392255,-6977.0290986685595,-7505.697853588343,-7818.4185686408255,-8542.742307922614,-9204.671236603726,-9683.724072498113,-10155.729371315932,-10681.656888365256,-11477.407841678825,-11930.315108617093,Albania
ARG,-2895.798016986072,-8524.305797378243,-17828.217805426582,-24298.135028790755,-28965.57840809,-38491.823636817295,-41780.20948033899,-71047.65860172437,-100128.31546318065,-78103.3170260275,-107626.84773061074,-108275.49356467159,-113293.7281092914,-126166.06572336944,-136002.06129871678,-201375.16201090557,-152998.217100409,-247448.61367491525,-267989.1448641462,-170015.39301110987,-312472.72575639136,-348591.32501563354,-328958.9303584758,-526757.8343950049,-572010.9109028057,-614674.967820115,-758605.3290827505,-987848.9370724182,-907825.5064595251,-1240477.7520575847,Argentina
ARM,-2.449307837858281,-4.822767379646822,-7.135252057441956,-8.834574033651286,-13.835481570809765,-14.285781551706128,-17.51662484825541,-44.00437946899878,-29.85181887242524,-66.6299253772868,-38.18667333346622,-70.04126620329328,-94.35035856168179,-128.93992400324132,-177.49172191846054,-140.4137327175912,-90.27487083301612,-217.41427166977104,-261.5397624252669,-200.57910165439662,-178.9348870396392,-285.4746587219304,-303.13805380039355,-350.63513588641865,-356.98202345893367,-405.073080755916,-411.97069366567564,-214.04706966237958,-164.04050937883102,-107.24025919513458,Armenia
AUS,-135.59030521716352,-264.2501461750878,-561.4266026369884,-560.20748147216,-725.4628310716387,-1043.8067802945366,-1651.4648894953352,-2332.6709210048903,-1798.8873826748247,-2511.9429349954585,-3349.49365556218,-3129.722050607599,-4501.272859335959,-3350.52849295156,-4632.1391847121,-5321.243369267433,-4946.2221637719385,-3520.897730196136,-6080.143563393213,-6283.993097436128,-5839.193241735899,-6751.2429116173125,-9029.996098817735,-10733.520503311333,-8716.922647279725,-11611.949992309488,-9850.965765448793,-11250.111523262134,-10448.461203872786,-9220.935781511365,Australia
AUT,-511.22981497816914,-907.6352096474391,-932.7489900208357,-1669.8649850424397,-1932.5713844139327,-2406.2920354667226,-3325.5168729439356,-4057.335240152551,-4099.541172611953,-4739.134319341317,-5732.069321136583,-6036.361348635264,-7296.580374909136,-6956.888208834443,-8618.60221303499,-9710.015759579454,-9069.174613406476,-11166.428297368804,-14724.85639681332,-13937.882848659965,-13431.219434908813,-17972.200658351165,-18333.998235524534,-13566.25811371146,-20461.138039757236,-15163.34923191686,-21260.779765057523,-21308.354893073156,-22984.51966881453,-26029.9152129689,Austria
AZE,-22.687896927826642,-46.816814555361105,-70.2743324647895,-62.425034528945616,-79.22912956750169,-82.92228036034659,-109.83375213190732,-171.5173086910622,-295.7282193891839,-1149.4481121585677,-1316.1286427102268,-1631.1835309030932,-1954.7719092746565,-2380.5171816296224,-2759.077154820627,-2952.537229294664,-3065.5199517726996,-3570.5489099048414,-3832.03731491337,-3888.4878233331665,-3724.8176308736515,-4430.16877783576,-5608.2232006851045,-6783.0448110266425,-6994.33007986982,-7734.098775548326,-8488.590745327863,-9355.93666095647,-10299.259920740053,-12305.41586442823,Azerbaijan
BDI,-24.207432264746945,-100.35979433210866,-177.96340635362583,-247.99061706887295,-230.29000636305008,-355.12951376906426,-401.5213341679093,-469.9725668427153,-488.04246529814577,-537.1673731052458,-549.0212525154689,-640.5945250122235,-716.7311614590216,-745.3982727794305,-829.3390300750002,-917.4246287674957,-921.7080175540899,-981.4613500159453,-1072.784400958168,-1170.9004479929367,-1311.1707356750962,-1418.6026623871546,-1647.4102140415885,-2015.4183223330056,-1674.9056885368398,-2217.4058927107517,-3532.6167463358934,-3471.0262769180445,-4625.743466018146,-4509.810863018811,Burundi
BEL,10.624391178076964,6.797771690886971,-0.2162195882241403,-16.492718047118736,-11.755382550510944,-14.351605553069824,-19.65379756344912,-34.37208477364963,-159.48929759218666,-304.42373737535297,-346.2942522579284,-458.47382752362677,-595.8641155399171,-698.6664776952298,-894.8776274784612,-985.2457499367152,-985.88039215312,-1312.0044080025948,-1759.128704274018,-1792.7397391419413,-1791.9771456746266,-2230.923351477808,-1960.2866410734991,-2478.6306461918844,-2124.2873629011574,-2040.4949857716388,-1744.8889121611726,-2345.039679776505,-1537.0382797382915,-1852.6102250117742,Belgium
BEN,-314.39185333518935,-710.4829325950869,-1151.0266802964836,-1629.080592009558,-2084.777274802372,-2957.5654241556686,-3361.052636729543,-4885.98475075341,-5223.309304493243,-6910.528317063031,-7347.856932340365,-7383.602349291057,-9380.030684530102,-10099.600358485619,-11701.45958964247,-12988.58192614041,-13993.169755873889,-16187.575462878838,-18185.92374195272,-23852.54978499765,-21322.843579861452,-26076.375812649247,-28076.479358137596,-32958.84299590388,-35731.38879581329,-35663.789554652874,-40032.23196942167,-44280.73142632157,-48077.770047634,-52563.029451381255,Benin
BFA,-172.66816891194526,-460.497507846736,-764.4894981136681,-814.366436615832,-1327.8637627581224,-975.3211905618468,-1589.8582295121691,-2287.1030812411177,-2669.300167419351,-3708.750523181591,-3716.4737526736867,-5850.774089752988,-6887.410814781898,-7645.165260569276,-6000.690201483925,-10765.187835476314,-12579.448475384334,-8633.358862196475,-16908.691499321194,-15884.165487886268,-21414.117586474717,-21607.286164924197,-33086.89170551158,-35611.86185936504,-33925.480349114274,-36571.36522528356,-41816.71263305132,-41898.80600591175,-48582.88005112249,-51052.13868682426,Burkina Faso
BGD,-1.6730830793177631,-3.4031122547193133,-4.692465929066819,-6.352295548725858,-8.20119892781289,-9.554708449863286,-11.367339958995329,-12.900258120208594,-16.38411444106765,-24.715852078387375,-68.60818003342665,-485.6784981168346,-967.8441884076062,-1054.8845400821394,-2358.027101467737,-3762.8508393539587,-5937.158978640388,-11035.30956625537,-17633.54563425926,-10175.892845392056,-13174.528645281187,-16065.188896101607,-21700.400696836557,-27363.014234327497,-39587.3602205704,-44531.72163661732,-50286.59787627018,-65167.56558724641,-74109.73775408791,-84040.39785116132,Bangladesh
BGR,-885.3208451111327,-4512.461444765913,-4359.859972658321,-3332.3454285965327,-5925.9662143251,-9444.417626459648,-6397.626949866102,-11763.422956630213,-10476.01353400638,-15670.764781023545,-8045.7347860411255,-9611.277534073055,-15519.328818550634,-15254.75417860637,-30292.625303411136,-24482.76692211338,-26438.830339572836,-17544.310702707848,-26240.088858716485,-26375.079376893766,-44558.50884656695,-51122.76509014969,-42157.557088568836,-71090.33355555951,-85925.95995378197,-77719.10932288416,-67338.9555609466,-81253.33525577914,-116938.1476121342,-140877.36469589948,Bulgaria
