country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AFG,-0.04343845371588387,-0.0869441665694179,-0.13093224319690208,-0.17513404086113324,-0.22041955315615439,-0.2664277033927826,-0.31389586437021333,-0.3617009390836303,-0.4099201115128512,-0.4591059114712218,-0.510429352229488,-0.5617456538793291,-0.6143287914497807,-0.6695260318806618,-0.7269845415027356,-0.785957928014824,-0.846419320560081,-0.9077500698821277,-0.9696457340013632,-1.028375394828567,-1.0901806313371478,-1.1530207120782703,-1.21589407093259,-1.2797644382072222,-1.3435791067138765,-1.4070288910604176,-1.4701504777047578,-1.534089539401491,-1.599396035516676,-1.6642194438212117
AGO,-0.026866258008968854,-0.0546076182308906,-0.0826599660259066,-0.11085206467972637,-0.13973895614398518,-0.1690905354493319,-0.19937749255318446,-0.229883466705706,-0.26065781065521726,-0.2920533409779479,-0.3248179360406928,-0.3575826729828724,-0.39116114571470295,-0.4264142465542697,-0.46311735499807133,-0.5007942795063796,-0.5394283352077853,-0.5786246021569847,-0.6181887562268712,-0.6557355491810625,-0.6952553126099618,-0.7354438394118721,-0.7756607797210721,-0.8165227678151309,-0.8573564892415885,-0.8979640377930077,-0.9383687812428483,-0.9793041684497209,-1.0211226869431045,-1.0626395334096435
ALB,-0.040630276943144916,-0.08363353842976617,-0.12711445743354835,-0.1708075091229269,-0.215572712309302,-0.26105319400226573,-0.3079779378505491,-0.35523676103443563,-0.402905989830068,-0.45153189710999897,-0.502272269661935,-0.553006766509957,-0.6049949623662282,-0.6595690193609082,-0.7163802677332316,-0.7746908685458179,-0.8344743717404872,-0.8951191599798254,-0.9563242549203026,-1.014400258231384,-1.0755192762315995,-1.1376634046567733,-1.1998422140506897,-1.2630088322487305,-1.3261221913075276,-1.3888764851293611,-1.4513079685056418,-1.5145498093278502,-1.579146063484753,-1.6432663725483452
ARG,-0.023656651008623884,-0.047085565318696176,-0.07077771621732422,-0.09458849715325211,-0.11898671862319579,-0.14377806958763456,-0.1693601583653438,-0.19512794584359652,-0.22112313674473824,-0.2476437882459602,-0.27532172573229047,-0.3030006009213583,-0.3313677499157974,-0.3611505530997026,-0.39215937127687467,-0.42399199385264563,-0.45663440837224606,-0.4897530097820254,-0.5231836482814811,-0.5549107811046675,-0.588306247331057,-0.6222680700998928,-0.656255146799734,-0.6907886236268976,-0.7252994958868922,-0.7596204912024692,-0.7937713406133916,-0.8283719854555339,-0.8637204343329211,-0.8988152232318807
ARM,-0.04279673326074958,-0.08483877663963996,-0.12734836223821697,-0.17006591019294492,-0.2138322639328426,-0.2582985488915023,-0.30417753736574127,-0.3503838251881899,-0.396992054154619,-0.4445363683132214,-0.4941488692567131,-0.5437563947153583,-0.5945905694727561,-0.6479540749652692,-0.7035060939651467,-0.7605252364496449,-0.8189857167286518,-0.878289515032028,-0.9381423477436397,-0.994936260309697,-1.0547071017370746,-1.115481589432953,-1.1762911530286386,-1.2380679601925777,-1.2997938754884808,-1.361169804484996,-1.4222311863325576,-1.4840863348815414,-1.5472674391667562,-1.60998426499451
AUS,-0.026692750907710925,-0.05370129349056773,-0.08101257225552493,-0.10845987338765672,-0.13658357392046408,-0.16515964607829733,-0.19464634056574542,-0.2243462230228421,-0.2543073408408786,-0.28487318575779175,-0.316771867833313,-0.34867063992015757,-0.3813615908478753,-0.4156828532392059,-0.45141573663031315,-0.4880966318557863,-0.5257092905813017,-0.563869229885498,-0.6023872615030906,-0.6389412103367486,-0.677415892897113,-0.7165415845287512,-0.755694868696629,-0.7954760699842858,-0.8352296810672547,-0.8747630320335995,-0.9140988738858103,-0.9539512514851347,-0.9946633237016725,-1.0350816339353932
AUT,-0.04084310932481192,-0.08246324499344465,-0.12454690004243421,-0.16683711158998188,-0.2101663415468692,-0.25418924227547474,-0.2996115314509377,-0.3453586534461145,-0.39150452721375406,-0.43857803274696344,-0.487700141137084,-0.5368182384608822,-0.5871518318572615,-0.6399908823947407,-0.6949980618893589,-0.7514591681941022,-0.8093487601835703,-0.8680747317702217,-0.927345712063087,-0.9835887388293296,-1.042781111941684,-1.1029687771318757,-1.16319255073899,-1.224375654549233,-1.285509768983558,-1.3462986529693874,-1.4067773837538051,-1.4680437156857968,-1.5306248442131638,-1.592747565212543
AZE,-0.044789301515435906,-0.0900999274324322,-0.13591259610339457,-0.1819475131161321,-0.22911073643448304,-0.2770261963256394,-0.3264618068184957,-0.3762478982181264,-0.4264648429625432,-0.47768804474418725,-0.5311369816164014,-0.5845780213557867,-0.6393378695135995,-0.6968195086971402,-0.7566554306284163,-0.818068301600841,-0.8810300911236391,-0.9448965262480329,-1.0093505528928302,-1.0705070822876155,-1.1348656124074536,-1.2003010360071422,-1.265770402285026,-1.332277214176878,-1.398725292826781,-1.4647926997505696,-1.5305176451270515,-1.597093043161131,-1.665091489113503,-1.732586164770057
BDI,-0.026057427396251134,-0.05124617369903638,-0.07671783417356234,-0.10231693835699204,-0.1285475026134141,-0.155200616555351,-0.18270373990996133,-0.21040639300311123,-0.23835340889244583,-0.266865218995517,-0.29662107393463766,-0.3263778042752062,-0.35687433938805657,-0.3888926444329095,-0.4222288251260422,-0.45645046611888157,-0.49154248928880884,-0.5271462433276812,-0.5630852535874898,-0.597192758314544,-0.6330935735629399,-0.6696030315092513,-0.7061394328670149,-0.7432630088136374,-0.7803620726364345,-0.8172568082954151,-0.8539684296009394,-0.8911633603994448,-0.9291619416810795,-0.9668876229810803
BEL,-0.03305480219751425,-0.06587428045600786,-0.09906125109222058,-0.13241312367212638,-0.1665865046394991,-0.2013091502090523,-0.23713784722854872,-0.2732251299463902,-0.30962936705892036,-0.346767896022641,-0.3855253468637753,-0.4242823741786409,-0.4640013444856943,-0.5057005102811984,-0.5491140854256414,-0.5936787401352118,-0.6393746758629044,-0.6857347342824135,-0.7325290417349072,-0.7769365094522676,-0.8236765943979912,-0.8712067186829934,-0.9187695272839953,-0.9670942605384942,-1.0153846100072081,-1.063406536029352,-1.1111876851718625,-1.1595953922812998,-1.209046434407135,-1.258139739369839
