country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AFG,-0.058845975754018676,-0.12004587144614723,-0.18194886407549543,-0.24417744942405759,-0.3079574940285207,-0.37278197360663085,-0.4396917094418147,-0.5071051802992774,-0.5751318622825539,-0.6445524717022608,-0.7170226266826247,-0.7895158181636042,-0.8638329231898764,-0.9418818767217737,-1.0231687389943747,-1.1066415505637104,-1.1922654995173383,-1.2791670232229404,-1.3669162823031271,-1.450220938135006,-1.5379341103569644,-1.6271641663249286,-1.7164900513122958,-1.8072820498004758,-1.8980447182596556,-1.9883376997288629,-2.078212282666934,-2.169300164591435,-2.2623872513624943,-2.3548367485146366
AGO,-0.03810397560197784,-0.06831429240085306,-0.09888400685534346,-0.12962701100760188,-0.16114950283540155,-0.1932017027252046,-0.2262992408543692,-0.25966064829259117,-0.2933404793078936,-0.32772594204953803,-0.36363862597181984,-0.3995798232467184,-0.43644305761177005,-0.4751767632287456,-0.5155384802754063,-0.5570080410542614,-0.5995699426503986,-0.6427914097399839,-0.68645958323477,-0.7279392480818027,-0.7716386204723529,-0.8161196178697953,-0.8606745756048726,-0.9059876950265273,-0.9513132841964989,-0.9964312376976706,-1.041366811826732,-1.0869362053864655,-1.1335340704814407,-1.1798411202706485
ALB,-0.048042211241047836,-0.0894731933838619,-0.13141463666453299,-0.17361160370474363,-0.2168969177043154,-0.260928685637568,-0.3064166115574585,-0.35228780548178856,-0.39861774248313464,-0.4459399501274753,-0.49538717642982705,-0.5448973169372484,-0.595702079135769,-0.6491113239306002,-0.7047942921463155,-0.7620362091778361,-0.8208179965583708,-0.8805437953962735,-0.940920585048035,-0.9983027106802651,-1.0587882916206786,-1.1203900934758686,-1.182128897633193,-1.2449535849711106,-1.3078310113968934,-1.3704554346599276,-1.43286128322129,-1.496182427932191,-1.5609690130778664,-1.6253874664287618
ARG,-0.027279703776494618,-0.05748646533400547,-0.0880453538018731,-0.11877015380804792,-0.15026637824451805,-0.1822839954314067,-0.2153375105623604,-0.24864601733898825,-0.2822637803163479,-0.31657691762039003,-0.35240442680872014,-0.3882505481378887,-0.42500607586778705,-0.4636155194820665,-0.503835694860096,-0.5451470492174578,-0.5875331481621497,-0.630562210382841,-0.6740218313548246,-0.7152902566201368,-0.7587532806028064,-0.8029792001640935,-0.8472640355016463,-0.8922874754983151,-0.9373082614066538,-0.9821079122019782,-1.0267117466645632,-1.0719297632180211,-1.1181527944661525,-1.164071847452939
ARM,-0.03242012304069352,-0.06219347354513335,-0.09235511687083184,-0.12272224592365255,-0.1538951838004879,-0.1856290902347248,-0.2184371545285302,-0.2515469882617142,-0.28501369150462225,-0.3192237947331148,-0.35499876925240537,-0.39084850778295877,-0.4276659847772355,-0.46640389018359185,-0.5068268167140731,-0.5484195022397138,-0.5911710599098216,-0.6346505258571615,-0.6786460824677101,-0.7204986322618805,-0.7646558821953685,-0.8096712635132464,-0.8548303616682792,-0.9008283644594782,-0.9469098763781829,-0.9928504291659257,-1.0386746027348863,-1.085215550142787,-1.1328799822859557,-1.1803199064958425
AUS,-0.02776178616727676,-0.06700561059087225,-0.10670344260898594,-0.14661328834551085,-0.18752151282069188,-0.22910313986893838,-0.2720260833507677,-0.3152760263552381,-0.35892332610399574,-0.4034691036285393,-0.4499761639251606,-0.49650258313169837,-0.5442043788329465,-0.5943067717917686,-0.6464934401559939,-0.7000896433097465,-0.7550735573357723,-0.8108846607082855,-0.8672471935659094,-0.9207614373684305,-0.9771146055141359,-1.0344496716945997,-1.0918537831519408,-1.15020778216437,-1.2085507544171654,-1.2665996218166844,-1.32438729440663,-1.3829630816169625,-1.4428328562859956,-1.5023009808769823
AUT,-0.01956727319531629,-0.03331244645413002,-0.047272819186020866,-0.06136466834470273,-0.07586822399749228,-0.09067188857241908,-0.10601791867425253,-0.12154743067238592,-0.13728731329481375,-0.15342126413555754,-0.17034102651386465,-0.18734490106310772,-0.20485829977049472,-0.22334016030504575,-0.24268566903199215,-0.26265427978123723,-0.28324573651390567,-0.30425647035295356,-0.3255866378221952,-0.34594279447856974,-0.3674881488511865,-0.38952387278556805,-0.4117021795179206,-0.4343663719394649,-0.45714598932339207,-0.47992944520466396,-0.5027278357597925,-0.5259566208595153,-0.5498227114094587,-0.5736528166985175
AZE,-0.0544851083417583,-0.11423808044668869,-0.17469865285667935,-0.23549861133728656,-0.2978366189437893,-0.36121844213458654,-0.42666338612158555,-0.4926259281042098,-0.5592137629561347,-0.6271921731408626,-0.6981848856197806,-0.7692288370489135,-0.8420899492296801,-0.918642114269906,-0.9984052177050702,-1.080350510878538,-1.164446668693889,-1.2498379934701864,-1.3361035115162396,-1.418037788014112,-1.5043481888798491,-1.5921933557858625,-1.6801753328101756,-1.7696448048354987,-1.8591290408074985,-1.9481934201075597,-2.036887794331728,-2.1268228979864054,-2.2187768971112947,-2.3101459685185564
BDI,0.005739251048755515,-0.01737232935873452,-0.040762763135680016,-0.06428974871304953,-0.0884173780156333,-0.11295472179488351,-0.1382968323971135,-0.1638456188183794,-0.18964297801853985,-0.2159857060268227,-0.24350370225494394,-0.27104892369348155,-0.2993063726420661,-0.3290037109730876,-0.35995587803400536,-0.3917646477344642,-0.4244186861643008,-0.45758641372373343,-0.4911047693737842,-0.522950572564367,-0.5565082056218832,-0.5906741256069561,-0.6249049981845936,-0.659726701208717,-0.6945663956538719,-0.7292548318667673,-0.7638113073151478,-0.7988636118766363,-0.8347157670342156,-0.8703529151880294
BEL,0.023503152926048848,0.018423082314702365,0.013245462176714873,0.008000895832062873,0.0025842625567289255,-0.002963914860155091,-0.008735853579412966,-0.014597762401026306,-0.02056031216384229,-0.026694033989682016,-0.033149989733133184,-0.03966193391082616,-0.04639370494942299,-0.05352452229654787,-0.06101759849742191,-0.06878270030778044,-0.0768221426007447,-0.0850583849488815,-0.09345350710766026,-0.10149640930108314,-0.11004177875920927,-0.11881578182477805,-0.12768086782684968,-0.13677516465710654,-0.14595085454505125,-0.1551627074927461,-0.16441470735756405,-0.17387591378791983,-0.18363244367036627,-0.19340984151495674
BEN,-0.036130238294269555,-0.08262071532089894,-0.1296421366406167,-0.17690769497912606,-0.22534837529970497,-0.27457891901777415,-0.3253895510412215,-0.3765791030715601,-0.42823064463737637,-0.48093683075182125,-0.5359543284596009,-0.590985267966262,-0.6473966148612653,-0.7066361776401102,-0.7683284898345261,-0.8316747351436282,-0.8966481533173942,-0.962585607442824,-1.0291608175221567,-1.092358889339898,-1.158896199301799,-1.2265787495199323,-1.2943285663515827,-1.3631848790811332,-1.4320134924098396,-1.5004805842786,-1.5686251939142504,-1.6376845104190974,-1.7082541722985491,-1.7783351733444832
BFA,-0.030524774540524515,-0.07228798095193706,-0.11452780208601178,-0.1569865815860133,-0.2005006030378581,-0.24472376115256658,-0.2903658703207578,-0.3363479122789039,-0.3827444885530855,-0.4300879298942589,-0.4795069824846368,-0.5289375611626788,-0.5796074867701675,-0.6328171363669304,-0.688229161733568,-0.7451259791120081,-0.8034834781732975,-0.8627059800220426,-0.9225003850563205,-0.9792607615632283,-1.0390193066106883,-1.0998054324904778,-1.160650961666841,-1.2224891724884575,-1.2843014272746982,-1.3457879254156284,-1.4069837258842568,-1.4689998243191502,-1.5323710335354699,-1.5953022108627126
