country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AFG,-0.08802444063712195,-0.17722387001697373,-0.2639399888313201,-0.35161790076748795,-0.4399658588760981,-0.5302657720460554,-0.6233366539631634,-0.717034449245908,-0.8104625414378211,-0.9059702729055111,-1.004343518515591,-1.1036275885301499,-1.2053676606028039,-1.3125057624342176,-1.4235598425602543,-1.5385117213792805,-1.6573736523048341,-1.7799034460546945,-1.9048073698100978,-2.0277994902583605,-2.1579346074599584,-2.2925857138646477,-2.429405640907223,-2.567591901388156,-2.706933169114807,-2.846343632388434,-2.9857613785628945,-3.1275703211931445,-3.27239469855164,-3.41837622432835
AGO,-0.04529681273779366,-0.09198106632335556,-0.13738743904386716,-0.1833193096260065,-0.22962447692080837,-0.2769758448039491,-0.32580475340009996,-0.37498772089051924,-0.4240542770523475,-0.47423901580928274,-0.5259569554570718,-0.5781820851229658,-0.6317286867042923,-0.6881487135274837,-0.7466660628621379,-0.8072749819378177,-0.8699858980191453,-0.9346750231734531,-1.0006626276559005,-1.0656847441868134,-1.1345313276360114,-1.205819288920068,-1.2783099983840915,-1.351580501076998,-1.4255203838553232,-1.499554326197197,-1.5736496002005118,-1.649074764329436,-1.7261653621123079,-1.8039350186407013
ALB,-0.04789676721394644,-0.09644025500149486,-0.14374979372263472,-0.1917015184624444,-0.2401388421920876,-0.2897695939340187,-0.3410533704974187,-0.39281556213058366,-0.4445612298773296,-0.49759505844703833,-0.552363760988877,-0.6077869873338713,-0.6647344187786421,-0.7248704368278232,-0.7873848643306584,-0.852286222043779,-0.9196007275051902,-0.9892104502751049,-1.0603959302278363,-1.1307150001902382,-1.2053582302327233,-1.2828508528690905,-1.3618605594495918,-1.4419333795092735,-1.522953337457399,-1.60429169573304,-1.68591150912084,-1.7692145209679548,-1.8545826670488623,-1.940932191646244
ARG,-0.042999006653465316,-0.08725562630358172,-0.13028230645422997,-0.17378846681177174,-0.21762949504040371,-0.2624417169596775,-0.30863188289188687,-0.3551361812338148,-0.4015097255212518,-0.4489188266112433,-0.4977539642093358,-0.5470451110101289,-0.5975597247912904,-0.6507591792023784,-0.7059083473574881,-0.7629989484636008,-0.8220378681414283,-0.882905652683148,-0.9449603894829881,-1.006073017697221,-1.0707434627630075,-1.1376676996622903,-1.2056801614608137,-1.274382651982977,-1.3436707229681775,-1.4130049228146226,-1.4823547906769585,-1.5529067880332943,-1.624972560756269,-1.6976283577756026
ARM,-0.027448132743445285,-0.05672993758897986,-0.085351933458097,-0.11444674743271782,-0.14392152789354912,-0.1742106093036324,-0.20560124253262463,-0.2373793188365811,-0.269241292612221,-0.30199302058779487,-0.3359176986420745,-0.37035175506227525,-0.4058405682292402,-0.44343375743565494,-0.48264008824593185,-0.5234780556939849,-0.5659776485581482,-0.6100778342408845,-0.6553336280205797,-0.7001928331826819,-0.7479761709804044,-0.7977616508108538,-0.8487060915370069,-0.9005233300056055,-0.9531428206927284,-1.0061580937669317,-1.059544611604379,-1.1142234681951901,-1.170455736345705,-1.2275354482921388
AUS,-0.05837804863974921,-0.11894323139942929,-0.17781249338124158,-0.2373250170896678,-0.29728264251424674,-0.35855505138017324,-0.42169734534660347,-0.48525451481872,-0.5486184769253795,-0.6133824410445124,-0.6800786699551933,-0.7473814576192959,-0.8163378850811367,-0.8889408619041489,-0.964184702796941,-1.0420559898327633,-1.1225619241384925,-1.2055374251256596,-1.2901056467282408,-1.373364996570981,-1.4614445448152562,-1.5525645826167604,-1.645135986520695,-1.7386156310225713,-1.8328605909043736,-1.9271367256684815,-2.0214026289205935,-2.1172702556036596,-2.2151612457944556,-2.313819396417542
AUT,0.001427397689257838,0.004381550242178947,0.007058021916566819,0.00956870239162667,0.011900175940336832,0.014077802939415606,0.016105467437051393,0.017924986758137217,0.01951816880045839,0.020919110723365643,0.022121948270729844,0.02308940142534476,0.02382445317064015,0.024318681443848585,0.024528723649018164,0.02442288508521983,0.02396854250326133,0.02313407342901369,0.021901921886283114,0.020313270767388765,0.018227921513190054,0.015633675912716298,0.012544181525762055,0.00896121632827087,0.004878899948599857,0.0003242065514832762,-0.004699880881849583,-0.010290073805238248,-0.016497271219718737,-0.023262022091637885
AZE,-0.07990257157949195,-0.16185212309146033,-0.2415935103635131,-0.3222925279479914,-0.40368241411251604,-0.4869471510447274,-0.5728477141483753,-0.6594093539899184,-0.7458038740895931,-0.8342058064994285,-0.9253488258179521,-1.0174266749243042,-1.1118766393954305,-1.2114406524433925,-1.314754612132964,-1.4218129487710396,-1.5326387042968939,-1.6470176156457992,-1.7637512588695632,-1.8788341065930276,-2.0007467018160416,-2.1270472191977583,-2.25554496633592,-2.3854916681926945,-2.516692177756118,-2.648125358903892,-2.7797320044861475,-2.913765797225941,-3.0508255202013626,-3.189159098035957
BDI,-0.033799465831984184,-0.06666123660637172,-0.09863963808118478,-0.13100428356033553,-0.16364835410922962,-0.197046935551872,-0.23150558824279396,-0.26623242035044303,-0.3008953174768151,-0.3363669570605844,-0.37294212444587255,-0.4098963353485141,-0.44780677678730096,-0.48777467335070135,-0.5292532643585217,-0.5722410976426386,-0.6167482729989107,-0.6626896386921235,-0.7095846538862647,-0.7558245064358418,-0.8048174641333584,-0.8555837855073999,-0.9072440349663818,-0.959498169278385,-1.0122684054014541,-1.0651445709268421,-1.118103240696933,-1.1720520185694627,-1.2272331057942212,-1.28294215465011
BEL,0.008432281302923937,0.01789260958617505,0.02695518804779856,0.03598388522523456,0.04494518708103791,0.053963306735222455,0.06310913521166622,0.07216410616295825,0.08104103569826647,0.08995905167493762,0.09897959020727995,0.10791421898500589,0.11689370110339284,0.1261573075041074,0.13555180347367055,0.14505389202848737,0.1546421916946116,0.16427480054178226,0.17383190549056712,0.18298481853369705,0.1923914139218219,0.20182450720457512,0.21109797681980047,0.22014619456971404,0.22894752206615737,0.2374300508076492,0.24559066899313972,0.2535614831365776,0.261359508871862,0.268870801619006
