country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AGO,,,,,,,,,,,,,,,,,,,,,-218119.7198547926,-289476.0816587851,-230992.29199161733,-424620.4415188682,-587791.940671512,-547068.0414277345,-447327.54232052906,-1057684.890932447,-711762.8783003489,-546333.9987581768
ARG,,-53178650.16258617,-76723835.08627738,-96919424.76439895,-127736777.98337378,-158453323.32632557,-190559936.31962797,-193516758.72908375,-373142743.0090645,-446436736.0185496,-499201356.70410943,-736380465.7299775,-293357947.9218602,-393336362.8197688,-385893121.8252497,-512481115.44060165,-558709572.6304551,-696801122.5240012,-718211414.505501,-436884742.3502034,-756083473.2721623,-709650804.879705,-561430742.5079615,-609124723.4236195,-471785879.46573406,-501106247.29450566,-315084043.1797573,-275217180.8497002,-116830166.14477411,-104256365.90218985
AUS,,-43315.27372061219,-59754.83112220181,-56580.51734499672,-125889.45590403421,-51385.36316586942,-104207.48129389534,-188521.09004844795,-131961.30881799062,-306208.57998388534,-294779.57674010686,-134815.0936921697,-201106.85119175835,-38358.00444748047,-308086.3864983252,-260202.92186736752,-312024.66252985527,-193294.91229761438,-279233.64207200205,-641936.8989019705,-601001.2565293984,-359898.7716617731,-1113697.9406259677,-1176074.0013088654,-404452.4143901793,-416960.43976172834,-340477.0261322423,-392397.06964164396,-369659.80088995246,-188414.34744410226
AUT,,13919.01830083148,54514.07170624501,91986.53791769453,97973.63054566526,39547.89648993666,37978.056331455206,47316.4527098275,79572.41349433923,85324.08547096267,53296.015444729004,58803.705343181275,70461.40003878313,102903.05822715917,139791.06041278172,205150.27139713187,239440.4346927585,228680.5607384344,268024.8311963365,357437.6970138656,480789.5150632606,619777.3904747838,577797.8774805826,501342.2651130813,752658.713306095,761256.4022773129,889036.4878971996,1200428.1895199404,1260614.4459210488,1451465.0039599591
BDI,,,-2015.4345136755633,-2063.300460217364,-2147.337008445002,-3242.5473072150367,-2498.2550966585595,-2984.4928409390805,-2190.616242892266,-1705.7078698647608,-3387.2360106448587,-4865.0373325896835,-5348.366968941654,-5960.844019732592,-7196.233593690827,-9306.227231548104,-15150.432444606982,-16072.769729471289,-16042.874017010605,-16843.926541625526,-15850.686958347664,-14914.308802037514,-11360.961685151235,-18981.93028482742,-20998.03509327656,-10491.517519474413,-14331.501467723576,-13030.064966183814,-14602.823578852336,-15880.11949774958
BGR,,,,,,,,,-13613.344521977615,-13019.317041983837,-5021.480401209831,-2699.660527568217,-12776.81698813552,-2393.626946137212,-3157.104335388888,-3258.874725857258,-809.9051140656463,-474.8728324199711,-1441.495684078869,-3290.498548346368,-13849.55968428845,-6430.748221680013,-1830.879057630065,-6212.465049666572,-8039.094042898646,-389312.8321207563,-186176.7440247377,-218131.7772296349,-56815.01280083379,-90556.97612209998
BIH,,,,,,,-2986.8194463504765,-4856.089099928129,-5964.12346283719,-6872.677515071342,-2756.696522324311,-3116.1559197609354,-6301.251616938336,-6400.793007121115,-13090.821227131277,-20617.380453603506,-23341.466590072003,-17427.946107849308,-21041.382477923507,-20989.416979448335,-21099.950666763692,-20086.281752848445,-19839.269954468844,-26101.345308508,-31556.87881549836,-32709.221569690293,-61497.21442702795,-41729.004549313475,-91831.52739422127,-93642.5858417183
BOL,,-779737.1624742202,-904135.1445018167,-1555059.7145439582,-2577264.8436082727,-3656320.545238839,-4045219.3000570466,-5144291.022245958,-6262589.032369962,-5746307.283050678,-7427389.202334296,-7382195.135168262,-8057332.661199998,-10491310.936820544,-11032478.926841324,-12600960.494499926,-13139366.05762657,-14246390.935916286,-13107472.014140235,-21731121.91609174,-20787434.09023278,-24632882.062588073,-37623823.495050594,-42378313.74198957,-44617278.72274276,-51902555.14334725,-56208251.30931633,-49088520.88985902,-56574861.03373349,-60091814.69862738
BRA,,,-29995407340.066185,-2775073331.1858573,-218075802.35824487,-195372825.20003915,-188658439.7655245,-230251922.56408492,-287576616.3511597,-204050549.63625216,-238257220.54206195,-236554277.05241063,-231460312.2323546,-296120645.91394985,-324194610.563592,-437804413.56758106,-543957326.2769442,-722797627.7894452,-853335381.1261313,-803143006.6282786,-1170431889.9265745,-1428126963.034566,-1146081865.559036,-1367627130.1140842,-1407467198.300865,-1179639340.2174826,-1167698251.64018,-1594248751.2746143,-1498407718.0588534,-1412952073.4792538
BTN,,,,,,,2363.5138566967044,3043.7919179107635,3792.0781087290293,5871.486103480194,5912.038446585009,5377.998964357749,3427.7845348857104,1626.6514895601822,14641.315272517792,26574.925011523985,24271.987411609083,28517.28268444823,16818.2428063396,10791.856180473947,8971.851459999458,19220.021788109218,6329.378882839692,8861.483842561629,6373.688210029174,4638.255922237951,5358.494998172739,4638.12293439283,2441.9272969592403,3921.144456348192
