country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AGO,,,,,,,,,,,,,,,,,,,,,8.422930885181879e-05,9.948577584065988e-05,7.051523141178093e-05,0.0001251007836328487,0.00015719931612184277,0.00014009137210552522,0.00012853898801036618,0.0003003681238130248,0.00019491839245135376,0.00015516424245573288
ARG,,0.019798549758206524,0.020514982683329616,0.018727695873528107,0.02893399169031904,0.04409172050085853,0.05325336922914494,0.047012788533953714,0.1059636850946481,0.13076485652135675,0.13837233635781823,0.21005078982283776,0.09670518297049897,0.12445034636072005,0.10885428522443633,0.13333283877459426,0.13312030465382715,0.14885687520547286,0.14301907829777058,0.08985149555147565,0.1413109880891487,0.12077742066959327,0.09506284867094578,0.10118684685657024,0.07875735436126237,0.08029995727169503,0.05339523240036316,0.04508813343774866,0.019255242786969076,0.017727836656507172
AUS,,7.785328687742951e-06,8.219993531478826e-06,5.81145848907065e-06,1.5451288868089633e-05,7.251549181681757e-06,1.4998088672551292e-05,2.4501721572501865e-05,1.9915104988299787e-05,4.381547173353474e-05,3.8060404885034305e-05,1.6770653082859866e-05,2.4769324774756767e-05,4.7866059201861324e-06,3.582773296486727e-05,2.9435758852261873e-05,3.396963197081156e-05,1.980497635349763e-05,2.6767889101763234e-05,5.863586591287265e-05,5.371891334574886e-05,3.0294101335104362e-05,8.876530405977994e-05,9.174375225015506e-05,3.010385572333539e-05,2.9928179886295498e-05,2.462616983510705e-05,2.7566593016658626e-05,2.4711041867800182e-05,1.2459570726628293e-05
AUT,,2.3084179912354608e-05,7.885205050995227e-05,0.00012099063730993595,0.00013480647345133696,5.658733252030956e-05,5.4404102795733435e-05,6.471475526941505e-05,0.00011421414409303026,0.00011797356517295077,6.956271210178643e-05,7.53467978924936e-05,9.025999246078183e-05,0.00013313992256622911,0.00017457113259944596,0.0002514890765515179,0.00028372767235193037,0.0002593157704322912,0.000296628324893177,0.00040668614605117003,0.0005393731846311557,0.0006681168919559174,0.0006174342664116485,0.0005402310711731802,0.0008014440536905144,0.0007989014631232289,0.000930389138860775,0.0012302871284073562,0.001255376931601672,0.0014330133857150891
BDI,,,0.00021484172367016214,0.00020397457905441157,0.0002548776567210149,0.00047309893447103796,0.00041401258554232806,0.0004826204330945657,0.000388379764534682,0.0003050121498789774,0.0005841411497616312,0.0008126402049180443,0.0008732086060668923,0.001016214373194162,0.001145783754146107,0.0014713136837663286,0.0022525700934941735,0.002269563411893949,0.002111035255727458,0.0020890742409513303,0.001867882212028629,0.0016452968801296812,0.0011848664959537905,0.0018890184981373004,0.001972327011307555,0.0010135257285827507,0.0014238023512102573,0.0012799983762889844,0.0013888930623282086,0.0014914561609055816
BGR,,,,,,,,,9.355823994264377e-05,9.703758798488284e-05,3.381751628720343e-05,1.720535361900518e-05,7.849863566645211e-05,1.4433871381922004e-05,1.7374056296669068e-05,1.672751874973682e-05,3.839016134163727e-06,2.059816442679305e-06,5.71278460677528e-06,1.3102094066150837e-05,5.403465068587203e-05,2.3725966757101772e-05,6.579796023141019e-06,2.2400340608225275e-05,2.8056944275181522e-05,0.0012910808534158534,0.0006134870083086909,0.0006920197204079787,0.00017173989827728658,0.0002646037446198997
BIH,,,,,,,0.0002604173697252305,0.0002985410907286822,0.00035769409647978513,0.0003749196836019065,0.00013628833466459764,0.00014815122565340198,0.00028944046725955073,0.00028981421843298963,0.0005429238379950758,0.0008186397430354856,0.0008654049370657701,0.0005955058423717988,0.0006615277706213087,0.0006607256998140019,0.00065183045018606,0.0005937672536373343,0.0005785867048469515,0.0007372592013641812,0.0008591200264839794,0.0008358902973529771,0.0015399459224682904,0.0009965201902708259,0.0020593315009751765,0.002031668542107611
BOL,,1.0388196121702464e-05,-0.000825979543820538,-0.0023752472334579618,-0.0024387950074027357,-0.0015107169712472346,-0.0009070286645629448,-0.0020240570352615733,0.0011928534966680175,0.0010253737078000779,-0.00011495423947671313,-0.00045080346714775115,0.0001904933417294853,0.0015517400371266462,0.000732598923897278,0.0009564199730112766,0.0006389561149799146,-6.044381359117066e-05,-0.0008725818126013859,-0.002598323943612774,-0.0023084662293069696,-0.004084503414802293,-0.006803972786684289,-0.006780773422269727,-0.007997956985556432,-0.009748409246639209,-0.007444475059298516,-0.00652683666515489,-0.008520955058477941,-0.007963566543640683
BRA,,,0.8993706270835615,0.04191390354654298,0.005413630738337523,0.006634117932820588,0.006949391778759903,0.007312822755061415,0.01273878222101013,0.008939776745153302,0.008999000865420076,0.008565232509829832,0.008546917013371834,0.011622980223559962,0.011481739245267065,0.015125235941597858,0.017764130064323196,0.02141647859926467,0.022837715257462754,0.020470697352830934,0.02779541612242493,0.03062741467172802,0.02345627623019837,0.02742728958365769,0.027054028821932936,0.022916675637840278,0.02504806224345004,0.03340427949581322,0.029714806674569764,0.02828024151438411
BTN,,,,,,,0.0020667977491099494,0.0024601924360677335,0.003158403291637703,0.004525177996684926,0.004286187251907774,0.00361017283671714,0.00211407456332507,0.000951142626402713,0.008047725861596758,0.01370901757861385,0.01181697661780353,0.011856926336879106,0.0066120733402481756,0.003899055170111486,0.0029034512967350116,0.005658852262869272,0.0017645870941736524,0.002439285095045498,0.0016466993136508448,0.0011197347539523052,0.0012133460725869654,0.001028681826789702,0.0005200544907425098,0.0007954289327191849
CAN,,0.00018626254448205712,0.0002184210948083955,0.00030770020561617057,0.0004462232704511277,0.000581904921051726,0.000658833912782613,0.0008696961606172069,0.0009910404259077291,0.0010687247707397687,0.0010570647150052713,0.0006571676369745258,0.0010011676063110741,0.0012027740444468808,0.0018009475483948558,0.0021158839335214414,0.002600075928796651,0.002216112860707168,0.0028928053626675605,0.0031395029895417608,0.004480621658306055,0.004739716906730127,0.005534255398135251,0.005873319577511236,0.006262271351158814,0.0060038423814531144,0.006270644552564521,0.0075847474869914396,0.007342288552942149,0.0061271607080601006
CHN,,0.0019330706981328036,0.0020848653238936298,0.0028871235409243887,0.0025626014557673543,0.002735020972070554,0.002994192428590943,0.003360228583743588,0.004197226286341541,0.004095857908957681,0.004327699888309956,0.004353414145760859,0.004781457550912988,0.004578639229360218,0.005015015611399763,0.004658915035462415,0.004208242607382932,0.0034527694896383018,0.004422326427976166,0.004152344203664023,0.004077041096984497,0.0038882754161543766,0.003486697366325989,0.0032236941480770723,0.0032053095159590528,0.002989381296957407,0.0030642964544447225,0.003510864179624329,0.003618634006059012,0.0039060742525489226
CMR,,,4.086383664654209e-06,3.7473201643196516e-06,3.7434762947312537e-06,6.828379346273997e-06,8.54280619681597e-06,7.76492896654193e-06,1.1560227890096735e-05,1.2633260771263337e-05,1.068022969707555e-05,1.035582535775282e-05,1.3181535751050816e-05,1.8126434540779247e-05,2.0156388326677802e-05,2.2875176956456765e-05,2.5118362131235157e-05,2.8288291318251763e-05,3.1204514025253095e-05,4.26621289364269e-05,4.5844825419414165e-05,4.900634495933166e-05,4.043724367141522e-05,5.16199522252036e-05,4.5554438800235816e-05,6.144010515165776e-05,0.00012564561908628256,0.00017901940000984132,0.00018977962062576752,0.00020246564037370156
COL,,0.0002867796967411608,8.941708009564985e-05,4.348381916055773e-05,0.0001187458206730781,0.00017162061467235497,0.0001203008209419857,0.00016402307306068688,0.00017581040432461175,9.081844154666902e-05,7.172749494195038e-05,0.00011044151182046334,0.00014933835615975918,0.0001681489614379956,0.00015225545223366933,0.00014318767113274543,0.0001240435135094535,0.00013195634096974896,0.00014493676262348316,0.00013930605916767058,0.00014822025237162456,0.00019586565400224763,0.00022919370620703538,0.00022332444875641663,0.0002114804161264804,0.0001491651135241334,0.0001372719453654643,0.0001443584902445573,,0.00018765243770023116
ECU,,0.00210640662753811,0.0015674225943126557,0.00024895304028827565,0.0020599217225727353,0.0017768674982395329,0.0016402568717946426,0.00014792857779740494,0.00020777142842945255,0.0008417064271383026,0.0004647885780761351,0.000570880920364164,0.0006146972168970898,0.0007180486213183534,0.0006807623926222662,0.0003941942367155975,0.0001543192305389509,0.00037148615833826413,0.0004067585897090591,0.0004275816716937132,0.00045433523283721706,0.0004558097397779345,0.00037355377978504984,0.0003868966445736229,0.00017903155783305973,0.0001821141810391427,0.00027130721855795026,0.00022189093114487903,0.0001589312657364172,0.00026563506229306303
FRA,,1.0205503315652056e-05,6.072195299510915e-06,1.2075807131766427e-05,3.139070752787243e-05,4.608849526926871e-05,4.7144480629812115e-05,5.22224374396448e-05,6.732659756827515e-05,6.548386721648998e-05,4.4473563377886334e-05,7.114338085342004e-05,5.5664914515043365e-05,5.259181753442778e-05,5.994344536678305e-05,6.2183885801708e-05,5.657952785120022e-05,4.3910910784985304e-05,3.671136405817397e-05,6.537156872269536e-05,8.321165070970129e-05,7.749983243730229e-05,6.378756735669252e-05,7.360915446767458e-05,0.00015656692113767175,0.00020018767012379738,0.0002138274620740786,0.00027302681596129354,0.0002777107484842826,0.00029178105160530197
HRV,,,0.005113031149708485,0.0005079461755065896,0.0003510286160226035,0.0003850355984760339,0.0004415431621711314,0.0004473745725001245,0.001049920155826957,0.0015833876331992434,0.0007970716205734442,0.0011783368774040803,0.0018506076981732338,0.0014708128875540502,0.0016278339703443261,0.0025763424127511377,0.0039135631067603776,0.002241951120836656,0.002992032395950792,0.003376983779350803,0.004686146342134971,0.0048298488250556075,0.003123220672162511,0.00392201757970878,0.004824304686443387,0.006171779831522848,0.007988462200902841,0.007056785465878429,0.008820507076329667,0.008490211297276354
HUN,,0.00028060090927393814,0.00023602383138062182,0.00015282135263268388,0.00011543601851214181,0.0001461743748319499,0.00020823601856065257,0.00020538738504736687,0.00035215657054308625,0.0005396048258405041,0.00018395577964796367,0.0002559326151580481,0.00040992038254351805,0.0004535117759522697,0.00066061360400514,0.0008430894971694976,0.0009016185655351535,0.0006941182274096446,0.0010584120737416962,0.0010336193194705715,0.0012014074923334713,0.00141165317341652,0.0009586923978210581,0.0011710352633481727,0.0016532403419622934,0.0017488859048225575,0.002303620242375636,0.002293104700221968,0.0023058288302012543,0.0020102070080374105
IDN,,0.002441297851432652,0.002350807951906652,0.0013693301196563848,0.0024288600031340496,0.003951786966632779,0.004129405281258735,0.0029156241999593905,0.0014833776849288108,0.0022142779962893025,0.0014518559159597477,0.0010029775050172897,0.0009908179723690383,0.0012039129062667519,0.0012343854209833213,0.0013170747584962308,0.001303031725738171,0.0010114857363098812,0.0012043095775036033,0.0013754682823711474,0.0014765355138971563,0.0013570700808746968,0.0012281750613677164,0.0010353054596979655,0.001086305576061336,0.000953442317315509,0.0009135802136516136,0.0005628513500738542,0.0008994300788926012,0.0004095324750037347
IND,,,,,,,,,0.0034779441715266524,0.003386674801992617,0.002373713230609025,0.0026303056809242912,0.0021913903335850325,0.004134427468702771,0.0036358273574843133,0.004557251399630354,0.004694745234391583,0.00618805666236025,0.00531350135167664,0.004582651295126986,0.006123970339864143,0.0055478925632108725,0.005749758721433772,0.004264085047487503,0.003427914322887125,0.002580771310305794,0.0038658187716747896,0.003884831900017426,0.002937717145453068,0.003545806346280757
IRN,,0.0004857463525195239,4.4367783521306996e-05,-0.0007815246779089067,-7.413677698694051e-05,0.00028721190219694036,0.00027286727365022313,0.0002879876261017859,0.0006617079165151221,0.0004377079056419291,0.0002190402796661072,0.00022786872957477036,0.0003381546274217933,0.0003938086483693072,0.0005292742819238895,0.0004929539445418404,0.0004450911975196634,0.00038519272643902153,0.0003569235155143632,0.0002975665749870502,0.0002651487727209042,0.00015949659213508269,0.00019934921915553604,0.0001324902808971034,7.667846923016532e-05,6.41798314568046e-05,7.572121999526115e-05,6.922605308570096e-05,3.514266554385251e-05,3.623598264788858e-05
ITA,,0.00011326568407300146,0.00010828246935145506,5.464646435588655e-05,8.617275714322609e-05,0.00011420978434957967,0.00016231915993710256,0.00022230779303001195,0.00029083850957699775,0.00021614520412691012,,,0.00015767911270160156,0.000143214182565458,0.00021709900406064898,0.0002509301928170091,0.0002665034942367136,0.00022577137286934623,0.00021832828433235394,0.0003110600193730863,0.0003681385188323216,0.00040943681621545135,0.0003077322435657867,0.000509157899184788,0.0007940904412296919,0.0008231206658222757,0.000839626243482558,0.0008305289235712472,0.0010352478836392204,0.0009024963506901446
JPN,,1.3519282559261732e-05,1.6000567801762987e-05,1.0618426579481956e-05,1.6424867837107424e-05,2.888274263839864e-05,3.699534184684919e-05,3.516126380375857e-05,4.77222139817497e-05,7.285427096011907e-05,9.92708948381809e-05,0.0001180417260359271,0.00011925930095100638,0.00012372576873538753,9.713177572001471e-05,0.00014090865014753664,0.0001440435870672737,0.0001467795889078618,0.00020489757971992544,0.00022048490241486276,0.00023377228637123807,0.0002619144000927783,0.00029289502805539876,0.00021193615152445184,0.00023482590479761097,0.0002213540062645877,0.0002584838687261746,0.00027340618691257306,0.00023730336151303884,0.00026245444882991753
KAZ,,,,,,,,,,,,0.00011105503564908744,0.00031064575013787447,0.0004910201914227761,0.000651860848252336,0.0008886692085166994,0.0011176659000528917,0.001216887932134113,0.0013511730753433778,0.0012203999635597032,0.0014678490732300939,0.001679963805375664,0.0021186547164142493,0.00249166187803684,0.002274598025615478,0.0019208319367447126,0.0013774753506436846,0.001581153204801662,0.0015040844080966916,0.0015027861937556373
