country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AGO,,,,,,,,,,,,,,,,,,,,,-0.00030062133695294693,-0.00038557999147871157,-0.0002834660447997697,-0.0004964813301419531,-0.0006556482288934343,-0.0006045189835855025,-0.0005073951754900842,-0.0012014807136241103,-0.0008193145817434292,-0.0006333361399714092
ARG,,-0.018331486284215135,-0.024502994116930896,-0.028605161751368142,-0.03562175367731524,-0.045481677251319415,-0.05183276817641052,-0.04868793029660614,-0.09040042722320571,-0.11194711444645218,-0.126173719120962,-0.19470525525410567,-0.08704998245609433,-0.10724034472523118,-0.09649767044353663,-0.11773147952765213,-0.11879209068341307,-0.13591058266714584,-0.13462461119293256,-0.08704321417350536,-0.13678872303779357,-0.12111646711301687,-0.09681338538093695,-0.10257060312002897,-0.08149166678603241,-0.08425503982679923,-0.05410314734481448,-0.04596215531047745,-0.020035420282578355,-0.018244156339454035
AUS,,-6.907669759434215e-06,-9.488716275518618e-06,-8.635210397379431e-06,-1.8477530625423845e-05,-7.2600111591935744e-06,-1.4175297342944467e-05,-2.4678701428365674e-05,-1.650497635175315e-05,-3.646547359955147e-05,-3.3779753406359e-05,-1.5142254776029684e-05,-2.1723550846990375e-05,-4.019205430296976e-06,-3.0973321756417526e-05,-2.535949880470921e-05,-2.959463532310366e-05,-1.7666835911511766e-05,-2.4637912635015867e-05,-5.5588640631288534e-05,-5.091354079675408e-05,-2.977201998591608e-05,-8.865637461612236e-05,-9.124741200561715e-05,-3.0586229300755136e-05,-3.085632791762262e-05,-2.4519731016342064e-05,-2.7628967658652704e-05,-2.5299773446254467e-05,-1.2621135128540705e-05
AUT,,5.623103128643815e-06,2.157137680226853e-05,3.620859045871088e-05,3.766063205058382e-05,1.4806989201244787e-05,1.3910995545104332e-05,1.6967466234502898e-05,2.757127640842398e-05,2.8492329988639896e-05,1.7247075365375368e-05,1.878205655556438e-05,2.2176375350802366e-05,3.202122248546197e-05,4.241200080338524e-05,6.083021838906892e-05,6.875010836180421e-05,6.327198522961924e-05,7.309556744025503e-05,0.00010110612258506656,0.0001335814005669178,0.00016729980881438752,0.0001549943096722145,0.00013482312517711445,0.0002008899047851691,0.00020057020944002298,0.00022938027745545277,0.0003028411329996926,0.00031031584583935437,0.0003511337576810719
BDI,,,-7.965022030410681e-05,-8.69687376389269e-05,-9.41155282595748e-05,-0.00015434127568437635,-0.00012925421645610112,-0.0001569058900854719,-0.00010994639078150935,-8.648245364327757e-05,-0.0001732232392563287,-0.00024378621991638563,-0.0002565961890761351,-0.00028952370676528375,-0.0003334117384920221,-0.0004273248216411949,-0.000659951466172284,-0.000676766754564801,-0.0006441892967361398,-0.0006515143625589767,-0.0005832116703457821,-0.0005274870417944696,-0.00038470604467560123,-0.0006126023581545704,-0.0006500995055891531,-0.000337999533927685,-0.00046449720310692285,-0.0004202153616123831,-0.0004634746729437708,-0.0004950414386369097
BGR,,,,,,,,,-4.289742213267684e-05,-4.478582268716501e-05,-1.6516023160428757e-05,-8.552367365886233e-06,-3.8231296854814825e-05,-6.805871234689852e-06,-8.427991309611235e-06,-8.12625378692269e-06,-1.8909283630739856e-06,-1.0395359965587884e-06,-2.9733031837979306e-06,-7.022194424036581e-06,-2.9103435886511214e-05,-1.3236886790329935e-05,-3.7406240262157473e-06,-1.2761799602688737e-05,-1.6358787785961578e-05,-0.0007661829196909706,-0.00035563925226650975,-0.0004055445626517272,-0.00010300287760053962,-0.00015818214471117646
BIH,,,,,,,-5.146638331292745e-05,-6.123784322160074e-05,-6.44941509395355e-05,-6.785783650929529e-05,-2.5820426190233522e-05,-2.8496715574232155e-05,-5.4865539303143624e-05,-5.365725424583708e-05,-0.00010321078367872236,-0.00015645444888125892,-0.00016802900831431678,-0.00011851743185044607,-0.00013570289669747368,-0.00013956079648404414,-0.00013909167250918822,-0.00013115111896807113,-0.000130611697767001,-0.00016789278807245918,-0.0002006692231128895,-0.00019939359877080965,-0.0003631106316277351,-0.00023864717533087553,-0.0005058219689489694,-0.0005013226472361612
BOL,,-0.006185907473872076,-0.00705661000343563,-0.011640011085414554,-0.018431237544587507,-0.024979465755631074,-0.026481421784841683,-0.03208668853856591,-0.0371914049664695,-0.033980324658001854,-0.042846751536066964,-0.04188084889252206,-0.044602432730734304,-0.05654296996469095,-0.05707758122920728,-0.06243188602059497,-0.06211955414490142,-0.06441321720523563,-0.05583097597955838,-0.08955679348482018,-0.08227257181531898,-0.09266949183496853,-0.13464484441727925,-0.14200885939949257,-0.14177012858092242,-0.15727952527160843,-0.16336140983349234,-0.13692463946501685,-0.1514115437733452,-0.15733629915104166
BRA,,,-3.254580474521672,-0.2869703448329078,-0.021304306213517407,-0.018312903058071622,-0.017301378872766532,-0.020422497552752897,-0.02542103877599907,-0.017953536357925928,-0.020082045240294402,-0.01966518314862402,-0.018671583011791358,-0.023618199363030806,-0.024449083855134612,-0.03199250637656714,-0.0382347611513031,-0.04789809385072856,-0.053807465398242424,-0.05070635620561993,-0.0687215880671104,-0.08064683724076446,-0.06349970916776103,-0.07356415387561904,-0.07532751894689256,-0.0654550743634972,-0.06698693106725377,-0.09026264554840945,-0.08334966945674328,-0.07764824446724009
BTN,,,,,,,0.0003915795684022639,0.0004785684116310123,0.0005629279948651735,0.0008071687005657868,0.0007863606022972496,0.0006664854295336412,0.0003846291541712152,0.00016933962207679655,0.0014494555890895565,0.0024602356339217314,0.002127052904800742,0.0021524396368982884,0.0012144085005472635,0.0007237619226723953,0.0005375611596779177,0.0010614827536150958,0.00033239132230814206,0.00045742397336638124,0.00031073122827959604,0.00021200394997238133,0.00022578684697498414,0.00019143805864818634,9.738017518715425e-05,0.00014785946981353128
CAN,,-2.5414540207753294e-05,-3.24777208764469e-05,-5.031497292915991e-05,-6.459151611606344e-05,-7.593446044517841e-05,-8.292781921761688e-05,-0.00011347714837058796,-0.00011562456214367357,-0.00012546445728944106,-0.00012962689078116195,-8.190819733680875e-05,-0.0001234973556404171,-0.0001456768639168673,-0.00022397738845923194,-0.0002651709935389259,-0.0003314529590349872,-0.0002896454021561708,-0.000389555277570533,-0.0004351640326639735,-0.0006285756642850596,-0.0006876121894960872,-0.0008209850587240905,-0.0008807211122262815,-0.0009631457207473305,-0.0009434207776341547,-0.0009780895198369906,-0.0012026431348653487,-0.001193720572467008,-0.0010029643956141882
CHN,,-0.0007839966469598962,-0.001003767040079685,-0.0016283638872280765,-0.001247509009242583,-0.0011728060025119201,-0.0012297305314579205,-0.0014439835598867908,-0.0015623733814320996,-0.001529802876161077,-0.0016969487288170057,-0.0017302580191533381,-0.0018616880815813335,-0.0017276169512977187,-0.00193684961690488,-0.0017975525718249793,-0.001640177955744157,-0.0013722202222479843,-0.0018024237945158358,-0.0017331895243466728,-0.0017052595957943912,-0.001673843299505468,-0.0015224408653253226,-0.0014069158136441834,-0.0014242988318359726,-0.00134594340651199,-0.0013487299486667243,-0.0015566676477123584,-0.0016336502919646666,-0.0017545530298627146
CMR,,,-1.1434075741019397e-05,-1.7044719024657026e-05,-1.1067346616913192e-05,-1.4960664756002535e-05,-1.708298207803764e-05,-1.711334652261483e-05,-1.89763586882286e-05,-2.0835398128768176e-05,-1.931800211405028e-05,-1.9189172083103706e-05,-2.336852697145979e-05,-3.012793264943097e-05,-3.489866052037949e-05,-3.935356667731869e-05,-4.386144467776414e-05,-5.106608955727443e-05,-5.892522419009035e-05,-8.409963917103464e-05,-9.019516029333773e-05,-0.00010174161737353676,-8.593054580869254e-05,-0.00010879389406252412,-9.907961000445285e-05,-0.00013650098913468246,-0.0002639180860516935,-0.00037925449393814704,-0.00041488886406358997,-0.0004345663448172449
COL,,-0.0008124311075473534,-0.00046726681569175213,-0.0006016918661793969,-0.0006984472073925018,-0.000640308084702877,-0.00039615734233487584,-0.000621419469211803,-0.0004463276606012787,-0.0002322707856771709,-0.00020748126605260294,-0.0003303595611792314,-0.0004212331797777822,-0.0004358028866000648,-0.0004166363052010382,-0.00038868362876835663,-0.0003435622725265493,-0.0003822134227808542,-0.0004463780390355775,-0.00045533906747541943,-0.00048321305043803794,-0.000688756570797949,-0.0008332911756921142,-0.000802433075354795,-0.0007951199194028237,-0.0005784593539041657,-0.0004907989969286523,-0.0005224395297845684,,-0.0006918406122441353
ECU,,-0.007251546216170341,-0.011604131440731304,-0.01244677723007988,-0.017532724563584796,-0.008271121352616598,-0.006544536860750092,-0.0006971021031904973,-0.0006102165119505883,-0.002489435987995256,-0.0015808361770875768,-0.0020157600387419577,-0.0020256001088606495,-0.002145796025951238,-0.002161547165327623,-0.0012387571617661559,-0.0004956300273481157,-0.00125433755182544,-0.001472210284490128,-0.0016561985017635535,-0.0017521379442668533,-0.0019181728124647772,-0.001632776136101983,-0.0016652118160732662,-0.0008118516315623808,-0.0008555463177226618,-0.0011560343433816276,-0.0009577602490896947,-0.0007226490284241737,-0.0011686220584636929
FRA,,-2.3921885419072608e-06,-1.6115504446806475e-06,-3.6342997114273434e-06,-8.23286514269125e-06,-1.0751781658479147e-05,-1.0569476595499817e-05,-1.2210658655212797e-05,-1.3841614111190354e-05,-1.3545060793231946e-05,-9.654094021525233e-06,-1.5703202826772744e-05,-1.2114711541041166e-05,-1.1180272094861643e-05,-1.3095596044893166e-05,-1.3660209227136392e-05,-1.2630074044499488e-05,-1.0049854585377473e-05,-8.66238163428526e-06,-1.5884687461135804e-05,-2.0418106359851915e-05,-1.968530325166288e-05,-1.6553619620572216e-05,-1.9256850618542217e-05,-4.199740060105404e-05,-5.4814080222935155e-05,-5.7803076942408495e-05,-7.491398193684923e-05,-7.812228765442537e-05,-8.238091584581006e-05
HRV,,,-0.00012541253409531768,-1.2173146184788143e-05,-7.037285401294693e-06,-6.800679497313812e-06,-7.5038721832084945e-06,-7.966917434377572e-06,-1.718976647276531e-05,-2.689950136941959e-05,-1.464551134974841e-05,-2.288690308485086e-05,-3.709220710766083e-05,-3.0282828601252e-05,-3.601323608195866e-05,-6.022429659040604e-05,-9.748797062574656e-05,-5.991993206589439e-05,-8.612992281775862e-05,-0.00010441776253877671,-0.00015310482866283617,-0.00016999399854938747,-0.00011705572452930246,-0.00015454131772596819,-0.00020222698020067089,-0.0002736778636667325,-0.000363420581836623,-0.00033653321095274266,-0.00044422938248892967,-0.00044329508441377975
HUN,,-3.510323886273097e-05,-3.2683432470051136e-05,-2.359732568430888e-05,-1.5719225853014523e-05,-1.789568891272619e-05,-2.4625783801426793e-05,-2.5318035116613946e-05,-3.8671805370739286e-05,-5.981839132741006e-05,-2.141534891585202e-05,-3.039370382805295e-05,-4.827278293367606e-05,-5.2519468733800116e-05,-7.888686589493314e-05,-0.0001017706021052793,-0.00011111101283518894,-8.806128021554144e-05,-0.0001389596969329531,-0.00014028114988183616,-0.0001655631519287266,-0.0002021048350605613,-0.00014089720670740265,-0.00017450263979949603,-0.0002536853502803575,-0.0002751799555255619,-0.0003603362905714625,-0.0003657566736980247,-0.000378500188067187,-0.00033301448057256766
IDN,,-0.005306643360766798,-0.008328847697481424,-0.009086423071194925,-0.009305835621887998,-0.010642394536638778,-0.01002843775583716,-0.00792601347372408,-0.002888386650194226,-0.004335757522917077,-0.0031534636154286044,-0.0022389248209895734,-0.002104181418167206,-0.0023783580850298284,-0.0025520928794584533,-0.0027029626847343874,-0.002718356006405642,-0.002189652139666436,-0.00274190500558633,-0.0032866436831231515,-0.0035183426308431033,-0.003436436737744445,-0.003192281144090289,-0.0026638340096252064,-0.0028960309423857757,-0.0026030451086599153,-0.0023367390712838486,-0.001452790364508653,-0.0024051157066054133,-0.0010714339114545437
IND,,,,,,,,,-0.0051872890997977485,-0.00507297071871974,-0.0038762294895271668,-0.004392295826576566,-0.0035106084691707944,-0.006233611830469103,-0.005694253442088514,-0.007092648194488029,-0.00740686698842146,-0.010067217634963615,-0.009011357662490928,-0.008085099145653932,-0.010780224990335811,-0.010259459818414791,-0.010858537434667064,-0.007988202775624917,-0.006607146048804082,-0.005069795182015129,-0.007209633813038891,-0.007298887920944883,-0.0056783381463452725,-0.00673598766775174
IRN,,-0.0032735676315940967,-0.0049855099846153085,-0.008347301356535181,-0.007506240943578386,-0.0038816895757298187,-0.0026163631899370457,-0.004114960135187996,-0.0036545650558050605,-0.00245515470542043,-0.0015735152745798028,-0.0017642462297688892,-0.0023134551812888145,-0.002281199958630908,-0.0034177877803290555,-0.003139145692050663,-0.0029591778875589147,-0.0028208173833362106,-0.0030081025013424184,-0.0029089114441639826,-0.002583975686211501,-0.0019175927434011873,-0.002663311706923383,-0.0017149569912665763,-0.0011551706086891456,-0.0010857469821175859,-0.0009791558526963495,-0.0009341530261818991,-0.0005548317559099525,-0.0005246866742385102
