country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AGO,,,,,,,,,,,,,,,,,,,,,-0.00025486147778444444,-0.000326925697045851,-0.0002403794987151094,-0.0004210856352307035,-0.0005561813477461604,-0.0005129081815228942,-0.00043058831466012926,-0.0010198204694122314,-0.0006955913856689186,-0.0005378230110230117
ARG,,-0.014333478851316438,-0.019178868441120104,-0.022404078720480208,-0.02791329404294471,-0.035653981936203526,-0.04064741034820037,-0.038193767533964744,-0.07093765216292551,-0.08787196632808593,-0.09906863683254756,-0.15292332467732947,-0.06838983028812252,-0.08427797769116809,-0.0758596790903358,-0.09258288426520174,-0.0934483111206195,-0.1069510902362005,-0.10597594442901136,-0.06854393910636367,-0.10775613856851447,-0.09544542726150963,-0.07632251483138155,-0.0808922848556747,-0.06429293805068906,-0.06649846010619842,-0.04271672024134968,-0.03630247124518275,-0.015830606937925457,-0.014420775627068276
AUS,,-5.681524355915424e-06,-7.831778271092261e-06,-7.140893240637274e-06,-1.52994615923108e-05,-6.016844146763278e-06,-1.175650134896225e-05,-2.0479681721289986e-05,-1.3703571646362315e-05,-3.02896189293166e-05,-2.807015805528538e-05,-1.2587572375211277e-05,-1.806480390976782e-05,-3.343434586315306e-06,-2.5774432483293943e-05,-2.1110101529929076e-05,-2.4643786789387505e-05,-1.4716196812409448e-05,-2.0529668378714746e-05,-4.633427760932517e-05,-4.2451280492196714e-05,-2.483171774599205e-05,-7.396932643285661e-05,-7.615613921692806e-05,-2.553585675620006e-05,-2.5769575222626923e-05,-2.0483828388662683e-05,-2.3088310340497153e-05,-2.1148407932228285e-05,-1.0553443872161788e-05
AUT,,-8.550542385502647e-07,-3.4052611488883727e-06,-5.8630297996494335e-06,-6.229330113302726e-06,-2.496045026136482e-06,-2.387506453500882e-06,-2.9622634036844267e-06,-4.894695608893361e-06,-5.142966341290211e-06,-3.165720499582803e-06,-3.5058965670565713e-06,-4.20910020881818e-06,-6.185502656870301e-06,-8.344131471377921e-06,-1.21981632656412e-05,-1.4054870205302839e-05,-1.3189953998635865e-05,-1.5542858231261047e-05,-2.1928374150954858e-05,-2.9571283568837247e-05,-3.7809984775625524e-05,-3.577989793494003e-05,-3.179240477982358e-05,-4.837587519271518e-05,-4.931394231533664e-05,-5.7531481577790594e-05,-7.748042005897673e-05,-8.100325465048025e-05,-9.353208153544712e-05
BDI,,,-5.826762255522861e-05,-6.3391688377707e-05,-6.845185121846148e-05,-0.00011210491272306214,-9.380416905764623e-05,-0.00011381548371660577,-7.973135957156641e-05,-6.271001222154597e-05,-0.00012561277303569399,-0.00017680811276652938,-0.00018614224623462032,-0.000210096218050509,-0.00024204079750172645,-0.0003103642599016277,-0.0004795737080389562,-0.0004920771871723735,-0.000468681967466714,-0.0004743208232078779,-0.0004248935844873264,-0.00038457903818884956,-0.0002806988469584043,-0.00044734006780483733,-0.0004751049048526986,-0.000247217947509462,-0.00034001000512370167,-0.0003078431173982573,-0.00033981367545223885,-0.00036326267821361195
BGR,,,,,,,,,-7.259365692265438e-05,-7.566314789617394e-05,-2.7854136854908148e-05,-1.4397369655630527e-05,-6.424128279500002e-05,-1.1413405300043392e-05,-1.410390193761977e-05,-1.3568630869166267e-05,-3.1501125015257255e-06,-1.727712821554376e-06,-4.929755456767011e-06,-1.1614629252372079e-05,-4.801489097688976e-05,-2.178193202721481e-05,-6.13898869843143e-06,-2.088796325931605e-05,-2.6703936261237194e-05,-0.0012473844380452629,-0.0005775176007813936,-0.0006568697669286238,-0.00016640197977676926,-0.0002548718707436196
BIH,,,,,,,-1.765125780500564e-05,-2.1108966163172093e-05,-2.2389847469388206e-05,-2.3761893041206125e-05,-9.131289720438193e-06,-1.018685589179512e-05,-1.9835738492984388e-05,-1.9640089504319048e-05,-3.8279586854430466e-05,-5.884089765540705e-05,-6.409642528176452e-05,-4.586318488387698e-05,-5.328062071321679e-05,-5.5587291686323974e-05,-5.62204103972398e-05,-5.3792551411206866e-05,-5.436822750072707e-05,-7.091062614385909e-05,-8.5955855286287e-05,-8.658671753154923e-05,-0.0001597200189013374,-0.00010630075562785257,-0.00022813208093957194,-0.00022889960217291948
BOL,,-0.005318720153777555,-0.006065782782941972,-0.01000506506655432,-0.015842917977005374,-0.02147332019697657,-0.02276704581231464,-0.02758978674971865,-0.031983873764737304,-0.029227184823372786,-0.03685988902353682,-0.03603568517682328,-0.03838485503195187,-0.04867117131867548,-0.04914251291608416,-0.053765506915938434,-0.05350999454372127,-0.055500196925810256,-0.048118452195180614,-0.07720646163172289,-0.07094717434185638,-0.07993646811314772,-0.11617994713457881,-0.1225723021470741,-0.12240439496015218,-0.13583769364286918,-0.14113316212614826,-0.11832970975250404,-0.13089003430001692,-0.13605494522961142
BRA,,,-2.774187442708973,-0.24475158635702227,-0.018177720990626717,-0.015630634850852258,-0.014771642527061457,-0.017441016868258108,-0.02171517977960714,-0.015339912970197241,-0.017162541477943237,-0.01681011959453717,-0.015964338812006047,-0.020198440462145056,-0.02091406185520835,-0.027373648614209278,-0.03272295523422348,-0.04100373741458055,-0.046074513022201134,-0.04343039186786923,-0.058876527948048506,-0.06911237632407381,-0.05443314308862568,-0.06307862329795944,-0.06460900567395117,-0.05615725932661547,-0.05748722998708407,-0.07748339011145196,-0.07156914076708862,-0.06669245601828638
BTN,,,,,,,0.0004763727422617778,0.0005846798630367466,0.0006901126859888639,0.0009923894521450234,0.00096921604275209,0.0008232572582729567,0.0004760130373501709,0.00020995290859450897,0.0018001546021781767,0.0030604645099197225,0.002650015694911921,0.002685494911474605,0.0015172411180994529,0.0009054229042736678,0.0006733565038094858,0.0013313028926804718,0.00041740440763162335,0.0005751184471044917,0.00039114385213310035,0.0002671752045311744,0.00028485516996604106,0.00024178069965305872,0.00012312141782746654,0.00018714718039757655
