country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AGO,,,,,,,,,,,,,,,,,,,,,-136842.90172622527,139309.16985560648,627927.2566433054,800071.2122189805,1135724.5374225986,1234684.9358869842,437052.5118711187,1458182.6072056822,605206.2517540476,736348.656255968
ARG,,1800710583.9883337,2451788340.2308083,112986536.29279262,-386561616.42273223,-899562970.608797,754074783.6530086,-721632841.8912421,10075022190.364225,2580851763.284447,2431939640.9579883,-1185227623.0774887,2572541682.935927,759703635.6378759,-1382836555.007993,1397805629.9715679,-1857856478.54247,2038852425.4813147,-1913179817.9485404,-2255041566.4504,-564496741.2484303,307270645.6532036,-3066335077.6149626,-1517540677.1118615,1021664075.3777089,1017710025.4078044,216184384.84510615,201399831.5082718,-365904175.4308344,297735321.31754786
AUS,,-998596.9586340303,2380586.1863323017,-542897.3274673986,-614621.2394464472,489802.86215447524,715091.6749806796,-554448.66463686,-1223705.0496804088,5228451.507975317,2716179.6328545245,53971.3246571616,-1760998.0507746795,-74433.92117759185,-780842.0300745384,-751811.9632545783,-292562.6369732845,444048.2687139169,2530153.840624225,-480512.4655501144,3738410.0118891266,2108957.1825222825,2918464.541003033,2072766.1650009016,-1514600.6910065727,-132075.95973663515,-1065163.872587042,-1108626.4901859853,-830468.7812973936,-1186102.4646200496
AUT,,-803765.6180067143,-2354414.2505873977,-810700.443071694,-2075654.0626960471,711941.6344882561,79287.71642539556,-88039.24364813231,-427697.4288546097,2016931.2782385643,369350.73941878957,425079.3706877691,-32520.788962069742,-1645104.6563526203,1445524.0542966407,1930273.8576937362,3111059.4121063235,-1332545.9192503726,1247578.3948787865,687673.5804657408,-1512865.5453005524,2392882.9413693,-793410.3061046157,47816.146956348864,5426121.380507553,-5657322.823924384,3609357.1107061524,2433621.535864165,7520004.006626703,4915618.847646779
BDI,,,-21181.43471253354,31232.81296185989,-62493.91066208325,3052.3065778344544,-11591.739012349337,-12126.132671906858,11827.55900775269,-24496.64685708085,-59698.60483324078,9880.142562420244,19533.579963977423,-80922.69042920321,-47512.34783939565,55177.080602209455,-57445.60871039331,51003.567453907046,120164.25899714507,89298.25638055043,-54669.39795179203,50582.211776025004,-24855.68225611845,40038.59326730882,-112789.22650074508,59565.626488077934,73070.82886196188,26505.189999561844,81367.33150534947,49353.836820408455
BGR,,,,,,,,,-26416.221077980732,-61248.13586110809,-45898.455644005175,-41773.0113281313,-174657.53886305078,-4971.137116587248,39269.117676275295,21515.21827752375,1320.3073449147967,-7937.064636129494,-3812.2783553093054,-6629.776015730903,-33063.419982955034,-8172.824712205082,-17717.02332558059,490.75077684187215,19585.744925193794,-2108673.7967025014,-568853.5546925376,-836158.6302912091,16733.557869995315,-196832.40975616506
BIH,,,,,,,120274.79257536952,6351.151502137681,-12082.24852568841,157016.98821071303,-114202.73515976952,18966.6692607242,83320.23915391661,-400584.6418786095,201156.9420832556,313785.8249769134,143781.8215049187,-456989.0577235994,-207917.2622580905,-349276.29595278733,-112170.40337666389,-476064.35592975386,-562347.6113469921,-173189.57211896678,288260.2898246926,-600001.7832821701,92660.05690152635,-428124.5379480151,-208842.40277679084,-412306.09412751754
BOL,,-13150545.276071865,21944096.914636187,-3152845.566205881,-18954016.959174298,752113.875908898,9549051.462449228,20340211.697933096,-27809507.41732076,5609893.634642277,-5557683.834124226,14702594.232713452,-14160441.12334853,14076354.723715719,-8469661.12400919,16231353.99843402,8595316.444944369,29324168.94015795,49933438.17695966,64289889.97482981,10758844.991657507,72635689.85955068,63225144.12700165,58571018.21247198,117779175.35569139,-62535989.57847811,-45922395.169695884,42266178.69658402,89322320.39090039,-11861285.31015972
BRA,,,475768354348.2704,22950807297.307903,1467558721.8676448,23340585.341721423,-122362875.30558209,559508957.6323756,-199170561.14457154,-1016944834.6912127,100280711.23854086,-204779989.08826092,-604722096.7205487,-433879609.94946533,-438810278.75788146,-967371765.9606482,-1466449981.2031817,-733629356.489855,705028521.1768576,-385537651.05540615,-985393844.0187638,896293749.8591232,-2507746811.997258,538994599.807672,-728697139.909111,-527373905.19160837,-1317128567.6359572,-837439007.3066607,511194362.8298495,-677108928.9716048
BTN,,,,,,,20123.800309351933,-87243.89630024428,21808.30587931425,-16871.233431977995,69555.81968619171,54710.4000412543,13469.451897928075,1457.253026752334,-85912.19978373186,272534.481781081,-119587.16625353132,221444.2698489663,138221.8576075056,129517.73736646437,103363.31588597795,124496.42261422105,52270.01438516556,34460.670276862336,31753.616109204322,31700.047047806707,30686.395353497384,-1760.0338574484836,3488.926756164764,19663.904557673966
