country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AGO,,,,,,,,,,,,,,,,,,,,,-342051.548048053,212979.23436417262,245535.29771109493,291445.13135185395,385878.2453738919,,,,,
ARG,,148450188.32146356,180170514.75834373,41607247.7489676,-11647506.415031498,-23355627.96954034,209480409.5760105,28166445.091924984,843451997.0317949,195208342.30473682,237032348.47318152,-23135691.918385975,445002974.3749075,152477325.02931353,-245541594.9060297,178192355.02458265,-459068061.1325854,403148729.0717281,-718445520.2076869,-926639822.6982999,-225898512.98852706,-260690292.23249072,-2216229619.45522,-1283934205.8250377,176671544.79519618,,,,,
AUS,,-888773.6393878978,1067299.6142910973,-471992.66188346734,-1514679.2315591928,190249.0873890308,-246719.97577758288,-1760314.3335429502,-1471606.636386412,2174595.7147519807,466213.3528899448,-475982.0109250721,-1474052.2308983877,-142313.73723205886,-2282771.864040917,-959731.1212543221,-1162005.125274091,-119117.36191824556,,-3227442.636459406,,1465079.4711009832,,,,,,,,
AUT,,,-2329675.4291724213,-819042.6707085517,-3171387.9888869263,138214.41835405637,576486.7140247353,33782.08097915657,-508678.9498678475,740718.0491561699,24395.559056533006,62246.59286360331,-158840.17941663615,-829966.2105314778,245258.8681015749,490316.1426017144,879508.6208570676,-1340798.5163110497,461338.14452692645,288038.52049404226,-1400711.074087063,-740316.1344140052,-7464566.540392647,-2678329.861339857,1320990.2514107495,-6521787.007795378,-376227.4049496777,-3613097.46807801,1792158.2877572302,-471461.9533472037
BDI,,,,,,,,,,,,,,,,,,,,,,,,195035.53020506768,-140387.1168007782,,,,,
BGR,,,,,,,,,-121953.27190007488,-99176.90424084953,-51324.839221137634,-25828.349226010916,-103053.51686818936,-11581.499869814512,3179.9813708039455,2752.3681630300966,1465.7356918937828,-5529.704205017031,-9768.850129080332,-27778.751128544554,-83491.81423103943,-30289.205627525513,-28576.614040483353,-52466.76498261853,-37385.404904113995,-3832948.455421141,-1164140.521814025,-1407082.8958589104,-123787.79296372173,-410780.140323312
BIH,,,,,,,,,-105286.60771066434,38988.7268338081,-85305.13626770968,-27572.249806391523,-27135.429316792706,-278787.6844882963,8977.445425695334,128438.61736013359,-153515.41686974483,-648491.6426301013,-494485.04852253315,-398485.46163342503,-164144.10104967575,-614436.1875286928,-1231999.8456010802,-504019.61280404846,56186.07347781922,-748841.7855908454,-397141.6428999441,-758580.041217805,-615089.5983663998,-985642.2224084781
BOL,,-4612026.68476595,6180501.15431208,-1503221.1346981947,-4186363.773672815,-1107963.849948853,3980253.008802887,9257031.214823766,-14952694.648101415,-83092.86524929557,-967831.7724938559,2162794.4498616657,-10354313.205717666,8295109.159097851,-14605559.623467144,1291166.6999556946,-6390470.060961399,10562047.104219789,50067931.60029159,66332417.092235945,2191708.60051664,53986720.29739757,38150224.241763085,37484142.32423424,112641342.55146094,-97203268.23595151,-89345221.73006734,10286786.934092341,62371055.05065848,
BRA,,-17251497.697970275,96421306.53083381,18630629.732669305,7791916.430525515,-154408708.11360115,-171411895.43551102,-121255848.56048258,-169505345.8286218,-388916681.8058992,-121577250.18990949,-269968378.0862053,-570444381.7905872,-590520366.675681,-736809806.0416325,-898905973.2979039,-1149010693.528043,-1277063632.187996,-1077561081.4612594,-1405384972.1964393,-2081976926.6374876,-1769485422.6984808,-3921377864.557893,-2498991213.71804,-3120270426.6622343,-2337231079.895831,-3663282236.7995367,,-2293585394.7743216,-2980070129.560781
BTN,,,,,,,355.59887991725043,-4881.183202616563,15025.896765338293,-5224.115634617819,1998.6023794158534,1966.2512562749603,-623.6991675269321,27.967026053088485,,,,,,,,,,-3556.1772463988355,2544.0983332006604,8344.867132055715,4064.2731197304765,-5911.378771589623,,
