country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AGO,,,,,,,,,,,,,,,,,,,,,-441180.04476655764,190487.89201173012,280865.9977533724,102753.78262961899,173816.16930155802,414664.1670683677,-276611.109108036,-147844.69973795232,-517597.19324952946,-96183.04816322426
ARG,,1250772394.4565365,2007221908.6522424,-559889641.4977291,-938661099.7729744,-982446299.5768412,1329472863.01965,-717967980.9392625,10668679378.07669,2247953268.318405,2021387162.3055797,-3353749131.319787,1987536659.4860816,-187553284.3167594,-2073798448.057224,319647322.21019447,-3083745603.3991933,749257533.3299153,-3420487139.4397264,-3031385486.476285,-1664791697.4295883,-1332038715.264051,-4287891650.26071,-2844008702.408362,135493748.16647294,-67111233.38768363,-491805941.91718554,-375743057.9108149,-521858113.5993517,113174677.6175801
AUS,,-1019892.7098632422,2573262.692146153,-388779.2293937877,-312320.28844776767,675437.6356759134,303333.0084288163,-1629362.9842480745,-1519951.8802466844,4702863.510485275,1932128.235776891,-374512.956076433,-1997453.2699897897,-23407.43843817354,-1975455.7945936786,-1138748.4784992535,-1282804.7020942094,112168.91132160985,2192325.5406971625,-2389055.7403443423,2910287.5444779694,1582374.746754693,366069.3930273094,-576388.6994077812,-2447359.08617475,-1323735.8457015888,-1731090.7069864434,-2112676.385859513,-1746456.5957792683,-1442651.4972759858
AUT,,-839888.7436396653,-2313771.3386371257,-477035.1506388483,-3010571.3146375013,357101.06610681774,531697.0612596499,-381377.5545113225,-579926.2204063099,1448448.3653723511,271204.30015669815,352350.2976531654,-390873.9446989534,-1954100.6712579746,672850.8307157769,1224778.224768808,1698504.1556383406,-1569806.523340734,-10778.1594887595,-768918.5638721973,-2719593.215557625,-269462.4572837579,-2788942.9301856062,-2073144.5213683187,3557981.2503961944,-6803532.722053471,-405264.22190535604,-939792.5114548281,2936628.1017641327,-58859.99327887606
BDI,,,-25300.325081365478,16826.4564865543,-23998.808000645262,-10356.072244877603,-19955.633519256942,-15378.17848522405,4774.487062866268,-22358.9812739821,-65151.79003540345,-27013.08362449484,-10974.204289783893,-84594.96966932845,-42828.1817005027,-16938.629891565222,-75348.89313135564,-15994.932724619835,42882.98725434353,-15334.698679300081,-95718.8098553953,-44853.131473253095,-40464.332753311224,8128.593874600844,-60894.17535847054,10321.09530621963,-3222.6463026583833,-30334.175046738994,26512.76692298028,-6748.4931614506395
BGR,,,,,,,,,-144774.58427688814,-178974.2242535834,-85627.1746661889,-39254.908693018326,-148420.62536693795,-22771.629212216892,25968.75400758474,14564.833659513335,2139.6637838074503,-8200.34347189318,-8893.330183974886,-20458.574970228416,-107109.19243749374,-31723.982175659574,-25306.69199084025,-29962.06059594722,-10661.375767625828,-3603249.9444402233,-1289834.631009799,-1782336.1921363163,-181501.12552791595,-546902.6824959432
BIH,,,,,,,96648.42437959225,-48917.93949032334,-111141.85119460605,59871.032217274354,-90442.1994285993,-13849.240405878287,-5845.853254080476,-384793.7554548586,56499.23252434568,195283.1623042041,-128239.28467643677,-556042.6155077455,-392491.67998279404,-404737.94722902647,-226469.00799758706,-486134.57282641594,-580065.6666894961,-335717.67578692076,101170.35626388101,-742797.8803339002,-373914.18216729397,-648573.8115904885,-757129.9106761003,-948565.2110651851
BOL,,-18109852.32406062,20885196.38060647,-5482604.11237864,-11110618.938342998,-2057455.4528208193,9651864.506171191,16673295.814248402,-30818258.38305341,536463.6910468952,-1651093.759700519,6099092.735550725,-18080902.07120937,14480326.241573313,-18192161.156206742,4180910.5556008406,-9639042.558483481,14418175.254833652,42858805.84417889,52217124.73665804,1062743.0829066352,56008905.68837526,40679451.45016679,33819022.27753549,81352506.17037168,-97059094.18163297,-87245767.0717906,10217467.336696949,47766845.44549617,-29157371.53402914
BRA,,,499937557334.7282,12791784569.697748,872134336.7563254,-459636882.8981586,-314729156.6060664,-50863574.712222345,-441057212.1640144,-1270395860.6035745,-61544337.896570146,-543532666.3028188,-955189120.6430928,-744725988.0680549,-883455475.165774,-1553326765.2284539,-2434086572.5489244,-2053840853.9228044,-529968416.1044645,-1503306064.9158218,-2932028855.7131343,-1531241561.7150502,-3709685701.1096063,-1467464780.4788568,-2630740120.8490024,-2071132443.4700215,-3035430541.8428874,-3390769864.747991,-1720108124.8853114,-2267568690.08525
BTN,,,,,,,1446.909047755049,-65266.236974241816,74081.0057523824,-42410.40984191059,14818.604859054358,23581.698801543025,-6245.1803464646555,167.45679628557994,-91426.12133283225,58895.89033779173,-55215.64085652291,77657.6251725817,33726.54761081475,56921.36768618376,35711.04624451781,-3572.0316734158177,11984.64787657514,-14213.499400156787,2657.1533185269764,8099.012478525875,8846.302522399292,-4185.160674017478,-1960.6239781343786,1623.6234122838248
