country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,countryname
AGO,-21.33028456285428,-18.48264289687513,-10.557956806566139,21.151811922561976,-15.196385151163208,-0.22774447564954844,28.278275186434072,31.52048034393782,-79.69485297675863,-21.036445459062453,-1.1653883839079642,-8.019656425500177,-19.870196753942626,-14.790314396672088,-63.5058271729571,-180.69336336724098,-191.12397716303985,-430.4476358936471,370.8450921243784,-152.50593949675604,-402.00188574066624,-13.277145662385868,122.9903183026441,1.6924566802834402,15.389966180913536,305.52446866010405,-560.6892391057435,-585.2293942841266,-1524.6614979821138,-713.6093890063161,Angola
ARG,986404.721892665,738683.8086495677,987846.0927302255,130734.49834366541,-44572.276947892395,-99768.06714493097,711673.683369043,-18513.938444480336,4154588.6510683475,1222023.625556725,1276305.1477172545,-155790.30379800245,2964322.692347671,920315.3502301457,-1433945.78041111,1117287.28434708,-2436536.4220507536,1847710.288737429,-2812252.594786159,-3906637.8334725355,-1063423.2377869103,-940191.024712654,-5952474.767262138,-3728051.8475904195,1264774.2043060132,1612659.5485881458,-1191040.356278778,-371538.0475535335,-3987252.8271074784,3427989.1786165647,Argentina
AUS,-4797.156515699035,-3899.9234241571753,3972.769533188921,-2188.947197762513,-3247.046848823412,638.7084780357453,-618.6512588909917,-5487.501105307503,-5483.76438753522,8962.221158923563,2532.243992107036,-2603.6896501756205,-7855.051816997658,-367.6689164274794,-6130.477917601084,-3717.4417353434023,-4249.482978202001,-564.4948078101572,3384.6373909018357,-7190.432327451997,3452.472606737861,2624.127294401434,-1257.1806035300729,-3742.486384096346,-5417.001187723208,-4103.404264982197,-4349.33287251465,-5411.192941331173,-4584.965524567022,-3894.256397232238,Australia
AUT,-377.4955420928729,-2758.2735058637195,-6408.156815700667,-2844.7382379620617,-8309.517507323746,600.2149987706938,2138.0838371699892,-1244.4442028615035,-2290.3277787788684,4253.871354491773,694.1305111741509,951.1218666885818,-1600.697762917753,-5646.52831063965,1045.7690699006423,2401.4832245626485,4802.219372700529,-5481.754884460059,451.1424023737439,-1659.9703723423427,-5468.386500508572,-2241.931236099883,-12948.82428568542,-4673.223312480812,2720.632894425561,-19484.948127650838,-2807.4337148904974,-8249.160967372929,8410.237675147042,998.5529755540141,Austria
BDI,-5.862805570444937,-26.31311884752772,-16.852051440763802,-4.847989113601458,-17.581505848638045,-3.3980281503985332,-15.76079903561482,-17.051384266332906,6.187225082447338,-23.520160678114465,-75.02778100964677,-45.86869949992839,-6.0237066319334325,-148.69529886942126,-100.0851133588969,-49.17575508288434,-166.54369887798933,-55.23665462033552,10.408882960654728,-115.9803370514361,-206.9488763147596,-108.69445936701717,-70.00637950155513,259.9831155118655,-336.94578569305077,-37.35580081690727,-71.43411562203636,-112.32253794753031,18.685831848552077,-61.57018802496002,Burundi
BGR,-1034.7943615995987,-771.2716083792278,-617.5290084453984,-332.18891107240745,-1232.245205462212,-638.0747917532103,-899.5496388607424,-180.81231755293928,-477.76607320048197,-517.8769962847464,-253.8462140819477,-127.53972072954937,-477.636689680482,-57.410851099398926,14.473793271021194,14.768195146917924,5.19133301084133,-16.328567866925063,-17.76660915458007,-48.28061733692529,-160.40763920845473,-68.03295642947387,-43.99746511961861,-64.61741290470327,-43.423516935412636,-6992.345435591879,-2818.4594637931896,-3826.368171293838,-365.9125161105069,-1241.849944127839,Bulgaria
BIH,-466.0572140913912,-914.8824028668844,-593.1643520613011,-531.8452276956089,-583.5716831331201,-1.4339958234766375,65.36768849125058,-355.4144389804523,-587.9992154104948,21.855669378810845,-427.0620241581767,-154.26344872233452,-221.47158785716593,-1248.3449230701747,-90.4325359670137,385.88217639824217,-596.573818353446,-1816.9518561247407,-1049.4041747383446,-1322.8878487985567,-537.4695759319114,-1424.04317850077,-1894.9089471568066,-985.8980538673278,-56.576798452261215,-2231.5868652575105,-1583.2418866375158,-2070.487592374632,-2143.5340819813186,-3520.951045769575,Bosnia and Herzegovina
BOL,-17743.238046352948,-29449.247685949103,41478.88369740567,-9583.873970156399,-27827.370050088917,-6114.688121402228,22546.767483486525,41803.092000442084,-84374.2282079165,885.0263914572504,-8763.375534985196,18862.61740260448,-64311.4986671922,49210.373610430055,-70949.39927465396,15147.524028931728,-36052.95919891897,49715.19558344135,142773.868202817,170376.82964299404,6493.771518216243,164565.026597538,113892.30293978665,108587.29471851102,287796.78997938364,-307357.19864885346,-304186.4813150968,32741.64941784738,169803.1884430152,-112983.88042154358,Bolivia (Plurinational State of)
BRA,-975886.0752658461,-183049.79746857006,683401.1456185328,73991.84175137106,24414.70371430367,-885519.661635252,-756271.0824567592,-554354.252487843,-777610.0225090076,-2662825.8390051727,-801997.1468573756,-1927925.275300213,-3296274.4944262803,-2868286.862605587,-3358655.4796205964,-4511914.788646323,-5881154.2486291565,-4941357.476566003,-2844444.9839693173,-3879193.195686411,-5679612.769974724,-4336592.497412502,-7660921.688448909,-5144818.579839867,-7157066.699303427,-7462456.566962255,-10547633.509127317,-12783008.270151664,-7876176.936377918,-10591671.31000817,Brazil
BTN,1.8837420364490252,5.425965968505601,-3.319285588868707,7.75365133069224,12.293604907497931,12.24338022192717,1.9002194197141522,-19.874196315442603,56.88199371068286,-14.023769189974598,7.755626792017214,12.72216393531761,-1.6004878312652369,0.8409118835968489,-32.20289654107646,32.89852256907701,-16.0946389382563,12.86613719345445,24.250039825052035,28.084532176130715,17.232222960631017,1.4449410907655262,7.074507765905248,-5.492511212238095,3.030312254111075,5.700789390940018,4.948979254741322,-8.03404442575477,-3.4620110791825853,1.297074356485347,Bhutan
