country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,countryname
AGO,1.4027906270226866,1.544366304665712,3.6169537812295043,41.734618269731115,-38.92799991747038,-0.45201254709751465,45.452283477491775,51.730429902212535,-104.11646059674851,-56.29402884129985,-2.7955855076587124,-5.144702276132929,12.630546492259317,16.441957222088742,-155.64805547106744,-308.0349884232023,-282.45052002823365,-410.9856057057051,339.9679391772012,30.84511315502921,-348.63628915710404,-178.91331035595508,328.6069414303791,282.4145763180218,431.33857114715744,699.2956577860823,-131.87513570851186,363.24130321952924,-516.3216923594562,362.70191823696126,Angola
ARG,721707.945637986,570744.3064978402,811245.8568794141,-11354.862762503233,-210949.02973876437,-418838.06106947595,139203.32012271183,-378571.5709504253,3281354.1371563985,589832.803972831,512491.66668266803,-921035.615404022,2152513.8703573104,-38184.65058098027,-2218245.857296114,381721.1444440881,-3196662.633447355,731468.2659730634,-3657895.283333289,-4035764.3191041374,-2751775.873296587,-1474753.5482798698,-6566875.528307254,-5097435.158205406,439885.03798476525,335890.03505618515,-1922832.351869049,-1802445.3290769276,-5744521.951110895,1789189.1304428692,Argentina
AUS,-2200.8788875827313,-2418.9049056307103,5380.79498419564,-1612.4535586334543,-1978.3248307386648,918.8206741130994,1133.4523023430347,-2133.1051596731663,-4152.502026197408,12335.378742606037,6341.339619449332,-730.5177766800956,-6943.958608597398,-414.8414110949192,-3346.1174250185873,-2933.9563783865965,-2154.494666506678,106.92558538762272,4082.888357390091,-3878.370318004768,4840.388287755516,2381.8957496997114,1322.684215292592,-326.32462576624357,-4394.594828411162,-2118.4263221074384,-4012.1189648764425,-4209.317893488507,-3552.5644180187774,-3857.0043803901954,Australia
AUT,-856.2613751435426,-2252.8425987546448,-6259.626346253637,-2728.4562542575604,-6070.44803047117,1373.818946652155,-80.71874850917452,-623.0672972424783,-1925.3974868754606,5128.811793867238,694.2633319928589,854.0600543250346,-845.6351703600753,-5492.767235716881,2523.482424227684,3205.6363834632953,5858.358849372602,-4715.134165867646,870.9254794886443,-949.4016470598099,-7127.963722216797,1100.097585123297,-6255.616219880992,-3542.7201720845533,7357.8034229829655,-22586.15185600512,2320.4145177882847,-3725.9141085311444,9488.920000806924,899.7457501684389,Austria
BDI,13.526543432480288,-16.335126619732176,-7.722655480223827,7.80853891653853,-23.214652178550658,-3.198821236109513,-8.655205612795292,-11.072206864619375,1.2246533204573102,-23.644380023111765,-69.99559939631729,-11.753995042606462,-4.389519570688496,-152.05016776550886,-113.63778201516982,20.50686229152978,-165.83481121479875,-25.271430537325863,81.66855320115491,31.51302301578282,-193.55145362417298,-16.279451122097125,-132.9729623158053,-73.73293602480987,-396.8505127075317,37.59507720235632,34.01429997850983,-57.44716690639068,55.78302365717524,-32.30645183035974,Burundi
BGR,-1124.669246545685,127.87323027599764,208.3521587191895,153.2448673505992,-885.5242189661398,61.855354575226514,-272.47365883017414,101.48988008802671,-129.36502259013645,-198.52904158312242,-137.1256084776939,-115.06880895262269,-468.4804476182007,-22.757503030792318,49.203046790116886,19.173785560628403,-1.8701648495767216,-14.109087104461334,-11.332165529774636,-23.86905422302605,-113.35367051808448,-38.837430210762044,-36.59239403358132,-25.909257860703907,-3.551709257824238,-5878.237949229366,-2010.1610311807465,-2615.4976147822867,-236.27851676377452,-810.1169140023486,Bulgaria
BIH,-822.5020840880939,-469.301244052035,-319.5855780427111,-225.5293036665779,-378.47313354655506,92.1975859743704,256.1095536713263,-64.8249186728598,-151.36854798458924,344.09502236766554,-468.0826952057866,-1.901979963931127,151.1531988223481,-1283.1039255201695,312.32094581683765,484.4676853676108,-3.5066082296360905,-1347.9744453037458,-744.69259952377,-1110.8093474670322,-577.8759265863953,-1387.0664188122662,-1712.2728266998051,-779.0229155847451,294.892768096569,-2280.9133960430677,-692.7515131307327,-1880.4315838847258,-1889.6178153751048,-2609.901487638557,Bosnia and Herzegovina
BOL,-13378.435304061408,-24484.392148743722,40927.60576186408,-8914.590676929392,-47789.16916583073,-5517.2501667821825,15109.748421127566,41553.51861666974,-91637.58009588782,658.7668224079539,-37486.67676066045,26385.4322238625,-76155.8720924431,16124.13471529627,-73041.05161550247,18286.80104332836,-13775.168985125641,63537.31607437479,136630.95221841222,156538.50305550988,-26244.718564966068,175716.7315364471,105355.2574119482,75095.1938803406,271819.1696863294,-363857.4277224695,-322767.75775793864,-481.37963991904786,139661.15845965807,-217152.97866316952,Bolivia (Plurinational State of)
BRA,-339513.84648579307,248546.99427378282,956603.8543064891,723304.91529405,766105.3267355012,-195184.12576249416,-351961.3686134729,273524.217159129,-665468.4726551909,-2243032.938051322,-388330.7619112893,-1166277.1395777345,-2552565.5336689944,-2480397.5167753305,-2461413.0470829317,-3634401.909119797,-4571362.666631252,-3173046.6392024644,-763947.2460344946,-2741241.095917168,-4222849.3426998565,-1516901.3097180065,-7373990.54527269,-2507338.8686763356,-5636373.63627585,-6383333.848198103,-9355003.79739136,-8749097.282449687,-4849509.506508728,-9273398.818456488,Brazil
BTN,18.35408879057111,9.620177068100055,-10.372035107114352,6.234561718161524,10.469397666484738,13.54597099688021,2.997042091024289,-30.453937698541264,1.528423952635782,-15.842446328207844,16.37925399749448,12.327031139049677,-0.7605451897995817,-2.3545117363749877,-57.96046076826669,56.1934664120478,-87.40942177285298,32.51961078320787,23.354725489333095,33.53431951301708,24.636710571088365,16.377888244287284,11.303913095804127,-1.8183508012365655,2.3209269258709178,6.452498454212652,4.1787485994296025,-11.991259925839023,-4.045526975595495,1.54136087519367,Bhutan
