country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AGO,,,,,,,,,,,,,,,,,,,,,-5643.071800886056,-8466.086429168801,-8884.592306435505,-14880.17317935506,-22119.215313717577,,,,,
ARG,,-366509.7446647008,-505671.4597044394,-821530.2732371835,-1088235.1097864052,-1277934.7000536956,-1907878.9743736775,-2057441.2226288621,-2862143.440154037,-2672761.4694098076,-3182740.9011660325,-4340647.999303231,-4743965.761946653,-6964902.652033803,-7345957.114097869,-8378101.518462197,-9826336.016436964,-15050023.600924477,-19854107.133907314,-13213374.823833823,-24607065.55770627,-28581593.151034266,-29300476.01053173,-34450790.28589979,-37048950.345299594,,,,,
AUS,,-3313.0195365780028,-4305.700681150864,-4175.958338641088,-10732.419235111587,-3892.033441063007,-7850.127815822814,-14826.204134264692,-10124.981675676772,-22866.12131082195,-18312.269118912474,-9045.799483039276,-12474.459307207737,-3833.9161812560933,-24399.09235188482,-16575.560107945767,-18441.40943934914,-13216.66347582813,,-57390.6683869366,,-29012.86127453788,,,,,,,,
AUT,,,-41246.065587079625,-51804.199047710776,-41651.04376453049,-5992.290603114508,-5506.461291498983,-6465.024306571394,-8178.98484348655,-7546.9973043087675,-4202.357427404859,-4872.799839805779,-5264.757257732969,-6375.926372403462,-7494.240819154643,-9813.081237147237,-9564.409558726862,-10086.526693895414,-15286.79625896906,-15139.72644010088,-21603.55352296079,-26556.80646689352,-29597.341283766982,-19192.609803437357,-22403.408725356097,-18302.281092088866,-19538.37979099288,-23669.10179964266,-21272.090148733016,-18976.801603853946
BDI,,,,,,,,,,,,,,,,,,,,,,,,-4022.168935108908,-4310.052495693604,,,,,
BGR,,,,,,,,,-1174.7873030287722,-984.8233076707744,-410.36844332543313,-224.0301478545045,-1062.7744424280465,-184.7232081303711,-253.37140245647703,-238.38163594634028,-67.8857107160459,-40.118487522159775,-175.5533183075494,-464.660204319139,-1694.3900675961095,-669.9342378845652,-302.640380936096,-1324.0522649649747,-1610.1265444178025,-60907.23037191013,-22032.952756793966,-22751.182985291616,-6067.888294769238,-8613.208562595979
BIH,,,,,,,,,-3329.544757729948,-4038.794797521041,-1686.2164147963674,-1707.8747116321097,-3489.522457819227,-3313.5193005892384,-6755.811640363435,-8551.737369247143,-9119.338018566552,-8738.378641588595,-12434.575865858757,-8362.753691440963,-9692.72158556941,-9551.74406458482,-14151.001124288441,-12939.496547637928,-13332.393400667752,-12189.371488643068,-21054.904338647055,-15960.683720518049,-30675.916912149452,-29621.45843781827
BOL,,-13766.752451022552,-17743.891211364935,-38439.68331346569,-71103.04415822397,-104535.45342501142,-131846.4525582743,-228382.76790578736,-228170.84664250995,-212707.86113175246,-264994.73418210034,-272360.9244355273,-345388.5618735598,-508680.1615372115,-658035.0302652773,-672707.2318562808,-676184.0600598387,-943808.708793187,-1236285.3159921712,-2234160.57387468,-1644486.8748709736,-2029676.5338624406,-3221230.6941906894,-3702612.010326706,-4418303.843494274,-4166009.8442630162,-4150973.0049875034,-3869290.4405654874,-5075964.122923709,
BRA,,-363692.8950548922,-827468.6228003256,-1478114.7472208391,-2383921.248751956,-2860482.7322689574,-4006426.3692051424,-5658254.188689783,-5933687.2705094805,-4916987.413376884,-6202447.508419411,-7556983.129449049,-10399791.061992314,-16197714.217256581,-18802009.68696793,-18389783.977543432,-19643190.73547309,-31321163.936048713,-51662515.5392945,-50002537.67351462,-62747811.28715079,-86067802.52394111,-96267843.22327392,-116205908.74555571,-120408108.29722437,-105757975.81485239,-119585850.43919739,,-139757285.66589668,-133019976.92374289
BTN,,,,,,,53.96152859122034,79.23963015019211,93.48701903957956,155.18938551909136,168.84831491626701,79.84597712062491,55.75905532521046,27.110495016316154,,,,,,,,,,417.60426537798804,342.4634010738394,592.5884229643216,299.78117982904394,260.41678664296523,,
