country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AGO,,,,,,,,,,,,,,,,,,,,,-17474.692142595675,-23202.94049144226,-18521.032857870232,-34040.28779168598,-47213.068375995404,-44018.206114122564,-36151.80602441529,-85928.09727782919,-57978.84037497456,-44659.09916543058
ARG,,-6732843.698433168,-8874524.300033357,-10661863.495135078,-13462735.669703929,-16267883.04974981,-19205215.339895792,-19224635.057214182,-36508931.30227451,-43076029.04805091,-47372016.51380489,-68694610.207997,-26958983.31161586,-35567850.15745305,-34324609.92809179,-44826301.067741334,-48202518.55723767,-59443757.533863224,-60719897.840588726,-36719213.89636613,-63220120.5288863,-59167795.822525926,-46678589.92614899,-50491641.82866325,-39079522.122217365,-41479311.74452395,-26137186.13449977,-22900964.817503605,-9728500.187137032,-8695617.33232215
AUS,,-4705.889146233595,-6160.704809748404,-5676.235043624891,-12280.75439872902,-4937.630219246814,-9914.284980066446,-17796.50932467829,-12331.414369652584,-28335.58685709419,-26916.268060356328,-12134.146754182175,-17872.58198045415,-3361.1411346698233,-26602.48921353521,-22128.82858909637,-26210.72910812741,-16076.079240340789,-23041.624192850602,-52716.388928967324,-49147.90237772438,-29372.89855310659,-90709.35424017755,-95565.28036486027,-32861.363415602194,-33871.50148675793,-27730.77971755361,-32072.220820310245,-30245.783185127057,-15445.993097452048
AUT,,893.3237958568427,3982.773623216803,7161.829588637975,7831.860195975201,3237.488906034198,3170.141168937901,4008.6391582648166,6793.648720728188,7322.935396599054,4570.997752260924,5026.708158629197,6006.8641393343905,8731.779474631809,11794.76125972908,17197.027085201305,19992.901123098323,19060.152218765383,22342.655738723774,29884.959147003712,40343.31495751481,52304.811203587975,49038.88386531994,42770.85859358108,64678.8014177085,65877.70358872364,77669.35572836519,105963.9440299464,112153.34284785314,130269.74711188463
BDI,,,-328.8379421888225,-303.1124301768905,-290.5125855724469,-413.81172773495405,-304.79635860991993,-351.27609257547556,-249.53322580264887,-188.76726341219003,-364.07410775821654,-508.5016121860188,-545.40179251746,-592.7970318899818,-698.1506427831296,-881.0067756411906,-1404.3730821779093,-1463.026058242751,-1437.6549790908725,-1491.1820316273772,-1387.5744469186318,-1294.2758338288209,-977.6747865098079,-1620.1041011895495,-1782.0050606584803,-885.602569798311,-1207.0197110720164,-1096.1704878566102,-1224.487294715026,-1328.5832258583678
BGR,,,,,,,,,-1323.5272896561098,-1243.6367844890055,-470.06588955407346,-247.57418682881632,-1150.3754967747298,-211.3237605527272,-273.19567989857615,-276.29430492261986,-67.4777341375055,-38.97627884299016,-116.81099718447243,-264.0922598896483,-1101.5765407720846,-508.05397739649345,-143.6703704066788,-484.1072692941147,-623.5649874609891,-30060.374369817477,-14353.329806021062,-16807.400660543124,-4364.628667635891,-6942.143006962049
BIH,,,,,,,-498.5661233225932,-757.9814061756133,-876.3979315805776,-956.5702139262524,-364.23557058363144,-392.0655545567179,-758.4489880377648,-737.0967408638095,-1443.5479628953974,-2178.6873877693547,-2372.7817762774794,-1709.9496071266153,-1998.390486109276,-1937.2453422258188,-1894.5828208796297,-1759.5908440183937,-1696.70029646152,-2181.0495440876634,-2584.399585092292,-2628.0367164455965,-4866.286437793281,-3256.9418182505815,-7058.020185001864,-7095.76040652833
BOL,,-80121.71363937593,-89614.31021899822,-151414.7166089121,-245548.01523741943,-344771.905019081,-379104.85639294074,-479820.58905181935,-579682.2018570874,-527867.1193520055,-674540.8091540918,-662010.2738060233,-714589.6342374502,-918852.360755457,-953616.1445789777,-1074378.5768075825,-1108196.9348463428,-1191384.6179102194,-1089133.7212889723,-1799575.7985858952,-1716684.2991227198,-2033126.2107669471,-3103533.80979013,-3492493.6283165603,-3681738.7185210628,-4287989.710865021,-4661941.394104448,-4091083.147907739,-4726113.107640368,-5036177.496922976
BRA,,,-3181518224.3776317,-284834486.35021657,-21690961.124390528,-19094398.015018735,-18222588.39987787,-22038048.833695382,-27220809.570896342,-19112744.234682158,-22009779.968446568,-21532772.154445697,-20798168.95320994,-26231078.624566752,-28296658.672144435,-37635688.02779301,-46189337.73055643,-60770743.587011315,-71192012.3933618,-66691764.468271,-96800999.0529834,-117903678.91654944,-94449916.66461559,-112474940.88146214,-115772594.81410037,-97045220.28361903,-96343804.02915032,-132043700.60219064,-124280627.04846816,-117462397.4532151
BTN,,,,,,,198.60999640933014,258.8083011207661,324.1004296258967,503.2913881845341,505.34739879129904,457.26375695941334,290.0984176295251,136.75933369539027,1221.5623390474782,2198.3406042416013,1995.8748047129575,2335.890441897782,1374.8942490794966,882.9902078167954,735.1012300482357,1580.2698209777182,522.1401834654189,733.0911930658633,529.8705888822647,387.3915268074603,450.779603429981,393.321513103578,208.21497193212022,336.46578645356357
