country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AGO,,,,,,,,,,,,,,,,,,,,,-153717.84124937712,-202337.81938496634,-159936.87711295235,-291512.42045453127,-400495.3052814993,-370077.0475028048,-301059.78933016205,-708654.1596829022,-474907.19448141113,-362767.5385419133
ARG,,-34993173.50730665,-52924521.26489792,-68652124.66772687,-91747852.4962183,-114846560.08053929,-138959573.01797402,-141659329.10281113,-273462708.4678733,-327137576.61314195,-365982801.8834891,-538667600.8234485,-214396689.88166788,-286664146.390398,-280135108.93797326,-369846654.1232502,-401069614.50245667,-497436609.4728764,-509533975.34449047,-307084751.01841664,-527001533.21286726,-490721007.42537934,-384646732.84743935,-413856204.8594605,-318172505.0065002,-335557461.5855844,-209929882.71541068,-182557765.53277135,-77177930.28979896,-68540005.42339873
AUS,,-29884.45757894337,-42597.015841850036,-41111.96941193739,-92323.98319132572,-37908.506388151036,-77167.437240822,-139897.86919202862,-97904.14008524573,-226900.31752367524,-218333.8441889699,-99552.42436262757,-148268.05238260998,-28183.728112841767,-225353.3098648243,-189114.96142451384,-225472.5428228524,-138848.1062480229,-199256.82977378657,-453686.7968943663,-421060.12468103925,-250068.94791793075,-766461.234706492,-802434.4884509136,-273841.810295861,-280243.57391794305,-227634.86213926488,-261130.36791507588,-244936.49430358343,-124215.63639499365
AUT,,10415.46836824822,42825.89560287827,74239.68529273542,80202.94577090634,32683.122843560406,31594.43332589152,39540.52150872352,66621.84515549973,71490.11578340767,44719.39561609552,49283.32635106197,59064.913599831016,86128.41485798288,116709.10838286487,170544.09013428312,198329.4012297891,188710.73464529723,220228.979176012,291605.1901303372,389838.3262627825,499737.4531112484,462785.84512659424,399272.38673133816,596585.6089315667,600781.278468228,699924.9642864204,943401.3818717353,989334.9807540227,1136897.1894847315
BDI,,,-1304.6373644748521,-1404.4377429755225,-1504.0784033515815,-2314.5982380770774,-1807.0044984006813,-2178.4011336449116,-1607.1908348621275,-1255.2216354174486,-2500.2732416877325,-3590.3819552479213,-3949.9661006076076,-4396.069293854111,-5292.220311017569,-6809.68295218437,-11034.704726060048,-11647.59660931897,-11557.469080761026,-12023.955250620851,-11220.578792583327,-10473.402637058318,-7902.929144597929,-13091.020645638158,-14369.624950645519,-7126.202137363441,-9681.885717529738,-8760.248357897992,-9773.012307965942,-10571.305185051619
BGR,,,,,,,,,-9840.121139245002,-9386.800699503923,-3614.448014673921,-1935.11185155463,-9133.975301829618,-1703.4593114998124,-2234.1676824860365,-2288.71016904307,-564.8401368747463,-328.81675912910487,-990.3050259808052,-2235.8481909036213,-9315.651245251855,-4283.835248253593,-1206.1790597622105,-4051.421905252407,-5194.687798669639,-249351.1823902776,-118455.60225914608,-137957.57700702123,-35729.09065646613,-56582.016141485976
BIH,,,,,,,-1619.007292938613,-2704.1365263906055,-3383.9416118914824,-3953.330128591317,-1604.6005662372636,-1826.0437463129172,-3716.461776616832,-3787.886863501862,-7755.467875559283,-12190.393213027095,-13770.759062877944,-10249.34252540933,-12317.637100438451,-12180.99915221806,-12145.968058930872,-11469.666047643126,-11216.046135548933,-14619.905545258667,-17525.351918257842,-18012.943385166967,-33656.73687615282,-22708.83927255587,-49702.808170295946,-50356.708617784156
BOL,,-524212.4461994866,-631262.8124270041,-1109528.0844271383,-1858979.2826990911,-2655961.095250216,-2952119.726656847,-3764726.3118278063,-4584782.646438124,-4203795.866822126,-5433752.4818833005,-5386806.727229994,-5872494.535218859,-7623675.263040202,-7984384.377474371,-9065398.85731666,-9402423.312624242,-10138599.465800121,-9270781.75176242,-15230352.292991038,-14449477.206150409,-16990238.139646437,-25717495.689494174,-28734309.70165786,-30036831.426141057,-34704515.64827551,-37404880.54104059,-32531834.303658567,-37350345.553645,-39493939.48927242
BRA,,,-21103395820.92071,-1997219777.4947028,-158765114.908722,-143300287.23026708,-139055790.89919484,-170218666.43673024,-212697041.5705537,-150820337.07155684,-176112733.58332917,-174403062.94694895,-170440609.5691951,-217392324.61998618,-237017008.12565488,-318141620.06512266,-393126169.92873937,-519431685.89498967,-609374070.0241557,-568201221.4684553,-821082864.5445752,-993901163.4841491,-790249693.7219578,-935180116.2894956,-955313976.9652754,-795035966.8448733,-783050591.0703737,-1064401587.323413,-996342924.8428644,-935040265.4728932
BTN,,,,,,,1788.4296362937337,2319.7259417710625,2900.986713219241,4501.269837671408,4543.588794970721,4131.188696972475,2634.8694147642336,1248.8125762197405,11213.114503741563,20263.310442159498,18435.977042645954,21571.906810533794,12661.328132982844,8061.3001234393305,6655.79728762121,14167.252592514556,4629.874932858012,6438.668069718398,4604.174298968378,3332.2208819249186,3836.096166843936,3310.712448963144,1738.5664882521787,2782.697855442708
CAN,,-100332.74453293193,-144135.20577916192,-243439.24963885348,-338410.76201572455,-418392.11192091653,-472543.3733440595,-682263.960239475,-727349.7301305502,-833469.5715136363,-909059.8340424878,-585376.5581239414,-910060.368136393,-1091346.7895975735,-1724418.6056974235,-2095068.66013016,-2673058.5008212635,-2369251.6115713334,-3195048.3740154477,-3427130.33559435,-5050981.882560807,-5641701.506913061,-6773452.33823417,-7353928.470602753,-8190123.341930767,-7995362.282685163,-8312968.583073297,-10460003.333299909,-10597662.270482663,-9006317.665688017
CHN,,-5532836.727786271,-8512278.342499204,-16181021.925141878,-14226758.411482334,-14987127.812583081,-17388303.538074225,-22396923.193999857,-26169039.445119888,-27585136.72759046,-33212969.975125574,-36602518.56937058,-42934313.36988467,-43709968.38164629,-53732115.025255345,-55202972.87543254,-56452622.70109049,-53628103.17255844,-76718614.78771673,-79910063.93554908,-86199414.95358376,-91894432.1839054,-89253898.61020535,-88078234.56836401,-95003129.82640877,-95341311.17403838,-101492294.58571996,-124630385.95121858,-138942385.3652012,-157215547.69445157
CMR,,,-1124.746088533955,-1589.6632165573344,-1068.1150091132167,-1500.9005447328418,-1798.4569761988762,-1891.66578504138,-2200.323326114147,-2525.5899872365985,-2433.4481672663314,-2516.8881262115224,-3200.177460614427,-4339.7536773789925,-5361.360240699105,-6145.489692765932,-7074.051597830856,-8546.59518795554,-10081.5155587357,-14625.95924675673,-16008.50814529719,-18523.42333544987,-16220.380842533003,-21386.523404431646,-20441.957875560674,-29553.095111174818,-59439.77415879717,-88062.81552392349,-99751.2410369493,-107608.61444762775
COL,,-667659.7518139475,-417163.51642669144,-580092.387797575,-721534.0916106951,-701588.6104322057,-445406.140055059,-725076.1124363504,-524154.86899513064,-261200.43089753398,-240213.3093132175,-387964.8158442135,-506540.0424742748,-543023.9024893116,-544641.7445583967,-529487.7933718552,-496797.8867069921,-586673.1320052578,-703275.7883293466,-718905.974162847,-790585.7349313055,-1195721.9943012372,-1489528.823169885,-1495646.1914279473,-1537409.2477071173,-1143546.7080533397,-985640.108656596,-1058873.012254025,,-1471182.5446528317
ECU,,-2070684.3073512523,-3530212.2166682566,-3955133.2535910904,-5880498.679645917,-2859444.0735224416,-2314012.460605517,-257998.6004024164,-233392.0279697766,-906634.4052850135,-582167.0481307099,-771710.9947503067,-812849.2861031365,-883381.5096612812,-946890.370678512,-568587.817071319,-236115.4513187413,-605595.7728279245,-752797.4238249041,-848308.9718170846,-925921.2137704015,-1091095.3016507027,-973582.9232929571,-1055886.0868470052,-532674.107529431,-558159.2195894228,-745390.1105031687,-651656.1835368618,-494885.81799789466,-797940.9224848738
FRA,,-20710.38369705654,-15582.068981142142,-36888.67993736022,-88164.17081424643,-120147.30452265622,-121410.00188511076,-145144.10308537394,-171073.53346286743,-173572.2292994556,-129174.87898290236,-213924.9627313109,-166810.10305403342,-155075.1956508684,-186125.2396528623,-196566.061097455,-185551.48357436154,-150393.3218660053,-129143.48149974474,-227581.25753113182,-295292.55571569904,-288699.57149628596,-240364.26261314965,-278736.90917328413,-607839.0954950544,-794014.750137687,-838249.224902617,-1101493.3198404184,-1159967.2232336944,-1238757.6621072867
