country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AGO,,,,,,,,,,,,,,,,,,,,,-133521.1607216044,-175818.962081334,-139023.69901589022,-253478.65551282742,-348351.1214847017,-321987.71319325204,-262011.48613785027,-616905.0248645697,-413529.4864332074,-315961.79251136293
ARG,,-28593806.254509743,-43598840.943390824,-56785030.14916101,-76077772.78226355,-95392291.6027772,-115564845.62571023,-117921878.6449685,-227810929.95968944,-272695730.8986275,-305242042.6385096,-449474353.1219602,-178969945.13425547,-239386426.0757532,-234015946.48824194,-309057704.8662677,-335249401.13618636,-415917666.5316757,-426143893.21811515,-256887041.982557,-440956674.47043806,-410690968.77601403,-321984179.3993714,-346506551.06058323,-266446877.43935892,-281058995.74800456,-175867066.20070776,-152963930.19810578,-64678502.7009003,-57449558.752031334
AUS,,-25058.277577584828,-36196.86762722467,-35168.51980563701,-79299.47746702738,-32649.964353125128,-66596.28855132817,-120914.75184921516,-84718.69361706726,-196530.05031182163,-189264.38480062658,-86356.33163654937,-128690.25446049427,-24475.228061968697,-195794.17816468992,-164379.67227854606,-196058.1167445648,-120776.97707711568,-173379.0775218322,-394875.48393661686,-366576.71056545194,-217766.07819249382,-667609.9180838119,-699099.9016303075,-238627.58336083518,-244254.3644776326,-198438.77935360375,-227679.2907938359,-213597.5464483708,-108340.8001431093
AUT,,9636.958730086273,37385.840736529506,62936.75360420773,66778.69951108668,26884.28109635854,25758.792603640435,32022.88192761198,53674.52190695962,57352.157473640276,35745.88389240918,39275.42456670547,46947.63572447944,68297.89846879929,92351.36609672774,134693.60408850497,156367.52670386914,148551.06628048676,173114.82962174973,228938.3855138159,305694.8403286174,391432.08199777507,362108.55379145144,312100.2200660529,465896.0792392612,468757.0137101603,545655.0598353771,734868.9578361326,770035.063841619,884213.9905465147
BDI,,,-1166.3454112809063,-1247.893597425197,-1331.5458065418188,-2044.1613950462433,-1593.1280928595324,-1918.1443046183917,-1413.8161327439122,-1103.3531020188466,-2196.3824037965333,-3152.3989200907004,-3466.6496999318924,-3856.757589794151,-4641.509933727146,-5970.794112486365,-9673.121609610243,-10208.406615586618,-10127.748374934328,-10535.133599616887,-9830.069031350346,-9174.552425951228,-6922.25794737145,-11465.716259837387,-12584.79959940676,-6240.7499450773,-8478.5248235452,-7671.170452666604,-8557.783962642045,-9256.610356154675
BGR,,,,,,,,,-9508.156718467098,-9100.317474419457,-3513.7225088422474,-1885.2988840536598,-8915.012368513553,-1665.2075907927926,-2186.886966876967,-2242.767894360241,-554.0208637267984,-322.7710418894045,-972.7307894388679,-2197.2968965047517,-9159.126550912679,-4213.432198293103,-1186.7181254357292,-3987.051977353324,-5113.1678837277,-245475.80010570626,-116628.00986337071,-135840.43332877825,-35182.718795465524,-55718.33898567825
BIH,,,,,,,-2130.7989926565774,-3503.566158480009,-4330.391407563907,-5007.536751080124,-2014.555368718362,-2275.4022668137795,-4600.247152348505,-4659.963721596915,-9487.083025986047,-14834.683005755905,-16676.92514640521,-12356.747100184504,-14788.373647077504,-14570.41020999124,-14475.638782470432,-13621.99682031738,-13276.853363432454,-17251.038432292946,-20616.647787383,-21129.064554549233,-39370.21970837242,-26492.35830585873,-57830.073704692186,-58441.8833070678
BOL,,-459201.7993160697,-553952.0433746631,-974546.6425439351,-1633808.8289852417,-2335279.1017867355,-2596585.7836303776,-3312278.3236167626,-4034776.3695444777,-3700315.2682171604,-4783960.474197875,-4743537.309381923,-5172173.141960036,-6715734.49732297,-7034747.011433182,-7988599.040510034,-8287038.33457781,-8937420.007282814,-8173800.21963602,-13430305.033784661,-12743791.232126884,-14987066.726911576,-22689013.142769102,-25354657.07665734,-26508207.723277565,-30632363.858094584,-33020998.59511664,-28723562.48966538,-32983233.487925258,-34881651.56633475
BRA,,,-18256595828.05007,-1734611455.1940691,-138223377.6375302,-124963962.7767091,-121409224.02644427,-148753738.4406592,-186010558.5693885,-131976610.45779862,-154189105.7144779,-152759539.99414554,-149347028.6832751,-190556255.5422049,-207826887.8578835,-279045006.6069727,-344911552.7219298,-455845177.56177574,-534907005.24189734,-498872723.03050953,-721052476.411454,-872994936.2373353,-694251974.998102,-821731229.0910401,-839574037.3871498,-698835068.5984226,-688414398.1128144,-935915422.3817074,-876214487.6001424,-822432240.9616523
BTN,,,,,,,1712.2434762882335,2212.557072389647,2759.055435122247,4271.369487559031,4303.502457780937,3907.053847849106,2488.8143099582558,1178.3250405401784,10570.493591329132,19087.14626332772,17354.366202801477,20294.938069873675,11906.198108637393,7577.656391466372,6254.380076620748,13309.005846864497,4348.358506401307,6045.947986011934,4322.628166082953,3128.0327945342087,3600.6434562184418,3107.2400315721225,1631.6083175157478,2611.382128590002
