country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AGO,,,,,,,,,,,,,,,,,,,,,-246582.94645843556,-317068.5797692805,-291924.6472302929,-438234.3883405914,-591051.3523927035,,,,,
ARG,,-513996.11181911046,-1609827.3887688334,-3459995.333860857,-5364183.20942102,-6921552.498320411,-11013508.85634088,-12430290.704271793,-17937322.893032793,-17252525.36665553,-21173222.5272224,-29614498.765589215,-33111230.214856204,-49637818.81399496,-53360368.41168531,-61868898.895507775,-73531908.76561981,-113737972.55574273,-151001825.96518728,-100440921.28184561,-186943988.39855266,-216555835.18834835,-221041916.21202236,-259022156.52272835,-277178109.7386066,,,,,
AUS,,14442.11224176405,4509.891538507799,-3582.934193341425,-22899.088219133006,-11794.591954718311,-29042.79516783654,-62383.7735071832,-46755.939982441785,-113335.2582182698,-96594.98069715123,-50162.576392795796,-72207.4992096035,-23050.27541810071,-151700.28180778,-106071.60831412073,-120862.93824876091,-88282.23210245227,,-391196.0829117404,,-199392.20940883143,,,,,,,,
AUT,,,788865.0469417688,1012042.1666431442,831100.4737844547,122298.73594700666,115118.52267626848,138551.5858311598,179727.45765279638,170203.58138963368,97274.15182768802,115811.46834528128,128580.29220365903,160293.31715035182,194272.9135856563,262779.581957049,265251.3637776931,290518.03395432385,458814.66987577593,475363.84281352634,712926.5311678234,926233.4767740018,1096855.0403964906,759007.0002326912,952280.687415801,841031.4612939372,979242.7702542003,1308982.1413590722,1308498.2911065344,1322169.2687437723
BDI,,,,,,,,,,,,,,,,,,,,,,,,9919.322256998039,9779.058791522664,,,,,
BGR,,,,,,,,,-856.6925950702523,-1418.35556059045,-847.56796131207,-581.6951635222839,-3259.6422216534515,-646.0229302558284,-985.4577633324171,-1010.9808249372979,-309.0697135639337,-193.52650343905358,-887.4184483001156,-2425.82017482656,-9107.619077064766,-3686.9683635998604,-1697.0617877573004,-7554.218060245321,-9310.647580635397,-356305.007727152,-130056.17200889623,-135288.07952984105,-36409.342049795094,-52000.76067962277
BIH,,,,,,,,,6517.085305548227,6624.223877447333,2241.3390218205445,1766.0630292299643,2605.656873192452,1523.406139035062,1186.0682108743895,-872.7714945664843,-3399.421813250512,-5535.846355985648,-10976.789236717055,-9238.788102826864,-12853.27054527044,-14686.864661129865,-24569.533701669377,-24943.266170906692,-28088.524831992378,-27732.005674973443,-51207.37206864129,-41205.176827870564,-83750.62358622653,-84924.89603423432
BOL,,-161919.58546731767,-186653.02582461055,-383088.8906016194,-692283.4211599381,-996298.369601416,-1234606.5052628412,-2109678.5355511494,-2090686.436729324,-1937235.67346966,-2415943.1714376444,-2486910.4820410344,-3162106.871624927,-4671908.957593469,-6064667.2962314645,-6217159.487057054,-6255915.889696876,-8723221.873864347,-11388108.728169626,-20395983.162360854,-14886200.033699857,-18191164.556695692,-28557057.675434474,-32518613.896000538,-38400609.0363781,-35855217.3234654,-35358913.51171052,-32616098.454826966,-42467698.87604198,
BRA,,-1803831.9427121347,-4958871.565214869,-9612850.146079719,-16383587.205164745,-20260971.020377092,-28927182.94611504,-41406439.62373585,-43970475.714732155,-36820189.77309613,-47135161.052081786,-58164188.530013315,-81025656.56020948,-127668925.97317417,-149819795.91217047,-147906960.36366856,-159077915.24696222,-254711048.5165208,-420659115.6120508,-405102704.9501525,-505956823.0792376,-689480325.5357006,-765189901.4670815,-917672948.0562559,-943430735.2198651,-822531763.0013148,-922549741.4251,,-1063195509.39069,-1004701216.1639019
BTN,,,,,,,-247.82907289012937,-331.9368934887055,-356.15611466651336,-534.8869842347075,-522.8196936494613,-220.9043226366867,-136.53154142488086,-57.8487963903721,,,,,,,,,,179.3693706447888,211.96967111356386,471.5328999729903,287.9023439257655,290.7965281089931,,
