country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AGO,,,,,,,,,,,,,,,,,,,,,-243046.08385693305,-321154.8538112668,-254929.38938784247,-466266.0582756114,-642839.6878104182,-596041.5577033316,-486468.30312994635,-1148688.0006432638,-772015.2871745887,-591614.4109664921
ARG,,-56079800.126630984,-84142405.2260571,-108862826.91555364,-144744623.63356885,-180731133.296713,-218222022.386347,-222085981.86165813,-427551338.5615454,-510424010.6254883,-569279003.7985212,-836421669.1234477,-332389656.22485447,-443906552.7918147,-433173926.677692,-571500665.037397,-619709133.6029931,-769367346.7145258,-789230346.1918406,-477261516.8889985,-821857958.2458445,-768391346.593398,-604974761.8086685,-653315711.4151438,-504149946.900301,-533628186.7133215,-335011468.8318276,-292314134.1826636,-123962970.11394106,-110468637.87842667
AUS,,-47422.28825391085,-67826.44122001821,-65667.08853482954,-147230.1149003121,-60444.405105135505,-122999.18815324153,-222900.6672110447,-155724.55166737965,-360464.56416019896,-346033.5721665906,-157595.9451872929,-234470.5670410675,-44537.80241939901,-355755.2828046988,-298453.48892046127,-355931.38092529576,-219470.96414360098,-315508.0329221781,-720997.4822818135,-671611.9386399203,-400592.230662666,-1233560.7215039018,-1296501.1988822904,-444197.95695391303,-456323.2883162424,-372023.7153565097,-428284.5195259452,-403046.379808089,-205139.41319438038
AUT,,12745.666501559888,50845.11991088871,86826.35257367934,92514.37690104246,37347.676624328225,35814.905218285996,44511.071319498806,74433.15355501007,79342.68676137547,49256.8444192781,53952.06161874792,64278.6565431525,93200.00190169932,125533.0102085087,182450.26117960602,211135.7769746644,200089.0879810134,232655.23319928776,307522.73651495675,410289.11872491246,525096.1906028028,485585.43284880376,418004.8427091051,623144.8337276459,625982.8643143014,727346.2609851344,977482.9299544147,1021605.3582222885,1170226.2218124706
BDI,,,-2284.824630123423,-2449.325090761188,-2607.562945988293,-4001.292194722353,-3116.984483725092,-3751.4617274906277,-2760.547040636297,-2152.011260572959,-4274.397013468895,-6129.0607736498105,-6734.615541563213,-7489.1591259808765,-9006.442543116533,-11585.915220074303,-18781.96125132683,-19854.877726233608,-19740.69941970005,-20618.985819300397,-19319.277778456704,-18118.126189812552,-13741.661504794552,-22862.222380393912,-25206.614821776097,-12554.629297867465,-17128.587726718673,-15561.424063326514,-17426.965599702016,-18929.420799252403
BGR,,,,,,,,,-22188.092089801106,-21174.898938713606,-8145.233663663247,-4360.665686540986,-20581.214075594922,-3838.861415732485,-5033.431048974653,-5158.096737274651,-1274.107675298498,-743.0930967577583,-2243.0778551823005,-5085.40686277034,-21277.27667126592,-9831.710363285374,-2782.655112144158,-9387.537174481215,-12089.699051949881,-582797.8962869047,-277996.6706664578,-325050.1994077808,-84493.52188871258,-134346.58397893558
BIH,,,,,,,-5991.580188273499,-9812.774992517681,-12075.277300650225,-13917.50411817915,-5576.215503393101,-6282.621601594375,-12674.962955773364,-12819.07526352432,-26052.077131000195,-40701.15749375665,-45749.85955047268,-33934.771325462825,-40680.10536904203,-40233.52125150207,-40129.43203429438,-37941.09368675729,-37172.270804154374,-48512.73243598123,-58240.43382914371,-59953.813861504095,-112197.07465643063,-75818.06880122884,-166161.53324326884,-168657.18016792717
BOL,,-857605.0120893405,-1023237.6263421621,-1792406.1139888782,-2986152.6126988423,-4253687.945057928,-4716212.920972407,-6001998.944347112,-7286977.503372516,-6665570.881304665,-8586592.667753387,-8494842.639582658,-9243471.423019692,-11981869.442821749,-12526678.00298352,-14208064.145288756,-14730223.285578141,-15893415.894772153,-14548842.846208902,-23973044.265254036,-22812675.00867207,-26921645.98799368,-40913619.096442774,-45861556.90308006,-48098684.467038095,-55750250.86130757,-60271119.3817042,-52572271.97018758,-60519028.15479394,-64182840.22971395
BRA,,,-35298760043.6233,-3333740866.837623,-263732520.22424838,-237478757.3948251,-229979416.12784797,-281046382.77858454,-350218184.1218553,-247815760.97691396,-288468245.05914295,-285146750.23611695,-278210931.5659076,-354396792.75989056,-385791897.8184753,-517417000.0354917,-639244312.211156,-845333087.3149116,-993004468.452366,-928895825.1907176,-1346676641.5655138,-1636448874.0442815,-1306675669.623681,-1551719354.834856,-1590748946.311578,-1328404501.3806608,-1312681901.300913,-1789986545.9735987,-1680392796.1741924,-1582102117.7635741
BTN,,,,,,,3130.804660312465,4014.149250730162,4967.348453168745,7641.902828974116,7647.090335809063,6907.578312033833,4380.052315661271,2065.3216022545394,18450.509716993154,33205.95173501387,30112.977681954362,35162.61491751433,20608.701839975573,13130.153468384904,10848.565849106348,23123.370282295826,7570.351255136911,10539.72200276421,7546.0330664498515,5467.80545481962,6301.491535424413,5443.8173362797515,2860.789061956885,4583.74211716621
