country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AGO,,,,,,,,,,,,,,,,,,,,,-360989.2011353513,-468963.45285067696,-436157.0620353422,-660842.9735854738,-899269.1153981419,,,,,
ARG,,-2415526.7809148105,-4420322.634480687,-8217830.6130307205,-11834793.912666924,-14639429.820686767,-22641384.436627034,-25046553.60947998,-35554548.910937816,-33767692.39000097,-40955385.33182191,-56789806.34409346,-63031665.98079201,-93910434.53530003,-100369191.269555,-115857449.72780006,-137241052.23425257,-211894244.98706973,-281036242.12673295,-187194348.2229107,-348952483.8024173,-405185794.52037215,-414791242.48050016,-487164793.36493164,-522591728.76741195,,,,,
AUS,,-2481.3543033284095,-19045.441237667983,-27387.185539498867,-85714.04189243352,-34934.58062799553,-76150.91969078762,-151917.4668818961,-108144.17996705287,-252541.58027662174,-208762.13792100525,-105987.5841736741,-149783.21532458655,-47086.37344152926,-305740.95191837015,-211483.4814287014,-238897.36709722612,-173405.84946600237,,-763542.4610342121,,-388735.0495212795,,,,,,,,
AUT,,,789558.6796738278,1012900.4020730624,831644.104591475,122335.0553251335,115090.71778150852,138418.8985952157,179395.80260171703,169704.9175996124,96862.49111759721,115146.85531985803,127618.13458743396,158764.07826568055,191959.42385481918,258937.4613189829,260553.9702640787,284357.3193087972,447299.35558338376,461439.64022573363,688623.3894803146,889678.2593355943,1047095.0212404291,719735.3849134839,896454.4820840267,785549.6341473632,906995.9283198725,1201380.6258634676,1189028.3245091164,1188586.7904569241
BDI,,,,,,,,,,,,,,,,,,,,,,,,589.9338798262373,-568.6337887251009,,,,,
BGR,,,,,,,,,-7797.031936067277,-7307.3671714840075,-3333.474426310051,-1957.2121681268309,-9870.49517410315,-1810.2709120305035,-2601.217187447846,-2549.0940206972937,-751.8006682942746,-457.8850573494377,-2054.042386815961,-5533.686153459531,-20517.2258386736,-8226.661679301613,-3759.561743402604,-16623.644508351637,-20381.145740691314,-776648.7147912085,-282507.20244199084,-293017.7325423546,-78647.97104585424,-112144.39372712688
BIH,,,,,,,,,333.5194117967436,-1527.3631359661208,-1427.296513048997,-2214.4558381471966,-6060.863968597706,-7222.147990815602,-17682.659058846046,-26081.064848536287,-31689.599131450464,-34003.467021915494,-53371.35441275388,-38971.64107464768,-48759.453381129395,-51496.23126538192,-81170.27377597286,-78505.03357331992,-85052.17443517174,-81377.84179642911,-146417.94145806922,-115241.21145077312,-229726.00083028505,-229293.8937727014
BOL,,-286851.4402648342,-333426.44015037623,-688133.2229442187,-1243482.3615398365,-1790864.581044858,-2219621.2797012585,-3792468.1980135054,-3752493.928583774,-3472934.068704694,-4320716.175075882,-4441872.457954263,-5640856.717520144,-8326075.955123062,-10793962.965194583,-11057979.016562562,-11125554.086997455,-15526521.936416695,-20295332.620884635,-36461762.60592192,-26694656.35365422,-32741778.445242103,-51606459.34953483,-58957198.804531686,-69850765.92222174,-65427100.98853845,-64715628.1017575,-59867203.761551365,-78151909.47951509,
BRA,,-4465491.024484063,-10791846.623872884,-19874425.8011296,-32799059.98586685,-39780135.719011374,-56011307.48378764,-79358082.16820784,-83493685.67153817,-69412023.52518041,-88198913.87564635,-108264148.62793566,-150132412.5106083,-235655714.66706967,-275498294.7662366,-271234201.3884821,-291169504.8458907,-465919687.93303525,-769488234.6036345,-742641625.723184,-929629037.320455,-1270611893.7894146,-1414998612.378762,-1701618932.0280194,-1754381298.116146,-1533846496.0714474,-1725018382.656255,,-1997953008.1057997,-1893226098.8241642
BTN,,,,,,,-169.67445438061765,-204.85708907200788,-193.0036305845392,-243.0459246645423,-183.4718159900712,-50.45703733206115,-10.782195280830024,6.5475961610979,,,,,,,,,,1590.2985593950498,1394.158508339636,2557.5385728997258,1361.412928124854,1237.8109774254742,,
CAN,,-436353.45869255223,-542055.9898916974,-969301.2498057921,-1295639.6758816377,-1525656.3290350528,-1981796.2551203698,-2893723.0840972033,-2585254.8198312186,-2430366.342056383,-2592957.486071832,-1621267.9374558674,-2804615.1580948452,-3687044.635456791,-6080949.280841158,-5802015.497363619,-8105262.388652321,-7123712.489715088,-13029916.325858576,-13756056.172614813,-18885010.432281926,-24218332.312961206,-32467938.469223395,-35607895.4439922,-36285799.52975663,-32526297.014389478,-36277753.68537932,-44960352.09949737,-45146212.47179931,-36633153.70453601
CHN,,-4249665.228693807,-7064359.613710475,-15390904.446626546,-14605542.503144039,-16849618.352893922,-36816548.06810383,-40941912.85244641,-40359151.04737924,-32907537.35001854,-39646793.38624274,-35798806.413000494,-46784503.65288377,-64638095.91815462,-98036227.85260163,-87917010.33292075,-89573364.83398792,-108384106.16762324,-128194985.65680714,-152884194.05409363,-207363962.83310676,-229899403.5867874,-229043074.6319515,-179124403.39096946,-246341044.41897544,-233413329.04789534,-191195801.26391414,-245562263.98201784,-268663630.0150582,-316878668.9622723
COL,,-273280.49654564157,-158228.9095006465,-229080.82148542357,-327747.7600479015,-318274.5261398161,-258481.6810757762,-456334.60886101314,-381056.6683875958,-218889.78196093065,-231546.78531504597,-394154.7103531141,-543274.8249862646,-689756.3586052717,-769188.0071528738,-641111.6650443194,-619682.7838153496,-840732.6748693315,-1216850.008596465,-1131887.6590723887,-1172299.9213176984,-2047831.5451388678,-2634241.437572157,-2616062.572238428,-2721336.9766778904,-2150847.971450345,,-1426073.0943800483,,-2264975.49590049
ECU,,544.9470990524686,-3193.333533280663,-8930.898352648235,-20649.614522050524,-16506.551339319056,-23539.10206755212,-3291.70618509689,-7307.002028712886,-116153.51247315375,-274157.169002174,-442948.72362402285,-534908.9400651662,-527713.6524885333,-605015.4091469845,-285390.4259263399,-173173.9876018462,-591859.6634556707,-971594.2358528998,-1150782.4442279048,-1312985.321698374,-1541450.3822327743,-1622038.7324413408,-1747470.2566888018,-895961.3256809877,-977175.3804106665,-1301350.432393119,-1114409.1460417646,-926399.0907206383,-1406597.102249195
FRA,,-356215.47388955334,-69157.90971684046,-177365.66805387542,-296323.134010051,-423949.2812389986,-453683.69502076635,-539626.9029217749,-483016.4076795386,-490831.5556473835,-427922.37894121674,-783092.0119520744,-512670.6854407271,-507885.64503605646,-561021.43594253,-590492.6759718712,-559312.4949431289,-720442.314368924,-682638.7047512697,-988759.3730649129,-1649271.6154920224,-1396346.191502468,-1473930.8435120082,-1632152.7836552684,-2856525.6462716064,-3596493.964442834,-3743148.7228905703,-4944749.191965606,-4862626.477430713,-5145540.721345309
HRV,,,,,-155891.68796850694,-131079.7624481378,-148286.1781198067,-158595.61789982975,-319576.80935171555,-399029.9849694489,-186981.86925402598,-272363.3352173217,-413504.931049275,-336816.8432649514,-381856.6026196543,-583020.0840426794,-901840.8177700395,-839341.983147991,-1198493.6094289292,-988095.5187200368,-1492943.8675601312,-1632326.6725191833,-1482284.4598128716,-1558546.91295896,-1472823.128596425,-1970653.0983923597,-2478300.755973361,-2586959.793741067,-2811247.3438549633,-2662040.540953973
HUN,,-75508.91017599832,-56226.95311534577,-39875.0864844164,-43450.214820284644,-42227.76928384006,-101261.60363529912,-104668.06615893332,-171571.33737248264,-188483.43448358105,-74287.4685985407,-138455.78921123504,-212254.74706931316,-234028.4442049641,-353754.46204405004,-387830.34410240373,-416958.505515492,-423372.64100084035,-723257.8202993056,-651841.6855306138,-897338.686349605,-1186375.3636908762,-1075799.030737503,-1298479.4022908509,-1629801.6865442656,-1698241.670311405,-2300071.351569102,-2530441.3046571384,-2624527.49229984,-2287884.389584075
IDN,,-6593443.078749254,-8592932.250706762,-9685340.75937641,-10811076.713440819,-12685055.208862808,-13239860.66743616,-11606227.004675312,-6333076.895896559,-9832867.168446409,-6328834.982791957,-5317933.775282805,-5959598.422328996,-7272055.552409216,-8557217.76996953,-10429789.233883241,-10404434.678495748,-10102034.993645767,-19070545.096810818,-24974617.48772667,-28534041.325929027,-31585692.243118875,-31828868.369282626,-28492306.694789577,-34712271.42554637,-32422401.636995133,-30208495.982594438,-18372248.280827627,-33814674.151184045,-15439202.401616098
IND,,,,,,,,,-14855568.156465674,-17145588.105924655,-14137848.886419345,-17360466.944305733,-14543236.67634773,-29464293.737444006,-31355213.037176393,-42635696.28781162,-48662579.53945051,-75127192.16921811,-89753961.02284817,,,,,,,,,,,
IRN,,-104328.12423813234,-209639.54604326424,-549454.0177075035,-611429.6162647868,-400986.24408946023,-533529.0921140492,-925782.7238538214,-875004.8190321758,-769862.318945816,-649493.4498614833,-785014.6281357424,-1324293.5073589317,-1465720.6637687054,-2390347.6555681787,-2408443.5661400827,-2663157.605507002,-4105386.124098165,-4109280.298438136,-4931500.429791285,-4932759.986147107,-3913207.4875188856,-9431385.434822045,-9461928.396482302,-6911813.525319184,-7066686.487379408,-8144298.356395814,-8355135.825579692,-8614379.211081589,-11517324.651942177
ITA,,-394951.27937419916,-258413.16790357904,-206285.3272418349,-336565.51753942214,-450364.9256299364,-783219.8590379452,-1110084.2455801317,-1300820.7116709452,-782471.7403340981,,,-837778.5403467735,-876174.4321910171,-1088192.9495560064,-1077602.7513882848,-1141591.8471257335,-1248940.9958817058,,,,,,,,,,,,
JPN,,476834.86873971915,193867.35916208377,-64605.61421310015,-257920.812646386,-594637.987436093,-921254.7444760475,-1136001.962304451,-1396065.774291175,-2233125.4127892656,-3374287.1482876083,-3903980.2595049045,-3635283.7427024264,-3877330.6744008064,-4446293.333595477,-7246937.392603899,-6004710.420607424,-5671540.861120524,-6043902.242800958,-6131158.131310245,-5772618.942507208,-6554470.820936674,-6079038.272296628,-4711007.418808893,-8084650.860699702,-7492953.7560370825,-8026712.427265817,-7603642.476149992,-6186418.127379378,-7593693.380717281
KAZ,,,,,,,,,,,,,,,,,-19437.849754380593,-28094.95119489777,-45628.35369318016,-54677.05882450688,-78701.68278441955,-117656.284765153,-184354.81355211456,-309728.4874463976,-315425.2675254304,-278421.4640430962,-230874.0833383604,-374943.71044449625,-395128.74581221427,-594289.6567652731
KHM,,,-85737.3960657932,-104754.03024577265,-81927.615352504,-71356.13705464045,-140753.7667213222,-297983.4848965469,-132832.5766355734,-133326.84302388265,-176148.47383701426,-135312.1317877074,-406875.5802693988,-535845.3892207439,-1099760.0407233431,-1678022.2715533634,-978233.3631158255,-1917115.4990656055,-3038791.289717509,-3116963.9192134896,-3920691.268260984,-3659602.771541984,-4026582.275099151,,,,,,,
KOR,,396973.2626972136,148112.0919301953,-121104.8618284763,-395704.88800392026,-847199.170083909,-1232810.2106669655,-1323117.3142576707,-1105391.442754827,-1769475.0391281166,-1952379.0767261842,-1870589.3010107684,-2198259.219953652,-2734837.27674706,-4752416.651946596,-6516349.246812275,-14086215.61567722,-4109691.7385770218,-5387576.274530972,-7132361.892244358,-6242614.790208948,,,,,,,,,
LAO,,,,,,,-6574.48799216359,-7091.312248735578,-17324.490667816102,-17402.97119146022,-11981.593641326293,-9653.332251406215,-10181.46643636171,,,,,,,,,-275397.7224206636,-152273.52109685304,-395226.1852323441,,,,,,
MDA,,,,,,,,,,,,,,,,,,,,,,,,-375604.7858718659,-589907.6921322382,-257749.22930841267,-239628.3895422912,-296307.67515075376,-415819.20372083294,-423799.6793166978
MEX,,-2465086.047756501,-2078451.6002575583,-2088134.8211299113,-2081610.5544852868,-796926.4177364316,-329053.0968630959,-1228620.8906477313,-990094.625334961,-995059.9075660756,-621756.3879827458,-834508.212423692,-684391.8721030506,-1422449.3249220252,-1405853.6339551867,-1854529.754235093,-976984.8125714711,-1584535.5061536285,-3586858.404231356,-2678019.684497914,-4676109.672052086,-7068583.248817422,-9529424.078995558,-8945832.124893127,-12531623.678424703,-10411495.009237044,-16230492.547456212,-14615834.558962978,-10873907.124416972,-8197181.24453067
NGA,,132521.7002879609,44292.63380550178,-42134.15935025228,-113299.00977023662,-279939.9064942795,-600365.5129268998,-784235.288628911,-1210675.2327820284,-1589343.8990415935,-1512592.1216937525,-2283871.418658758,-2501099.1048833095,-3065821.23312371,-4271667.716317903,-5629187.322221804,-6481527.016775358,-6845712.857381397,-10376864.862493135,,-4387153.605233481,-6510985.843276757,-9429715.65934143,-7963736.705975402,,,,,,
NIC,,,,,,-88073.75345494067,-101901.53883694016,-139095.63613881433,-144806.70572142096,-107331.47496615765,-36229.652182022495,-24403.50996897467,-24490.108069910773,-39443.41679921318,-50060.66961342556,-38976.649357995346,-22097.532364442442,-17274.123039722115,-27301.56429932624,-19771.649481367673,-52760.14139975783,-96818.64643039527,-155849.64072740887,,,,,,,
NPL,,,,,,,,-65690.45421119947,-76719.47681791746,-102240.30452814791,-103224.90940815049,-113428.78100301744,-130274.06067256305,-160064.8082270193,-185526.591921734,-209374.34297482113,-243640.23360859702,-304257.29990885314,-325219.24316061893,-404866.543274906,-530502.3692900627,-790633.0612384682,-856063.2751799525,-870201.6472472119,-969245.6356012793,-1115908.022407892,-1180295.5797831898,-1316458.1232030739,-1599587.382905072,-1210972.0422868147
PRY,,329421.74522569077,107673.94675552778,-348848.7573387133,-918416.6305205926,-1519319.7083019228,-3115379.847298493,-4884478.897273258,-5103058.889916891,-3893919.637765365,-7501201.769026163,-5618227.825531992,-6119066.599138554,-16582217.110854436,-16911616.197143547,-16008345.853034621,-17243171.979384635,-42045274.90052842,-70499255.29039517,-41450554.12953766,-88773940.25605871,-129746409.38937658,-80689190.57625331,-168856969.85315725,-207081979.27083185,-137544389.32853577,-153251262.49731594,-171551653.82322294,-186013984.9109629,-139748136.1636204
ROU,,,,-145429.23412178876,-137736.07764487728,-181413.3928472188,-208486.75633022384,-281336.02068185236,-397734.3343426475,-312365.0004255846,-143520.79346770866,-194362.0295407893,-460983.1212217676,-763614.9719803067,-1251787.4445285269,-1269629.059663235,-1417407.0913980876,-948374.4802571946,-814410.7669578921,-660389.7523101456,-1539877.3288234908,-1717755.2911076706,-1542462.9692169707,-2617463.339517856,-2905066.03823973,-3073481.7291744114,-3348040.4092421224,-5070481.813012775,-6892847.033558542,-5773140.182231229
RUS,,,,,,,,,,,,,,,-402578.74261016026,-585220.1560841169,-755111.5310742304,-872193.4196592477,-1807464.5500022667,-1886516.360229481,-2857250.224858755,-4390183.494173764,-5265531.145550501,-5700813.204009073,-8984415.492989898,-7795659.831662837,-10829256.791672627,-13774790.160081998,-16221437.09023651,-17640991.050963704
RWA,,32677.603815141592,56592.72758014537,,,20193.267473894288,27990.841351773124,43614.73223716167,46969.607247791806,31274.232361915405,36593.308352840686,33451.77084110097,34242.88341720497,38337.396524641445,,,76121.11726154269,132269.5926857339,218220.98977719562,222733.89044612306,216044.17292005877,152377.3144856022,76526.25846034815,103805.15926228564,82750.6752755499,90171.85607316827,74750.70854274761,85067.87791372302,73570.96285868034,95579.2757860022
