country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AGO,,,,,,,,,,,,,,,,,,,,,-2.408432084107521e-05,-3.090614445830794e-05,-2.272839446096138e-05,-3.980111579362146e-05,-5.266347242866556e-05,-4.864082564560038e-05,-4.100631020143616e-05,-9.761031146687907e-05,-6.673979607538075e-05,-5.177093416174819e-05
ARG,,-0.002320913214875585,-0.0028342224612436058,-0.0031467822945785264,-0.0037543318488228923,-0.004669454643795436,-0.005223865486715782,-0.004836830142208566,-0.00884493414121713,-0.010801613677106733,-0.011973331854042193,-0.01816343892538003,-0.007999711754649292,-0.0096973198325129,-0.008583321934522289,-0.010297875545950408,-0.010248755768871807,-0.011594464275670869,-0.011381596662720865,-0.007315793136355711,-0.011437625425161045,-0.010098198082229217,-0.008049278340854123,-0.008502295105964256,-0.00675021346240275,-0.006974251632047864,-0.004488021730148132,-0.0038245348580788906,-0.001668358407766856,-0.001521674007204382
AUS,,-7.504680302001351e-07,-9.782837454159559e-07,-8.662961416172607e-07,-1.802518041533233e-06,-6.976159801768868e-07,-1.3486357772986792e-06,-2.3296849173638482e-06,-1.5423437701387603e-06,-3.3744011827478616e-06,-3.0844229703875105e-06,-1.3628914731246593e-06,-1.9305953085068786e-06,-3.521850757110185e-07,-2.674468895875514e-06,-2.1566860130834772e-06,-2.4860117249016113e-06,-1.4693271057350364e-06,-2.0330556147168577e-06,-4.5649851325949485e-06,-4.163541599285751e-06,-2.4298235826967657e-06,-7.220954800530244e-06,-7.414571277980845e-06,-2.4851012401063814e-06,-2.5065930895863764e-06,-1.9970547419071777e-06,-2.258228769635741e-06,-2.0700424023548356e-06,-1.0346662487329147e-06
AUT,,3.608912441098312e-07,1.5759951120052515e-06,2.819105495002954e-06,3.010532563399889e-06,1.212136865054158e-06,1.161192118247543e-06,1.4374798969246814e-06,2.3539510550884326e-06,2.4453528057607873e-06,1.4792164493040446e-06,1.6055436706360243e-06,1.8905453732374404e-06,2.7171423091620034e-06,3.5784793573082286e-06,5.099183667227426e-06,5.7405263252364815e-06,5.2736168993367754e-06,6.093275358311679e-06,8.453367868609149e-06,1.1208889434346402e-05,1.4118915999387246e-05,1.315468306139043e-05,1.1502123845062948e-05,1.7263227049280345e-05,1.735697035412878e-05,2.0039468131277346e-05,2.6732328636815915e-05,2.760793322823966e-05,3.151443933595582e-05
BDI,,,-1.2995715991745265e-05,-1.2776280490130084e-05,-1.2732861842215135e-05,-1.9696930807965253e-05,-1.576949230024221e-05,-1.8467890830644038e-05,-1.2523999877242717e-05,-9.57083941267589e-06,-1.8618748760653818e-05,-2.548093208366602e-05,-2.6166495733737277e-05,-2.879270007134745e-05,-3.234631234646474e-05,-4.045420919761151e-05,-6.117436436384462e-05,-6.160278619964092e-05,-5.772793259784822e-05,-5.7678149355153454e-05,-5.105454502023041e-05,-4.577575400337469e-05,-3.310612345333723e-05,-5.228549351684821e-05,-5.5170905455929305e-05,-2.853097802880901e-05,-3.91206239730395e-05,-3.535114208094347e-05,-3.8863637938057716e-05,-4.1416801150079374e-05
BGR,,,,,,,,,-4.170606918589022e-06,-4.27805055655006e-06,-1.5460817325767368e-06,-7.843006090761489e-07,-3.442199035373181e-06,-6.008631819061442e-07,-7.293046321590492e-07,-6.889610158586242e-07,-1.5754383956912847e-07,-8.532230547433823e-08,-2.4094037440919613e-07,-5.635945944301619e-07,-2.3148506493542216e-06,-1.045765243848612e-06,-2.9352940444585354e-07,-9.944651450824574e-07,-1.2688951324858534e-06,-5.915999551365014e-05,-2.7418072576613963e-05,-3.124785410342444e-05,-7.912861236171512e-06,-1.2126322197997522e-05
BIH,,,,,,,-8.590875903501111e-06,-9.558545068079096e-06,-9.477090948007667e-06,-9.44475934509135e-06,-3.4115897741919928e-06,-3.5853727741304834e-06,-6.603880513318457e-06,-6.179013629140304e-06,-1.1381235290225317e-05,-1.6532911894654765e-05,-1.7081024762332983e-05,-1.1628383217173878e-05,-1.2888287068695676e-05,-1.2880943916201424e-05,-1.2489161582657968e-05,-1.1489050634583431e-05,-1.1170214772580135e-05,-1.4029257287427358e-05,-1.6434117581331975e-05,-1.602036592272443e-05,-2.8733014309214062e-05,-1.86263720770999e-05,-3.887664474460076e-05,-3.798768860534327e-05
BOL,,-0.0006356315064534844,-0.0006994233569925077,-0.0011333770422697288,-0.0017560297726742886,-0.0023554329792398587,-0.0024817531160008367,-0.0029928038146985014,-0.003442537169481641,-0.0031214996359092495,-0.0038912572996281907,-0.0037557327779761097,-0.003955705620128767,-0.004952159148561691,-0.004933624012756107,-0.005323045086880256,-0.005239270996445335,-0.005386691725197408,-0.0046391400695887895,-0.007416287054875727,-0.0067942985012357,-0.007648669461795522,-0.011106654989967442,-0.011703274453929359,-0.011698619603620798,-0.012993830154060089,-0.0135492797047004,-0.011411427252117438,-0.01264851682531914,-0.01318604760411266
BRA,,,-0.34520308309210157,-0.029454735429746894,-0.0021190378430908314,-0.001789777362554121,-0.001671146577596053,-0.0019546937691620205,-0.002406250078312572,-0.001681648734241595,-0.001855143764582104,-0.0017900581354567853,-0.0016777595016517824,-0.0020921568725822104,-0.002133987913903574,-0.0027502235059807057,-0.0032466486074416013,-0.0040271338308226455,-0.004489045958028608,-0.004210578112740285,-0.005683644164737509,-0.006658062658144893,-0.005233083621122365,-0.006049985172102304,-0.006196138950817566,-0.005384783207649853,-0.0055269208035488215,-0.007476006322618606,-0.006913171268088561,-0.006455101432206705
BTN,,,,,,,3.290508175104837e-05,4.0691834699824234e-05,4.8112195939285775e-05,6.918879626847298e-05,6.721628901321123e-05,5.666784867141678e-05,3.2551727759916655e-05,1.4237083992535869e-05,0.00012093178288955716,0.00020351650616913866,0.00017490662091200677,0.00017630933599906297,9.92781042979296e-05,5.921823640187868e-05,4.4044629078758426e-05,8.727509154355027e-05,2.742052091127473e-05,3.7841685696190555e-05,2.583234910260308e-05,1.770677065818014e-05,1.8994158877408017e-05,1.623430598071742e-05,8.303281784263828e-06,1.2687533792557387e-05
CAN,,-7.50448530150398e-06,-7.783521777827557e-06,-1.041618996143496e-05,-1.1870422506284895e-05,-1.2715191092797449e-05,-1.2854946184788615e-05,-1.648667714680649e-05,-1.584439196196057e-05,-1.6311102949749268e-05,-1.6017387160834793e-05,-9.646736738187598e-06,-1.392542889179203e-05,-1.5724777228129492e-05,-2.316036182306811e-05,-2.6282264154105585e-05,-3.160799256345347e-05,-2.666173217045232e-05,-3.4711201335691974e-05,-3.768152910964672e-05,-5.294634189815941e-05,-5.649878332847187e-05,-6.583998834625036e-05,-6.898661077105161e-05,-7.391406736405666e-05,-7.099924278230094e-05,-7.246754712201705e-05,-8.785317296751676e-05,-8.582603228492529e-05,-7.105677871095286e-05
CHN,,-0.00012113562695743443,-0.00013576236152012757,-0.00020350959667403092,-0.00014636959962497883,-0.00013188818615733532,-0.00013396739600610093,-0.00015340491971944345,-0.00016204182204321125,-0.00015528808543441915,-0.0001683170997944953,-0.00016775080652894537,-0.00017688977147611726,-0.0001607329402492275,-0.0001764330256695546,-0.00016030630523572348,-0.00014365775786454843,-0.00011835377572277778,-0.00015344569660464852,-0.00014612000838588597,-0.000142479198062489,-0.00013893278443368584,-0.0001255500827663289,-0.00011526666320774761,-0.00011621076265955111,-0.0001093823910895844,-0.00010950375279197101,-0.00012639459694089328,-0.00013234943982497806,-0.00014195938466711596
CMR,,,-1.2990714813668377e-06,-1.8484687829181988e-06,-1.1527558333352658e-06,-1.520878982135044e-06,-1.7074085449430118e-06,-1.6881050725702175e-06,-1.8454407158027746e-06,-1.9999373904810516e-06,-1.8250218374036866e-06,-1.7832792972146702e-06,-2.140601692430992e-06,-2.7170978128641374e-06,-3.097575546649343e-06,-3.436663195872234e-06,-3.779898189894576e-06,-4.35364017900472e-06,-4.980883727652232e-06,-7.070413436948771e-06,-7.547265996201588e-06,-8.492854197578596e-06,-7.156070738717112e-06,-9.036674407024061e-06,-8.22734281589545e-06,-1.1331381086022458e-05,-2.1964069196166817e-05,-3.16725818997068e-05,-3.468628231133345e-05,-3.6404023446409784e-05
COL,,-9.157218083719771e-05,-4.952337276067585e-05,-6.172859084396863e-05,-6.945379682957642e-05,-6.257547916660253e-05,-3.82690959902517e-05,-5.949318736566017e-05,-4.226440410482648e-05,-2.1767667073642127e-05,-1.9179512602705478e-05,-3.0095476321130202e-05,-3.788536872911364e-05,-3.8645203986812176e-05,-3.640862477789397e-05,-3.345768369445016e-05,-2.9216299704740347e-05,-3.218773619351588e-05,-3.730662721472825e-05,-3.7883571944605076e-05,-4.0047608989781195e-05,-5.699004872725894e-05,-6.883764115834718e-05,-6.616239655076603e-05,-6.558203266263495e-05,-4.7725742424800987e-05,-4.0618056531895006e-05,-4.34097648733815e-05,,-5.77172592093611e-05
ECU,,-0.0007961700584815952,-0.0012065022689243695,-0.0012579336088306622,-0.001722200306810831,-0.0008000977473160276,-0.0006267871514002955,-6.625003838856896e-05,-5.7417962096934865e-05,-0.00023202139348495911,-0.00014543291952345903,-0.0001828676077691427,-0.0001815197811040547,-0.00018968699169462177,-0.00018839269460717707,-0.00010639846911677794,-4.207415656353251e-05,-0.00010549148718970211,-0.00012292650633738867,-0.00013771715038759277,-0.00014518773802868744,-0.00015874662491934457,-0.00013495691145859972,-0.00013742324638823527,-6.704413516615716e-05,-7.069562487575632e-05,-9.584846903153336e-05,-7.975056130758091e-05,-6.0284780883984205e-05,-9.775601305327523e-05
FRA,,-5.830915057204e-07,-3.2263727171882264e-07,-6.37692167932867e-07,-1.3000657894582424e-06,-1.5680869107933336e-06,-1.4455345808953276e-06,-1.5836972960069867e-06,-1.7111428056815851e-06,-1.604136088832239e-06,-1.0962811100520115e-06,-1.7134466173358865e-06,-1.2752269347412292e-06,-1.1349559029329262e-06,-1.282660066937648e-06,-1.2914106614673649e-06,-1.1566459738548876e-06,-8.942732714285634e-07,-7.509777963868315e-07,-1.346654818094828e-06,-1.694224539226198e-06,-1.6029709451994755e-06,-1.3233485166271204e-06,-1.512000118461704e-06,-3.247962307884211e-06,-4.178145762963353e-06,-4.358296638927968e-06,-5.5946137571686294e-06,-5.7672287268278195e-06,-6.01823431084953e-06
HRV,,,-9.715728870676882e-05,-8.353268959003717e-06,-4.220030013092935e-06,-3.5428298221155994e-06,-3.3800982276049023e-06,-3.1068169774971627e-06,-5.8101126257376505e-06,-7.895013593407729e-06,-3.7380700967357783e-06,-5.097001157631328e-06,-7.249459215620485e-06,-5.184362922271203e-06,-5.402737182222085e-06,-7.924275088802354e-06,-1.1309883686027842e-05,-6.160658637905403e-06,-7.884709445700237e-06,-8.568042759261775e-06,-1.1284464817807214e-05,-1.1311468511151032e-05,-7.053069465746467e-06,-8.473680563306267e-06,-1.0159097956600787e-05,-1.2662625649003093e-05,-1.561905447871923e-05,-1.3492622895332311e-05,-1.6645486570774158e-05,-1.557460198882485e-05
HUN,,-9.947705836942808e-06,-7.508327581772532e-06,-4.68102830962112e-06,-2.7669969409619845e-06,-2.869312640571645e-06,-3.6536527903124767e-06,-3.5187128343161157e-06,-5.065451396584526e-06,-7.426785559943778e-06,-2.5242824332933633e-06,-3.410388139904743e-06,-5.178995506050753e-06,-5.385870706113687e-06,-7.737056754938876e-06,-9.550351146536285e-06,-1.0014147284872825e-05,-7.647181599768738e-06,-1.1659710843279087e-05,-1.1418036103116585e-05,-1.3084207973731417e-05,-1.5551453708986265e-05,-1.0561546099849233e-05,-1.2751695703031563e-05,-1.8128851522177988e-05,-1.92493882762052e-05,-2.4774117161309843e-05,-2.4752983206815578e-05,-2.5169158795874324e-05,-2.178470494018392e-05
IDN,,-0.0005964566071539674,-0.0008809885953176688,-0.0009308227367598673,-0.0009243416174890956,-0.001039178866581382,-0.0009681658362376865,-0.0007585022036802738,-0.00027344363007568624,-0.00040629235037261205,-0.00029151569042679663,-0.0002039972997469796,-0.0001893018335931313,-0.0002109879435286604,-0.0002231365422031929,-0.00023281940620299208,-0.00023134363768317288,-0.00018456217864882754,-0.0002293877015502855,-0.00027374982609913804,-0.00029195293885878,-0.00028472776931165,-0.00026410122333028453,-0.00021998898596130146,-0.00023927477669752635,-0.00021515534573630351,-0.00019375945953577272,-0.000120958848791666,-0.0002005845119985003,-8.958607755502935e-05
IND,,,,,,,,,-0.0004988024598540595,-0.0004820923836700804,-0.00036293244301390025,-0.00040490783360844457,-0.000319251692727832,-0.0005585207001367134,-0.0005024652915519886,-0.0006161539089274602,-0.0006353541326480468,-0.0008547823263187747,-0.0007590174007953967,-0.0006776586114476922,-0.000899746486098915,-0.0008546106475541926,-0.0009027784757699794,-0.0006627014485572946,-0.0005481851943623238,-0.0004206669265072539,-0.0005999440760192771,-0.0006096922760547777,-0.00047499369457218183,-0.0005647699985252058
IRN,,-0.0003540044921860212,-0.0005123820384954347,-0.0008355305705889731,-0.0007310681815909364,-0.00037258238714783293,-0.0002487546470275627,-0.0003883401837563294,-0.0003415201691781785,-0.00022726901829592692,-0.00014376697669395323,-0.00015893510428848122,-0.00020583855878258462,-0.00020017864687795907,-0.0002956241023557421,-0.00026750232305611536,-0.00024914792526758213,-0.00023521144143303364,-0.00024893825666051265,-0.00023964462183196587,-0.00021204947307164058,-0.00015710120147706248,-0.00021782371628412245,-0.0001399782220628588,-9.430802657119584e-05,-8.865338151480027e-05,-8.018461367601375e-05,-7.67936098770854e-05,-4.56740603170285e-05,-4.329045495245329e-05
ITA,,-2.4521782584102648e-06,-1.8828761300899011e-06,-8.281886749939441e-07,-9.588546561865134e-07,-9.784709521115237e-07,-1.1656007039731816e-06,-1.4601691242556502e-06,-1.5328526037212057e-06,-1.03461750672406e-06,,,-6.065839288689727e-07,-4.994000432569227e-07,-7.183141504142759e-07,-7.752782302224419e-07,-7.796727225749184e-07,-6.330331409827232e-07,-5.917986023629692e-07,-8.183971910520865e-07,-9.267815594359825e-07,-1.0108356851418004e-06,-7.385759431468274e-07,-1.1782266744716629e-06,-1.8048378564921837e-06,-1.8360170987181601e-06,-1.7971630335800083e-06,-1.7502858490811093e-06,-2.1668182075323723e-06,-1.847294370924644e-06
JPN,,-6.220263529604129e-07,-8.996991672337021e-07,-7.189429518440305e-07,-9.345917864764275e-07,-1.4255224308527578e-06,-1.7413836973568999e-06,-1.7390144907394403e-06,-2.005702258202966e-06,-3.055209661993396e-06,-4.344264517698831e-06,-5.178026178410368e-06,-5.05715259061147e-06,-5.002917701839678e-06,-3.971772017890412e-06,-5.669115026552414e-06,-5.786519211643912e-06,-5.960812587651074e-06,-8.480852675785243e-06,-9.31419092873153e-06,-9.845023629273566e-06,-1.134738577099297e-05,-1.2843599835442532e-05,-9.251031470459102e-06,-1.0435515148538886e-05,-9.959806836256654e-06,-1.1352431186161614e-05,-1.2124410136288368e-05,-1.0723347768156875e-05,-1.1792055673127012e-05
KAZ,,,,,,,,,,,,7.038865407121635e-07,2.0108550976728556e-06,3.1939663134897417e-06,4.394472606877329e-06,6.07428044907037e-06,7.79967002233231e-06,8.719761053553559e-06,9.97577312573418e-06,9.282338602349474e-06,1.1320856635515405e-05,1.3384458999241775e-05,1.7237192343539328e-05,2.0457594843139597e-05,1.9100266930814224e-05,1.642026623879166e-05,1.172583481049054e-05,1.3675864888623533e-05,1.3266835340924362e-05,1.3315360092107537e-05
