country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AGO,,,,,,,,,,,,,,,,,,,,,-2.166012593404296e-05,-2.7817110977373834e-05,-2.0471359010168546e-05,-3.5871557710211966e-05,-4.749196268815022e-05,-4.3887482150850503e-05,-3.701700666927451e-05,-8.815411525558617e-05,-6.0298327236771817e-05,-4.6791895932170866e-05
ARG,,-0.0010246993748646677,-0.0015448487087867183,-0.0019151943879337236,-0.0024434640668736644,-0.0031877970955409836,-0.003695898654216853,-0.003515256044057144,-0.006561743558711551,-0.008147711262691346,-0.009152552987176075,-0.014037932003533262,-0.0062410008400417185,-0.007628640074822201,-0.006802345803135371,-0.00821507309026657,-0.008225038366621107,-0.009355983592675473,-0.00923036725600659,-0.005960465068815993,-0.00935861012445177,-0.008295545865337064,-0.006636438153079844,-0.007032707136337553,-0.00560021404474169,-0.005801646011125402,-0.003742680258647626,-0.003196732221729489,-0.0013973353249116915,-0.0012769355979307421
AUS,,-4.4591869187550943e-07,-6.662865150069088e-07,-6.330519045768013e-07,-1.3741657805454707e-06,-5.479784873463669e-07,-1.0831258951498796e-06,-1.9023699230936662e-06,-1.275483885213541e-06,-2.8191663469275626e-06,-2.5979646680831686e-06,-1.1556750391073057e-06,-1.646443623405735e-06,-3.0187284048180274e-07,-2.302699597385477e-06,-1.864317485427432e-06,-2.156806725005746e-06,-1.2789693775896564e-06,-1.7750277200949405e-06,-3.996714954103802e-06,-3.6546465788555667e-06,-2.1379419666771582e-06,-6.3674310438655985e-06,-6.5509152706862576e-06,-2.199587230462055e-06,-2.222189058003642e-06,-1.7730926204159162e-06,-2.007745907965346e-06,-1.8426783015629111e-06,-9.220856886307278e-07
AUT,,8.414302798425519e-07,2.777885969903105e-06,4.28383519937487e-06,4.175420414394789e-06,1.574255259138701e-06,1.4352865970687204e-06,1.7114236256828075e-06,2.7228931634458558e-06,2.763128574698067e-06,1.6402859206001128e-06,1.7528106762016446e-06,2.0366055735598997e-06,2.892546213276292e-06,3.769518725407955e-06,5.321033862532642e-06,5.93905299478838e-06,5.413396751918284e-06,6.2098802992759915e-06,8.55814697758783e-06,1.127813305043695e-05,1.4124946713704601e-05,1.3091476753759064e-05,1.1393334520815324e-05,1.70260207553582e-05,1.7052042033350825e-05,1.9616997651766178e-05,2.6081571816854724e-05,2.685649001889733e-05,3.057114323871909e-05
BDI,,,-4.925480377205492e-06,-5.844469473514804e-06,-6.567686259900682e-06,-1.1102595195637813e-05,-9.517082251768817e-06,-1.1748133410812808e-05,-8.30104173174829e-06,-6.561442078861618e-06,-1.3118629830097944e-05,-1.836915650478745e-05,-1.9238620588226686e-05,-2.1545898097489732e-05,-2.4589475961770703e-05,-3.119111103876713e-05,-4.77816184439337e-05,-4.869067811727662e-05,-4.6130319351113134e-05,-4.6559412553618505e-05,-4.160286446595446e-05,-3.763079300769346e-05,-2.7435902359657445e-05,-4.3644615078259996e-05,-4.636252361857091e-05,-2.4120581860202072e-05,-3.3257508313568554e-05,-3.0209109254584548e-05,-3.336341029328783e-05,-3.571015266554009e-05
BGR,,,,,,,,,-3.2491176640550077e-06,-3.428782931926393e-06,-1.267397062306084e-06,-6.549364764841019e-07,-2.919909423907799e-06,-5.168076364602822e-07,-6.350107468731151e-07,-6.064452387574702e-07,-1.400499781092833e-07,-7.653074094657076e-08,-2.1789333593889155e-07,-5.135324440258633e-07,-2.123947619960472e-06,-9.657254631253415e-07,-2.726602743847516e-07,-9.286062328571958e-07,-1.1905858321002473e-06,-5.574876470264763e-05,-2.5939621849342365e-05,-2.9671771657396243e-05,-7.538140542632586e-06,-1.1587454176433674e-05
BIH,,,,,,,-4.496193064046336e-06,-5.381370296304685e-06,-5.66156909953202e-06,-5.934153359516379e-06,-2.2356862741549046e-06,-2.435845225271468e-06,-4.631143647263913e-06,-4.460346198378439e-06,-8.434580740957542e-06,-1.2549988096038405e-05,-1.3258281279005449e-05,-9.214725070744185e-06,-1.0412504740625321e-05,-1.0596435321823394e-05,-1.0450447689931317e-05,-9.768993588435147e-06,-9.63992537902826e-06,-1.2270715980337397e-05,-1.4555112406254942e-05,-1.4350249910624524e-05,-2.6009602951066064e-05,-1.702790793347855e-05,-3.585326707445262e-05,-3.532683367279614e-05
BOL,,-0.00045001862714500493,-0.0005355213128197304,-0.0009041315562864871,-0.0014360873616337992,-0.0019605288294210453,-0.0020929332898368394,-0.002548856882444194,-0.0029539563954431103,-0.002694747204431381,-0.0033755522653130224,-0.0032710162112779355,-0.003456910300011206,-0.004340771979940168,-0.004336087489521229,-0.004689486574809352,-0.0046256794635969245,-0.004765214446630019,-0.004111334355350806,-0.006583454281827033,-0.0060406138285545655,-0.0068099541624618105,-0.009901703327888891,-0.0104457979251541,-0.010452925370778222,-0.011621473048121108,-0.012129080084641931,-0.010223808295661154,-0.01134048643664449,-0.011830664271738636
BRA,,,-0.2295805850918741,-0.021160448174807337,-0.0015950121030723198,-0.0013924596641667472,-0.0013325411114224052,-0.0015876576357075445,-0.0019821329716588542,-0.001401075695582984,-0.0015597156222455803,-0.0015163092706019505,-0.001430279067638631,-0.001793661416315926,-0.0018387138750438012,-0.0023802829967193425,-0.0028213581227625384,-0.0035125585209187385,-0.003928738475927804,-0.0036965255642402817,-0.0050041716005320355,-0.005877833144581291,-0.004631165024340334,-0.005365816299836987,-0.00550653851589704,-0.004794143294121858,-0.004928886501088136,-0.006677405675139989,-0.006183146803387011,-0.005780924275202013
BTN,,,,,,,3.244431286146161e-05,4.0335500173462604e-05,4.7879528289021416e-05,6.906973036044581e-05,6.726580442779337e-05,5.682341243409328e-05,3.269632967167051e-05,1.4321601192575036e-05,0.00012180895535981372,0.00020523038110641773,0.00017656459501091097,0.0001781499199480191,0.00010040175395754005,5.993623092069904e-05,4.4611515844300296e-05,8.845885739567801e-05,2.7809795822934632e-05,3.8400295680094875e-05,2.6227181851304046e-05,1.798572067220114e-05,1.9301616249972706e-05,1.6503652720518346e-05,8.444018629658743e-06,1.290689927779619e-05
