country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AGO,,,,,,,,,,,,,,,,,,,,,-0.00017140920029597607,-0.00021808870226374958,-0.0001588469220991602,-0.00027590642327700733,-0.0003616809995655519,-0.0003311475099985631,-0.0002765764469672509,-0.0006521088808801457,-0.0004429309539513944,-0.00034080315762788344
ARG,,-0.009714710375810828,-0.013307709626156074,-0.015772955921117635,-0.019780062394986753,-0.02536899275551009,-0.028993042462607876,-0.027273882991737653,-0.05060710765643179,-0.06257340749374006,-0.07047964966027132,-0.10842150916741612,-0.048393801119914495,-0.05941584877041484,-0.05322707696609351,-0.06453183055977205,-0.0647464766759827,-0.0736487445982228,-0.07248411603405125,-0.04642622611248938,-0.07234093511577105,-0.06354110823886938,-0.05032069065072642,-0.052869707844153284,-0.041694374965645035,-0.04280496784319044,-0.027349777819191384,-0.023133315853161848,-0.010043509286964972,-0.009102393797512142
AUS,,-3.7978411890188203e-06,-5.38636892636351e-06,-4.994880615946469e-06,-1.0786066554708848e-05,-4.262955223047899e-06,-8.355047565574821e-06,-1.4577238921494826e-05,-9.747682551298437e-06,-2.1511437464128817e-05,-1.992024765065575e-05,-8.903631568764957e-06,-1.275462920737926e-05,-2.3521073240161806e-06,-1.8047473666304132e-05,-1.4684451982324916e-05,-1.7040816247764667e-05,-1.0113989414564091e-05,-1.4014150346957374e-05,-3.1321133862011286e-05,-2.844226950965953e-05,-1.64978120271983e-05,-4.8668547496198336e-05,-4.966949993723302e-05,-1.652462205241402e-05,-1.6551493032920108e-05,-1.3085716790480114e-05,-1.4679360424381163e-05,-1.3386304404222222e-05,-6.645612950311099e-06
AUT,,-5.341427372763939e-07,-2.2354688071049034e-06,-3.9457257154170845e-06,-4.238084250334535e-06,-1.708123283614598e-06,-1.638352058368776e-06,-2.033817835253205e-06,-3.3527632313768806e-06,-3.5099395966675773e-06,-2.1541038889717356e-06,-2.3713547261896115e-06,-2.8342939896145773e-06,-4.137175114843216e-06,-5.535507975757677e-06,-8.007198766136354e-06,-9.134258475231144e-06,-8.484190338319367e-06,-9.886170284275495e-06,-1.374270837678823e-05,-1.827504093970933e-05,-2.305180968928965e-05,-2.1483040131525782e-05,-1.8818504137588536e-05,-2.8260288858280466e-05,-2.8443177815215767e-05,-3.284935472370729e-05,-4.382829010087461e-05,-4.541069414943146e-05,-5.1917604964265936e-05
BDI,,,-4.168196994995986e-05,-4.5622325875441125e-05,-4.93286741744999e-05,-8.082436603309345e-05,-6.76099768043998e-05,-8.195025585612925e-05,-5.725324708551389e-05,-4.488059204699162e-05,-8.969048720766751e-05,-0.00012566109591687866,-0.0001318884632283879,-0.00014814607753297598,-0.000169676391425114,-0.00021590077061434208,-0.0003312631415187341,-0.00033746095723362574,-0.00031890280382801487,-0.00031925475145399044,-0.00028314126762286337,-0.0002538458004204678,-0.00018327311755084904,-0.0002891874740420265,-0.00030438996891472034,-0.00015702730690566366,-0.0002145754050809505,-0.00019314684748980687,-0.00021203414284993376,-0.0002252531878715434
BGR,,,,,,,,,-5.172978292997382e-05,-5.38068400905917e-05,-1.9785095754165594e-05,-1.0189401318309283e-05,-4.5367189766075346e-05,-8.028404975976597e-06,-9.87131869815253e-06,-9.431284400879324e-06,-2.1758918110926064e-06,-1.1857381460958592e-06,-3.3594012385277443e-06,-7.835210378563627e-06,-3.209326551756006e-05,-1.4432228068296282e-05,-4.0267697486055854e-06,-1.357657266300823e-05,-1.7215285831948707e-05,-0.0007978801400946654,-0.00036729867539591265,-0.0004156466143192046,-0.00010479325001346446,-0.00015962927870316596
BIH,,,,,,,-1.2825428076704315e-05,-1.5155971305045207e-05,-1.5875259183794154e-05,-1.663924622636663e-05,-6.32465911704684e-06,-6.965248240269379e-06,-1.3417196256505993e-05,-1.311714372446717e-05,-2.521453334680667e-05,-3.8142962903097306e-05,-4.0927010604555574e-05,-2.8844703397541825e-05,-3.298377269384047e-05,-3.375420847113955e-05,-3.351714098573569e-05,-3.1505631629294356e-05,-3.122886506177984e-05,-3.999617231566487e-05,-4.7674608091628597e-05,-4.7253866711487115e-05,-8.603540927784603e-05,-5.6573154626360715e-05,-0.00012001545880574403,-0.00011893092900317886
BOL,,-0.003566433251958154,-0.004181417322842574,-0.007012323945617297,-0.01119059008050497,-0.015243177213000104,-0.016212147703078626,-0.019679261187893402,-0.022801729028131056,-0.02080670182033485,-0.026225354469776547,-0.025560312965479767,-0.027182770763069745,-0.03435121639333544,-0.03453113072576943,-0.03754351495013156,-0.03715561266726842,-0.038315898605834606,-0.03300776426895777,-0.052467595313732636,-0.047808143931518714,-0.05343860853610002,-0.07695457012188872,-0.08051975549736122,-0.07982176232032206,-0.08796589258633228,-0.09094630102805581,-0.07592485496878755,-0.08365164878836051,-0.08654880073003807
BRA,,,-1.9161215232204745,-0.1717531798440416,-0.012849802007400648,-0.011100635259731723,-0.01052061510995237,-0.012439785094067894,-0.015477238849221208,-0.010915680737589311,-0.012203439013056247,-0.011914071096783866,-0.01129448407505524,-0.014239376420894661,-0.014676133217446508,-0.019085098216185172,-0.022682024760242524,-0.028252324615329342,-0.03153650826881058,-0.02944242014575161,-0.03956768085561369,-0.046066369928328126,-0.0359386694275193,-0.04129178034182516,-0.04197254047228646,-0.036217897139338893,-0.03688368554764127,-0.04948681336760858,-0.04551621375404657,-0.04220578535298109
BTN,,,,,,,0.00033417128826914393,0.0004119093985784032,0.0004869136391819125,0.0007003405533447568,0.0006845877905882288,0.0005804107078535559,0.00033542755783778206,0.0001475984451944571,0.0012611632465481673,0.0021326746086987006,0.0018379352806479827,0.0018534281865689496,0.0010413424667006011,0.0006161400470030726,0.00045474886041539783,0.000892729705444841,0.00027757358359803115,0.0003796415574773304,0.0002565384591171403,0.0001741674328885658,0.00018493666261804156,0.0001564300239473798,7.941088099425185e-05,0.00012025090934590986
