country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AGO,,,,,,,,,,,,,,,,,,,,,-0.00033497585050489806,-0.0004277758807784976,-0.00031284085321606545,-0.0005451748671935628,-0.0007170508365490697,-0.0006586355066495585,-0.000551791800604393,-0.0013048560025544205,-0.0008886714963576253,-0.0006858273295175723
ARG,,-0.019331556624694653,-0.026872234135846135,-0.032130182161114865,-0.040364704751373985,-0.051876192315245796,-0.05935692315916215,-0.05587581600553477,-0.10358187152222936,-0.12799236828784283,-0.1438859253127194,-0.2211569999012757,-0.09863211120725421,-0.12102794515592816,-0.10832085999243524,-0.13128994770479166,-0.13176173669212926,-0.15006457509466123,-0.14793670269205433,-0.09508772544416554,-0.1486884776628756,-0.1311417455171938,-0.10432213686604914,-0.11001193018566559,-0.0870819184531766,-0.0897232161182967,-0.05752488979605537,-0.04881740156363485,-0.021258637967113806,-0.01933126176632076
AUS,,-7.562632724142984e-06,-1.0770440559002274e-05,-1.0021985522402414e-05,-2.160982377371614e-05,-8.539923210381695e-06,-1.6731524870998982e-05,-2.917922346444738e-05,-1.9477148761857813e-05,-4.292665819047041e-05,-3.965311595658655e-05,-1.7700970183235517e-05,-2.5327497571838244e-05,-4.666733317230748e-06,-3.576569210374749e-05,-2.9087417009858435e-05,-3.375906036762378e-05,-2.0059283841347824e-05,-2.783854872608044e-05,-6.243490599649735e-05,-5.6895291758608914e-05,-3.313831787317092e-05,-9.819809972524081e-05,-0.0001005909312921882,-3.35919383416326e-05,-3.376929722344905e-05,-2.679159159684049e-05,-3.0155829526174793e-05,-2.7584774089388528e-05,-1.3741481417087617e-05
AUT,,5.149084197790783e-06,2.0119561900724055e-05,3.417739065445618e-05,3.5562118995225324e-05,1.3983212599151213e-05,1.3118654166807914e-05,1.596146913858327e-05,2.5790559321941934e-05,2.649495744269937e-05,1.5939962882232278e-05,1.7232428920911884e-05,2.0230475320695548e-05,2.9001839672750623e-05,3.808617027507598e-05,5.409931538044878e-05,6.062304207176962e-05,5.536121556839828e-05,6.344959238567462e-05,8.698699593112648e-05,0.00011399374029491659,0.0001417420087391624,0.00013025831676547324,0.00011241166595139961,0.00016632173932464202,0.00016492933763944604,0.00018766258688164,0.000246597039772646,0.00025148080118908995,0.00028309737367479223
BDI,,,-9.029655089794475e-05,-0.00010323979241899164,-0.00011428674826849698,-0.00019045660192689698,-0.00016126591223152996,-0.00019722829735060971,-0.00013855105141547338,-0.00010911083742438753,-0.00021859265023569998,-0.00030712622648067646,-0.000323103611418793,-0.00036375538489703796,-0.00041728129400380934,-0.0005320038971522791,-0.0008181405323394853,-0.000836017773366438,-0.0007926726385043139,-0.0007975317019743825,-0.0007108353279990852,-0.0006407991757162416,-0.00046532154506690506,-0.0007378307228363547,-0.000780397201948663,-0.00040446568796528534,-0.0005551533529233315,-0.0005018508700413293,-0.0005531092763060703,-0.00059009931923707
BGR,,,,,,,,,-6.991756883536479e-05,-7.284063105842932e-05,-2.6790280373045858e-05,-1.3814334998892059e-05,-6.158392232488137e-05,-1.0915149716816728e-05,-1.3436905667883253e-05,-1.2862109369228839e-05,-2.9747266673474914e-06,-1.6266923903342375e-06,-4.626687822920506e-06,-1.0852676331873654e-05,-4.47120248988308e-05,-2.023733981613155e-05,-5.685174302355069e-06,-1.9284111415636855e-05,-2.4601381714360224e-05,-0.0011469691130765306,-0.0005310358638308854,-0.000604324333817311,-0.00015318267943809834,-0.0002346724868524177
BIH,,,,,,,-0.00010324191607785655,-0.00012374426502378955,-0.00013057824200279165,-0.00013741539843791742,-5.222927502545705e-05,-5.745350536082832e-05,-0.00011036199163139662,-0.00010746111924666249,-0.00020540004713961605,-0.0003088596623050646,-0.00032934106779969417,-0.00023077085062333424,-0.0002623595736796018,-0.0002675168289197961,-0.0002645347331207726,-0.00024773210657492577,-0.00024472339006061545,-0.000312050501972984,-0.0003703491298547596,-0.000365475120843536,-0.0006624682276239088,-0.00043360171549438323,-0.0009152429050633305,-0.0009029189366906951
BOL,,-0.006803658346974069,-0.007986183165036036,-0.013416608276366995,-0.02135538700477011,-0.029060595493214453,-0.03087398094477332,-0.037436503864819524,-0.04327490274528204,-0.03941631580436637,-0.04953390653892447,-0.04819314776159808,-0.05116846103786147,-0.06457634208977474,-0.06480796256115064,-0.07039433554919435,-0.0696407192661962,-0.07186002790237615,-0.06197046193200199,-0.09879604848546765,-0.09028807667187597,-0.10127987649717078,-0.14641807679416327,-0.1536811357276427,-0.1528321958817578,-0.1689391392200745,-0.17516956683557217,-0.14664201028843465,-0.16196733519356188,-0.16804768838136702
BRA,,,-3.83000817126255,-0.34474215704099415,-0.025764611701806422,-0.022259623149073808,-0.02109081902887998,-0.024927779106418545,-0.03095839345905067,-0.021804250381571404,-0.02431419427493631,-0.023704762972371906,-0.022442890763518627,-0.028266229391699083,-0.02909443326031249,-0.0378101868322633,-0.04493248351301512,-0.05601822971551128,-0.0626143656507466,-0.05864574826813336,-0.0790697504209926,-0.09241084960503415,-0.0723975550884581,-0.08346640606736536,-0.08513674175689039,-0.07370966062105476,-0.07530415662793322,-0.10134486290577994,-0.0934726793185874,-0.08694382089673051
BTN,,,,,,,0.0005187019040160726,0.0006311354661491916,0.0007373950178141531,0.0010505525632866475,0.0010171399622344837,0.000856043359034549,0.0004914824138602511,0.00021500658367047717,0.0018265568313418341,0.0030741183909772153,0.002638922621555311,0.002654018860174345,0.0014881092506451592,0.00088058114937226,0.0006500071545643061,0.0012770567604297957,0.0003975617687944615,0.0005440535244814953,0.00036788560188539193,0.0002499207403680696,0.00026552117814950026,0.0002246930142288614,0.00011408371591314666,0.0001728448637256648
CAN,,-2.369290269890219e-05,-3.398438657548289e-05,-5.627745881714637e-05,-7.496864332598515e-05,-9.051550480495086e-05,-0.00010078526629543543,-0.00013987502389930053,-0.0001436544031243986,-0.00015677646508163685,-0.00016265194454642026,-0.00010294629590079285,-0.00015560893566596352,-0.0001836339418683999,-0.0002818798318626605,-0.00033258058166319045,-0.0004146625424344948,-0.00036164821568128604,-0.00048514589493262435,-0.0005396346746139133,-0.0007768257800861372,-0.0008477854338285207,-0.0010084808196120264,-0.0010778111855913115,-0.0011753959307268629,-0.0011482027273840636,-0.0011897638127262502,-0.001462893160979705,-0.001451990669853673,-0.0012192336730753785
