country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AGO,,,,,,,,,,,,,,,,,,,,,-0.0004975297801736155,-0.0006246558372554352,-0.0005352374151564025,-0.0007726811205015916,-0.0010030831694217764,,,,,
ARG,,-0.0008326686728247853,-0.0014117013231392675,-0.0024254412828235935,-0.0033003503003158833,-0.004202031287640374,-0.0061585118748583405,-0.006301598188794468,-0.008613718131988602,-0.008467483563939868,-0.010351520916260216,-0.015015707578685996,-0.018703789880844993,-0.02560400798101769,-0.02509864155132521,-0.026615749458450844,-0.029180011084724483,-0.041329827649661435,-0.052678632034111855,-0.037295872720991975,-0.06313160695554174,-0.06915326752149187,-0.07152679996025131,-0.08203375228874797,-0.09026737102449386,,,,,
AUS,,-3.9571205746270327e-07,-3.0243042253222706e-06,-4.179779903453867e-06,-1.258075049036374e-05,-4.935752704175794e-06,-1.0358775743856655e-05,-1.9887036543065064e-05,-1.3526064184448298e-05,-3.0074429426016733e-05,-2.392273446329431e-05,-1.1904386658056223e-05,-1.6179574563706907e-05,-4.933776158462709e-06,-3.0737524580407054e-05,-2.061127928932566e-05,-2.2658723196970197e-05,-1.5849008399637963e-05,,-6.611909604473768e-05,,-3.215745252515095e-05,,,,,,,,
AUT,,,0.00031243066704912166,0.00039870720938473496,0.00031968033077490684,4.580303894529173e-05,4.215661929532133e-05,4.9636391860026345e-05,6.215937210946702e-05,5.66696787460867e-05,3.1345583163073474e-05,3.677820532211995e-05,4.016536220714336e-05,4.94039726362854e-05,5.8239655774179644e-05,7.677894946896487e-05,7.481240047337533e-05,7.867678848233837e-05,0.00012198720568571984,0.00013052448921878053,0.00019132546353015868,0.00024015558647458887,0.000280883292070984,0.00019355434529881875,0.00023927000693189191,0.00020697081059040391,0.00023401399213778394,0.0003030814113469541,0.00029269403618281664,0.00028753910354337273
BDI,,,,,,,,,,,,,,,,,,,,,,,,1.903889017154894e-05,-1.760491128190564e-05,,,,,
BGR,,,,,,,,,-2.456946342638008e-05,-2.513699062683134e-05,-1.096404574562695e-05,-6.200334191603422e-06,-2.9534885837025812e-05,-5.1471975393102505e-06,-6.944032734198938e-06,-6.356361223263753e-06,-1.7552688362706082e-06,-1.0023483486630974e-06,-4.236773537257186e-06,-1.1809341192604465e-05,-4.311485566160703e-05,-1.693354887447489e-05,-7.681068242496025e-06,-3.4148702356612356e-05,-4.147368300800551e-05,-0.0015284751253418613,-0.0005396519890960354,-0.0005447704580336852,-0.0001425849777340545,-0.00019589038279252302
BIH,,,,,,,,,3.606573777306036e-06,-1.5080521055066223e-05,-1.3368683846158853e-05,-2.0250821780515975e-05,-5.2772463392229376e-05,-6.0542596911526965e-05,-0.00013941379744799242,-0.00019791547409704662,-0.00022812499357691086,-0.0002312380105211424,-0.0003442096735838122,-0.00025912645758543936,-0.00032142416010943727,-0.00033623885377071595,-0.0005343839410635177,-0.0005049712498937899,-0.0005408441648413491,-0.0004960748057369697,-0.0008645255187543244,-0.0006590617219716931,-0.0012653656250310782,-0.0012275421571069731
BOL,,-0.0022756853894133518,-0.0026023325907450654,-0.005150849365075189,-0.008892729377380549,-0.012234933978486956,-0.014530417994779707,-0.023654910916946475,-0.022284796369491787,-0.02053691551068068,-0.024925131478657304,-0.025199738804682504,-0.031225709905023602,-0.04487342577961301,-0.05584359616876611,-0.05478713197152694,-0.05259876743430247,-0.07020116424089551,-0.08644750313648349,-0.15026368893421393,-0.10565219460987763,-0.12317535408907505,-0.18468467700947094,-0.19756436290963197,-0.22194881332423264,-0.19826275132225168,-0.1880869089270315,-0.16699006493232033,-0.2091582912783908,
BRA,,-0.0004818813797363639,-0.0011709437017437688,-0.002055214455565039,-0.003204212525636111,-0.003728715947641636,-0.005136652530045582,-0.007038769625996539,-0.007380628675370012,-0.006107267489639413,-0.00743404365486111,-0.009000193688007174,-0.012110973911321288,-0.018795594724123753,-0.020776659115266452,-0.019820407580529397,-0.020466304863513866,-0.030875398702912806,-0.04852044398200075,-0.04688660736165657,-0.054582914484642496,-0.07175190529060423,-0.07839928635028945,-0.0915294484856656,-0.09389433063410436,-0.08510909482218225,-0.09895851717379071,,-0.11113712296640982,-0.10404152109085418
BTN,,,,,,,-2.811113183322363e-05,-3.220920955590035e-05,-2.8651083561954367e-05,-3.341216512000393e-05,-2.4403597681246576e-05,-6.2530469831114526e-06,-1.2098621161183325e-06,6.816256995108358e-07,,,,,,,,,,8.20901667036196e-05,6.796827385298811e-05,0.00011689917260965935,5.736482586567909e-05,5.109052387003352e-05,,
