country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AGO,,,,,,,,,,,,,,,,,,,,,-0.00031009413322291633,-0.0003960622218115114,-0.00028969493153555416,-0.0005049240842168205,-0.0006642249166485236,-0.0006102202524504195,-0.000511321484374354,-0.0012093748541013966,-0.0008237996793533346,-0.0006358848750853902
ARG,,-0.01781098484134403,-0.02435517883446866,-0.028879682931035364,-0.036101690145863764,-0.04624447535071684,-0.05278901121719436,-0.04960873740013055,-0.09184828959233296,-0.11338257366402336,-0.12736317390914872,-0.19564234976289938,-0.08721083460284895,-0.10697113783656384,-0.09571006578989548,-0.11597703652877177,-0.11637268796939898,-0.13252079244607487,-0.1306309459252461,-0.0839607977593809,-0.13128814961841223,-0.11579738945897534,-0.09212040072762365,-0.09715182382149476,-0.07690948269478362,-0.07925101584452926,-0.050817135995156255,-0.043131036410560666,-0.018785284130780337,-0.017084982976392896
AUS,,-7.099946659550069e-06,-9.988182000276268e-06,-9.23709941886682e-06,-1.984487413613897e-05,-7.823497815853574e-06,-1.5301688051478627e-05,-2.665277262863434e-05,-1.7774585047051603e-05,-3.914681398576638e-05,-3.614157604456185e-05,-1.6126537155924986e-05,-2.306693474673042e-05,-4.2490617230749386e-06,-3.255783879141229e-05,-2.647436342280924e-05,-3.072285590084775e-05,-1.8253850015961544e-05,-2.5331935857254266e-05,-5.681260859896413e-05,-5.17725896845818e-05,-3.0155771236649063e-05,-8.936517628346688e-05,-9.154969163425945e-05,-3.0575423564564876e-05,-3.074002015497498e-05,-2.4391016002880465e-05,-2.74572314828153e-05,-2.5119657307332317e-05,-1.2515271362427908e-05
AUT,,-1.099970055721963e-06,-4.456905400727324e-06,-7.783231341918786e-06,-8.296456704718179e-06,-3.337064059618621e-06,-3.2007646142101926e-06,-3.978625284687019e-06,-6.563223219701075e-06,-6.883316742085003e-06,-4.228454000372808e-06,-4.66682777748378e-06,-5.5941935312108325e-06,-8.195043014211129e-06,-1.1002522982006918e-05,-1.598519991220415e-05,-1.8330170486215625e-05,-1.713623429773307e-05,-2.0109005344182423e-05,-2.8209453779615897e-05,-3.7867052367410133e-05,-4.825713544175381e-05,-4.5457477462571964e-05,-4.0210740589831244e-05,-6.0980567604978564e-05,-6.196611014372274e-05,-7.223554275514564e-05,-9.726661834726221e-05,-0.00010167541895977252,-0.00011732162984524273
BDI,,,-7.292893601181437e-05,-8.080468958563503e-05,-8.778756276987055e-05,-0.00014448021511332296,-0.00012125706414034716,-0.0001473534163783044,-0.00010302816112339592,-8.08417983593167e-05,-0.00016149719864791951,-0.00022640622777733756,-0.0002377717385091846,-0.00026731662141890594,-0.0003063244097958921,-0.00039023066334828373,-0.000599776799551892,-0.000612661556347949,-0.0005807906543889609,-0.0005843322175273407,-0.0005208623711717583,-0.0004696453668720881,-0.00034114603985845455,-0.0005411544319313996,-0.0005726512979904939,-0.00029695643930151007,-0.0004078333984126565,-0.00036891559129090376,-0.00040688234478960974,-0.00043441604374327877
BGR,,,,,,,,,-9.411568547161158e-05,-9.77741330775299e-05,-3.5868477517147876e-05,-1.8452405753898202e-05,-8.208073736891773e-05,-1.4517072178802762e-05,-1.7834208976855845e-05,-1.703706532333268e-05,-3.93255354076867e-06,-2.14630815329173e-06,-6.093046697210939e-06,-1.4266592336841264e-05,-5.866889193667061e-05,-2.6505368200356917e-05,-7.432418503995078e-06,-2.5165390750569248e-05,-3.204736325001423e-05,-0.0014915185712379142,-0.0006893806156061469,-0.0007831843981138218,-0.00019817966806787458,-0.00030309091088187654
BIH,,,,,,,-2.3092636103881257e-05,-2.789783603911971e-05,-2.9751662227370363e-05,-3.1705960031446005e-05,-1.2222481906519785e-05,-1.3648338384454679e-05,-2.6634974932731855e-05,-2.6376510702045567e-05,-5.130884584771074e-05,-7.856150222387477e-05,-8.533612501370637e-05,-6.092974387932787e-05,-7.058470880900762e-05,-7.328894141406553e-05,-7.384340492829325e-05,-7.047350943940323e-05,-7.093269608777702e-05,-9.212586582412224e-05,-0.00011132624537460503,-0.00011180435501154706,-0.00020614288716759485,-0.00013721839955996564,-0.0002945228607675242,-0.0002953530196068567
BOL,,-0.00663714405301915,-0.007725494699776932,-0.012923796690848744,-0.020519198363125664,-0.027876030806431064,-0.02958041325635399,-0.035837342654112196,-0.04140023270978381,-0.03769042734412574,-0.04734685198356068,-0.04605159284095473,-0.04888321764553235,-0.061680654877662645,-0.061892830692134235,-0.06722050772730268,-0.06649559995758438,-0.06861110322735514,-0.05916698996037598,-0.09432588812733109,-0.08620368246167999,-0.096700718719945,-0.13980364596534967,-0.14674620733019153,-0.145944672736646,-0.1613371795782137,-0.1673003272348021,-0.14006636270341677,-0.15471893707895187,-0.16054311604589636
BRA,,,-3.5304351635219673,-0.31600468487528593,-0.023538665919155172,-0.020291945625251627,-0.019196779763489977,-0.022664102415261397,-0.02812434910661192,-0.019795990389710163,-0.022064207105020862,-0.021503351408304266,-0.020352976604154777,-0.02562848757050624,-0.026375205510616125,-0.03427259184883134,-0.04072575747956418,-0.05077207117144811,-0.056750581064180024,-0.053155130035489384,-0.07167080357251715,-0.08376991285088323,-0.06563426479652322,-0.07567757722283476,-0.07720181034246147,-0.0668489747541844,-0.06830513367119079,-0.09194009696259987,-0.08481281391271375,-0.07890282307258664
BTN,,,,,,,0.0006236451304503345,0.0007640596651151005,0.0008975134571248084,0.0012843768785956633,0.001248259977154002,0.00105396613687057,0.0006068454835920279,0.00026616926405737993,0.002266601786968919,0.0038231041257071083,0.003288574978002958,0.0033136967042400457,0.0018612965010396246,0.0011031960460830077,0.0008156309460292368,0.0016049306540416729,0.0005003713618183585,0.0006857153023281437,0.0004643074257821041,0.00031583589888706503,0.00033597257270666706,0.0002846627800052522,0.0001447092284100341,0.00021950797630830736
