country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,countryname
AGO,-1.1874539799731367,-2.3586833289943963,-3.49603771057174,-4.644738902258262,-5.800931609376878,-6.981337081050402,-8.196558760060087,-9.418527487644093,-10.635545017055103,-11.878175893035518,-13.156532136436299,-16.511074222018163,-22.521997395189086,-31.85622269259537,-47.800947422881144,-63.086316080828716,-92.60299137783515,-233.9533582826747,-520.9631259069243,-223.5718553055814,-243.7649662549198,-329.13573176177664,-265.4823306701024,-490.75814773841483,-688.9418277242016,-780.0840748234925,-867.5176487843438,-2076.5534804284703,-2126.29883352392,-2350.2902247361544,Angola
ARG,-10828.62334047894,-22235.50370640896,-34529.33117389477,-44949.688063239584,-59693.79376962695,-74490.98794929225,-89843.01931146851,-91360.93901119429,-175759.63191791566,-209744.62303885736,-234063.55604239926,-343298.9721811009,-418394.0726667426,-528643.5567307929,-519893.5751946532,-681159.8879871392,-776685.6683927667,-976774.6377934687,-1017653.8079172319,-725966.2696056743,-1312674.157603863,-1293940.35365127,-1124377.8759999184,-1460687.4456354654,-1667214.218755551,-2016752.639778492,-2023749.6615288598,-1981266.692003018,-1424553.1497006952,-2175634.0659546945,Argentina
AUS,-77.89867658903239,-124.62517609701895,-186.85123111141857,-194.13935837776313,-403.4264224239731,-162.93352115961036,-313.44079948913213,-597.9424751576786,-493.08863332049,-1110.3339689236332,-1185.4099449836353,-604.5981166550026,-855.8348789072529,-136.1163879186387,-958.4142739725883,-773.9108532989845,-935.4972361152014,-518.9644417180517,-743.830105476029,-1827.8857776042444,-1447.1923769495902,-767.3881427978449,-2353.2923732047843,-2651.7396497124505,-972.8851500466233,-1198.747046587687,-987.540839130614,-1102.341325422603,-1063.8516830152962,-581.9214951875306,Australia
AUT,12.392312046558652,53.922678136890205,203.4657625069011,369.017097956069,387.0368183641801,138.20737004688337,139.46870692719284,200.22632491566426,340.2075514630016,379.1349284385226,272.7627943992718,308.09569690014723,349.7011310411257,423.7247434197569,519.8662274259801,755.9889542744677,869.4162614450346,756.8033890099039,824.1489964145875,1151.3291510210202,1615.4968047857124,1974.8963072092724,1981.5298726786204,1655.2828403150977,2476.081347751253,2984.377722131673,3487.204762053682,4602.2188049377655,4614.463656044009,5594.164949021531,Austria
BDI,-0.21735448764271628,-0.5481777570507571,-0.6795858273437839,-0.8439682044713901,-0.9325054511878936,-1.4106915078709943,-1.3304671188948307,-1.861501131234799,-1.7391110094204996,-1.7048607137816294,-4.329043890745015,-7.149302653459126,-8.801215200136998,-11.380236812718382,-13.912284470781213,-17.575604937087732,-27.09966244099855,-30.129985999060892,-32.82737995632395,-35.566690269730046,-33.33467131212331,-32.03636574544617,-27.79079721664631,-49.8386142271848,-54.65388545913879,-27.666559801737463,-39.72725956420832,-37.7240020833136,-43.559720012054676,-48.97471240735795,Burundi
BGR,-10.051001946430706,-26.058917973947796,-33.00422025091744,-36.04249261148312,-28.440961391639814,-53.01702529469762,-44.32185120850187,-32.15295662190154,-33.54730929874055,-33.38274404491322,-14.842404852578253,-8.176542097262308,-36.702254708241554,-5.712732889298929,-6.812256891900221,-6.9824141114794305,-1.7096065017863549,-0.9147066571044309,-2.586314460986535,-6.175634193575126,-27.165222511343327,-11.964277868044359,-3.6690713959431145,-11.999299267550759,-15.478963333907625,-894.4204488518172,-428.0444229636297,-492.0107713832783,-122.26066471947999,-205.25193831925156,Bulgaria
BIH,-1.5889917924886359,-4.184558736702851,-6.762424076755659,-7.538876227236589,-4.863919974376676,-3.82866552542698,-8.07140925678688,-15.549365417628437,-19.673039265444153,-23.933319548216215,-11.203109586317582,-13.127692697642635,-25.412069085981734,-21.62273273306753,-40.28229236568693,-63.35458245211824,-71.1886592640611,-48.789883174141714,-55.078249460312165,-57.85867927543972,-60.99316193410375,-55.362160004872955,-59.114281495943295,-75.17993316947349,-90.9657711623042,-112.7724565649693,-213.00507768842047,-142.14910528257624,-299.4249338195168,-322.47120582742565,Bosnia and Herzegovina
BOL,-512.9775330597819,-1750.4544476332926,-2268.4272504607834,-4334.994176943966,-7820.3357001437535,-11558.656366504358,-13536.07088206581,-17836.566115196947,-22689.935412644187,-21887.134550114,-29994.41611520552,-31689.41220188299,-37403.274757654144,-51767.26369293742,-56080.849538216266,-64632.64298992248,-66500.95121025246,-70313.05418993803,-59320.74066501555,-94761.56666665063,-90095.22702078501,-105067.86427150546,-159038.72595102445,-178245.84932686135,-186833.85851524238,-216512.02434107213,-233954.9464013683,-204018.5858539484,-234788.50989762423,-248955.96145099192,Bolivia (Plurinational State of)
BRA,-29479.28503637693,-44567.66464551661,-85366.48623516741,-133661.58664588886,-184514.78367074608,-228996.46883958473,-242719.39879668874,-317950.46839160385,-426126.2156338511,-471260.41006671294,-553111.2388797468,-701639.7004372935,-850850.4385283313,-1141799.3538607084,-1181299.0989650772,-1318048.315045223,-1454614.2220405268,-1721741.304514341,-1904441.2610434412,-1941975.5508790147,-2476379.5237654326,-2860940.6185539556,-2666670.358886432,-3495560.250149299,-3909873.084305408,-4615406.675671713,-4785218.414415092,-5962263.450882245,-6406846.664588341,-6484201.7633326575,Brazil
BTN,0.5414125522622361,0.219822659688417,0.3302336837799861,0.4393056599519332,0.5530824982923924,0.7464719096539503,0.9887810661264343,1.3065324126623188,1.8447284864416977,2.972000692473296,3.1124662106720042,2.9599587847410884,1.9366020465800062,0.8769629830637604,7.631096021451929,13.378772293862301,12.484170513589504,13.31537493367017,8.215844817647485,5.829021764056475,4.553273368829039,9.910030325007384,3.717495199268237,5.676625453998034,4.234535062844618,3.226040993647647,3.8957068700635658,3.2618080145861232,1.8003079261906234,2.9709966698177994,Bhutan
