country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,countryname
AGO,-0.9717475801408827,-1.9921281126546928,-2.983308330735693,-3.9846888353666747,-4.992916778242429,-6.0225868656617525,-7.082973658664742,-8.149602516376117,-9.212263284083152,-10.29765330392158,-11.414632887917913,-14.33456554642909,-19.564807590519624,-27.6889027211187,-41.569428336641906,-54.888988253559866,-80.60770985559915,-203.73846809328697,-453.87213167809597,-194.85566410182648,-212.53816978786182,-287.0832012719039,-231.64915487170012,-428.37111035802883,-601.5732741283309,-681.3904161627665,-758.0143745019732,-1815.0373077820313,-1859.1299838198136,-2055.6449541910692,Angola
ARG,-8833.675551508224,-18376.6550510132,-28658.76531012411,-37391.003127334116,-49725.84200795892,-62114.70788427451,-74974.58904502695,-76288.86781162483,-146839.80726350023,-175312.09381241482,-195718.75273744256,-287165.1576260237,-350102.1069277535,-442504.61697552935,-435321.37947542424,-570534.0382835162,-650746.7745061431,-818640.4410164414,-853155.5071260594,-608790.1214087458,-1101119.3177797655,-1085722.5986557936,-943719.8019225661,-1226345.4695098333,-1400136.666677028,-1694155.2494002003,-1700502.107000563,-1665266.0504878554,-1197679.9401835755,-1829654.4187498214,Argentina
AUS,-65.14182284065507,-106.46336419650751,-160.73644844292866,-167.60761796907602,-349.0649416404363,-141.19509069138684,-271.93435526864613,-519.221033819744,-428.47319100424096,-965.4058146261856,-1031.2138288822143,-526.1887470950641,-745.142972765403,-118.55602227929569,-835.0620994020102,-674.5273535665749,-815.6180730163703,-452.5966667237133,-648.8892623060277,-1594.9973145890385,-1263.140027479243,-669.9661861780297,-2055.0532574712765,-2316.243818908976,-849.9988645276183,-1047.5736606098235,-863.1963523294472,-963.7566079255462,-930.3127112512525,-508.9881272497898,Australia
AUT,11.601609946671099,45.988280572008215,168.26929552770665,300.3532195348189,311.9357531550373,110.6312609484598,111.0716711847139,158.8325565540793,269.03162407052537,299.0255227539274,214.63690396801996,241.95758800381148,274.13970375508785,331.61111676415175,406.21503216599837,589.8451904031023,677.3912793207394,588.8570175102113,640.4322759911729,893.6051664154568,1252.3519925593873,1529.1253282950402,1532.4579464593103,1278.6745990054299,1910.5636066678185,2300.2209063993632,2684.8556022216426,3539.463498271962,3544.9803655152486,4292.9030596954735,Austria
BDI,-0.19731598351890153,-0.4876797573330161,-0.6008206614633143,-0.7438380393576753,-0.8203633271952995,-1.2395346448968516,-1.1680363718063378,-1.633221516620503,-1.525136805584683,-1.4945650194584783,-3.7939769110345494,-6.264262128449172,-7.710311322014785,-9.968224236531881,-12.184710310022197,-15.391766210111319,-23.730836911436054,-26.38320185821435,-28.744292962122817,-31.14241127053534,-29.18795011396829,-28.05138564580591,-24.334377120340886,-43.641255323483485,-47.85945601175532,-24.22814444020954,-34.79159415630398,-33.03898813630819,-38.15221787840271,-42.897730024278964,Burundi
BGR,-8.496876657355148,-23.976954009532328,-31.200477193641014,-34.53803103032978,-27.473375975656595,-51.48507605819801,-43.201571848252996,-31.423615511184234,-32.84995141951331,-32.73717229942988,-14.57204507400491,-8.034595863352651,-36.08928500847447,-5.620254431065612,-6.704573580841075,-6.873915814262148,-1.6833358116093475,-0.9007323188756122,-2.5468471064873084,-6.081139699215669,-26.74700271641637,-11.778384361574213,-3.6113967905190036,-11.808104437989646,-15.228574275257058,-879.716574487279,-420.88742284133804,-483.63671527975936,-120.1408615300048,-201.62530333374954,Bulgaria
BIH,-3.024682259636231,-6.134078358722403,-9.203493225982125,-9.883013453953252,-6.229823227575688,-4.823654879968254,-10.040436309889452,-19.147522363147647,-24.02365437915846,-29.013440799319323,-13.492171179038785,-15.71699493853275,-30.258634633451166,-25.611789008608113,-47.47538927582214,-74.3095799075298,-83.11190321074419,-56.70664766846837,-63.73998353955212,-66.68880833465163,-70.01761570765487,-63.30035274484528,-67.32929513171398,-85.3076723811097,-102.84703898655712,-127.05874551845733,-239.18551918224952,-159.0963173463597,-334.0375889330228,-358.6134575083714,Bosnia and Herzegovina
BOL,-449.20212576327395,-1537.2019310595424,-1994.1399320417913,-3813.1821693640686,-6882.054660606268,-10175.564041755511,-11920.196700361024,-15711.86616032718,-19992.420938144634,-19290.00147768174,-26441.9241699225,-27943.005791012227,-32989.39284201429,-45669.74630530181,-49487.82520228202,-57048.99974299591,-58713.56665710835,-62095.930692283015,-52402.41751450239,-83732.05240964492,-79630.92301328725,-92890.99830785178,-140647.35587064692,-157678.90814822892,-165323.90852135498,-191640.58663192284,-207139.33602451318,-180686.8782972313,-207999.59166731476,-220616.26362932523,Bolivia (Plurinational State of)
BRA,-25262.504144018683,-38676.44122174114,-74389.06085075984,-116726.37402966093,-161355.84871543053,-200448.47367554606,-212619.08325894002,-278685.47008665284,-373683.98179313226,-413438.8812569564,-485431.98827358126,-615997.4623193747,-747233.3701058667,-1003058.9491782269,-1038066.0792481389,-1158566.5165126503,-1278966.139949622,-1514252.5776227901,-1675383.922040233,-1708837.9865019105,-2179653.0701583517,-2518793.67675049,-2348364.70464588,-3079101.716937733,-3444924.081499342,-4067568.4263042742,-4218255.7924066875,-5257132.294094552,-5650535.274472158,-5720170.060431402,Brazil
BTN,0.5677527578956488,0.2162930130968066,0.3188197591302705,0.42018875054980515,0.5261285220504862,0.7075384057818329,0.9348292284186742,1.2329861547967735,1.7385418977846578,2.79801076460208,2.927853012604104,2.7826210816174983,1.8196617098445054,0.8236755404648801,7.1651569303316585,12.558927493184779,11.71716691299053,12.49592945390604,7.709786085691569,5.4699108741606866,4.272869509241733,9.300326895555642,3.4891134602260405,5.3285455354807345,3.975472771547699,3.0291908014674362,3.6586817995310246,3.0639871814161728,1.6915080232627562,2.7921257800039454,Bhutan
