country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,countryname
AGO,-12.253087164683174,-13.377023182799253,-14.468979264139868,-15.572356479747546,-16.683462954148382,-17.81839032155874,-18.98737407664544,-20.163441964384212,-21.335335862333338,-22.53250046387206,-23.76472334035402,-28.58404872254976,-37.54639522348395,-51.29996485044401,-74.59761217511809,-95.68111454114188,-136.8391484833272,-337.59564604470785,-735.7393581464196,-309.8112243880338,-331.76105241738014,-440.50671881521413,-349.905384705449,-637.8177527125508,-883.9763249760562,-989.2823012299745,-1088.4549383918313,-2579.5226492291404,-2616.683836645121,-2867.290220287201,Angola
ARG,-2137.2094902254003,-13914.3247748549,-26374.240062533932,-37490.1031616365,-52320.043822577034,-67431.73570099847,-83209.79212284833,-86041.06358461002,-167631.06511521837,-202080.74440455396,-227403.58318612946,-335835.63775336166,-411702.5864192816,-522886.6065439868,-516568.1485823726,-679515.8341806455,-777569.7010439239,-980991.8749401376,-1024931.5905424252,-732945.7643810129,-1328330.7339262173,-1312130.1636022413,-1142360.8991476179,-1486618.228150539,-1699485.2968045918,-2058732.2530156835,-2068574.7305792286,-2027618.9642469278,-1459549.8859078407,-2231455.906597832,Argentina
AUS,70.92136731724393,-9.000196965282589,-73.67675527144287,-108.55008140903237,-265.86241281772186,-118.42230721354416,-243.29367313350681,-486.13589402206753,-414.82232438455264,-959.5044843336691,-1046.9515442377394,-543.5260726855082,-780.9343864681259,-125.83210433332243,-896.0754745555984,-730.7653124695971,-891.0755952899145,-498.1495244642412,-718.8703057794635,-1776.919853465702,-1414.5234050290728,-753.8007553253432,-2321.9871671261612,-2627.018613560474,-967.3282508387033,-1195.816614715953,-988.0599603871556,-1105.9603141553034,-1070.0859288078752,-586.7190165984443,Australia
AUT,312.7916450815087,651.9026529128087,1637.0696240386228,2222.735137311965,1862.5847807199887,552.3027328448464,474.7966905177744,593.5630299966368,893.8505361321228,892.7139274045892,580.3624392905764,597.5446565638715,621.9207338568907,692.9903023381953,784.7891408618937,1056.8875972203384,1128.916682253374,915.2150605368433,931.0977426798163,1221.0628214494145,1608.181666231468,1847.3385783546391,1745.1583687340485,1375.378148124372,1944.5867290325955,2219.6937952737026,2460.650917850983,3082.83455443538,2935.1476783735284,3381.4702431206947,Austria
BDI,5.8690776636861814,6.80755530935628,5.397507868015382,4.815499854133162,4.073152862040251,4.891158515587398,3.745091864660406,4.338738856464102,3.409359657609305,2.8322601505844425,6.11700501609376,8.633112492244404,9.085098653262127,9.982057763209284,10.30988405293226,10.91340506008259,13.936642082686696,12.631468527298514,10.994827226201329,9.320249503647764,6.465737426830168,4.216875365849899,2.0936683422643894,1.2231679034340397,-1.1726825917201504,-1.7430868901921184,-4.000700262902804,-5.11672061643672,-7.327538706533421,-9.71169096861307,Burundi
BGR,65.71479616599309,62.5927674832352,32.742967518640576,9.420528536253686,-5.2173930090435485,-25.74330898062659,-31.253216836898652,-27.91133055518067,-33.29219443239657,-36.46390804133736,-17.434489677353824,-10.15678343604998,-47.683551565715696,-7.706559863901675,-9.483110417236041,-9.980790997248604,-2.499337328105966,-1.3631588489116933,-3.9176852695326363,-9.481984498731203,-42.216514071344854,-18.79091292668253,-5.815254050120037,-19.1671215362062,-24.891482340854076,-1446.5425866850596,-695.6592032553333,-803.0083106120982,-200.2749453675942,-337.2763721116598,Bulgaria
BIH,79.23156367383439,69.85593778582866,60.7020170260147,41.12668550036223,16.80041946803942,8.248621923216676,10.014304856724504,9.025440005533003,1.7262909513289006,-7.190975216412998,-6.8851737243077515,-11.391233735325084,-27.387546175317244,-27.20206399553899,-56.83914837301847,-97.6453195377622,-117.63028630827941,-85.24308604140259,-100.64370057091058,-109.53243697202834,-119.01257842599315,-110.79223594101099,-120.78909788091201,-156.260019055175,-191.73168267622125,-240.40721357881566,-458.27211723965326,-308.13158141917944,-653.0017078746022,-706.6067604705745,Bosnia and Herzegovina
BOL,-608.383396658763,-1930.3596249315897,-2440.896340778743,-4605.97873456639,-8245.904254242947,-12125.014089674058,-14146.725810715478,-18590.530382419143,-23600.5907458099,-22728.62610408831,-31106.66792711218,-32829.80382819115,-38715.55742978823,-53543.89681751165,-57969.7259140418,-66775.23560726186,-68676.25979628059,-72587.76033855397,-61222.72283826436,-97778.92895125214,-92947.96780520273,-108380.5973030192,-164038.33232528553,-183839.0982367686,-192691.76806130132,-223300.68596770804,-241296.15250468862,-210429.5387049257,-242181.31230094546,-256814.81178710586,Bolivia (Plurinational State of)
BRA,-17874.32061224172,-37181.440670142074,-77527.63379219026,-126427.64504535368,-178741.4713126259,-225383.20520686332,-241636.35670313908,-319219.960451359,-430601.78273098596,-478703.6105184856,-564292.4752120688,-718408.4182344769,-873879.0018079644,-1175926.7198955573,-1219558.6311033047,-1363671.1985343494,-1507869.00489845,-1787872.9391137192,-1980664.6965344516,-2022444.5144966885,-2582302.8814457078,-2986863.878207369,-2787076.250499827,-3657036.174571286,-4094238.735393573,-4837106.57859176,-5018965.326320207,-6258075.995186823,-6729380.290016167,-6815068.750266969,Brazil
BTN,-6.424053779335754,-1.0925088223672421,-0.985564486477095,-0.8846742084403922,-0.7963532928090591,-0.7883873613060137,-0.7708971121336559,-0.7514933568305497,-0.7732517250983141,-0.8720700562057492,-0.5889945938686074,-0.30524523491870026,-0.05759719701298091,0.030812217228696048,0.7020867043059763,1.902075452260268,2.3307269687832406,3.01389873877318,2.1485038259737044,1.7014563847192727,1.4583050575067589,3.4314280299344766,1.3744256666867647,2.2189180401772703,1.7364036721131348,1.378726993476941,1.726148000665467,1.4927773485594238,0.84837779089608,1.4373318157605695,Bhutan
CAN,-1445.3195184967233,-2251.5658343268947,-2811.4937235046546,-4531.562645188369,-6163.8424161828625,-7244.332046700156,-7787.018684166483,-11036.319924093073,-12252.392511048427,-13730.88328845414,-14641.205454951058,-9656.152099201116,-14973.91969084274,-15797.106407269885,-22869.309066721165,-25570.80430746416,-30220.963417793886,-25154.35201170582,-33452.93023326977,-38285.71158534598,-50657.21682479057,-54216.10099163019,-65618.30733472796,-73267.27457611564,-87498.91374428896,-98654.22206366237,-106168.43337834161,-130660.71519760933,-132006.46921578745,-114801.48450183644,Canada
CHN,-15130.99437036244,-21121.596564084528,-29669.716983244332,-55006.8064568497,-69024.30294491512,-68217.07835179726,-76909.43820368462,-96972.79216590812,-111366.31083713919,-115912.42462141086,-137901.89003910517,-150541.65859125525,-175222.86012316018,-177139.20503742018,-216367.75072302282,-218971.38314550626,-217042.31847343818,-196241.36550357277,-256031.52717556848,-262372.050890842,-280790.7418186957,-286229.33713494445,-272281.3535805415,-264234.25784181955,-283248.2975956944,-288806.39575339685,-328797.5946069031,-411671.85914839536,-450173.6427866258,-533286.2150156046,China
CMR,-22.70631519365024,-31.352630315455393,-41.23830173794776,-52.52995297507337,-61.32596569569971,-70.81395303676705,-81.07742765561017,-91.95386030380728,-103.39868828953836,-119.25487566321927,-128.11645154651868,-132.9852692575855,-156.84975628561762,-173.11940508934887,-190.74457856669886,-214.4259387326633,-240.95235934378982,-263.5251834796609,-287.2354247334099,-435.89464825793345,-496.6589133308537,-544.815463065742,-513.7962288178417,-653.3156772180694,-622.8892809153533,-1073.2283867998683,-2157.448380362643,-3127.2686069710862,-3380.364058163103,-3837.2984391939403,Cameroon
COD,-129.41661225709294,-163.56193888619887,-196.95181669324447,-251.76218355849196,-296.00386130066903,-344.29668962290685,-248.99951626305142,-301.49658798706156,-223.88431105982312,-267.8632882934186,-319.55851448522185,-379.7693954459178,-450.1955494335546,-483.5851375660803,-527.154282433632,-569.9495833494466,-628.0484782438432,-691.2480867749197,-759.036712317437,-830.4926887539978,-908.9368009006579,-994.1772774691777,-1101.9608782847306,-1175.7506598964258,-1259.794646329526,-1316.7086011686688,-1412.4872427302846,-1506.3884657312901,-1727.2356624852064,-1839.2410072056844,Democratic Republic of the Congo
COL,-548.5314049618376,-778.3551596287142,-540.5839067326494,-821.6672219706727,-973.1228029925815,-1004.0205871918489,-714.2350955395862,-1266.5406851540747,-1133.7597988324778,-690.7219373964363,-749.3423472978834,-1325.3352735477947,-1875.948981306162,-2300.7216764685513,-2099.885359412705,-1796.8376262452896,-1711.8308945175404,-1777.447515579982,-2016.9899031932123,-2265.5877883754774,-2196.5522228174973,-3242.291870074205,-3939.936340969424,-4124.980404034102,-4554.538873101072,-4652.493989726033,-4478.7032520668545,-4660.369589477282,-5607.9395881515275,-7236.343437381757,Colombia
ECU,362.04288404483975,38.10818874492787,-165.4576960249048,-413.46751632630713,-886.2495503025976,-573.1441437263561,-627.7093884680565,-92.98605042646582,-119.200685623375,-1034.3144476683326,-1442.9324684324947,-1951.3159631014223,-2089.4880471295555,-2304.4264300809314,-2500.063674161093,-1518.034180459255,-636.903227664017,-1650.0130009915547,-2070.305211704453,-2356.711948039944,-2596.8855255110248,-3090.3175265292184,-2783.6600865648543,-3043.312881729017,-1547.4288871865072,-1632.9802480124774,-2195.260513483669,-1931.0503310375404,-1475.157787771717,-2392.171942600672,Ecuador
FRA,-888.3368158239871,-699.2844010395629,-375.0428943429526,-802.1965990677314,-1666.6093026437063,-1869.264908461193,-1805.3469758088593,-2331.001740482829,-2651.0230937406072,-2701.329420183729,-2243.955841327828,-3718.3856218047213,-2685.545759249487,-2033.9833601764374,-2171.976136053155,-2247.783311655391,-2068.4633688725185,-1514.8072211289402,-1200.349401707877,-2211.0003869966745,-2984.566803279085,-2761.760663572919,-2473.8684852500974,-2761.212626721821,-5997.324472541689,-9331.84733897985,-9840.03344608457,-12617.37482001941,-12666.388323601754,-14229.924561242558,France
GTM,446.4267274395022,374.8398899973773,286.7778070479707,171.25093557190877,56.553310259642465,-25.9343377083743,-133.52112723317023,-262.90064338286777,-243.0411933952065,-308.2711958555679,-380.2568732180457,-486.5191855636226,-621.732557008655,-695.5075711868385,-813.4804484533357,-914.2700373329551,-1018.3207205016917,-1125.4042985862966,-1234.3767937008506,-1379.8150839321938,-1821.9737451345325,-1661.3301568670681,-1786.620016493419,-1964.5623523936126,-2095.1033330630194,-2225.4555537467577,-2355.5609348849075,-2487.6376266503053,-2622.2520063872666,-2830.272448580968,Guatemala
HRV,-408.3080323122517,-434.9100200672624,-460.9588427907895,-522.6360852073565,-492.0823483854386,-403.32234599427017,-444.236603115059,-513.4205823885716,-1056.8016182265726,-1656.4133871708132,-977.9386467260774,-1438.7920508046577,-2120.538107945,-1415.1968204409723,-1433.9339189622767,-2242.38493862569,-3416.0637036743924,-1858.184598512267,-2303.9092837926355,-2571.8259206664156,-3579.34276566802,-3582.0203478586423,-2453.3009927389467,-2941.764652621669,-3615.177046137519,-5617.597201802621,-7248.612915979413,-6404.951210054635,-7843.882097809608,-8103.624173375868,Croatia
HUN,-283.08664295432976,-345.4204491125266,-270.97326802576276,-198.1863145348728,-139.84620154581475,-177.65153253613826,-277.0495311499292,-338.9509914473229,-585.5677043429441,-984.7619356508935,-419.7032124211339,-604.6104332368342,-873.8359286509393,-830.4770908621863,-1142.6177714601101,-1461.3049890821544,-1692.2017269297564,-1139.017059458812,-1652.405346811299,-1780.015525752632,-2122.873636975645,-2487.6816181398117,-1868.0309615167616,-2282.8400180922135,-3515.534267783144,-4645.081155118723,-6149.923399917386,-6234.1495556963255,-6577.76313859609,-6415.8283499273,Hungary
IDN,-11028.555200494413,-13919.026976460322,-19516.085057249064,-20403.07722640912,-21057.804272381807,-25203.765564996636,-25175.624011097472,-24688.847063763693,-25838.747025281762,-29617.069784477135,-23501.058235395314,-20493.001060820057,-17843.109048889208,-19026.832947172203,-21857.51665381745,-25996.483633806685,-25544.892409761225,-21475.414527308178,-29774.46541266326,-39385.92885621616,-38643.06788451927,-38193.09823835414,-39761.23468992208,-38586.5475281549,-49468.820615001234,-52134.429388961464,-48527.70438970994,-31681.752510480477,-58371.610825451484,-26982.178262174235,Indonesia
IND,2408.3891881115314,-1311.862570117913,-6565.60348538405,-15949.435961340381,-18854.690896012595,-31897.110041245458,-41940.07364125734,-59992.698060460134,-77091.68737138389,-87343.80084526059,-73443.37083854205,-92539.80247497726,-79864.01250053669,-147616.70209140284,-142071.64946613682,-186182.0798594394,-216182.05037516888,-289173.18002008507,-280920.0657992118,-302130.4048974297,-412544.4546998425,-421787.44999320514,-538334.1680978875,-461316.74771750666,-426384.1655190242,-371125.18675778346,-598759.9121460572,-628131.9057298139,-546806.3860734985,-693966.5774585939,India
IRN,-68.8192695886784,-211.6618466993961,-514.3266585948583,-1260.7939828074884,-1600.1821938361338,-1233.0450310254005,-1146.8811094455057,-2349.7023448066534,-2475.261157092435,-2216.0688513120786,-2071.749441344444,-2559.552096953839,-4070.9914151826983,-5166.445765839639,-8467.402251392768,-8313.57806744937,-8387.897970100794,-8721.874068617304,-9437.942807620893,-9594.358812823511,-9333.509907563115,-7336.346995723446,-11197.18085577828,-10689.028916044172,-10610.705442614653,-10956.103081208385,-11437.014964746262,-12033.898639751826,-14383.6687445009,-16895.00462364996,Iran (Islamic Republic of)
ITA,-91.50868346032087,-790.2186462068811,-1133.8884067730542,-922.1516640225074,-1466.5164162937785,-1926.2828298970758,-2630.019674405457,-4299.319308985793,-5313.810096695037,-4268.803820698844,-4978.207440880623,-5486.413155170248,-3972.397061862368,-2956.0540897132832,-4225.992037110705,-4920.560508622305,-5332.0497296858175,-4280.126785064104,-3915.0783760446084,-5680.095558839244,-7189.332270078815,-7867.268305190641,-6280.329926995431,-9891.120543251427,-15698.860444817266,-19899.83704807886,-20348.111296214916,-20238.632845694097,-24803.075502849402,-22929.087810158475,Italy
JPN,484.75930675039723,268.38232044786355,102.30467501956927,-28.37686748939261,-110.1472551445106,-234.0265210894144,-421.0680307491418,-539.3609164867777,-728.825776189598,-1032.6113996066151,-1515.1035644055537,-2146.813450373882,-2256.5386360660623,-2175.0985495348405,-1700.8237065241672,-2590.504876712743,-2897.7465595055614,-3130.5077336868817,-3925.1216020268603,-3717.6559127517853,-3873.9809022932754,-4090.9192491178837,-4719.017444726462,-4262.969341063156,-5252.501858562696,-5833.362207891851,-6029.228894513496,-6753.390599653603,-5934.214031059356,-6422.81432861142,Japan
KAZ,16.759324070481604,15.685863510003369,14.575262296308148,6.647203618007076,5.6587081981938105,3.3849570019399624,2.319627872302899,2.1606056275449514,1.968626436453987,1.4219708310741503,0.81083859783767,0.3049684217101396,-3.6553355029432577,-13.03886787561505,-26.09802761424042,-49.54872602173284,-80.09002783016314,-109.06425153298824,-141.4832672656749,-177.98521752769167,-251.44307598856085,-339.9488146927275,-495.17811859284063,-670.5531228542923,-805.6839528108056,-905.7302018318028,-1048.9508556945045,-1258.200370619115,-1394.7361306467146,-1679.7333430335586,Kazakhstan
KEN,-34.6865748292143,-37.28993813626891,-39.68736652477852,-42.14024569563835,-44.60891541321711,-47.159541802045425,-49.784304288799966,-52.45802998099132,-55.101997196854974,-57.79698249117392,-60.23679282380733,-63.09129096040405,-66.01587561584348,-69.08018190799967,-72.24257074925464,-75.46067509686559,-77.70489146410124,-81.86827256783486,-87.42553053067972,-88.98263318521447,-67.51459559953128,-99.39793622226735,-135.65772530043805,-122.72524373640238,-120.57878071516994,-137.19757689484342,-109.39029707905365,-141.89137214755416,-139.57963937982086,-144.0077045841835,Kenya
KHM,-61.38195966911144,-157.66802091817894,-246.79734043118367,-306.2087993153249,-219.52737232718115,-194.32499197886835,-369.3355201294206,-836.0928307983921,-460.58452370171085,-646.5899273709149,-570.9837077374855,-547.3791738984927,-936.2070415770796,-1652.8235324514005,-3117.2336755196798,-5449.893704298031,-3211.534350347424,-4092.902431822386,-4048.482933276724,-5441.626953934166,-6589.397089514259,-5111.177055226234,-5666.454088234099,-6520.155616191876,-5452.58754740198,-5321.90203466143,-3991.0475733124395,-4407.779453429055,-5766.173761730931,-2757.731987742476,Cambodia
