country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AFG,-0.03146145298730252,-0.05531397304823216,-0.07925405159875387,-0.10324218537403063,-0.12677611507689868,-0.15145330671102464,-0.17726706436170803,-0.20336353250085537,-0.22917905216057743,-0.2553970463427202,-0.281126222808159,-0.3066503432923695,-0.33237590157075836,-0.359092572532127,-0.3866550611496544,-0.4150483318863696,-0.44475288886703934,-0.47576454723680106,-0.508274965501121,-0.5423526565026426,-0.57827231198877,-0.6161748296415248,-0.6554085637575202,-0.6948925092978064,-0.7358076878688169,-0.7767943533789845,-0.8187600197642975,-0.8620773303485985,-0.9043264499665304,-0.9482610970337868
AGO,-0.016731492486332655,-0.0277994996804809,-0.03890936600242645,-0.050042805030414694,-0.06096665421049252,-0.07242245897852717,-0.08440732620873526,-0.09652491304926736,-0.10851351894298755,-0.12069053612864256,-0.13264193734051632,-0.14449956267399422,-0.1564521918710593,-0.16886685773275234,-0.1816761649281351,-0.19487334321491856,-0.2086818651458433,-0.22310008895409794,-0.23821739912164297,-0.25406597582336987,-0.27077396245316354,-0.28840735302796405,-0.3066633797025431,-0.3250392756114384,-0.3440848656755091,-0.36316743188281597,-0.38270966184307253,-0.4028853890849282,-0.4225675534895279,-0.44303915129542126
ARG,-0.006670177213740232,-0.013509615400710629,-0.020375250232230958,-0.027255763385220507,-0.0340070598975125,-0.04108746422771757,-0.04849521868136175,-0.055985389103630503,-0.06339620426393268,-0.07092385941801096,-0.07831244177099048,-0.08564339119759276,-0.0930334577537447,-0.10070957621609758,-0.10863014042797837,-0.11679097124318903,-0.12533034241847812,-0.13424728252637175,-0.1435971454141631,-0.15339993174182304,-0.16373498867931374,-0.17464325912251413,-0.18593755710351437,-0.19730687231556954,-0.20909148272143505,-0.22089990992761957,-0.2329937495296942,-0.24548067869473195,-0.2576631744455887,-0.2703353453961153
AUS,-0.009042088062506138,-0.01566734505824348,-0.022318133515588062,-0.028983540786103358,-0.03552392791571982,-0.042383345448104716,-0.04956009661517627,-0.056816894896098515,-0.06399704291647319,-0.0712906147737191,-0.07844963746096349,-0.08555302158732239,-0.09271391061821255,-0.10015218207799348,-0.10782759045933865,-0.11573605658981932,-0.1240116481804861,-0.1326534428030214,-0.14171511459091143,-0.151216119394927,-0.1612334090675593,-0.17180673445611308,-0.1827547205088394,-0.19377591541864064,-0.20520020947392686,-0.21664812198103447,-0.22837328894439696,-0.24048013511934377,-0.25229240837843037,-0.26458007645975085
AUT,-8.491925887800988e-05,0.005012890279375204,0.010128046784808142,0.015252111679908245,0.020277807475045345,0.025546205972783433,0.031055698118608643,0.03662389683355135,0.04213052722790939,0.04772138083660611,0.05320638195845746,0.05864609417127459,0.06412716309423327,0.06981768040264338,0.07568655900643342,0.0817304184955306,0.08805131503733113,0.09464808527727087,0.10156114981998446,0.10880474483225797,0.11643681665284072,0.12448680894502975,0.13281584018495995,0.14119421551869496,0.14987231329601347,0.15856145615925035,0.16745391906163434,0.17662828660891072,0.18557198972517558,0.1948678688128051
BDI,0.00014397329983539863,-0.0030077099441008113,-0.0061720802360524865,-0.00934393777702562,-0.012456828413997707,-0.015722097839279775,-0.019139049740740238,-0.022594730241782997,-0.026014538630079728,-0.02948900081876641,-0.032899992980017514,-0.03628508891668461,-0.03969820565790613,-0.04324417727678141,-0.046903887827940326,-0.05067547210626403,-0.054622942170702446,-0.058745970775709234,-0.06307028537918555,-0.06760532346236214,-0.07238795642883415,-0.07743737367442452,-0.08266710872542132,-0.08793328343519694,-0.09339361146483624,-0.09886678392263694,-0.10447414653806211,-0.11026577802754856,-0.11591816955642037,-0.1217998087238579
BGR,-0.009807805940277544,-0.01398357317166262,-0.018177234502083132,-0.022381905252317508,-0.026509480645949057,-0.03084022732990012,-0.03537338832133025,-0.039959240620018106,-0.044498730751514705,-0.049112074457320576,-0.05364241697737283,-0.05813959756269034,-0.06267525308930229,-0.0673887987137455,-0.0722549435789126,-0.07727136473529109,-0.08252333872481564,-0.08801068623731563,-0.09376789164797159,-0.09980776585245121,-0.10617980833346566,-0.11290994001823382,-0.11988328838972512,-0.12690814751931756,-0.1341951160504907,-0.14150243726480394,-0.14899218685451865,-0.15673156602367766,-0.164288305178503,-0.17215512510996753
BIH,0.0073062055795826775,0.005644202344951918,0.003973273726336333,0.0022961769160634127,0.0006480582000928281,-0.0010830733915002406,-0.0028971358039243294,-0.004734436852713248,-0.006555250180297366,-0.008407830559507935,-0.01022917600821598,-0.012039258881991746,-0.013866872047126073,-0.01576837937409128,-0.017733777676400768,-0.019762384055334918,-0.0218889377922365,-0.02411374126831656,-0.026451182633904245,-0.028906966875870792,-0.03150173880122573,-0.0342466897488075,-0.03709559649452155,-0.039970403903791384,-0.04295760168613647,-0.04595838954643029,-0.04903955538051939,-0.05222915696166189,-0.055349142481140035,-0.05860306883112511
BOL,-0.01526386341056332,-0.03011464059827387,-0.04502089929491416,-0.05995805817380417,-0.0746133305589287,-0.08998155824487138,-0.10605871758128213,-0.12231309093141705,-0.13839361924139934,-0.15472600584807228,-0.1707550200504851,-0.18665740400309655,-0.20268641443745616,-0.21933415594875963,-0.2365102108934818,-0.254205348433384,-0.2727191681581876,-0.2920492697529405,-0.3123153279844709,-0.3335603290892002,-0.35595580934279736,-0.3795899750933939,-0.40405680854800863,-0.42868234116499204,-0.45420334487123526,-0.47977180975066186,-0.5059539939452232,-0.5329826381559485,-0.559347881747533,-0.5867682143086658
BRA,-0.010915017040811544,-0.02084595808227838,-0.030814660707450467,-0.04080469409218344,-0.05060684448952772,-0.06088654167401225,-0.07164119007142691,-0.08251516725661999,-0.0932736180827348,-0.1042013616411979,-0.11492689617088742,-0.12556845417045032,-0.13629551230410394,-0.14743745151511264,-0.15893384514508394,-0.17077859575494694,-0.18317235428870832,-0.1961136467313199,-0.20968275491309668,-0.2239086254238744,-0.2389063270886653,-0.2547351712304224,-0.27112344652501524,-0.28761982644534695,-0.3047179824876332,-0.3218498896553644,-0.33939503601001747,-0.3575095627583142,-0.37518158190307516,-0.3935630085003122
